Date,Open,High,Low,Close,Volume
2018-11-29 09:15:00,175.75,175.95,173.6,173.7,457628
2018-11-29 09:20:00,173.7,175.55,173.7,175.4,320344
2018-11-29 09:25:00,175.5,176.85,175.45,176.45,326651
2018-11-29 09:30:00,176.45,177.0,176.3,176.75,335704
2018-11-29 09:35:00,176.75,176.75,175.8,175.95,276772
2018-11-29 09:40:00,175.95,176.45,175.8,176.35,149753
2018-11-29 09:45:00,176.35,176.4,175.3,175.3,168531
2018-11-29 09:50:00,175.25,175.4,174.45,175.0,346330
2018-11-29 09:55:00,174.9,175.5,174.75,175.45,168025
2018-11-29 10:00:00,175.45,175.8,175.2,175.25,171393
2018-11-29 10:05:00,175.25,175.8,175.1,175.7,126006
2018-11-29 10:10:00,175.7,177.0,175.7,176.95,407166
2018-11-29 10:15:00,177.0,177.65,176.9,177.15,468410
2018-11-29 10:20:00,177.15,177.15,176.35,176.45,196159
2018-11-29 10:25:00,176.4,176.8,176.3,176.5,152162
2018-11-29 10:30:00,176.5,176.5,176.05,176.2,134565
2018-11-29 10:35:00,176.2,176.65,175.9,176.65,163463
2018-11-29 10:40:00,176.65,176.75,176.4,176.65,132935
2018-11-29 10:45:00,176.65,176.65,176.2,176.25,113869
2018-11-29 10:50:00,176.2,176.25,175.8,175.9,185195
2018-11-29 10:55:00,175.9,176.4,175.8,176.25,230139
2018-11-29 11:00:00,176.3,176.5,176.2,176.4,239423
2018-11-29 11:05:00,176.4,176.45,175.9,175.95,166001
2018-11-29 11:10:00,175.9,175.95,175.6,175.95,251306
2018-11-29 11:15:00,175.95,176.4,175.7,176.35,216511
2018-11-29 11:20:00,176.4,177.1,176.2,177.0,456332
2018-11-29 11:25:00,177.05,177.15,176.7,177.0,287739
2018-11-29 11:30:00,177.05,177.4,176.85,176.95,226235
2018-11-29 11:35:00,177.0,177.05,176.55,176.85,169244
2018-11-29 11:40:00,176.85,176.95,176.35,176.4,103183
2018-11-29 11:45:00,176.4,177.0,176.3,176.9,142199
2018-11-29 11:50:00,176.9,177.4,176.75,177.3,210239
2018-11-29 11:55:00,177.3,177.9,177.3,177.8,294290
2018-11-29 12:00:00,177.8,178.6,177.75,178.55,529321
2018-11-29 12:05:00,178.55,178.8,177.95,178.05,262848
2018-11-29 12:10:00,178.1,178.15,177.5,177.6,202662
2018-11-29 12:15:00,177.55,178.25,177.55,178.15,154399
2018-11-29 12:20:00,178.2,178.45,178.15,178.35,133637
2018-11-29 12:25:00,178.35,179.0,178.1,178.95,242863
2018-11-29 12:30:00,178.9,179.0,178.35,178.6,202106
2018-11-29 12:35:00,178.65,179.3,178.6,179.3,347789
2018-11-29 12:40:00,179.3,179.3,178.7,178.8,270275
2018-11-29 12:45:00,178.8,179.2,178.75,178.9,190091
2018-11-29 12:50:00,178.9,179.2,178.85,178.9,137706
2018-11-29 12:55:00,178.95,178.95,178.5,178.75,199337
2018-11-29 13:00:00,178.8,178.8,178.0,178.15,249636
2018-11-29 13:05:00,178.1,178.2,177.9,178.0,149933
2018-11-29 13:10:00,178.05,178.15,177.75,177.8,164775
2018-11-29 13:15:00,177.75,178.2,177.75,178.0,158955
2018-11-29 13:20:00,178.0,178.4,178.0,178.2,162527
2018-11-29 13:25:00,178.2,178.3,177.6,177.8,168580
2018-11-29 13:30:00,177.8,178.15,177.55,177.95,116587
2018-11-29 13:35:00,177.95,177.95,177.4,177.55,195425
2018-11-29 13:40:00,177.55,177.55,177.3,177.4,131012
2018-11-29 13:45:00,177.4,177.5,176.8,177.0,248219
2018-11-29 13:50:00,177.05,177.15,176.5,176.8,240516
2018-11-29 13:55:00,176.8,176.8,176.5,176.65,157067
2018-11-29 14:00:00,176.65,177.45,176.45,177.3,242188
2018-11-29 14:05:00,177.4,177.6,177.1,177.55,200272
2018-11-29 14:10:00,177.6,178.1,177.5,177.95,168930
2018-11-29 14:15:00,177.85,177.85,177.25,177.6,179968
2018-11-29 14:20:00,177.6,178.55,177.5,178.4,312416
2018-11-29 14:25:00,178.35,178.4,177.7,177.9,185482
2018-11-29 14:30:00,177.9,177.95,177.4,177.55,189068
2018-11-29 14:35:00,177.6,177.65,177.3,177.35,169577
2018-11-29 14:40:00,177.35,177.4,176.9,177.0,173149
2018-11-29 14:45:00,177.05,177.25,177.0,177.25,139503
2018-11-29 14:50:00,177.3,177.85,177.25,177.75,197454
2018-11-29 14:55:00,177.75,177.95,177.65,177.85,165629
2018-11-29 15:00:00,177.8,177.85,177.0,177.15,832054
2018-11-29 15:05:00,177.05,177.4,176.9,177.0,860318
2018-11-29 15:10:00,177.0,177.25,176.7,177.1,936958
2018-11-29 15:15:00,177.1,177.6,177.05,177.4,1168363
2018-11-29 15:20:00,177.3,177.55,177.25,177.3,1013626
2018-11-29 15:25:00,177.25,178.0,177.2,177.55,915100
2018-11-30 09:15:00,171.35,172.75,170.6,171.95,1354823
2018-11-30 09:20:00,172.0,173.5,172.0,173.3,715059
2018-11-30 09:25:00,173.3,174.8,173.1,174.7,725078
2018-11-30 09:30:00,174.7,174.85,172.9,173.2,638470
2018-11-30 09:35:00,173.2,173.75,173.0,173.25,296166
2018-11-30 09:40:00,173.15,173.3,172.3,172.5,413482
2018-11-30 09:45:00,172.6,173.0,172.5,172.6,204410
2018-11-30 09:50:00,172.7,173.2,172.6,173.1,160773
2018-11-30 09:55:00,173.05,173.2,172.8,173.05,208131
2018-11-30 10:00:00,173.05,173.8,173.05,173.45,228114
2018-11-30 10:05:00,173.45,173.6,173.3,173.45,150219
2018-11-30 10:10:00,173.45,173.55,173.05,173.1,132981
2018-11-30 10:15:00,173.1,173.25,172.9,173.2,141836
2018-11-30 10:20:00,173.2,173.25,172.9,173.0,137882
2018-11-30 10:25:00,173.0,173.1,172.9,173.0,107846
2018-11-30 10:30:00,173.0,173.15,172.95,173.15,78466
2018-11-30 10:35:00,173.15,173.35,173.05,173.3,162731
2018-11-30 10:40:00,173.3,173.45,173.25,173.45,129087
2018-11-30 10:45:00,173.4,174.2,173.35,173.9,486709
2018-11-30 10:50:00,173.9,174.05,173.7,173.75,191200
2018-11-30 10:55:00,173.75,173.75,173.5,173.7,139995
2018-11-30 11:00:00,173.7,173.8,173.65,173.75,140251
2018-11-30 11:05:00,173.75,174.0,173.7,173.95,137388
2018-11-30 11:10:00,173.95,174.0,173.85,173.95,141603
2018-11-30 11:15:00,173.95,174.0,173.75,173.9,98669
2018-11-30 11:20:00,173.8,174.05,173.8,174.0,126541
2018-11-30 11:25:00,174.0,174.05,173.85,173.9,96323
2018-11-30 11:30:00,173.9,173.95,173.75,173.85,112002
2018-11-30 11:35:00,173.85,173.85,173.1,173.25,285867
2018-11-30 11:40:00,173.25,173.4,173.0,173.1,176414
2018-11-30 11:45:00,173.0,173.15,173.0,173.15,185093
2018-11-30 11:50:00,173.15,173.2,173.1,173.2,110390
2018-11-30 11:55:00,173.2,173.3,173.15,173.25,152003
2018-11-30 12:00:00,173.25,173.3,173.15,173.3,62474
2018-11-30 12:05:00,173.25,173.35,173.15,173.35,120733
2018-11-30 12:10:00,173.3,173.45,173.1,173.3,79196
2018-11-30 12:15:00,173.3,173.3,173.1,173.2,62420
2018-11-30 12:20:00,173.2,173.25,173.05,173.25,88154
2018-11-30 12:25:00,173.25,173.35,173.2,173.35,57377
2018-11-30 12:30:00,173.35,173.35,173.2,173.25,75514
2018-11-30 12:35:00,173.3,173.35,173.15,173.25,65763
2018-11-30 12:40:00,173.25,173.35,173.2,173.3,109165
2018-11-30 12:45:00,173.3,173.35,173.15,173.3,69748
2018-11-30 12:50:00,173.3,173.3,172.5,172.6,233178
2018-11-30 12:55:00,172.6,172.65,172.15,172.4,378807
2018-11-30 13:00:00,172.35,172.5,172.15,172.5,185968
2018-11-30 13:05:00,172.5,172.5,172.35,172.4,59009
2018-11-30 13:10:00,172.45,172.5,172.3,172.35,96978
2018-11-30 13:15:00,172.45,172.5,171.8,171.85,367229
2018-11-30 13:20:00,171.95,172.0,171.4,171.9,256624
2018-11-30 13:25:00,171.9,172.0,171.75,171.9,128915
2018-11-30 13:30:00,171.9,172.1,171.25,172.0,257140
2018-11-30 13:35:00,172.0,172.45,171.9,172.15,108776
2018-11-30 13:40:00,172.2,172.35,172.0,172.15,87607
2018-11-30 13:45:00,172.2,172.45,172.15,172.25,58552
2018-11-30 13:50:00,172.15,172.25,172.0,172.1,65034
2018-11-30 13:55:00,172.05,172.1,171.7,171.9,117169
2018-11-30 14:00:00,171.9,172.3,171.85,172.3,97821
2018-11-30 14:05:00,172.3,172.3,171.85,172.1,96910
2018-11-30 14:10:00,172.1,172.4,172.0,172.25,77296
2018-11-30 14:15:00,172.25,172.35,171.9,171.95,93194
2018-11-30 14:20:00,171.95,172.1,171.7,171.8,137547
2018-11-30 14:25:00,171.8,172.1,171.7,172.05,117261
2018-11-30 14:30:00,172.1,172.55,172.0,172.55,145283
2018-11-30 14:35:00,172.55,172.7,172.3,172.45,134689
2018-11-30 14:40:00,172.5,172.7,172.4,172.5,130851
2018-11-30 14:45:00,172.5,172.5,172.05,172.05,146548
2018-11-30 14:50:00,172.05,172.2,171.75,171.95,177237
2018-11-30 14:55:00,171.95,172.1,171.7,172.0,152113
2018-11-30 15:00:00,172.0,172.05,171.9,171.9,702244
2018-11-30 15:05:00,171.9,171.95,171.9,171.95,738212
2018-11-30 15:10:00,171.9,171.95,171.85,171.9,847083
2018-11-30 15:15:00,171.95,171.95,171.7,171.8,1152716
2018-11-30 15:20:00,171.9,172.2,171.8,172.1,1035328
2018-11-30 15:25:00,172.15,172.25,172.0,172.2,580539
2018-12-03 09:15:00,173.7,173.8,171.8,172.0,742540
2018-12-03 09:20:00,171.85,171.85,170.0,170.35,668973
2018-12-03 09:25:00,170.3,171.35,170.3,170.75,280661
2018-12-03 09:30:00,170.8,173.45,170.3,172.8,1036599
2018-12-03 09:35:00,172.6,174.4,172.55,174.2,950372
2018-12-03 09:40:00,174.15,174.2,172.55,172.9,457196
2018-12-03 09:45:00,172.9,175.45,172.9,174.8,976301
2018-12-03 09:50:00,174.7,174.8,173.8,174.25,337477
2018-12-03 09:55:00,174.2,174.45,173.75,173.75,182893
2018-12-03 10:00:00,173.75,174.3,173.75,174.2,147771
2018-12-03 10:05:00,174.25,174.6,174.1,174.3,159881
2018-12-03 10:10:00,174.35,174.85,174.2,174.6,169159
2018-12-03 10:15:00,174.6,174.75,174.4,174.7,154969
2018-12-03 10:20:00,174.7,174.75,174.4,174.4,106053
2018-12-03 10:25:00,174.5,174.7,174.4,174.55,99950
2018-12-03 10:30:00,174.55,175.0,174.55,174.8,270036
2018-12-03 10:35:00,174.8,175.65,174.7,174.95,395845
2018-12-03 10:40:00,174.95,175.3,174.85,175.0,212340
2018-12-03 10:45:00,175.0,175.2,174.5,174.55,154046
2018-12-03 10:50:00,174.65,174.7,174.3,174.45,184626
2018-12-03 10:55:00,174.5,174.95,174.2,174.4,218391
2018-12-03 11:00:00,174.45,174.9,174.35,174.65,72093
2018-12-03 11:05:00,174.65,175.45,174.6,175.3,196599
2018-12-03 11:10:00,175.4,175.45,174.8,175.15,131368
2018-12-03 11:15:00,175.3,175.5,174.85,175.0,197279
2018-12-03 11:20:00,175.0,175.5,175.0,175.5,98505
2018-12-03 11:25:00,175.45,175.5,174.85,174.95,108346
2018-12-03 11:30:00,174.9,175.0,174.2,174.4,174249
2018-12-03 11:35:00,174.4,174.5,173.9,174.4,178195
2018-12-03 11:40:00,174.5,174.8,174.35,174.55,69850
2018-12-03 11:45:00,174.45,174.6,174.0,174.05,98859
2018-12-03 11:50:00,174.05,174.4,174.0,174.1,92236
2018-12-03 11:55:00,174.1,174.4,174.0,174.3,37456
2018-12-03 12:00:00,174.3,174.4,174.05,174.2,49577
2018-12-03 12:05:00,174.15,174.4,174.1,174.35,48309
2018-12-03 12:10:00,174.35,174.4,174.0,174.1,71270
2018-12-03 12:15:00,174.1,174.2,173.8,174.0,85165
2018-12-03 12:20:00,173.95,174.4,173.9,174.4,34144
2018-12-03 12:25:00,174.4,174.5,174.3,174.45,50363
2018-12-03 12:30:00,174.45,174.45,174.3,174.4,32006
2018-12-03 12:35:00,174.4,174.95,174.35,174.7,124814
2018-12-03 12:40:00,174.7,174.75,174.4,174.45,46072
2018-12-03 12:45:00,174.45,174.45,174.1,174.3,44928
2018-12-03 12:50:00,174.3,174.6,174.3,174.5,27805
2018-12-03 12:55:00,174.45,174.5,174.3,174.3,28287
2018-12-03 13:00:00,174.3,174.7,174.2,174.55,33907
2018-12-03 13:05:00,174.55,174.75,174.5,174.6,24157
2018-12-03 13:10:00,174.6,175.05,174.5,174.85,118265
2018-12-03 13:15:00,174.8,175.5,174.8,175.25,195564
2018-12-03 13:20:00,175.2,175.85,174.9,175.6,214317
2018-12-03 13:25:00,175.6,175.7,175.2,175.4,89461
2018-12-03 13:30:00,175.45,175.6,175.4,175.45,71013
2018-12-03 13:35:00,175.45,176.0,175.4,176.0,172644
2018-12-03 13:40:00,176.0,176.0,175.4,175.75,166035
2018-12-03 13:45:00,175.7,176.45,175.6,176.05,339630
2018-12-03 13:50:00,176.15,176.35,175.9,176.0,160890
2018-12-03 13:55:00,176.0,176.1,175.8,175.85,73795
2018-12-03 14:00:00,175.9,175.9,175.2,175.3,141721
2018-12-03 14:05:00,175.35,175.75,175.3,175.75,86191
2018-12-03 14:10:00,175.75,175.9,175.5,175.6,88253
2018-12-03 14:15:00,175.55,176.0,175.55,175.7,69202
2018-12-03 14:20:00,175.7,175.75,175.3,175.4,88468
2018-12-03 14:25:00,175.4,175.4,175.1,175.1,78284
2018-12-03 14:30:00,175.1,175.4,175.1,175.3,51013
2018-12-03 14:35:00,175.25,175.4,175.0,175.1,88193
2018-12-03 14:40:00,175.1,175.25,174.8,175.0,115707
2018-12-03 14:45:00,175.1,175.1,174.65,174.7,62610
2018-12-03 14:50:00,174.7,175.0,174.7,175.0,59017
2018-12-03 14:55:00,174.95,175.15,174.8,175.1,86440
2018-12-03 15:00:00,175.1,175.6,175.1,175.3,143624
2018-12-03 15:05:00,175.35,175.5,175.2,175.25,123847
2018-12-03 15:10:00,175.2,175.65,175.2,175.55,169726
2018-12-03 15:15:00,175.55,175.8,175.15,175.4,371656
2018-12-03 15:20:00,175.5,175.65,175.2,175.4,354434
2018-12-03 15:25:00,175.45,175.6,175.3,175.6,187474
2018-12-04 09:15:00,177.65,178.5,177.2,177.7,1188157
2018-12-04 09:20:00,177.7,178.7,177.6,178.2,566768
2018-12-04 09:25:00,178.25,178.5,177.4,177.4,412121
2018-12-04 09:30:00,177.4,177.85,177.25,177.85,239304
2018-12-04 09:35:00,177.8,178.25,177.35,177.45,308284
2018-12-04 09:40:00,177.45,177.6,177.0,177.25,366802
2018-12-04 09:45:00,177.25,177.4,176.75,177.4,332866
2018-12-04 09:50:00,177.4,177.6,177.1,177.2,138116
2018-12-04 09:55:00,177.15,177.5,177.0,177.1,97864
2018-12-04 10:00:00,177.05,177.2,176.55,177.1,204351
2018-12-04 10:05:00,177.0,177.15,176.75,176.75,112780
2018-12-04 10:10:00,176.8,176.95,176.25,176.65,222220
2018-12-04 10:15:00,176.55,176.9,176.35,176.8,95277
2018-12-04 10:20:00,176.8,176.95,176.6,176.65,73771
2018-12-04 10:25:00,176.65,176.95,176.5,176.95,87658
2018-12-04 10:30:00,176.85,177.2,176.8,176.85,177730
2018-12-04 10:35:00,176.85,177.1,176.85,177.0,52402
2018-12-04 10:40:00,176.95,177.45,176.95,177.35,147937
2018-12-04 10:45:00,177.4,177.95,177.2,177.3,193141
2018-12-04 10:50:00,177.25,177.45,176.9,177.0,70397
2018-12-04 10:55:00,176.9,177.0,176.7,176.85,62107
2018-12-04 11:00:00,176.8,176.95,176.6,176.6,77605
2018-12-04 11:05:00,176.6,177.0,176.6,176.8,75843
2018-12-04 11:10:00,176.8,176.85,176.45,176.8,130113
2018-12-04 11:15:00,176.8,176.95,176.55,176.75,69469
2018-12-04 11:20:00,176.75,176.9,176.55,176.7,69212
2018-12-04 11:25:00,176.7,176.9,176.65,176.75,26684
2018-12-04 11:30:00,176.75,176.8,176.5,176.6,38864
2018-12-04 11:35:00,176.6,176.85,176.5,176.85,40671
2018-12-04 11:40:00,176.85,177.2,176.7,177.0,88973
2018-12-04 11:45:00,177.05,177.3,176.9,177.2,67347
2018-12-04 11:50:00,177.15,177.2,176.8,176.9,44142
2018-12-04 11:55:00,176.85,176.95,176.6,176.65,40564
2018-12-04 12:00:00,176.65,176.7,176.1,176.65,128411
2018-12-04 12:05:00,176.65,176.75,175.85,176.25,156908
2018-12-04 12:10:00,176.2,176.45,176.1,176.4,69448
2018-12-04 12:15:00,176.4,176.4,176.15,176.35,57634
2018-12-04 12:20:00,176.3,176.6,176.3,176.5,55183
2018-12-04 12:25:00,176.5,176.55,176.3,176.4,34720
2018-12-04 12:30:00,176.4,176.45,176.25,176.35,28104
2018-12-04 12:35:00,176.3,176.4,176.0,176.05,115470
2018-12-04 12:40:00,176.05,176.25,175.7,176.15,141251
2018-12-04 12:45:00,176.15,176.6,176.15,176.4,90658
2018-12-04 12:50:00,176.4,176.75,176.3,176.35,87740
2018-12-04 12:55:00,176.35,176.55,176.2,176.5,51744
2018-12-04 13:00:00,176.5,176.65,176.25,176.4,48266
2018-12-04 13:05:00,176.4,176.45,176.2,176.25,38442
2018-12-04 13:10:00,176.25,176.35,176.05,176.15,43412
2018-12-04 13:15:00,176.15,176.15,175.85,175.9,68287
2018-12-04 13:20:00,175.9,176.2,175.8,176.05,71860
2018-12-04 13:25:00,176.1,176.1,175.45,175.65,163484
2018-12-04 13:30:00,175.65,175.75,175.35,175.65,119912
2018-12-04 13:35:00,175.65,176.1,175.65,175.8,73564
