Date,ACC-EQ O,ACC-EQ H,ACC-EQ L,ACC-EQ C,ACC-EQ V
29/03/2019,1623,1677.55,1601.2,1666.3,1424370
28/03/2019,1604,1629.4,1587,1617.8,942173
27/03/2019,1584,1614,1568.85,1602.55,1328748
26/03/2019,1583.8,1590,1555.05,1570.85,667934
25/03/2019,1566.3,1592,1563,1575.9,697053
22/03/2019,1565,1597.6,1555.25,1582.95,1223995
20/03/2019,1573.9,1577.1,1551.05,1560.2,858280
19/03/2019,1565.4,1578.45,1547.1,1565.2,634111
18/03/2019,1541.9,1560,1532.7,1548.9,655422
15/03/2019,1540.5,1559.3,1526.45,1531.85,834141
14/03/2019,1573,1585.8,1535,1539.3,717808
13/03/2019,1588,1601.4,1566.05,1571.4,893127
12/03/2019,1612.5,1626.85,1587.7,1592.45,826847
11/03/2019,1575.9,1610,1563.7,1604.25,1018321
08/03/2019,1555.15,1579.95,1545,1574.55,847268
07/03/2019,1550,1571.85,1537,1555.05,757839
06/03/2019,1533,1561.9,1533,1554.4,2035880
05/03/2019,1481.7,1536.4,1472,1531.9,1391740
01/03/2019,1422.3,1500.1,1420.3,1481.7,1200767
28/02/2019,1432.25,1436.95,1413.1,1422.3,860145
27/02/2019,1393.1,1457.3,1390.15,1425.15,1576764
26/02/2019,1365,1394,1353.05,1384.35,1019520
25/02/2019,1390.6,1392.8,1368.4,1376.15,751219
22/02/2019,1391.65,1391.65,1371.3,1383.7,576103
21/02/2019,1392,1398,1382,1389.05,517181
20/02/2019,1360,1392,1360,1382.5,706935
19/02/2019,1330,1366,1329,1353.1,732142
18/02/2019,1349,1356.95,1326,1331.7,564158
15/02/2019,1358.7,1377.55,1345.1,1352.45,605756
14/02/2019,1368,1374.85,1350.35,1360.9,619832
13/02/2019,1384,1388,1364.5,1371.4,701324
12/02/2019,1368,1383.85,1356.45,1374.9,686009
11/02/2019,1396,1399.45,1364.4,1368.3,1133028
08/02/2019,1419,1438,1388.9,1395.45,562187
07/02/2019,1407.4,1441.7,1401.55,1421.6,829367
06/02/2019,1404.7,1414,1374,1401.45,1287668
05/02/2019,1400,1436.45,1356.2,1388.8,2027916
04/02/2019,1411,1416.7,1390,1406.1,531657
01/02/2019,1416.3,1448,1401.25,1415.55,568663
31/01/2019,1391.05,1428.8,1391.05,1423.35,837929
30/01/2019,1369.5,1395,1339.4,1386.6,572247
29/01/2019,1357.2,1376.2,1347.5,1359.65,445525
28/01/2019,1376,1378.95,1346.65,1357.25,469918
25/01/2019,1427.4,1436,1365.3,1375,533516
24/01/2019,1432.9,1440,1410.1,1419.7,343178
23/01/2019,1436.35,1454,1425,1429.85,314654
22/01/2019,1429,1445.5,1418.1,1436.35,293897
21/01/2019,1444.9,1449.55,1423.85,1429.3,349933
18/01/2019,1468,1468,1435,1439.75,335850
17/01/2019,1484,1485.4,1450.3,1455.15,467164
16/01/2019,1488.7,1503,1471.55,1473.95,419240
15/01/2019,1465,1498.4,1465,1483.45,551514
14/01/2019,1461.9,1465.2,1447.05,1459.6,326989
11/01/2019,1455,1467,1450.4,1458.65,337374
10/01/2019,1455.25,1462.8,1444,1447.8,277837
09/01/2019,1484,1485,1443.25,1454.15,363164
08/01/2019,1484,1487.5,1468.4,1480.4,312812
07/01/2019,1482,1499.75,1471.8,1477.95,438357
04/01/2019,1458,1473,1437.55,1469.1,532734
03/01/2019,1483.95,1492.7,1445.4,1452.25,451970
02/01/2019,1487.85,1501.95,1477.55,1483.95,669181
01/01/2019,1516.9,1516.9,1475,1488.8,840791
31/12/2018,1486,1511.9,1470.85,1508.1,791436
28/12/2018,1465,1493,1465,1479.7,578740
27/12/2018,1499,1499,1453.85,1459.2,554317
26/12/2018,1442.3,1486,1421.1,1479.4,597239
24/12/2018,1479,1485.95,1439.35,1447.65,602271
21/12/2018,1534.9,1539,1481,1490.05,815286
20/12/2018,1538.3,1562,1528.85,1537.25,571408
19/12/2018,1516,1573,1508,1543.9,1203558
18/12/2018,1499.8,1510,1490.35,1501.25,360523
17/12/2018,1504,1513.9,1495.05,1502,314649
14/12/2018,1530.5,1541.65,1490,1497.65,904595
13/12/2018,1499.45,1512,1481.55,1500.85,513401
12/12/2018,1441.25,1489.95,1430.2,1485.2,520131
11/12/2018,1385,1439.85,1385,1432.85,449179
10/12/2018,1419.65,1432.8,1398.25,1411.8,269544
07/12/2018,1426,1447.65,1426,1443.05,306417
06/12/2018,1462,1462,1416.85,1423.8,330634
05/12/2018,1504,1506.5,1465.85,1471.15,514306
04/12/2018,1519,1529.55,1501,1508.95,405000
03/12/2018,1497,1530,1484.1,1516.8,720915
30/11/2018,1463.2,1498,1463.2,1485.5,600458
29/11/2018,1448.9,1471.3,1436.15,1463.8,994648
28/11/2018,1449.95,1456,1433.15,1436.95,510905
27/11/2018,1433.25,1454.3,1430.65,1445.15,564890
26/11/2018,1461.5,1466.55,1429,1439.1,1177139
22/11/2018,1498,1498.6,1450.65,1456.5,733505
21/11/2018,1475,1505.1,1463.2,1497.1,444633
20/11/2018,1491,1498.3,1467.3,1469.95,462997
19/11/2018,1502.6,1523.05,1481.4,1501.65,921530
16/11/2018,1516.8,1528,1492.2,1501.4,651765
15/11/2018,1478,1518,1451.75,1513.55,705817
14/11/2018,1462,1487,1450,1473.9,711063
13/11/2018,1435,1465.35,1424,1457.2,458083
12/11/2018,1464.95,1473.05,1432.05,1438.7,307104
09/11/2018,1457.4,1471.55,1450.35,1464.05,371527
07/11/2018,1460.9,1466.7,1455,1462.3,53528
06/11/2018,1479,1489.3,1441.8,1447.45,363874
05/11/2018,1447,1480.25,1420.2,1474.35,513311
02/11/2018,1412.1,1474,1411,1451.5,654747
01/11/2018,1384,1412.2,1378.1,1405.7,480091
31/10/2018,1349,1383.45,1322.55,1374.8,2838967
30/10/2018,1356.25,1366,1336.2,1344.9,627050
29/10/2018,1354,1363.45,1338.25,1350.4,992224
26/10/2018,1370,1370,1343.2,1349.65,475607
25/10/2018,1360.25,1379.9,1357.7,1367.6,725333
24/10/2018,1389.8,1407,1360,1382.3,1111875
23/10/2018,1409.9,1409.9,1375,1381,994439
22/10/2018,1424.4,1431.5,1406.6,1422.15,586762
19/10/2018,1480,1480,1409,1424.4,2009651
17/10/2018,1573,1578,1518.15,1539.7,799424
16/10/2018,1523.15,1580.95,1509.05,1553.4,885505
15/10/2018,1502.05,1530.85,1463,1523.15,809618
12/10/2018,1451.85,1509.75,1447.3,1503.2,661327
11/10/2018,1428,1446.7,1405.5,1434.8,609776
10/10/2018,1455.1,1482.6,1446.95,1463.65,615900
09/10/2018,1486,1493.9,1445.6,1465.85,522994
08/10/2018,1470,1484,1436.6,1474.65,734973
05/10/2018,1515,1519,1465.15,1478.6,897662
04/10/2018,1484,1535.25,1462,1527.9,963587
03/10/2018,1565.7,1566,1494.5,1509.7,0
01/10/2018,1556,1588.2,1522.9,1573.6,854187
28/09/2018,1568.95,1589.65,1533.35,1552.35,883949
