Date,ADANIENT-EQ O,ADANIENT-EQ H,ADANIENT-EQ L,ADANIENT-EQ C,ADANIENT-EQ V
29/03/2019,139.6,150.15,139.3,146.75,13888996
28/03/2019,138.45,143.15,136.3,137.8,3966292
27/03/2019,138.55,140.95,136.25,137.5,2778662
26/03/2019,134.9,140,133.4,138.3,4180951
25/03/2019,137,137.6,133.5,134.35,2977535
22/03/2019,140.7,141.45,137.05,138.25,3147147
20/03/2019,142,142.7,138.05,139.45,3242462
19/03/2019,144.45,144.85,140.5,142,4320808
18/03/2019,142.4,145,140.35,143.9,4934286
15/03/2019,145.8,148.9,140.25,141.85,5981701
14/03/2019,147.4,149.2,143.6,145.55,4052596
13/03/2019,148.4,150.4,145.4,147.35,5700158
12/03/2019,140.5,150.75,140.05,148.4,12543653
11/03/2019,137.85,140.95,137.6,139.05,2550759
08/03/2019,135.75,139.35,135.4,138.2,3681442
07/03/2019,139,140.95,135.3,136.9,3496617
06/03/2019,142.75,143.75,138.2,139.25,4856085
05/03/2019,132.5,143.7,132,141.8,7598974
01/03/2019,130.35,135.2,128.85,133.85,7738116
28/02/2019,133.5,134.2,128,128.85,3960957
27/02/2019,133.8,136.3,129.55,132.25,5875292
26/02/2019,130,134.3,128,132.1,8879092
25/02/2019,125,133.9,123,132,12769956
22/02/2019,120.25,130.7,119.8,128.05,14695085
21/02/2019,119.8,121,117.9,119.4,2698192
20/02/2019,117.95,121.1,116.2,120.05,3739081
19/02/2019,118.4,119.8,116.8,118.25,2644152
18/02/2019,118.3,119.9,116.1,117.5,2569451
15/02/2019,118.15,121.15,116.5,119.8,4509378
14/02/2019,118.45,119.5,116,118.1,4962697
13/02/2019,117,125.6,115.5,119.55,9784596
12/02/2019,117.2,120,115.35,116.95,3698931
11/02/2019,122.95,123.25,115.8,118.2,7048335
08/02/2019,123,125.45,115.7,123.75,8059813
07/02/2019,122.2,126.8,119.05,123.95,9826247
06/02/2019,123.85,124.2,114.8,122.9,9905219
05/02/2019,122,127.4,119.6,124.25,8484607
04/02/2019,142.9,142.9,121.3,123.1,9832462
01/02/2019,136.95,144.8,134.55,143,7091209
31/01/2019,139.5,141.75,135,137.15,3498642
30/01/2019,140.9,141.5,136.5,139.9,3102926
29/01/2019,136.45,143.8,133.6,140.8,4301493
28/01/2019,138,141,118.95,136.4,9404485
25/01/2019,142.85,145.45,136.15,137.35,3297651
24/01/2019,143,144.05,141.1,142.55,1678843
23/01/2019,145.5,146.5,142.05,143,2322990
22/01/2019,145.4,146.65,141.7,145.7,2261667
