Date,ADANIPORTS-EQ O,ADANIPORTS-EQ H,ADANIPORTS-EQ L,ADANIPORTS-EQ C,ADANIPORTS-EQ V
29/03/2019,383.3,385.75,375.55,378.15,4111008
28/03/2019,368.85,382.65,366.3,381.3,5909606
27/03/2019,367.2,371.7,364.2,366.3,2965654
26/03/2019,361.35,369.85,361.35,368.6,2657710
25/03/2019,358.9,363,353.15,361.35,3162063
22/03/2019,359.6,362,355.3,360.75,3229387
20/03/2019,367,367.55,359.5,360.6,2925322
19/03/2019,370,372,362.5,365.75,1933040
18/03/2019,365.05,375.8,365.05,369,3037029
15/03/2019,366.25,368.95,361.5,367.1,3057825
14/03/2019,367,369.2,360.2,366,1775804
13/03/2019,361.45,369.4,357.8,367.15,3888377
12/03/2019,352.55,365.15,351.6,361.05,5386817
11/03/2019,343.2,352.9,342.15,351.3,2918059
08/03/2019,340.9,342.95,338.1,342.15,2265000
07/03/2019,338,342.5,335,340.9,3047318
06/03/2019,342.5,349.2,334.05,337.05,7949482
05/03/2019,333.25,340.5,330.5,339.25,5098498
01/03/2019,328.8,334.8,327,333.2,4756894
28/02/2019,328.7,329.7,325.15,325.85,5059506
27/02/2019,326.55,332.3,322.6,325.25,5738757
26/02/2019,324,326.5,315.75,323.5,14243781
25/02/2019,329,339.55,320.6,324.55,21795407
22/02/2019,353.55,358.6,352.7,354.3,1719606
21/02/2019,352.1,359.25,350.8,355.75,4089677
20/02/2019,342,356.35,340.95,354.75,4885571
19/02/2019,347.5,348.5,337.55,339.55,3300497
18/02/2019,348,352.9,345.55,347.3,6875440
15/02/2019,347.55,352.9,347.3,350.15,7728519
14/02/2019,342,352.2,340.05,349.1,6612759
13/02/2019,328.15,349.45,328.15,341.65,17852712
12/02/2019,328.8,329.95,323.25,326.8,4496913
11/02/2019,332.95,333.95,318.4,328.8,3783848
08/02/2019,333,336.5,328,331.5,2915806
07/02/2019,330.55,336.35,322.6,332.35,4871712
06/02/2019,338.8,341.8,318.85,330.35,6687853
05/02/2019,333.1,340.95,330.75,339.8,3262960
04/02/2019,337.25,338.8,329.05,335.65,4517829
01/02/2019,339.9,346.8,333.35,338.45,3119675
31/01/2019,339.9,341.7,330.2,338.65,6403921
30/01/2019,349.05,349.05,335.6,338.15,7672859
29/01/2019,330,354.6,327.6,349.25,9816333
28/01/2019,374.95,375.35,292.1,326.1,15177384
25/01/2019,382.5,383.75,372.25,373.85,4760625
24/01/2019,386,386.5,377.6,380.95,3633336
23/01/2019,390,392,383.6,385.2,3653992
22/01/2019,393.4,394.7,387.1,390.6,3328908
21/01/2019,397.5,402.7,392.1,396.2,2563705
18/01/2019,396.5,399.95,392.25,399.3,3617922
17/01/2019,391.2,395.45,386.5,394.5,4156932
16/01/2019,385.3,390.7,379.2,389.3,2847403
15/01/2019,375,386,375,385.15,1965520
14/01/2019,377,377,372.4,374.45,927301
11/01/2019,380.3,381,375.1,377.15,1829555
10/01/2019,377.95,381.8,376.95,380.25,1286641
09/01/2019,382,382,373.3,377.3,1166498
08/01/2019,383,383,375.75,378.75,2154121
07/01/2019,385,386.95,379.35,381.65,1260331
04/01/2019,378.65,383.95,375.85,382.15,1669709
03/01/2019,382.4,385.3,376.6,378.1,1902063
02/01/2019,388,388.95,378,381.3,1506543
01/01/2019,386.3,390.9,384.05,389,1233249
31/12/2018,387.2,389.95,385.65,387.7,2062181
28/12/2018,384.95,390.75,384,387.4,3282766
27/12/2018,379.25,385.8,373.65,384,5043675
26/12/2018,360.2,378.5,357.5,376.55,4519020
24/12/2018,361.25,366.75,358.3,361.1,2268806
21/12/2018,374.3,379.5,359.15,361.1,10909545
20/12/2018,374.2,376.85,369,375.15,2746343
19/12/2018,373.9,377.35,372,375.85,1607147
18/12/2018,369,374.35,365,372.9,2687027
17/12/2018,369.15,377.6,369.15,371.4,3175781
14/12/2018,370,371.15,367,368.6,2380991
13/12/2018,374.9,376.45,370,371.05,2369770
12/12/2018,357,376.15,355.55,374.45,2845017
11/12/2018,347,363.55,347,355.75,6177739
10/12/2018,360.1,365.5,357.6,359.15,2917295
07/12/2018,364.8,374.6,363.75,373.45,3286454
06/12/2018,372.9,375.3,362.6,363.95,6200377
05/12/2018,375,376.75,372.7,374.75,4847267
04/12/2018,374.45,375.65,370.65,373.8,2615507
03/12/2018,367.45,379.9,365,375.65,4303979
30/11/2018,369.8,374.6,363.6,365.65,4137466
29/11/2018,366.5,371.35,363.2,369.8,3425961
28/11/2018,368.2,369,362.25,365.4,2583045
27/11/2018,368.45,373,363.2,369.05,4995025
26/11/2018,368.45,370.4,356,369.05,3906643
22/11/2018,359.35,370.9,359.35,368.15,4446824
21/11/2018,355.25,362.85,352.55,361.25,3161864
20/11/2018,349.85,357.55,347,355.25,5778336
19/11/2018,348.2,352,342.4,350.55,2321979
16/11/2018,346,351.4,342,347.45,3619678
15/11/2018,334,347.85,330,346.2,5293256
14/11/2018,335.3,337,329.5,332,2981090
13/11/2018,327.65,335,324.7,334.1,1738296
12/11/2018,339,344.7,327.3,328.65,3573699
09/11/2018,328,338.85,326.15,337.6,3522988
07/11/2018,329,329,324.35,326.2,301934
06/11/2018,331,337.45,323.15,325.6,5044028
05/11/2018,334.45,334.45,326.7,329.55,3085488
02/11/2018,321.7,340.15,319.4,333.6,7387791
01/11/2018,322.7,326.6,313.9,318.3,5167082
31/10/2018,324.6,324.95,313.25,318.85,6383757
30/10/2018,324,335.4,320,322.6,4301781
29/10/2018,305.1,327.95,303,326.4,5379930
26/10/2018,307,310.55,301.45,304.1,4704344
25/10/2018,311.9,312.9,298.7,305.6,4584103
24/10/2018,325,329.4,307.4,314.15,7675048
23/10/2018,317.35,320.7,311,319,3893139
22/10/2018,318.7,324.9,308.95,315.4,4606057
19/10/2018,313.95,320.25,305.35,315.35,2731598
17/10/2018,337.5,339.3,309.6,313.9,3323311
16/10/2018,323.4,335.8,321.9,333.35,4764262
15/10/2018,326,326.4,315.15,321.25,1925052
12/10/2018,317,327.85,317,323.15,2428109
11/10/2018,320,324.85,311.1,313.5,2739752
10/10/2018,318.7,332.9,316,327.1,2734052
