Date,ALBK-EQ O,ALBK-EQ H,ALBK-EQ L,ALBK-EQ C,ALBK-EQ V
29/03/2019,54.9,55.8,54.3,54.6,6897143
28/03/2019,52.35,55.4,52.35,54.9,14055512
27/03/2019,51.6,52.6,51,52.35,8744407
26/03/2019,52.55,53.6,50.6,50.95,15077891
25/03/2019,53.75,53.75,52.2,52.55,5527866
22/03/2019,55.55,55.75,53.95,54.4,5993205
20/03/2019,55.95,56.25,54.45,55.45,8457402
19/03/2019,56.65,57.45,55.6,56.2,10097616
18/03/2019,55.7,56.25,54.8,55.75,6390505
15/03/2019,55.2,56.85,54.9,55.5,8046399
14/03/2019,54.5,56.05,54.05,55.2,8298595
13/03/2019,55.4,55.55,53.95,54.4,8095422
12/03/2019,57.55,58.45,54.25,55.6,10040281
11/03/2019,57.4,59,56.7,57.85,12345532
08/03/2019,54,58.4,53.75,57.6,29133782
07/03/2019,51.25,56,50.75,54.85,17007492
06/03/2019,52.3,53.2,50.8,51.45,8059766
05/03/2019,50,52.6,49.4,52.3,11317569
01/03/2019,48.15,50.95,47.55,50.3,13711530
28/02/2019,47,48.95,46.4,48,18683211
27/02/2019,45,47.9,45,47.4,27796648
26/02/2019,44.35,45,43.2,44,6938443
25/02/2019,45.25,45.85,44.7,45.05,4692895
22/02/2019,46,46.5,44.85,45.85,9316749
21/02/2019,48.6,48.6,45.15,46.3,24518586
20/02/2019,41.95,45,41.3,44.2,6023961
19/02/2019,41.05,42.5,40.8,41.55,2326021
18/02/2019,41.9,41.95,40.85,41.45,1937824
15/02/2019,43.4,43.4,41.2,42,4582466
14/02/2019,41.6,44.95,40.5,43.8,5091425
13/02/2019,38.9,42.5,38.65,41.65,5415500
12/02/2019,40,40,38.95,39.25,2805526
11/02/2019,41,41.95,39.15,39.85,4831183
08/02/2019,42.25,42.4,40.5,41.05,4461784
07/02/2019,42.05,43.75,41.65,42.6,9596358
06/02/2019,42.5,43.1,40.2,42.35,6712425
05/02/2019,43.25,43.7,41.8,42.45,3099175
04/02/2019,43.2,44.25,42.9,43.55,2481746
01/02/2019,45.85,46.1,43.5,44.4,4853011
31/01/2019,45.1,46.15,44.8,45.15,9523555
30/01/2019,43.9,45.25,43.7,44.9,4059691
29/01/2019,42,44.5,41.9,43.9,4177910
28/01/2019,43.6,43.75,42.05,42.3,2927614
25/01/2019,43.2,44.3,42.95,43.4,2882673
24/01/2019,41.7,43.3,41.6,43.15,3527376
23/01/2019,42.55,42.95,41.8,42.05,2156793
22/01/2019,42.3,42.7,41.95,42.45,3799355
21/01/2019,43.8,43.85,42.1,42.65,2777961
18/01/2019,44.6,44.6,43.55,43.8,2404477
17/01/2019,44.65,44.9,44,44.45,2810926
16/01/2019,43.75,45.15,43.7,44.45,3582394
15/01/2019,44.8,44.95,43.7,43.95,3135010
14/01/2019,44.5,44.8,43.8,44.45,3113738
11/01/2019,45.9,46.1,44.2,44.55,4743866
10/01/2019,46.25,46.45,45.45,45.85,2154212
09/01/2019,47.8,47.9,45.55,46.1,6058968
08/01/2019,46.4,47.75,45.95,47.55,4471891
07/01/2019,47.15,47.2,45.9,46.15,2566539
04/01/2019,45,46.9,44.5,46.7,4797419
03/01/2019,45,45.6,44.4,44.7,3144119
02/01/2019,46.7,47,44.85,45,4612405
01/01/2019,46.6,46.85,45.9,46.7,3600205
31/12/2018,46.95,47.3,46,46.1,3134007
28/12/2018,46.55,47.45,46.3,46.85,3944710
27/12/2018,46.5,46.65,45.5,46.45,4358492
26/12/2018,45.2,46.45,44,46.05,6458966
24/12/2018,46.45,46.55,45.2,45.8,5383002
21/12/2018,47.5,47.7,46.2,46.65,8247101
20/12/2018,48.4,49.85,45.5,46.5,9787077
19/12/2018,46.5,49.1,46.4,48.4,7353165
18/12/2018,45.5,47.3,45.2,46.4,4535097
17/12/2018,46.55,46.7,45.5,45.8,2444994
14/12/2018,46.45,46.9,45.85,46.55,3105506
13/12/2018,46.5,48.05,45.65,46.3,7532575
12/12/2018,44.95,46.7,44.7,46.3,6832216
11/12/2018,43.1,44.9,43.1,44.3,5609738
10/12/2018,42.05,44.45,41.95,44.2,5320109
07/12/2018,45.1,45.4,42.35,43.1,6692958
06/12/2018,45,46.55,44.55,44.85,5059083
05/12/2018,46.95,47.45,45.35,45.7,3382975
04/12/2018,48.5,49.05,47.1,47.35,3573282
03/12/2018,48.55,49.3,47.75,48.85,4625400
30/11/2018,47.3,49.4,46.8,48.55,9112603
29/11/2018,47.4,47.7,45.85,47.35,4526696
28/11/2018,47.75,48.25,46.65,47.1,6987652
27/11/2018,45.6,48.05,45.2,47.5,7437587
26/11/2018,45.2,46.15,44.25,45.5,4048072
22/11/2018,45.05,45.65,44.5,45.15,5170117
21/11/2018,44.7,45.45,44.35,44.95,6265119
20/11/2018,42.5,44.9,42.1,44.65,11631687
19/11/2018,43.4,44.45,42.6,43.55,6466618
