Date,AMBUJACEM-EQ O,AMBUJACEM-EQ H,AMBUJACEM-EQ L,AMBUJACEM-EQ C,AMBUJACEM-EQ V
29/03/2019,234.9,236.2,230.4,235.3,4804146
28/03/2019,232.3,234.9,227.5,231.85,5196003
27/03/2019,233,238.25,230.4,232.25,4639012
26/03/2019,228.45,232.2,228.4,231.4,2582780
25/03/2019,229,232.2,226.3,229.35,2495275
22/03/2019,228.75,233.4,227.4,229.85,2103761
20/03/2019,230.9,230.95,226.8,227.45,1640049
19/03/2019,226.55,231.35,226.55,229.85,1620753
18/03/2019,226.9,229.55,225,226.45,1524697
15/03/2019,223.9,229.5,223.55,225.35,3226639
14/03/2019,230,232.95,223.65,224.15,2916976
13/03/2019,234,235.6,228.6,229.8,3736991
12/03/2019,233.75,237.1,232.35,233.15,6903177
11/03/2019,226.75,234.7,226.45,233.3,4030315
08/03/2019,221.3,227.1,220.55,226.15,2803088
07/03/2019,221.5,224.9,219.15,221.2,6193867
06/03/2019,222.9,226.4,219.55,220.25,4240764
05/03/2019,218,223.35,217.65,222,2838170
01/03/2019,212.95,219.3,212.75,217.45,1389426
28/02/2019,215.25,216.4,210.7,212.05,5667560
27/02/2019,212.1,219.3,209.15,213.95,2325569
26/02/2019,208.25,213,207.4,212.35,1651331
25/02/2019,211.85,212.45,209,210.1,1323218
22/02/2019,209.95,211.45,208.15,210.95,1375220
21/02/2019,206.9,210.5,205.5,209.6,2197983
20/02/2019,199.6,207.8,199.6,206.8,3528149
19/02/2019,198.6,202.8,196.65,199.6,12045263
18/02/2019,204.05,204.8,196.6,198,4557434
15/02/2019,203.7,205.95,200.5,204.8,1516899
14/02/2019,205.95,207.55,203.1,204.4,1234816
13/02/2019,208.35,210.25,205.05,205.95,1736762
12/02/2019,207.55,209,203.75,207.45,1731437
11/02/2019,213.3,213.7,206.8,207.6,1168695
08/02/2019,215.65,217.4,212.1,213.25,1071280
07/02/2019,214.05,218.6,213.5,214.95,1560735
06/02/2019,210.3,215.55,208.65,214.5,2419386
05/02/2019,212.1,215.3,206.05,209.25,1990920
04/02/2019,212,213,207.8,212.5,816759
01/02/2019,210.8,215.35,209.6,212.5,3350137
31/01/2019,205.7,212,204.45,209.9,7669625
30/01/2019,201.85,205.8,198.5,204.65,1461921
29/01/2019,198.7,204.75,198.3,200.85,2643774
