Date,APOLLOHOSP-EQ O,APOLLOHOSP-EQ H,APOLLOHOSP-EQ L,APOLLOHOSP-EQ C,APOLLOHOSP-EQ V
29/03/2019,1195.4,1252.6,1189,1227.6,1775463
28/03/2019,1154,1188,1154,1182.95,693131
27/03/2019,1163,1178.1,1150.05,1153.75,486185
26/03/2019,1146,1160,1138.95,1151.9,434281
25/03/2019,1149,1160.85,1134.45,1147.05,467825
22/03/2019,1173.25,1182.15,1144,1150.6,754339
20/03/2019,1147.7,1180.1,1135,1166,1269611
19/03/2019,1121.85,1144.95,1121.85,1139.9,398908
18/03/2019,1126.4,1139.9,1115,1119.65,353486
15/03/2019,1138,1152.9,1110,1124.15,731215
14/03/2019,1123,1143.4,1116.1,1131.95,717230
13/03/2019,1160,1166.05,1092,1117.6,1797280
12/03/2019,1211.9,1211.9,1132.7,1157.25,1370850
11/03/2019,1172.5,1211.8,1172.5,1204.05,938550
08/03/2019,1186,1188.45,1167,1171.9,268170
07/03/2019,1195.35,1202,1179.3,1186.95,642857
06/03/2019,1186.9,1212.85,1183.5,1192.75,1679631
05/03/2019,1159.8,1195,1146.8,1191.9,564049
01/03/2019,1140.1,1165.85,1140,1151.85,904319
28/02/2019,1155.05,1160,1137,1140.9,695585
27/02/2019,1166,1179.9,1140.7,1149.3,1037445
26/02/2019,1175.6,1177.05,1148,1157.35,1071336
25/02/2019,1145.9,1198,1131.4,1187.45,1374338
22/02/2019,1145,1155.5,1139.6,1146.2,511047
21/02/2019,1135,1158,1127,1152.2,1308447
20/02/2019,1127,1143.4,1120,1129.6,1188434
19/02/2019,1125,1146.7,1112.1,1116.4,969990
18/02/2019,1143,1149.15,1083.1,1116.85,1323161
15/02/2019,1142.1,1152.1,1130,1142.8,386448
14/02/2019,1155.5,1169.95,1126.85,1152.35,708081
13/02/2019,1154,1164.65,1135.35,1149.8,989560
12/02/2019,1133,1189.9,1101.1,1132.25,4732005
11/02/2019,1300,1300,1090,1121.9,5424327
08/02/2019,1298.5,1298.5,1252.1,1257.85,581292
07/02/2019,1304.05,1319,1290.1,1295.85,305098
06/02/2019,1298,1315,1287.9,1304.05,410854
05/02/2019,1300,1309.8,1282,1290.85,423344
04/02/2019,1335,1336.9,1278.5,1296.75,548166
01/02/2019,1320,1357.9,1320,1341.25,530789
31/01/2019,1315,1334,1313.35,1325.65,471658
30/01/2019,1299,1323,1297.5,1319.6,315858
29/01/2019,1259,1306.75,1254,1299.65,463118
28/01/2019,1287,1302.1,1262.65,1265.8,254670
25/01/2019,1321.2,1331.9,1280.85,1292.3,571327
24/01/2019,1310,1339.75,1294.2,1314.65,831256
23/01/2019,1296.9,1317,1284.05,1293.85,671259
22/01/2019,1316.1,1323,1288.5,1293.8,1100328
21/01/2019,1366.3,1387.25,1315.55,1326.05,1293001
18/01/2019,1350,1372.9,1335.05,1366.3,702678
17/01/2019,1344.9,1358.65,1341.25,1352.95,420061
16/01/2019,1328.2,1354,1328.1,1347.6,513687
15/01/2019,1323.35,1334.9,1317.2,1329.15,466539
14/01/2019,1289.8,1328.45,1282,1322.6,887486
