Date,APOLLOTYRE-EQ O,APOLLOTYRE-EQ H,APOLLOTYRE-EQ L,APOLLOTYRE-EQ C,APOLLOTYRE-EQ V
29/03/2019,219.6,224.25,217.65,222.75,3651213
28/03/2019,213.3,219.9,212.75,217.45,1865135
27/03/2019,214.8,217.5,213.05,214,1548540
26/03/2019,212.95,214.4,210,213.45,2734381
25/03/2019,214.9,215.4,211.4,212.4,1824816
22/03/2019,221,222.8,215,215.75,1498576
20/03/2019,221.15,223.75,219.6,220.55,1930121
19/03/2019,218.05,222.45,215,221,2939295
18/03/2019,222.4,224,217.05,217.95,2014211
15/03/2019,223.2,225.15,221.1,222.25,2591655
14/03/2019,226.6,226.85,220.05,223,2363806
13/03/2019,235,235,224.5,225.45,9846829
12/03/2019,219.25,228.2,219,226.8,3085459
11/03/2019,212.8,219.05,212.35,217.65,4214398
08/03/2019,215.4,216.85,211.5,212.3,1554812
07/03/2019,219.85,220,216,216.5,1750522
06/03/2019,224.2,225,218.65,219.45,2297209
05/03/2019,220,224.4,219,223.1,2949672
01/03/2019,218.5,220.35,217.3,219.9,1763953
28/02/2019,215.15,218,212.65,217.45,3454722
27/02/2019,210.95,216.5,210.65,213.85,2532635
26/02/2019,211,211.5,206.45,209.65,3339902
25/02/2019,211.05,214.4,210.25,211.25,2445738
22/02/2019,210,211.15,206.2,210.15,2463708
21/02/2019,209.95,211.5,207,208.95,2324645
20/02/2019,203.2,210.9,203.2,209.1,3626848
19/02/2019,202.5,208.95,201.55,202.4,2764354
18/02/2019,200.5,203.8,199.65,202.7,1647484
15/02/2019,202.8,202.9,196.7,200.4,2385065
14/02/2019,198.2,204.35,197.45,202.7,2090637
13/02/2019,201,203.85,198.5,199.5,2357127
12/02/2019,202,205.15,199.25,200.9,1566055
11/02/2019,202.15,204.85,200.2,201.7,1741712
08/02/2019,206.2,209.9,202,203.15,2519281
07/02/2019,199.8,208.6,197.5,207.45,3735779
06/02/2019,201.9,202.85,193.8,199.15,3309459
05/02/2019,200.15,205.4,196.35,202.5,6299857
04/02/2019,208,208.05,197.3,200.15,2328060
01/02/2019,204.65,210.75,203.6,207.85,1670882
31/01/2019,205.3,205.3,199.3,204.35,1795751
30/01/2019,202.9,206.6,201.3,203.3,1409006
29/01/2019,207,208.75,199.65,203.05,3260886
28/01/2019,208.35,212.4,207.8,209.65,1887429
25/01/2019,217.5,218.7,208.75,210.75,2218748
24/01/2019,218.8,219.05,216,216.8,802132
23/01/2019,219.05,219.9,217,218.4,995406
22/01/2019,215.6,220.3,214.55,219,1885675
21/01/2019,217.8,219.6,215.5,216.6,915690
18/01/2019,219.5,221,217.5,217.9,1519378
17/01/2019,218.85,221.85,217.7,218.4,2694921
16/01/2019,222.3,227.4,217.25,218.85,3263101
15/01/2019,224,225.5,222.6,223.2,2219716
14/01/2019,225.5,225.5,222,223.4,1067341
11/01/2019,227,227.45,224.7,225.95,870820
10/01/2019,223,228.2,222,227.25,1371920
09/01/2019,230.3,230.3,223,223.4,1830077
08/01/2019,230,232.35,228.05,228.8,1285634
07/01/2019,234.85,234.9,229.45,230.15,929054
04/01/2019,228,234.25,226.15,233.4,1540427
03/01/2019,230,232.55,227.35,227.85,1183802
02/01/2019,233,235.25,229.25,230.85,1983510
01/01/2019,236.5,236.5,232.6,234.4,1125991
31/12/2018,235.1,237.5,233.8,235.95,1888044
28/12/2018,232.5,236.5,231.8,234.5,1568629
27/12/2018,234.45,235.3,230.1,231.05,1916532
26/12/2018,227,235.25,225.6,233.35,2417738
24/12/2018,230.25,233.5,225.3,229.05,4165981
21/12/2018,243,243,232.1,233.4,3965309
20/12/2018,241.35,244.85,238.2,239.55,6293860
19/12/2018,237.1,240.2,236.8,239.65,2910445
18/12/2018,234.7,242.3,233.2,235.55,4136850
17/12/2018,235,236.6,231.7,234.8,1484694
14/12/2018,235,237.35,230.5,235.1,2118894
13/12/2018,239.7,239.7,233,234.45,1430472
12/12/2018,233.4,240,232.5,237.85,1755281
11/12/2018,221.05,234.95,221.05,233.7,1980032
10/12/2018,223.6,226.25,220.75,225,1835010
07/12/2018,226.9,228.15,222.55,226.4,2388836
06/12/2018,226,226.95,222.45,225.15,1153486
05/12/2018,232.8,235.35,226.1,228.1,2123955
04/12/2018,234.55,236.85,230.4,232.65,1822163
03/12/2018,242.35,242.35,233.5,234.95,2285274
30/11/2018,236.95,240.3,234.35,239.05,2180338
29/11/2018,238.15,241,234.5,236,8069235
28/11/2018,230.1,237.35,230.1,236.3,8415614
27/11/2018,223.25,231,222.15,230.1,4816417
26/11/2018,219.95,225,218.6,224.2,3812986
22/11/2018,227.95,227.95,216.7,218.75,3826219
21/11/2018,227.95,231.75,224.8,225.45,6062909
20/11/2018,229,229.8,224.65,225.3,2820381
19/11/2018,226.6,229.9,222.9,229.15,2500442
16/11/2018,229,231.4,224.1,226.25,2715552
15/11/2018,223.75,231.2,219.15,230,3354365
14/11/2018,226,230.5,221,223.35,7305882
13/11/2018,214.9,224.5,212,222.6,10096359
12/11/2018,221.1,222.2,213.8,214.6,2200263
09/11/2018,220.8,224.3,218.7,221.05,2660337
07/11/2018,214.85,221.2,213.2,220.25,1142635
06/11/2018,216.75,219.9,211.9,212.75,2272040
05/11/2018,220.5,222.05,213.85,215.2,1515633
02/11/2018,222,229.5,219.1,220.7,4362130
01/11/2018,220,223.4,216.8,218.4,1269156
31/10/2018,216.05,219.9,209.6,218.8,1582761
30/10/2018,215.2,219.7,213.6,215.05,2383136
29/10/2018,208,216,204.95,214.95,1684170
26/10/2018,202.9,213.45,200.4,207.55,3171759
25/10/2018,201.5,208.85,199.2,207.05,3043270
24/10/2018,201.1,206.6,200,205.05,3257357
23/10/2018,204.1,208,192.05,196.25,6821891
22/10/2018,208.65,209.55,205.65,206.3,1467975
19/10/2018,209.5,211.9,204.5,206.3,2104200
17/10/2018,222.3,223.95,208,209.3,2346918
16/10/2018,218.8,222.8,216.95,220.3,2053978
15/10/2018,219.7,219.7,212.9,216.6,1811281
12/10/2018,209,219,209,217.05,3747478
11/10/2018,208,211.65,204.95,206,1980808
10/10/2018,201.6,215.65,201.6,214.35,3138955
09/10/2018,206.2,208,199.65,201.4,3482398
08/10/2018,195.9,207.45,193.9,205.25,3261159
05/10/2018,201.25,204.2,194,198,2951857
04/10/2018,200.8,205.45,198.5,203.3,2991297
03/10/2018,210,214.45,205.25,206,3624093
01/10/2018,211,215.4,202.8,213.1,4267809
28/09/2018,216.05,221.95,205.55,212.25,7769507
27/09/2018,233,236.3,220.15,222.05,6857884
26/09/2018,235,235,226.55,228.3,2397083
25/09/2018,225.7,235.1,222.15,231.1,2889656
24/09/2018,231.3,233.2,223.3,226.1,2291403
21/09/2018,242.6,243.65,216.5,231.2,5453773
19/09/2018,241,241.8,236.3,239.85,2286893
18/09/2018,243.35,244.65,238,238.85,2947278
17/09/2018,240.45,245,236.5,243.55,2939173
14/09/2018,234,242.45,232.3,241.6,5074936
12/09/2018,231.95,233,225.55,230.6,4642573
11/09/2018,238.2,242.85,229,230.75,4318217
10/09/2018,247,250.8,235.7,241.25,1994669
07/09/2018,246.2,250.5,245,247.75,2248742
06/09/2018,246,247,242.5,245.95,1624909
05/09/2018,240,245.5,237.2,244.35,3165366
04/09/2018,250,251,239.75,241.15,4263761
03/09/2018,252,254.5,248.8,250.3,1674997
31/08/2018,251.4,254.85,250.65,251.4,2067525
30/08/2018,252,252,248.7,250.55,4947003
29/08/2018,255,256.8,249.4,250.5,3213653
28/08/2018,264.1,265,252.5,253.85,6296138
27/08/2018,264,266,261.45,263.75,2527938
24/08/2018,259,264.3,257.1,260.7,3052623
23/08/2018,263,263,255.7,259.25,3566372
21/08/2018,258,264.8,257.55,262.6,6870652
20/08/2018,264.6,266.5,261.2,261.85,4447592
17/08/2018,266.25,269,264.3,266.7,1804401
16/08/2018,265.5,267.4,261.65,263.45,2679639
14/08/2018,262.1,267.5,262,266.95,3368667
13/08/2018,262,265.6,260.05,261.55,2026369
10/08/2018,271,272.05,263.1,264,2584615
09/08/2018,273,276,270.1,271.3,2781246
08/08/2018,277,277.8,271.5,272.55,2127601
07/08/2018,275,278,272.5,276.8,3620771
06/08/2018,287.3,288.05,273.1,275.9,5083429
03/08/2018,288.35,290.65,285,286.65,2113372
02/08/2018,292.9,294.4,285,286.25,3627740
01/08/2018,294.95,299.5,287.55,291.6,11145442
31/07/2018,291.4,296.1,287.15,292.8,4015896
30/07/2018,289.9,293,286.05,289.45,2175750
27/07/2018,286.3,293.7,283.45,290.4,2773138
26/07/2018,277,290,277,286.85,7421999
25/07/2018,274,282.95,270.8,276.85,3236167
24/07/2018,276.05,280.45,270.5,274.35,2616286
23/07/2018,280,280.2,269.5,275.9,3385991
20/07/2018,277.15,289.8,274.35,280.3,5049006
19/07/2018,274.95,284,270.25,279.75,2616046
18/07/2018,276.95,276.95,269.5,272,2547022
17/07/2018,268,279.35,266.85,277.25,2864129
16/07/2018,268,270,263.5,268.25,1688534
13/07/2018,266.25,270,258.25,269,2456357
12/07/2018,268.5,272,265.05,265.75,2340177
11/07/2018,266.65,268.75,261.6,264.8,1736695
10/07/2018,260,267.75,260,266.7,1943253
09/07/2018,263,266.75,261.2,262.1,3349316
06/07/2018,251.75,262.95,251.1,261.5,3592025
05/07/2018,254.8,256.4,251,252.05,1262640
04/07/2018,251.9,254.15,246.65,253.3,2113615
03/07/2018,252.65,255.6,250.5,251.65,1929833
02/07/2018,255,258.35,251.3,252.4,1810125
29/06/2018,254.5,258.85,250.75,254,2401324
28/06/2018,255.8,260.9,246.35,254.65,3890653
27/06/2018,264.85,266.4,257.85,259.75,1539547
