Date,ARVIND-EQ O,ARVIND-EQ H,ARVIND-EQ L,ARVIND-EQ C,ARVIND-EQ V
29/03/2019,92.4,92.5,90.2,90.95,3181087
28/03/2019,88.4,92.5,88.35,91.85,4215414
27/03/2019,90.65,91.15,86.9,87.95,4318703
26/03/2019,85.15,90.25,84.9,89.65,5510848
25/03/2019,86.6,86.6,84.4,84.9,2040425
22/03/2019,89.9,90.7,86.5,87.05,2383807
20/03/2019,92.15,92.8,89.25,89.9,2540464
19/03/2019,93.4,93.4,90.9,92.15,3918005
18/03/2019,96.2,96.2,90,92,3789814
15/03/2019,94.95,96.6,94.5,95.75,6368305
14/03/2019,92.3,96.5,91.3,94.65,8960679
13/03/2019,93.35,93.75,90.4,92.2,7496345
12/03/2019,88.45,94.3,86,93.35,10049823
11/03/2019,84.55,87.95,84.4,87.4,6052283
08/03/2019,89.75,89.75,82.65,83.95,13451763
07/03/2019,87,90.75,85.45,89.3,9845285
06/03/2019,85.35,86.7,84.75,85.55,2602946
05/03/2019,83.6,85.9,82.6,85.25,4988436
01/03/2019,76.55,83.75,76.35,83.1,10232121
28/02/2019,76.85,76.85,75.1,75.6,2315639
27/02/2019,75,78.15,74.9,75.85,3301938
26/02/2019,75,75.3,72.8,74.25,2383455
25/02/2019,75.3,76.15,74.3,75.55,1720378
22/02/2019,77.5,77.5,74.05,75,5712509
21/02/2019,76.6,77.95,76.1,77.3,1057593
20/02/2019,76.45,77.15,76.15,76.65,881511
19/02/2019,76.35,77.1,75.3,76.2,1206113
18/02/2019,78,78.15,76.1,76.35,1046693
15/02/2019,81,81.2,76.9,77.65,1827958
14/02/2019,78.35,81.8,76.65,81.15,1439605
13/02/2019,80.6,81.1,77.85,78.3,1341567
12/02/2019,79,80.85,78.75,80.2,1381895
11/02/2019,81.1,82.3,78.75,79.45,2295080
08/02/2019,80.5,84,80.05,81.35,2229420
07/02/2019,83.5,85.9,78.1,81.5,5265164
06/02/2019,85.5,86,81.75,83.3,1448880
05/02/2019,87.45,87.75,84.35,85.3,1183497
04/02/2019,88.15,88.7,86.5,87.65,1267516
01/02/2019,88.5,89.4,87.05,88.45,1493066
31/01/2019,91.35,91.95,88,88.15,2464301
30/01/2019,89.5,91.6,89.1,91,1023539
29/01/2019,87,90.25,87,89.45,1430801
28/01/2019,86.4,89,84.8,88.15,2300645
25/01/2019,90,90.4,85.75,86.75,1792348
24/01/2019,91.3,91.3,89.15,89.55,1018072
23/01/2019,91,92.4,90.55,91.1,1112156
22/01/2019,93,93.95,90.45,91.05,1738896
21/01/2019,93.1,94,91.8,92.35,868693
18/01/2019,94.6,95.2,92.8,93.1,914293
17/01/2019,96.25,96.45,93.85,94.45,1310234
16/01/2019,95,96.7,95,96.4,2313379
15/01/2019,95.4,95.6,94.05,95.1,1972590
14/01/2019,97.6,97.8,93,95.05,3777134
11/01/2019,98.7,100.95,96.6,97.55,8434749
10/01/2019,96,98.85,96,98.3,1673935
09/01/2019,96.8,97.25,95.9,96.45,1387765
08/01/2019,96.5,97.55,95.5,96.4,1158375
07/01/2019,97.05,97.7,95.55,96.1,908212
04/01/2019,95.5,97.2,93.25,96.55,2363156
03/01/2019,96.5,97.4,94.75,95.1,2130504
02/01/2019,98,98.65,96.05,96.3,1421931
01/01/2019,97.95,99.1,97.05,98.4,1507945
31/12/2018,98.2,98.7,97.3,97.8,1260606
28/12/2018,96.9,98.35,96.75,97.6,1866544
27/12/2018,98.1,98.1,96,96.35,2313882
26/12/2018,98.3,99,95.5,97.1,2801614
24/12/2018,99,99.5,97.8,98.55,1894228
21/12/2018,99.9,100.5,98.1,98.6,3337926
20/12/2018,100.35,101.4,99.05,99.65,2908809
19/12/2018,99,101.55,98.5,100.9,4317964
18/12/2018,99,100.05,97.5,98.25,4257935
17/12/2018,100.45,100.9,98.6,98.95,2739688
14/12/2018,102.2,102.3,99.15,99.9,5440999
13/12/2018,103.65,104.45,100.8,101.9,5248626
12/12/2018,101,105.15,100.5,102.2,7360689
11/12/2018,98.8,101.55,97.95,100,4204165
10/12/2018,98.8,101.2,98.1,100.05,6342458
07/12/2018,101.35,102.55,98.8,100.3,7558009
06/12/2018,103.2,103.4,99.35,100.25,8756493
05/12/2018,101,107.15,100.3,103.7,20682971
04/12/2018,102.4,102.85,99.65,100.75,5823496
03/12/2018,103.2,105,101.5,102.1,6408976
30/11/2018,102,104.75,100.2,102.9,13268509
29/11/2018,111.4,111.85,100.2,102.7,29004604
28/11/2018,109.45,119.85,90.25,108.6,100438649
27/11/2018,308,316.8,301.3,311.05,12920518
26/11/2018,324.9,324.9,306.25,307.8,6010571
22/11/2018,321.3,326.9,319.15,320.25,4977493
21/11/2018,322,322,313.15,319.05,3224820
20/11/2018,316.85,323.25,315.1,318.65,2886552
19/11/2018,320.9,323.25,315.1,317.75,2675589
16/11/2018,313,321.9,304.15,319,5338985
15/11/2018,312.2,319.1,309,310.9,2686118
14/11/2018,314,316.8,307.75,312.45,1667357
13/11/2018,310,313.75,303,311.4,2588073
12/11/2018,321,323.55,311.2,312.65,1341782
09/11/2018,321,325.55,318.45,319.95,1521571
07/11/2018,318.1,321,316.8,318.65,292654
06/11/2018,323.3,325,315,316.8,1376082
05/11/2018,326.8,330,317.1,320.35,2053904
02/11/2018,347,347.95,325.05,326.85,4236818
01/11/2018,343.5,355.95,336.8,345.4,5351260
31/10/2018,348,348.55,336.6,342.95,2338129
30/10/2018,334.25,347.9,330.6,345.85,2354790
29/10/2018,328.85,335.5,323.5,334.2,2244735
26/10/2018,319.25,331.5,317.65,321.3,2897084
25/10/2018,315.2,322.75,314.65,319.25,1882028
24/10/2018,319.55,323.6,316.75,322.1,1302798
23/10/2018,314.8,319.55,307.5,315.05,1425499
22/10/2018,324.95,327,316,319.3,1054237
19/10/2018,309.2,327.25,308.9,323.2,2525101
17/10/2018,336.35,337.3,312.1,315.1,1893510
16/10/2018,334.1,339.65,329.15,332.3,1880184
15/10/2018,329.5,334.9,321.1,332.1,1053335
12/10/2018,327.45,335.75,325,329.8,1550882
11/10/2018,313,329.4,308,321.5,2676732
10/10/2018,301,331.5,301,329.4,2903540
09/10/2018,305,306.8,289.05,300.05,2112741
08/10/2018,311.2,313.8,294.75,300.75,2259305
05/10/2018,313,322.8,309,313.8,1358206
04/10/2018,309.9,320.6,306.45,317,1096335
03/10/2018,323.2,331.25,314.7,316.7,1596619
01/10/2018,313.6,330.1,307.2,325.2,2833673
28/09/2018,340,341.45,313.35,317.95,2909524
27/09/2018,352,354.7,335.05,337,2241664
26/09/2018,343.5,358.75,343.5,352.2,2724729
25/09/2018,360.8,360.8,336.9,344.75,4342247
24/09/2018,366.1,366.5,358.25,360.4,1369299
21/09/2018,379.2,382.9,347.2,364.15,2518743
19/09/2018,384.7,388,376.3,379.5,1685785
18/09/2018,385.55,393.6,381.3,382.75,1521566
17/09/2018,392.5,395.95,385.1,388.7,1147265
14/09/2018,390,394.35,388.05,392.3,1037215
12/09/2018,386.1,389.8,380,386.15,1363176
11/09/2018,403.9,403.9,384.5,386.2,2691109
10/09/2018,393.75,406.4,385,403.2,3941026
07/09/2018,384,397.5,382.65,394.3,2214518
06/09/2018,387.85,390.15,383.15,386.2,1548403
05/09/2018,381.5,387.25,374.45,385.45,2341272
04/09/2018,399.9,402.2,379.1,382.2,2303448
03/09/2018,401,409.4,398.1,399.7,2685304
31/08/2018,403.45,407.3,394.15,399.25,1591561
30/08/2018,400.05,403.65,397.5,401.4,1548916
29/08/2018,398.4,404.5,397.6,399.4,1077943
28/08/2018,407,408.5,397.1,398.4,1071368
27/08/2018,409.6,412.5,404.15,405.15,1305438
24/08/2018,408.75,413.8,404.6,407.75,1322229
23/08/2018,407,412.5,405.85,409.95,1878920
21/08/2018,405.5,410.8,402.65,407.2,1836142
20/08/2018,403.3,409.4,401.5,406.85,1666076
17/08/2018,399,403.6,398.2,402.45,1129617
16/08/2018,395.3,404.45,395,398,1547056
14/08/2018,395.8,400.5,394.45,396.55,1318398
13/08/2018,392,400.35,387.6,394.85,1654969
10/08/2018,395.85,399,391,393.3,1463741
09/08/2018,394,400.9,392.05,395.8,2595191
08/08/2018,403.2,406,391.95,393.85,3703640
07/08/2018,421.25,421.45,401.1,403.2,5979611
06/08/2018,432.8,434.9,415.45,419.2,9955024
03/08/2018,413,422,410.6,419.7,3019882
02/08/2018,417.4,420.75,411.25,413,1881178
01/08/2018,423,425,412.75,417.35,1329307
31/07/2018,421,427.05,416,420.7,1462078
30/07/2018,430,430,415.4,419.65,2005209
27/07/2018,433.4,434.9,421.25,426.15,1622047
26/07/2018,433.9,438.7,427.15,431.85,2095601
25/07/2018,433.7,436,426.35,433.8,2673990
24/07/2018,407,432.4,402.35,430.55,3423705
23/07/2018,400.9,405.65,392.6,403.2,1157779
20/07/2018,397.8,404.35,394.5,400.05,1453675
19/07/2018,405.9,412,392.6,397,1374979
18/07/2018,412.05,418.65,403.1,404.65,2032782
17/07/2018,390,414.75,389.55,412.5,3033750
16/07/2018,413.5,415,384.15,388.7,1062870
13/07/2018,419.7,419.8,408.5,411.2,1555962
12/07/2018,405.45,418.8,405.45,417.1,2345571
11/07/2018,410.8,410.8,401.5,403.5,1267450
10/07/2018,400,410.3,398.95,409.5,1604933
09/07/2018,397.35,401.85,395.65,398.55,730517
06/07/2018,390.3,400.25,389.2,395.85,1135187
05/07/2018,396.95,402.8,387.05,389,1186510
04/07/2018,390,397.7,388.35,396.75,720410
03/07/2018,389.15,394.8,386.7,390.5,543808
02/07/2018,399,399.75,387,389.7,680814
29/06/2018,389.25,399.8,389.1,398.7,1169170
28/06/2018,387.8,396.95,381.45,386.85,1587421
27/06/2018,407,408,386.1,390.3,1089027
26/06/2018,406.45,410.85,405.5,406.65,621831
25/06/2018,407.5,413.9,407.15,408.25,829016
22/06/2018,410,411.3,405.5,409,939012
21/06/2018,408.5,416,406.55,410.3,2102450
20/06/2018,404.2,408.25,400.7,406.05,1208014
19/06/2018,411.65,413.85,404.1,406.15,914861
18/06/2018,413,417.25,409.35,412.5,727965
15/06/2018,417.8,421.65,411.75,414.15,1797735
14/06/2018,408,418.2,405.7,416.35,1129047
13/06/2018,405.25,413.4,405,408.65,1064234
12/06/2018,411.9,413.2,402.6,405.25,1295733
11/06/2018,409.85,414.75,406.4,410.5,1452581
08/06/2018,405.7,412.8,400.5,410.3,2278857
07/06/2018,394,406.9,390.4,404.45,2260627
06/06/2018,384.95,397,380,394.95,2095338
05/06/2018,376,384.3,370.75,382.75,1697271
04/06/2018,386.65,387,377,379.3,913457
01/06/2018,389.15,395.4,380.6,382.3,1619322
31/05/2018,391.75,393.3,383.45,388.15,1184705
30/05/2018,386.4,392.2,383.7,390.75,943027
29/05/2018,394,399.5,387,389.2,1310397
28/05/2018,393,397.95,390.5,395.35,1659340
25/05/2018,382,393,380.9,391.6,1514966
24/05/2018,383.5,387.85,377.15,382.2,2294639
23/05/2018,391,392,380.5,382.2,1114599
22/05/2018,391,395.5,386.85,389.85,1225576
21/05/2018,398.5,403.75,388.1,390.35,1619545
18/05/2018,420,420,393.65,399.4,2286363
17/05/2018,424,425.65,418.1,420.55,607231
16/05/2018,416,424.85,411.5,422.6,1109055
15/05/2018,428.1,435.9,415.35,417,1646207
14/05/2018,430,434.45,425.1,426.75,1060328
11/05/2018,429.1,433.45,424.65,429.75,1314640
10/05/2018,442.9,442.9,427.05,429.1,4636086
09/05/2018,415.25,444.45,411.6,438.4,13300730
08/05/2018,417.6,423,412.55,420.05,1258807
07/05/2018,413,414.5,407.65,413.65,756705
04/05/2018,414,415.6,406.45,409.15,972537
03/05/2018,409.7,413.9,404.3,412.45,984540
02/05/2018,423.6,425.05,405.1,407.3,2136378
30/04/2018,414.4,425.5,412.55,423.6,1319006
27/04/2018,419,427.5,408.4,414.65,1528161
26/04/2018,419.5,420.95,414.4,417.7,643420
25/04/2018,421,428,416.65,418.1,1392058
24/04/2018,425,427.9,417.3,421.3,1000129
23/04/2018,422,428.8,419.25,425.2,1251242
20/04/2018,432,433,419.8,422,1953624
19/04/2018,419.3,433.3,419.1,431.15,2340178
18/04/2018,419.5,423.2,414.95,418.3,1087662
17/04/2018,424.95,424.95,417,418.65,1798144
16/04/2018,407.7,427.45,406.5,425.65,2039858
13/04/2018,408.5,413.8,406.85,410.55,852369
12/04/2018,407.7,415.7,405,407.55,1008978
11/04/2018,411.8,411.8,403.05,409.4,787982
10/04/2018,409.8,413,405.1,408.15,716895
09/04/2018,414.15,415.55,406.15,407.5,1045828
06/04/2018,408.95,413.5,405.35,411.5,1130994
05/04/2018,403.2,411.1,403.2,409.6,807042
04/04/2018,404.4,410.55,395.85,399.85,2117047
03/04/2018,395.9,404.3,391.65,403.25,1182467
02/04/2018,388.15,397.45,380.1,396,764009
28/03/2018,391.05,392,381.5,382.95,1942461
27/03/2018,391.85,395.9,388,393.35,1077882
26/03/2018,379.9,388.5,379.1,387.05,1182728
23/03/2018,373.95,380.4,371.2,378.05,1010391
22/03/2018,391,393.85,382.35,383.35,1268255
21/03/2018,391,396.95,388.4,390.4,989528
20/03/2018,378.4,390.75,378.4,388.3,1074495
19/03/2018,396,396,382.2,386.15,1189356
