Date,ASHOKLEY-EQ O,ASHOKLEY-EQ H,ASHOKLEY-EQ L,ASHOKLEY-EQ C,ASHOKLEY-EQ V
29/03/2019,89.2,92.2,88.6,91.3,28992593
28/03/2019,85.6,89.7,85.3,88.6,26677216
27/03/2019,86.7,87.75,85.1,85.45,25086886
26/03/2019,87.6,88.1,85.35,86.3,20235983
25/03/2019,89,89.25,87.3,87.5,11836240
22/03/2019,91,92,89.25,89.6,17105182
20/03/2019,91.5,91.8,90.05,90.85,11856254
19/03/2019,92.4,92.65,90.9,91.4,15395289
18/03/2019,94.3,94.45,91.15,92.4,22606290
15/03/2019,93.95,95,93.65,94.1,24437891
14/03/2019,94.1,94.5,92.85,93.95,18356759
13/03/2019,92.95,94.4,92,93.8,19828846
12/03/2019,94.05,95.5,92.6,92.95,36928756
11/03/2019,90.8,93.6,90.1,93.05,22713360
08/03/2019,90.9,90.95,89.3,89.65,19294489
07/03/2019,90.95,92.1,89.4,90.9,23050857
06/03/2019,91.95,92.85,89.9,90.6,37509378
05/03/2019,86.7,91,85.8,90.5,35128559
01/03/2019,87.4,87.9,84.4,86.6,34521039
28/02/2019,85.9,87,85.2,86.5,40784271
27/02/2019,83.65,85.7,82.35,84.85,37470474
26/02/2019,82.35,83.75,80.5,83.3,24243625
25/02/2019,82.45,83.5,81.75,83.25,17273781
22/02/2019,81,82.85,80.75,81.85,28694764
21/02/2019,81.5,81.65,80.2,81.15,18529079
20/02/2019,79.8,81.5,79.8,80.95,25543536
19/02/2019,80,81.2,78.5,79.2,33017444
18/02/2019,79.8,79.95,77.6,79.2,18434019
15/02/2019,81.8,82.35,78,79.95,53819329
14/02/2019,78.5,87.1,77.75,84.45,45263573
13/02/2019,81.85,82,78.7,78.9,18100211
12/02/2019,83,83.55,81,81.2,15898399
11/02/2019,86.8,86.8,82.6,83.1,18189713
08/02/2019,88,88.05,85.6,87.05,20469839
07/02/2019,82.65,88.5,82.4,87.75,42292682
06/02/2019,82.3,83.15,80.5,82.55,13068393
05/02/2019,82,83.4,81.2,82.15,16979058
04/02/2019,84.1,84.3,81.55,82.3,17072907
01/02/2019,81.75,87.2,80.85,83.55,65021097
31/01/2019,81.3,82.2,79.55,81.3,36294901
30/01/2019,82.5,83.05,80.7,80.95,17250863
29/01/2019,83,83.6,81.65,82.3,23195132
28/01/2019,82.6,83.5,80.8,83,20419146
