Date,ASIANPAINT-EQ O,ASIANPAINT-EQ H,ASIANPAINT-EQ L,ASIANPAINT-EQ C,ASIANPAINT-EQ V
29/03/2019,1503.1,1508.65,1485.45,1492.7,1092587
28/03/2019,1473.5,1508.95,1473.5,1497,1353947
27/03/2019,1494,1496.95,1463.5,1472.05,1387002
26/03/2019,1460.5,1492.25,1460.5,1485.05,1630147
25/03/2019,1465.1,1475.6,1451.5,1457.55,848078
22/03/2019,1459,1479.9,1452.6,1471.25,1380404
20/03/2019,1462,1466,1448.5,1456.15,764625
19/03/2019,1442,1459.85,1440,1453.9,886660
18/03/2019,1446,1460.6,1436.6,1445.6,1148000
15/03/2019,1434,1457,1428.65,1432.55,1667627
14/03/2019,1437.6,1446.95,1420,1434.75,1113700
13/03/2019,1439.4,1439.4,1417,1428.3,708227
12/03/2019,1422,1445.35,1421.2,1428.1,1333909
11/03/2019,1389.2,1423,1385,1419.8,1342007
08/03/2019,1393.75,1394.65,1380,1382.35,524331
07/03/2019,1398.6,1405.5,1392,1395.45,746742
06/03/2019,1408,1410,1386.55,1393.7,720335
05/03/2019,1393.5,1409.75,1382.7,1403.85,1214257
01/03/2019,1409,1417.95,1388.1,1392.35,783876
28/02/2019,1414.8,1415,1401.45,1405.2,1230935
27/02/2019,1404,1430.85,1395,1405.7,1462017
26/02/2019,1396.9,1407,1378.6,1402,1147218
25/02/2019,1399.95,1405.8,1391.35,1398.25,711217
22/02/2019,1399,1407.75,1384.2,1397.8,801380
21/02/2019,1399,1407.85,1390.3,1397.8,677142
20/02/2019,1380,1398.8,1376,1396.9,843469
19/02/2019,1372.05,1396.95,1371,1377.85,697530
18/02/2019,1401.7,1401.7,1345,1380.05,1460282
15/02/2019,1400.8,1404.95,1372.1,1393.6,1113223
14/02/2019,1417.65,1423.15,1396.5,1399.2,915441
13/02/2019,1451,1453.65,1417,1424.15,507194
12/02/2019,1438.5,1456.9,1435.25,1452.1,947583
11/02/2019,1447.9,1457.3,1427,1437.1,728051
08/02/2019,1468,1480,1445,1448.8,1018518
07/02/2019,1467.05,1476.8,1457,1472.45,697412
06/02/2019,1457.85,1476.2,1452.3,1469.4,1088914
05/02/2019,1444.95,1466.9,1443.1,1450.35,786962
04/02/2019,1444,1452.8,1434,1446.35,735159
01/02/2019,1412.4,1469.65,1408.2,1457.2,2077539
31/01/2019,1400,1415,1391.05,1412.6,1256050
30/01/2019,1394,1416.8,1372.1,1390.4,1313152
29/01/2019,1377,1400,1373.2,1393.3,1061762
28/01/2019,1375,1391,1366.85,1379.5,1590764
25/01/2019,1408.4,1413.7,1353.3,1372.15,1613548
24/01/2019,1400,1413.5,1396.5,1401.85,1562800
23/01/2019,1429,1429.45,1390,1396.55,2702265
22/01/2019,1423.9,1432.05,1375.25,1406.95,5483768
21/01/2019,1395.2,1424.8,1395.2,1422.1,2513582
18/01/2019,1391,1404.75,1383,1400.45,1092189
17/01/2019,1390,1398.5,1383.8,1389.6,853829
16/01/2019,1410,1412.95,1387.7,1389.75,1189597
15/01/2019,1388.6,1414.45,1388.6,1405.95,1355920
14/01/2019,1404,1410.6,1385.45,1388.6,1360800
11/01/2019,1399.75,1406.2,1392.4,1403.65,473391
10/01/2019,1390,1400,1388.65,1396.35,1004783
09/01/2019,1402.5,1414,1397.15,1402,973687
08/01/2019,1401,1412.7,1395.5,1401.25,1232440
07/01/2019,1386,1405.4,1383.75,1396,1074373
04/01/2019,1388,1401.4,1381.4,1385.85,1202397
03/01/2019,1381.8,1393.85,1378,1388.3,1636293
02/01/2019,1367,1386.85,1361.6,1383.3,1233780
01/01/2019,1373.2,1379.7,1358.6,1371.55,664707
31/12/2018,1375,1378,1367.3,1373.05,698593
28/12/2018,1383,1383,1359,1366,1705033
27/12/2018,1360.05,1384.75,1354.3,1372.5,2174090
26/12/2018,1367.95,1374.9,1347.4,1363,1790087
24/12/2018,1388,1388.95,1351.1,1357.05,1649577
21/12/2018,1433.9,1433.9,1382.3,1388.2,2098064
20/12/2018,1389.9,1431.55,1389.05,1425.8,2578234
19/12/2018,1370,1406.8,1370,1400.25,3334213
18/12/2018,1338.45,1361,1327.55,1355.7,1581385
17/12/2018,1340,1344.95,1330,1335.85,665295
14/12/2018,1332.8,1351,1320,1340.95,1869410
13/12/2018,1338.45,1343.2,1316,1320.2,1175211
12/12/2018,1323,1337.2,1311.85,1330.9,986580
11/12/2018,1268,1336.45,1252.15,1323.6,1746513
10/12/2018,1280,1306.25,1262.3,1274.2,1074399
07/12/2018,1306.5,1324,1298.4,1318.65,1037026
06/12/2018,1324,1324.95,1286.6,1295.1,896350
