Date,AUROPHARMA-EQ O,AUROPHARMA-EQ H,AUROPHARMA-EQ L,AUROPHARMA-EQ C,AUROPHARMA-EQ V
29/03/2019,774,802.55,774,784.25,3807288
28/03/2019,779.9,779.9,765.75,769.25,2428881
27/03/2019,783,788.7,769.4,775.05,1732033
26/03/2019,779.95,783.75,770.5,781.9,1250197
25/03/2019,767,779,758.25,775.85,1430024
22/03/2019,779,786.9,762.15,768.3,1680669
20/03/2019,779.9,786.5,775,776.6,1306974
19/03/2019,778,792,771,777.35,2691354
18/03/2019,776,780.7,764.4,777.35,1210629
15/03/2019,782,785,768.4,771.6,1860397
14/03/2019,767,786,764,778.65,2419483
13/03/2019,776,782.9,755.1,766.25,2951290
12/03/2019,759.8,785.9,742.85,773.25,4515564
11/03/2019,739.55,752.75,737,750.75,1866365
08/03/2019,722.4,737.65,716.55,735.85,2051628
07/03/2019,735,740.8,720.1,725.2,1309875
06/03/2019,743.8,745.35,730.85,733.35,1846913
05/03/2019,729,740.75,720,736.1,2277803
01/03/2019,715,727.7,713.7,724.95,1775302
28/02/2019,719.1,726.9,710,712.05,2831108
27/02/2019,720,730.6,715,719.45,1895988
26/02/2019,700,724.4,695,719.25,3498295
25/02/2019,738.5,738.5,705,708.85,5273045
22/02/2019,731.1,736.5,726.8,731.2,1190262
21/02/2019,723,732.9,720.2,731.1,1818817
20/02/2019,708.55,724.8,708.55,722.8,2207544
19/02/2019,717.5,721.35,706,708.05,1579099
18/02/2019,725.3,726.8,714.05,716.75,1914606
15/02/2019,749.95,749.95,718,722.6,2894602
14/02/2019,747,757,744.55,748.75,1560056
13/02/2019,765,769.75,729.3,749.7,5241348
12/02/2019,770,772,760.1,767.9,1282888
11/02/2019,764,770,749.2,763.15,1976232
08/02/2019,789.9,789.9,750.5,761.15,5241158
07/02/2019,765,782,760,778.45,2022287
06/02/2019,745.5,764.75,738,759.85,2020397
05/02/2019,762,768.7,736.9,743.5,2602950
04/02/2019,797.8,804.95,759.1,763.95,2659793
01/02/2019,782.05,802,780,797.8,1212130
31/01/2019,779.05,790,777.1,787.8,1513974
30/01/2019,764,781,764,778.3,1404668
29/01/2019,750,771.9,744.05,762.9,1651135
28/01/2019,784.75,784.75,745.45,755.6,2576685
25/01/2019,790,794.7,780.05,786.15,1464004
24/01/2019,785,795.7,779.3,788.8,1853657
23/01/2019,792,793.4,780.35,783.1,1819565
22/01/2019,780.05,790.2,777.1,788.95,1850566
21/01/2019,770.4,784.8,767.2,776.2,1640124
18/01/2019,780.1,781,763,770.05,2473473
17/01/2019,788.55,791.3,769.25,775,1308601
16/01/2019,784.85,791.6,779,788.3,1884849
15/01/2019,774,788.95,771.1,786.55,1884570
14/01/2019,769.95,778.9,765.6,770.2,1789500
11/01/2019,775.5,775.5,763.5,769.85,2470794
10/01/2019,756,779,753.15,776.95,4276190
09/01/2019,749,759,742.4,757.25,2996718
08/01/2019,732.05,751.85,730,746.55,4416254
07/01/2019,726,731,719.6,724.75,1413246
04/01/2019,714,728,708.25,725.85,1340101
03/01/2019,721,723.4,710.55,715.9,1357059
02/01/2019,729,732.4,719,724.35,1845752
01/01/2019,734,737.5,729.6,733.15,1340165
31/12/2018,731,734.7,726.25,732.95,1869123
28/12/2018,712,727.35,712,723.95,2189653
27/12/2018,723,727,710.05,711.85,2232649
26/12/2018,715.95,720.75,697.1,718.5,3096253
24/12/2018,720.65,738.65,712.55,715.4,3807600
21/12/2018,726,732.5,714.15,720.65,2495340
20/12/2018,727,736,721.1,725.6,2996084
19/12/2018,736.5,740.6,730.65,734.35,1854837
18/12/2018,740,741.5,729.4,735.7,2089344
17/12/2018,740,750.75,733.1,745.65,4377862
14/12/2018,743.85,745.7,715.2,726.2,5550675
13/12/2018,751.1,758.5,742.2,750.6,2447845
12/12/2018,735.95,747.85,729.05,740,2685788
11/12/2018,722,743,721,734.55,4538020
10/12/2018,740.2,753.8,724.25,733.3,3227255
07/12/2018,752.35,768.8,733,751.35,5700335
06/12/2018,795,795,750,752.35,5320072
05/12/2018,821,826.8,792,796.35,3374742
04/12/2018,802,830.45,798.15,823.55,5705645
03/12/2018,812,816,799.4,804.85,2534907
30/11/2018,788,814.95,788,810.7,4207727
29/11/2018,789.8,805.9,788.35,792.15,2521002
28/11/2018,785.25,791.5,778.7,790,1559009
27/11/2018,798.5,807.75,778.2,787.45,2544477
26/11/2018,792.9,799.55,782.6,796.35,1423956
22/11/2018,804.85,804.85,786.2,789.8,1300337
21/11/2018,779.85,807.4,779.05,803.7,2981939
20/11/2018,791,792.65,777,778.9,1213467
19/11/2018,786.15,799.3,783,794,1648271
16/11/2018,779,792.5,773,782.65,1461547
15/11/2018,782,792.4,776.6,780.6,1967613
14/11/2018,779.8,785,765.95,783.1,2107907
13/11/2018,806,815,759.3,774.7,6122728
12/11/2018,819,822.2,790.5,795.95,2886836
09/11/2018,796,817,795,815.3,3265516
07/11/2018,787,796.5,787,794.2,573033
06/11/2018,782.2,793.7,777.5,785.9,1675997
05/11/2018,777.9,785.9,770.8,779.15,1289361
02/11/2018,795,795,777.9,781.4,2018433
01/11/2018,800,804.8,786.3,792.55,3235047
31/10/2018,770,796.8,770,791.55,3738230
30/10/2018,771.15,776.5,760.7,770.5,1669833
29/10/2018,721.5,776.85,720.35,773.05,3126516
26/10/2018,723,727.9,708.5,719.8,2052071
25/10/2018,729,742,717.7,720.95,4089242
24/10/2018,742.1,750.95,717.3,734.45,2306058
23/10/2018,754.9,759,736,738.85,2177417
22/10/2018,753.45,774.95,742.3,759,3067640
19/10/2018,755.95,765.65,740.2,749.1,2730705
17/10/2018,780.05,784.25,746.25,756.3,2247685
16/10/2018,757,778.5,754.5,775.5,3112704
15/10/2018,738,756.8,736.35,752.75,2179342
12/10/2018,755,764.65,732,735.5,3541637
11/10/2018,761.55,779.3,749.25,756.25,2698146
10/10/2018,772,785,761.25,779.65,3868911
09/10/2018,737,771.65,737,766.75,4555970
08/10/2018,739.75,745.9,719.05,736.4,2565348
05/10/2018,754,762.4,735.05,744.25,2170891
04/10/2018,765.05,771.9,736.2,757.05,3652071
03/10/2018,774,789,766.2,771.6,5442277
01/10/2018,743.9,774,732.1,769.65,2969135
28/09/2018,745,755.7,728.05,744.45,3671654
27/09/2018,763.9,764,737.6,740.6,3554990
26/09/2018,768.5,785.1,755.1,759.1,4947221
25/09/2018,735.05,770.95,732.55,761.05,5074277
24/09/2018,766,769.5,725.2,731.35,3646386
21/09/2018,779,786.8,698.4,762.7,4395912
19/09/2018,785,790,766.1,775.95,2621869
18/09/2018,793.7,800,772.45,776.15,3690107
17/09/2018,801,815.55,783.7,789.45,7263810
14/09/2018,780.3,810,778.7,799.8,7347637
12/09/2018,792,794,766.25,773.85,6260650
11/09/2018,800.5,811.25,787.3,790.35,5800282
10/09/2018,803.5,816.8,782.35,795.95,10941248
07/09/2018,763,827.45,763,800.85,29682657
06/09/2018,699,764.4,698,759.3,16222470
05/09/2018,680,698.6,679.05,696.95,2708059
04/09/2018,702,709.3,674.1,677.3,3825064
03/09/2018,715,725.5,696.6,699.9,3789268
31/08/2018,689.5,719.95,689,712.75,5812880
30/08/2018,691,698.75,684.85,687,4000452
29/08/2018,684,697.25,679.5,690.4,2891847
28/08/2018,688.8,691.9,679.2,685.85,2827752
27/08/2018,695,698.5,680.25,688.7,4057754
24/08/2018,684,696,669.4,693.5,3330426
23/08/2018,664,688.45,663.25,682.9,4849717
21/08/2018,665,669.6,649.15,662.65,3773460
20/08/2018,660.95,668,650.7,659.55,3211608
17/08/2018,642,662.9,640.8,655.9,6687761
16/08/2018,631.45,639.95,624.5,635.3,3221672
14/08/2018,618.7,634,608.55,631.35,2373433
13/08/2018,603,621.95,602,618.8,1786426
10/08/2018,601,614.4,594.85,610.9,3260599
09/08/2018,613,614.5,592.8,599.7,3462964
08/08/2018,619.3,625.9,607.75,610.85,1753661
07/08/2018,626,626.75,612,619.3,1444908
06/08/2018,627,636.7,619.3,624.55,2412292
03/08/2018,616,626,616,623.15,1970658
02/08/2018,602,619.95,600.3,614.8,3191427
01/08/2018,593,601.75,591.85,599.7,1516868
31/07/2018,606.95,607.3,590,591.55,1430789
30/07/2018,591,607.8,587,603.9,1739240
27/07/2018,582.95,598.3,582.15,591.05,1334280
26/07/2018,588,591,578,582.35,1380522
25/07/2018,598,599.3,582.95,585.85,1304329
24/07/2018,590.3,596.95,588,594.3,1123293
23/07/2018,584.15,597.7,577.2,590.3,2173137
20/07/2018,568,589.45,566.75,583.8,1676065
19/07/2018,577.75,580.8,565.05,567.85,1085478
18/07/2018,585.95,587.95,571.65,576.3,1821900
17/07/2018,572,586.05,565.6,583.55,1827372
16/07/2018,611.95,611.95,567.45,571.65,3421686
13/07/2018,609.4,611.25,593.2,602.15,1379012
12/07/2018,613.05,617,604.2,606.2,1382108
11/07/2018,618,622.05,606,608.95,1295743
10/07/2018,628,628.3,614,617.25,1746786
09/07/2018,619.95,626,619.55,623.4,984450
06/07/2018,618,627.25,615.6,617.6,1886711
05/07/2018,626.5,636,613.85,616,2599084
04/07/2018,629,633.4,620.3,625.45,2634480
03/07/2018,604,629.75,602,626.8,4526156
02/07/2018,609.7,613,601.1,602.55,1693046
29/06/2018,602.3,609.5,596.5,607.1,2300166
28/06/2018,615.7,622,599,600.65,3371989
27/06/2018,611.9,619.5,601.1,616.4,3270243
26/06/2018,613,621.5,605.65,607.65,3218627
25/06/2018,611.1,621.85,601.85,607.55,2568910
22/06/2018,609.4,614.5,596.3,611.1,2536137
21/06/2018,621.7,621.7,606.1,608.55,2093121
20/06/2018,612.9,621.5,608.75,618.8,2544123
19/06/2018,611.75,625.5,606.1,608.55,3328100
18/06/2018,614,618.55,603.2,613.85,2309757
15/06/2018,613.9,627.6,609.8,613.85,5963140
14/06/2018,581,613.7,580.45,609.45,4975616
13/06/2018,595.55,606.5,582.6,584.9,3225344
12/06/2018,580,599.5,577.6,595.55,3827008
11/06/2018,575,584.4,566.1,576.45,2705361
08/06/2018,545,577.8,543,572.35,3973856
07/06/2018,544,551.6,541.05,547.75,1168484
06/06/2018,530,543.5,530,540.85,1449260
05/06/2018,534.6,543,529,536.9,2178940
04/06/2018,538,543.75,527,533.35,2613575
01/06/2018,556.2,564.95,530.5,535.3,3286212
31/05/2018,567.9,570,551.95,556.3,4280622
30/05/2018,576,583,562,565.65,3459945
29/05/2018,582.6,593.35,567.95,578.8,6524564
28/05/2018,597,614.6,596.45,605.25,2124675
25/05/2018,586,597.4,575.6,594.15,1830924
24/05/2018,577,586.7,572.55,584.65,907023
23/05/2018,579.9,588,571.6,573.9,1093393
22/05/2018,563.2,584,560.45,580,1637549
21/05/2018,575,581.4,562.45,565.5,1032294
18/05/2018,594.15,597.25,572.8,579.4,1775045
17/05/2018,602.1,605.9,592.95,594.9,1055274
16/05/2018,601.3,615,596.45,601.55,1700896
15/05/2018,610,619.7,590.6,603.4,1147828
14/05/2018,603,621,603,613,1483040
11/05/2018,596,616.5,584.8,611.35,2123672
10/05/2018,602,612.45,588.05,594.3,1528181
09/05/2018,617.75,620.8,607.25,609.3,1160798
08/05/2018,622.25,630.6,615.05,617,1195502
07/05/2018,606,624.75,601.25,620.8,1688576
04/05/2018,620.95,621.2,608.1,612.45,1415654
03/05/2018,634,634.7,613.5,618.65,1244836
02/05/2018,641.45,644.75,630,633.25,841869
30/04/2018,636.35,644.35,633.1,642,1111425
27/04/2018,630.1,634.4,624.25,630.65,1048917
26/04/2018,625,636.9,625,629.3,1731784
25/04/2018,631.95,635.9,620.6,624.1,1322805
24/04/2018,646.95,653,632.7,636,2857131
23/04/2018,611.8,645,611.8,642.55,3138957
20/04/2018,617,623.5,608.4,618.6,1470307
19/04/2018,611,619.95,603.1,617.8,1241598
18/04/2018,622,624.9,607,609.5,804866
17/04/2018,625,626.1,614.4,620.45,1221714
16/04/2018,621,631,618,624.6,1663447
13/04/2018,613.2,627.4,613.2,621.75,2416242
12/04/2018,616.75,616.9,607.45,611.8,1372935
11/04/2018,607,618.95,604.05,617.65,1845242
10/04/2018,612,616.7,601.1,607.85,1773269
09/04/2018,619.7,621.9,607.05,611.9,1388126
06/04/2018,596.1,622,596.1,619.4,3503642
05/04/2018,595,600.95,589.75,599.15,1482861
04/04/2018,597.5,597.5,587,590.45,1451755
03/04/2018,592,608.55,583.55,593.35,2869825
02/04/2018,560.05,598.8,558.5,592.55,3094966
