Date,AXISBANK-EQ O,AXISBANK-EQ H,AXISBANK-EQ L,AXISBANK-EQ C,AXISBANK-EQ V
29/03/2019,777,781.1,767.6,777.25,9630886
28/03/2019,761.1,787.65,757.15,780.7,16643818
27/03/2019,761.3,770,755.85,759.3,7456768
26/03/2019,747.4,760.95,741.65,757.1,7300104
25/03/2019,752.7,755,741.15,745.7,7130411
22/03/2019,764.7,765.9,735.55,757.05,10355078
20/03/2019,760.75,767,754.35,755.75,9758274
19/03/2019,755,763,749.05,760.9,8818172
18/03/2019,741,756,740.25,751.6,9823043
15/03/2019,742.95,748.95,731.7,735.1,14560368
14/03/2019,740,749.7,737.4,740.6,7100875
13/03/2019,743.6,751,736.5,738,12333789
12/03/2019,738.7,749,738.55,742.55,8131901
11/03/2019,733.3,744.9,730.6,734.5,9421608
08/03/2019,732,737.25,728.4,733.4,7744794
07/03/2019,720.75,739.45,720.75,733.75,11263734
06/03/2019,733.9,733.9,712.55,720.6,10510670
05/03/2019,705.7,733.9,700.7,732.05,11298428
01/03/2019,713.5,714.95,699.55,702.4,7713824
28/02/2019,723.45,723.45,706.4,709.55,26230891
27/02/2019,714.95,727.8,713.05,718.2,13284424
26/02/2019,694,715.6,693.05,710.15,9166951
25/02/2019,702.9,705.8,696.1,703.7,11428024
22/02/2019,697.45,704.45,691.2,702.05,9822278
21/02/2019,700.5,706.5,695.1,697.2,6674353
20/02/2019,697.6,703,695.3,700.35,5772687
19/02/2019,693.3,705.4,689.65,693.05,6816325
18/02/2019,686,697.7,680.7,693.3,7135564
15/02/2019,700,704,681.7,686.6,10866440
14/02/2019,706,706.4,692.6,695,10383603
13/02/2019,700,707.45,695.05,697.5,11399689
12/02/2019,701,713.4,700,705.6,15856819
11/02/2019,719.9,719.9,705.3,710.85,7234953
08/02/2019,727,732.8,716.25,719.4,7341956
07/02/2019,726.25,733.8,724,730.15,7203465
06/02/2019,731.3,734.5,715.6,725.75,8077340
05/02/2019,722,731.6,719.5,729.5,8665426
04/02/2019,711.3,724.5,708,720.5,8195956
01/02/2019,720.75,726.4,705.4,717.25,13792059
31/01/2019,697.25,726.85,689.05,722.7,35239544
30/01/2019,687.05,703.35,683.75,690.95,46912230
29/01/2019,658.5,671,649.55,660.75,8302420
28/01/2019,669,674.45,650.35,656.3,7792690
25/01/2019,665.2,676.85,665.2,669.75,6628922
24/01/2019,665,665.55,655,663.65,7013582
23/01/2019,659.5,667,658.6,661.6,7596006
22/01/2019,656.35,663.6,653.85,661.6,7951640
21/01/2019,661.55,664.5,656.5,660.3,6157956
18/01/2019,674.9,676.05,661.45,664.6,7037386
17/01/2019,669.9,680,665.6,676.65,10448209
16/01/2019,660.7,670.4,660.7,664,6598151
15/01/2019,661.3,664.25,655.05,660.6,5467484
14/01/2019,663,663,652.55,659.2,6856244
11/01/2019,665,668.5,658.2,666.5,8330315
10/01/2019,668.9,668.9,654.6,663.25,12751327
09/01/2019,652.35,672.05,652.35,670.1,18003387
08/01/2019,636,653.75,630.6,650.9,11879875
07/01/2019,626,640.7,624.2,637.45,11735286
04/01/2019,612,624.75,609.5,619.6,8381367
03/01/2019,621.4,622,603.65,607.95,13228602
02/01/2019,623,628.5,617.5,620.05,12386281
01/01/2019,621.9,630.2,621.9,627.3,12179223
31/12/2018,630.4,631.95,618.8,619.9,6030093
28/12/2018,623.9,628,620,625.05,6372911
27/12/2018,623.55,626,615.6,617.55,12304812
26/12/2018,611,623.65,603.45,619.5,6519211
24/12/2018,626,627.15,613.5,615,6191605
21/12/2018,633.3,637.85,616.65,620.85,10715457
20/12/2018,636.95,646.9,629,632.95,11004125
19/12/2018,624.25,651.65,619.15,641.65,16759139
18/12/2018,617.65,621.8,613.85,619.4,8492688
17/12/2018,622.55,624.5,616.15,617.15,4843342
14/12/2018,619.1,623,611.3,620.25,4165047
13/12/2018,624.8,625.9,616.15,619.1,7419355
12/12/2018,604.75,622,603,619.95,7232578
11/12/2018,581,616.65,580.5,604.25,16429956
10/12/2018,595,601.5,585.3,590.3,11643401
07/12/2018,602.4,609.5,592.35,603.95,12262327
06/12/2018,610.25,613.85,598.25,600.05,7519849
05/12/2018,620.9,623.95,613.4,614.95,9728083
04/12/2018,624.95,627.55,618.6,623.25,8382005
03/12/2018,632,633,621.6,624.8,5914250
30/11/2018,633,635.25,624,625.75,8984998
29/11/2018,632,636.2,621.5,631.4,19643832
28/11/2018,630,631.8,622.5,627.95,9035388
27/11/2018,629.9,638.7,623,625.25,11251342
26/11/2018,618.65,634.75,616.5,631.05,9528169
22/11/2018,625.8,629.4,612.1,614.55,6946666
21/11/2018,610.9,628.65,610.2,626.85,7842430
20/11/2018,614.7,619.6,609.55,612.65,6658508
19/11/2018,619.8,620.3,608.6,616.3,9046876
16/11/2018,626.6,636.7,616.55,619.8,12204545
15/11/2018,613.25,632.5,610.75,626.1,11005288
14/11/2018,622.25,623.3,608.8,612.7,9840254
13/11/2018,606.45,620.75,604.05,618.3,8938939
12/11/2018,612.55,618.5,604.8,606.55,7073703
09/11/2018,609,623.8,601,613.2,13927467
07/11/2018,612.9,612.9,604.65,606.85,1528117
06/11/2018,626,628.1,600.05,607.45,15354794
05/11/2018,628.9,633,617.2,624.4,24201213
