Date,BAJAJ-AUTO-EQ O,BAJAJ-AUTO-EQ H,BAJAJ-AUTO-EQ L,BAJAJ-AUTO-EQ C,BAJAJ-AUTO-EQ V
29/03/2019,2953,2953,2891.55,2911.1,739326
28/03/2019,2989,3020.45,2915,2948.8,1800550
27/03/2019,2965,2995,2950,2980.1,402423
26/03/2019,2961.05,2968,2939,2952.8,322020
25/03/2019,2934.8,2965.6,2915.25,2957.95,319510
22/03/2019,2960,2998.85,2930.05,2949.75,622630
20/03/2019,2969.8,2969.8,2920.05,2949.65,834351
19/03/2019,3008,3008,2945,2974.7,545621
18/03/2019,3026.9,3047.8,2992.1,3005.15,341148
15/03/2019,3002.1,3032.2,2980,3023.8,538508
14/03/2019,3012,3025,2970,3016.85,985558
13/03/2019,3002,3047.2,2990,3010,565499
12/03/2019,3012,3020.8,2981.35,2996.1,503545
11/03/2019,2970,3012,2936.9,3000.55,1147194
08/03/2019,2910,2964.6,2900.05,2955.7,754427
07/03/2019,2927,2927,2900,2919.9,392086
06/03/2019,2895.65,2942,2876.25,2927.6,748391
05/03/2019,2835.05,2917.4,2814.8,2903.75,632301
01/03/2019,2914,2943,2856.2,2863.5,1008494
28/02/2019,2930,2933.8,2864,2900.6,1246854
27/02/2019,2870,2941,2870,2914.7,861033
26/02/2019,2834,2870,2812,2859.3,369292
25/02/2019,2817,2854.7,2816.9,2847.55,322524
22/02/2019,2825,2847,2801.85,2816.85,431535
21/02/2019,2770,2829.9,2751.7,2813.95,281964
20/02/2019,2788,2798,2737.25,2774.7,428139
19/02/2019,2801,2825,2777.5,2787.85,185862
18/02/2019,2830,2835,2767.8,2793.5,296237
15/02/2019,2825.15,2850,2805.05,2825.95,867192
14/02/2019,2820,2875,2811.25,2823.1,372416
13/02/2019,2835,2845,2815,2823.95,377437
12/02/2019,2845.6,2854,2819.5,2832.35,280913
11/02/2019,2850,2870,2819.05,2853.6,712787
08/02/2019,2852,2879.1,2831.2,2851.4,1004870
07/02/2019,2785,2872,2772.15,2853.6,983573
06/02/2019,2715,2785,2714.15,2770.15,495030
05/02/2019,2647,2720,2645,2710.65,469089
04/02/2019,2610,2672.4,2565.45,2642.5,817279
01/02/2019,2560,2670,2543,2602.75,1028186
31/01/2019,2501.15,2570,2461.1,2554.55,1102133
30/01/2019,2571,2653.35,2485,2499.7,2450943
29/01/2019,2563,2597.15,2522.45,2567.65,424856
28/01/2019,2629.95,2634,2545,2565.55,332409
25/01/2019,2622.3,2672,2614.05,2626.35,304062
24/01/2019,2684,2684,2635,2651.65,183566
23/01/2019,2699,2699,2665.1,2674.1,205104
22/01/2019,2685,2695,2650.1,2688.35,273441
21/01/2019,2724.75,2724.75,2670,2684.6,303893
18/01/2019,2741,2746.5,2696.65,2720.75,269686
17/01/2019,2722,2739.8,2700.8,2729.65,230784
16/01/2019,2736,2736,2706,2717.45,218357
15/01/2019,2705,2734.8,2705,2725.85,169721
14/01/2019,2718,2747.2,2676.45,2699.15,170937
11/01/2019,2728,2738.7,2700.85,2720.95,259834
10/01/2019,2700,2729,2680,2725.3,277585
09/01/2019,2702.5,2710,2672.5,2696.9,285560
08/01/2019,2667,2700,2635.5,2694.85,486654
07/01/2019,2739.9,2740,2645,2658.55,462215
04/01/2019,2714,2742,2702.1,2734.2,362393
