Date,BAJFINANCE-EQ O,BAJFINANCE-EQ H,BAJFINANCE-EQ L,BAJFINANCE-EQ C,BAJFINANCE-EQ V
29/03/2019,3010,3034.95,2965.6,3025,1734853
28/03/2019,2940.1,3000,2940.05,2995.85,1366945
27/03/2019,2950,3014.15,2932.5,2945.25,2419656
26/03/2019,2860,2942,2859,2934.35,1570637
25/03/2019,2804,2862,2801,2849.8,1066757
22/03/2019,2868,2895.5,2816,2836.65,1250876
20/03/2019,2924.8,2934.55,2857.8,2868.6,1406862
19/03/2019,2930,2962.9,2910.05,2920.9,1480565
18/03/2019,2872,2941.1,2845,2929.55,1819986
15/03/2019,2818.8,2899,2815,2860.75,2091562
14/03/2019,2832,2835,2787.1,2808.1,896055
13/03/2019,2760,2837.95,2748.85,2828.15,1549296
12/03/2019,2808.8,2816.65,2745.5,2753.05,1385335
11/03/2019,2769,2807.95,2769,2791.05,1169075
08/03/2019,2724.9,2779,2716.6,2768.3,1178087
07/03/2019,2774.95,2782.3,2725,2734.8,859851
06/03/2019,2715,2774.2,2700,2766.7,1543424
05/03/2019,2655,2708.35,2644.6,2695.15,847307
01/03/2019,2663.3,2674.3,2640,2660.75,707094
28/02/2019,2666.6,2667,2630,2649,1136843
27/02/2019,2670,2696.65,2625,2642,1147839
26/02/2019,2637.3,2678,2600,2657.75,1618996
25/02/2019,2639,2675,2613.75,2657.75,1024040
22/02/2019,2652.55,2674,2632.4,2640.4,825672
21/02/2019,2610,2660,2593.05,2654.7,1139823
20/02/2019,2585,2614.8,2571,2606.15,1038127
19/02/2019,2551,2606.95,2545,2559.8,1148339
18/02/2019,2548.05,2561,2512.45,2549.45,1154520
15/02/2019,2610,2610,2506,2561.1,1640696
14/02/2019,2579.95,2622,2556.9,2609.2,1214126
13/02/2019,2629.9,2649,2572.05,2590.55,1207192
12/02/2019,2668,2677.15,2616.3,2621.8,1200370
11/02/2019,2724.7,2724.7,2635,2657.2,1194702
08/02/2019,2670,2737.45,2670,2707.15,1510785
07/02/2019,2725,2731,2684.1,2696.6,1760580
06/02/2019,2619,2720,2612.1,2711.25,1798461
05/02/2019,2600,2642.1,2593.95,2603.6,1010817
04/02/2019,2610,2623.55,2572.2,2594.45,942113
01/02/2019,2575,2687.9,2575,2628.4,2117768
31/01/2019,2608,2608,2526,2574.85,2083418
30/01/2019,2580,2623.7,2546,2595.5,3879707
29/01/2019,2468,2570.1,2371.65,2515.55,6118833
28/01/2019,2610,2610,2355,2458.5,2364047
25/01/2019,2649,2661,2585,2599.55,916927
24/01/2019,2639,2653.5,2603.1,2635.65,753856
23/01/2019,2619,2653,2611,2634.35,992504
22/01/2019,2585,2635,2575,2621.9,1474713
21/01/2019,2548,2606,2526.6,2594.2,1332159
18/01/2019,2545,2555,2525.1,2542.9,753775
17/01/2019,2574,2586.55,2527.05,2535.9,994183
16/01/2019,2598.4,2612.15,2562.8,2569.85,952597
15/01/2019,2551,2613,2551,2604.2,1466303
14/01/2019,2515.95,2552.9,2484.15,2544.8,1021504
11/01/2019,2516,2530,2488,2514.2,818218
10/01/2019,2526,2542.45,2504.7,2514.65,910839
09/01/2019,2546,2559.8,2510,2524.35,1093992
08/01/2019,2560,2582,2525.05,2537.05,1233379
07/01/2019,2601,2605,2545.35,2553.6,1024328
04/01/2019,2601,2611.9,2563.65,2576.05,1051021
03/01/2019,2612,2648,2575.3,2586.2,1282478
02/01/2019,2635.1,2662,2601.9,2614.05,1304915
01/01/2019,2645,2664,2612.1,2656.85,917872
31/12/2018,2656.95,2666.3,2635.6,2645.15,1453327
28/12/2018,2603,2643.8,2585.95,2634.8,1901581
27/12/2018,2598.85,2626.75,2570,2587.15,1626301
26/12/2018,2560,2582.95,2503.7,2567.4,1662068
24/12/2018,2594,2604.85,2553,2564.9,1050017
21/12/2018,2615,2623.9,2532.7,2591.25,3042464
20/12/2018,2560,2609.9,2531.6,2591.4,1467028
19/12/2018,2550.8,2629.1,2550.15,2596.9,2946314
18/12/2018,2469.7,2538.2,2446.6,2532.2,1653107
17/12/2018,2498.6,2509.9,2466.25,2474.4,1019602
14/12/2018,2488.25,2512,2464.25,2486.35,1204379
13/12/2018,2510.2,2528.95,2475,2489.1,1713161
12/12/2018,2445,2514.9,2434.35,2493.95,1683197
11/12/2018,2360,2446.5,2332.1,2426.75,2189278
10/12/2018,2410.45,2443.9,2382.35,2395.55,1399894
07/12/2018,2443,2497.75,2414.65,2486.35,1478720
06/12/2018,2481,2494,2418,2432.4,1317472
05/12/2018,2539.9,2539.9,2470.3,2494.1,1327031
04/12/2018,2509,2549,2495,2543.55,1329587
03/12/2018,2548,2555.55,2490.75,2508.65,1115592
30/11/2018,2538,2564.4,2507.05,2537.7,2737341
29/11/2018,2435,2517.6,2416.85,2506.5,2861284
28/11/2018,2445.95,2449,2396.25,2412.55,1396260
27/11/2018,2395,2439.9,2375,2435.45,1594955
26/11/2018,2400,2411.9,2346.95,2394.6,1391434
22/11/2018,2432,2454.8,2360,2381.5,1604279
21/11/2018,2389,2435,2361.7,2430.55,1514725
20/11/2018,2365,2392.95,2345.75,2380.1,1237702
19/11/2018,2420,2422.3,2350.3,2360.95,1357795
16/11/2018,2342,2417.2,2340,2402.1,1918873
15/11/2018,2287,2348,2285.1,2341.3,1577115
14/11/2018,2299,2315,2265,2293.95,1456146
13/11/2018,2270,2308.35,2233.1,2285,2297710
12/11/2018,2375.35,2385,2270,2277.6,1479678
09/11/2018,2349.65,2383.85,2338.25,2375.35,1327846
07/11/2018,2360,2364.5,2343.7,2348.4,171467
06/11/2018,2370,2389.9,2332.35,2339.75,1368682
05/11/2018,2390,2409,2332.7,2359.4,1625999
02/11/2018,2443,2474.9,2365,2383.3,2367117
01/11/2018,2391.45,2435,2372.45,2418.1,2552134
31/10/2018,2367.8,2392,2306.9,2382.55,2808812
30/10/2018,2395,2423.9,2350.35,2356.35,2202230
29/10/2018,2338.9,2392,2315,2380.45,2201145
26/10/2018,2329.95,2376.8,2278.5,2338.9,3795831
25/10/2018,2285,2348,2256.8,2335,5201159
24/10/2018,2175,2339,2160,2311.8,10357295
23/10/2018,2095,2155.35,1997.55,2083.35,9064775
22/10/2018,2188,2218.95,2091,2115.35,3681946
19/10/2018,2150,2198,2053.95,2140.5,4286790
17/10/2018,2340,2369.25,2132.85,2150.5,3811985
16/10/2018,2325,2362,2285.25,2308.85,2528484
15/10/2018,2319.75,2319.75,2261.1,2306.2,2435413
12/10/2018,2227.25,2320,2227.25,2287.35,3665577
11/10/2018,2100,2230,2060,2162.1,5467086
10/10/2018,2100,2305.7,2100,2270.95,7235957
09/10/2018,1975,2115.85,1947.65,2060.85,4859016
08/10/2018,1992,2090,1912.2,1974.85,5966669
05/10/2018,2160,2214.6,1963.25,2023.3,3470441
04/10/2018,2169,2212,2118.55,2179.15,4002718
03/10/2018,2200,2329.95,2166.05,2232.2,5567701
01/10/2018,2168,2233.35,2052.2,2208.5,4821772
28/09/2018,2232,2248,2117,2168,3831096
27/09/2018,2323.4,2323.4,2192.15,2204.2,2796294
26/09/2018,2329,2353.95,2295.1,2315.55,2728756
25/09/2018,2235,2330.35,2180.6,2299.2,5537396
24/09/2018,2422.15,2422.45,2168.6,2260.8,7798172
21/09/2018,2530,2557,2124.65,2379.4,5750880
19/09/2018,2585,2597.7,2486.5,2499.55,1894557
18/09/2018,2610,2627.45,2559,2570.4,1449290
17/09/2018,2660,2660,2588.25,2604.6,1455320
14/09/2018,2630.5,2683.5,2626.25,2672.2,1795131
12/09/2018,2617.95,2636.95,2516.1,2594,2682340
11/09/2018,2621,2668.8,2562.25,2600.75,3357660
10/09/2018,2732,2738,2596,2615.65,1570179
07/09/2018,2698.4,2751.4,2672.6,2744.2,1264436
06/09/2018,2729,2731.5,2671.4,2684.1,1147879
05/09/2018,2740.15,2764.8,2668,2716.9,1728455
04/09/2018,2724,2777.65,2683.5,2746.3,2606992
03/09/2018,2880,2880,2715.3,2724.05,2516840
31/08/2018,2935,2954.85,2841.1,2856.6,1357206
30/08/2018,2993.9,2993.9,2920.95,2926.75,1452996
29/08/2018,2930,2994,2930,2985.5,1402583
28/08/2018,2982,2982,2925.8,2932.6,1233742
27/08/2018,2939.4,2959,2925.05,2950.75,976004
24/08/2018,2892,2943.4,2891.05,2916.6,1327710
23/08/2018,2889,2909,2871.3,2893.85,1675920
21/08/2018,2840.85,2883,2824.8,2871.8,951549
20/08/2018,2877.95,2877.95,2836.3,2839.75,665480
17/08/2018,2866,2885,2841.5,2851.2,688133
16/08/2018,2832,2908,2822.05,2856.6,2229727
14/08/2018,2763.3,2837.5,2763.3,2830.2,1051658
13/08/2018,2807.95,2807.95,2754.2,2760.4,809365
10/08/2018,2816,2837.4,2791.25,2808.45,877508
09/08/2018,2824,2846.05,2800,2830.15,1147083
08/08/2018,2755.2,2819.65,2752,2813.15,2113934
07/08/2018,2705,2754.5,2682,2747.35,1166483
06/08/2018,2693.9,2707.95,2666.45,2696.25,622905
03/08/2018,2700,2709,2660.25,2681.3,741852
02/08/2018,2714.3,2726.25,2680,2683.85,781173
01/08/2018,2715,2771.65,2702.7,2722.8,1584541
31/07/2018,2672,2708.9,2668.05,2697.9,711174
30/07/2018,2715.55,2722.6,2666,2678,822162
27/07/2018,2685,2724.5,2667.05,2713.7,958703
26/07/2018,2695,2728.4,2654.8,2681.65,2185905
25/07/2018,2727,2778.3,2692,2705.05,1884105
24/07/2018,2749,2758,2687.25,2713.35,2778837
23/07/2018,2720,2797,2717,2755.8,3551888
20/07/2018,2521,2745,2486.85,2721.35,7361274
19/07/2018,2503.9,2537,2357.5,2520.2,4889817
18/07/2018,2478.2,2523.05,2471.35,2488.75,1405478
17/07/2018,2475,2492.25,2435.6,2469.15,944686
16/07/2018,2475,2499.4,2460,2472.3,1172644
