Date,BALRAMCHIN-EQ O,BALRAMCHIN-EQ H,BALRAMCHIN-EQ L,BALRAMCHIN-EQ C,BALRAMCHIN-EQ V
29/03/2019,135.2,138,135.2,137.1,1694557
28/03/2019,134.5,137.4,134,135.2,1132576
27/03/2019,133.25,135.75,132,134.7,1682686
26/03/2019,135,135.25,132.2,132.8,1256448
25/03/2019,133.55,135.9,132.8,134,2180541
22/03/2019,127,133,127,132.05,2067300
20/03/2019,128.6,130,126.65,127.8,1576789
19/03/2019,134,134.6,129.2,129.85,1385827
18/03/2019,133.1,137.7,132.3,133.85,1536068
15/03/2019,134,135.3,131.4,132.9,1537160
14/03/2019,131.7,136.7,130.65,133.55,2332581
13/03/2019,134,135.05,130.55,131.1,1200646
12/03/2019,134.2,136.5,134.2,134.95,1493514
11/03/2019,136,136.85,130.3,133.65,2319273
08/03/2019,136.4,138.2,133.7,135.95,1896410
07/03/2019,142.4,143.85,132.1,136.4,4197811
06/03/2019,138.1,144.1,138.1,141.55,3918285
05/03/2019,134,138.75,133.15,137.55,2773867
01/03/2019,134.25,136.75,133.55,134.95,4431652
28/02/2019,127.95,131.7,127.95,131,3769720
27/02/2019,131.7,133.8,125.35,127.05,3602171
26/02/2019,126.95,131.75,122.7,130.25,5388130
25/02/2019,126.2,134.35,126,130.15,8245721
22/02/2019,124.3,128.25,124,126.2,2591567
21/02/2019,123,126,122.5,124.85,1845987
20/02/2019,125,128.2,122.1,123.7,3734340
19/02/2019,119.65,127.4,119.3,125.7,6774142
18/02/2019,117.85,121.5,115.9,119.65,3456420
15/02/2019,119.2,122.45,112,117.85,9178862
14/02/2019,112.3,118.4,110.25,117.7,5554680
13/02/2019,109.4,116,109,112.4,7509782
12/02/2019,108.4,110.5,107.5,108.9,3652860
11/02/2019,107,108.6,106.05,106.9,1760608
08/02/2019,105.5,109.95,105.5,106.75,3050103
07/02/2019,106.45,107.9,105.3,106.25,1631879
06/02/2019,110.7,110.7,106,107.4,4411278
05/02/2019,106.1,109.9,104,108.1,9134914
04/02/2019,103.15,103.3,101.15,102.35,1231353
01/02/2019,102.5,103.9,101.45,102.6,1158751
31/01/2019,102,102.5,100,101.9,749045
30/01/2019,100.15,101.85,99.75,101.05,997748
29/01/2019,98.25,102.45,98.25,99.55,1280309
28/01/2019,102.1,103.4,98.1,98.55,1538720
25/01/2019,106.95,107.7,102.15,103.1,1327533
24/01/2019,105.15,107.2,104.4,106.3,823914
23/01/2019,106.5,107.85,104.65,105.55,1040278
22/01/2019,107.3,108.6,106.5,107.05,820856
21/01/2019,108,111.2,107.2,108.15,1567331
18/01/2019,111.15,111.25,107.2,108.75,1910598
17/01/2019,112.6,113.4,109.2,110.55,1746980
16/01/2019,111.9,114.85,110.5,112.85,3987066
15/01/2019,107.75,112.95,107.2,111.25,4184222
14/01/2019,111.4,111.4,106.4,107.65,2180062
11/01/2019,110,112.5,109.4,111.1,3263233
10/01/2019,108.75,110.5,108.35,109.9,1524091
09/01/2019,111.8,112,107.7,108.8,2026711
08/01/2019,108.8,112.2,107.25,111.15,5809179
07/01/2019,109.5,110.4,106.55,108,2706995
04/01/2019,108,113,107.4,109.2,6887421
03/01/2019,104.65,108.3,104.05,107.65,6082142
02/01/2019,102.35,104.9,101.85,104.5,2216466
01/01/2019,102.5,103.85,101.15,103.4,1612055
31/12/2018,100,103.9,99.75,102,2481004
28/12/2018,100.6,101.5,99.4,99.65,1504537
27/12/2018,102,102.4,100.5,100.9,882371
26/12/2018,102.7,102.7,99.4,101.35,1298716
24/12/2018,102,104.3,100.5,102.3,2570666
21/12/2018,105.65,106.9,100.25,100.7,2817440
20/12/2018,105.35,106.4,103.35,105.75,1210632
19/12/2018,103.2,105.6,102.2,105.15,2649312
18/12/2018,105,105.75,102.6,103.2,1082339
17/12/2018,105.75,106.35,104.7,105.75,1529625
14/12/2018,105,106.5,103.65,104.4,1710736
13/12/2018,106.75,107.25,103.65,105.55,2061695
12/12/2018,100.35,107.3,99.9,106.15,4570229
11/12/2018,96.05,101.2,96.05,100.25,2539231
10/12/2018,97,101.75,96.5,99.3,2225037
07/12/2018,102.3,102.55,99.2,100.1,1927733
06/12/2018,102.75,104.2,101.05,101.95,2450873
05/12/2018,101.6,103.5,100.8,101.65,1431964
04/12/2018,104.7,106.9,104.1,104.85,4442596
03/12/2018,101.75,103.55,100.2,101.65,2407625
30/11/2018,99.15,102.95,97.8,101.15,3699965
29/11/2018,97.1,99.25,96.65,98.55,1809907
28/11/2018,101.65,102.3,96.25,96.9,2252454
27/11/2018,101.65,103.7,100.85,101.4,2808090
26/11/2018,107.35,107.35,101.1,101.7,2211235
22/11/2018,106.7,108.55,105.75,106.3,2482576
21/11/2018,106.5,108.25,105.05,105.85,2038086
20/11/2018,108.1,110.8,106,106.25,2475269
19/11/2018,108.95,109.8,106.05,108.25,2785999
16/11/2018,113,113.5,108.5,109.65,1918759
15/11/2018,113,114.7,112.2,113.3,2141942
14/11/2018,112.35,118,109.5,113.3,7283495
13/11/2018,116.45,116.85,112.1,112.85,4874665
12/11/2018,110.6,119.6,110,117.15,14118259
09/11/2018,109.25,110.9,107.35,108.95,4600374
07/11/2018,104.85,106.2,104,105.45,678079
06/11/2018,104.3,106,102.75,103.9,2450870
05/11/2018,108.7,108.85,102.15,103.55,3333924
02/11/2018,109,111.45,107.5,109.45,4762464
01/11/2018,107.7,110.2,104.2,108.65,5423641
31/10/2018,108.95,109.9,101.2,107.3,8553006
