Date,BANKBARODA-EQ O,BANKBARODA-EQ H,BANKBARODA-EQ L,BANKBARODA-EQ C,BANKBARODA-EQ V
29/03/2019,130.95,133.1,127.65,128.65,32698775
28/03/2019,121.75,131.4,121.55,130.1,44199513
27/03/2019,122.4,123.45,120.3,121.55,16800819
26/03/2019,119.1,122.15,118.75,120.8,13335846
25/03/2019,118.9,118.9,116.4,118.2,11683480
22/03/2019,126.05,126.95,119.3,120.1,21842085
20/03/2019,125.15,127.15,123.1,125.2,23781774
19/03/2019,121.2,125.85,121.05,124.4,32738805
18/03/2019,118.25,121.4,117.9,120.55,24863255
15/03/2019,116.4,119.85,116,118.15,21121349
14/03/2019,116,117.9,114.4,116.55,15301986
13/03/2019,115.75,117.65,113.55,115.55,13704339
12/03/2019,116.95,117.8,114.45,115.35,11380491
11/03/2019,114.5,117.2,114.25,116.05,11888797
08/03/2019,115.65,116.85,113.05,113.6,16938684
07/03/2019,112,116.9,111.15,115.2,25364521
06/03/2019,112.5,113.55,111,112.1,11474316
05/03/2019,108.5,113.7,107.6,112.55,22697797
01/03/2019,102,108.8,101.6,108.1,29505475
28/02/2019,101.2,101.7,100.75,101,18331980
27/02/2019,101.75,103.6,100.3,101,11698000
26/02/2019,102.3,102.3,99.35,101.5,11658555
25/02/2019,102.75,103.75,102.5,102.9,10977553
22/02/2019,103.05,103.65,102.25,102.8,9600642
21/02/2019,104.5,104.55,102.5,103,10298813
20/02/2019,102.5,104.2,102,102.95,11097310
19/02/2019,99.8,104.3,99.3,102.45,17163902
18/02/2019,100.85,101.95,98.5,99.15,9448271
15/02/2019,104.25,104.45,100.3,100.85,10362257
14/02/2019,102.4,104.4,101.25,103.65,10652960
13/02/2019,103.4,104.5,102,102.4,8514159
12/02/2019,103.9,105.35,102.3,102.65,7360166
11/02/2019,104.7,104.85,102.9,103.9,7582047
08/02/2019,108,108.5,104.35,104.9,10370510
07/02/2019,109.4,110.3,108,108.9,11079690
06/02/2019,108.5,109.8,106,109.2,11075323
05/02/2019,110.3,111.2,107.2,107.95,12325444
04/02/2019,110.05,112.4,107.8,110.3,15219147
01/02/2019,113.45,114,109.2,111.1,16494373
31/01/2019,114.4,114.95,110.55,112.45,14842463
30/01/2019,116.5,118.3,112.3,113.7,32710788
29/01/2019,109.5,115.05,108.85,113.75,18274599
28/01/2019,111,112,107.65,109.15,13633282
25/01/2019,113.3,114.2,109.5,110.2,8760153
24/01/2019,112,114.8,111.45,113,13283892
23/01/2019,114,114.7,111.05,111.3,10399387
22/01/2019,116.45,116.85,113.4,113.8,9138823
21/01/2019,118.3,119.1,115.8,116.45,8481086
18/01/2019,119.2,119.9,117.55,118,6772442
17/01/2019,121.5,121.6,118.1,119.2,9553120
16/01/2019,121.1,123.25,120.8,121,10282923
15/01/2019,121.3,122.15,120.75,121.1,8076763
14/01/2019,120.95,123.1,120.1,120.95,13655552
11/01/2019,123.8,123.9,119.65,121.15,13442566
10/01/2019,122.5,124.15,121.85,123.45,8763655
09/01/2019,124.1,124.6,121.4,122.95,12747179
08/01/2019,122.9,124.15,121.7,123.85,11438177
07/01/2019,122.5,123.75,121.6,122.7,14244449
04/01/2019,120.4,122.4,118.5,121.7,22277306
03/01/2019,121.4,123.4,118.1,119.3,40246215
02/01/2019,123.5,124.45,118.2,119.35,25568039
01/01/2019,119.45,124,118.2,123.3,23311973
31/12/2018,119.25,119.95,118.2,118.8,10237262
28/12/2018,117.25,119.05,117.1,118.35,8751088
27/12/2018,119.2,119.4,115.8,116.4,14432390
26/12/2018,115,118.9,112.9,117.7,13805517
24/12/2018,116,116.8,114.6,115.4,10567495
21/12/2018,115,116.4,114.25,115.1,13316969
20/12/2018,115.4,116.85,113.8,114.9,13443857
19/12/2018,113,117.15,113,115.6,19219299
18/12/2018,111.1,113.9,110,112.45,10915321
17/12/2018,111.7,112.5,111.2,111.8,6157887
14/12/2018,111,113.1,110.8,111.4,9127017
13/12/2018,114.8,115.55,111.1,111.85,12736431
12/12/2018,110,114.65,109.4,113.4,21298584
11/12/2018,103.3,110,103.3,109.05,19637144
10/12/2018,102.4,106.9,102.4,105.95,11644907
07/12/2018,105.8,107,102.95,106.4,16565178
06/12/2018,106.65,107,104.65,105.25,10372612
05/12/2018,106.8,108.2,106.05,107.45,13516608
04/12/2018,107.1,109.55,106.3,107.85,21368296
03/12/2018,106.25,108.2,104.9,106.95,14092602
30/11/2018,105.5,106.65,103.7,105.05,14741115
29/11/2018,106,106.85,103.45,105,18139210
28/11/2018,109,110.25,103.6,104.75,18726621
27/11/2018,108.9,110.5,108.25,108.95,12495317
26/11/2018,110.6,111.15,107.1,108.9,15396197
22/11/2018,112.8,112.8,109.45,109.9,13647386
21/11/2018,111.1,113.45,110.5,112.2,21085996
20/11/2018,113.2,115.6,109.25,110.2,28258376
19/11/2018,116.4,118.4,114.35,115.35,26168544
16/11/2018,113.45,116.3,110.05,115.2,24404681
15/11/2018,112.9,114.45,111.15,112.8,15489157
14/11/2018,109.4,113.95,109.4,112.75,21880524
13/11/2018,108.9,109.25,106.4,108.7,14242220
12/11/2018,111.5,111.95,108.85,109.4,10558393
09/11/2018,111,113.25,110.4,111.5,14599759
07/11/2018,111.25,111.65,110.5,110.95,1807343
06/11/2018,112.25,112.65,109.85,110.45,17283224
05/11/2018,110,112.5,108.7,111.2,18802509
02/11/2018,108.9,113.45,108.4,109.9,38112597
01/11/2018,111.7,111.85,107.05,107.7,25819979
31/10/2018,114.7,114.75,109.85,110.65,50580445
30/10/2018,107.7,113.7,105.85,110,51240583
29/10/2018,99.1,107.7,98.2,107.1,25921189
26/10/2018,99.3,101.6,97.85,98.85,19408496
25/10/2018,101,102.8,97.9,98.45,17653402
24/10/2018,102.7,103.45,100.95,102.65,11710626
23/10/2018,101.4,103.65,100.95,101.7,11600993
22/10/2018,103.65,105.4,101.45,102.6,18193081
19/10/2018,98.9,103.2,97.5,102.4,25230698
