Date,BANKINDIA-EQ O,BANKINDIA-EQ H,BANKINDIA-EQ L,BANKINDIA-EQ C,BANKINDIA-EQ V
29/03/2019,106.4,106.9,103.3,104.25,11198651
28/03/2019,103,106.5,102.8,105.85,12405815
27/03/2019,102.4,103.7,101.55,103.15,11566973
26/03/2019,99.05,102.5,98.8,101.85,7946467
25/03/2019,97,99.3,96.45,98.5,8032860
22/03/2019,101.3,101.9,98.05,98.6,8803257
20/03/2019,100.85,101.75,98.55,100.55,15540939
19/03/2019,95.95,103.15,95.3,100.6,27944350
18/03/2019,93.2,95.55,92.8,95.05,8252958
15/03/2019,92.9,95,92.7,93.15,11633846
14/03/2019,92.5,93.3,90.85,92.35,8124067
13/03/2019,92.45,93.4,90.5,92.05,7883178
12/03/2019,93.7,94.5,91.45,92.45,10690301
11/03/2019,88.55,92.75,88.55,92.25,10662535
08/03/2019,90.85,91.4,88.4,88.8,8168221
07/03/2019,90,92.3,88.45,90.7,11420223
06/03/2019,90.5,92.45,89.2,89.8,9593204
05/03/2019,88.3,91.6,87.8,90.75,11636958
01/03/2019,83.2,88.25,83.15,87.5,13952084
28/02/2019,82,83.45,81.6,83.1,5339038
27/02/2019,81.6,84.1,80.5,81.65,10063668
26/02/2019,81.7,82.1,79.45,81.15,6563004
25/02/2019,83.1,83.6,81.95,82.9,5586375
22/02/2019,82.55,84.6,82.55,83,6463463
21/02/2019,85.1,85.8,82.95,83.25,13401572
20/02/2019,81,82.9,80.75,81.85,6905288
19/02/2019,78.9,83.6,78.65,81.1,11757622
18/02/2019,80.15,81.4,77.5,78.65,6787894
15/02/2019,82.75,82.8,79.3,80.2,8123327
14/02/2019,81.05,83.85,79.9,82.8,10152708
13/02/2019,83.25,83.65,80.9,81.65,6409243
12/02/2019,84.75,85.7,82.3,82.95,7317079
11/02/2019,86.3,87,84.05,84.7,5596055
08/02/2019,91.4,91.4,85.9,86.55,12532032
07/02/2019,91.5,95.2,90.8,92.05,9023352
06/02/2019,91.65,92.5,87.35,91.9,9854021
05/02/2019,93.45,94.2,89.35,90.95,8987658
04/02/2019,94.5,95.3,90.4,93.25,9729435
01/02/2019,106.4,106.65,88.85,94.85,25180357
31/01/2019,99.4,104.7,97.3,102.8,13627828
30/01/2019,98.1,100.2,95.55,99.15,14637481
29/01/2019,85.5,100.2,85.5,98.15,50522736
28/01/2019,94.9,95.55,85.4,90.6,9725854
25/01/2019,97.8,98.95,93.75,94.45,7123775
24/01/2019,97.05,97.95,96.35,97.3,5449282
23/01/2019,98,98.65,96.35,97.1,5267979
22/01/2019,99.9,100.6,97.4,97.85,6434495
21/01/2019,102.85,104.6,99.65,100.65,8168459
18/01/2019,104.4,104.8,102.25,102.65,5684518
17/01/2019,105.6,105.85,102.8,104.35,5644751
16/01/2019,104,106.5,103.65,105.3,6408689
15/01/2019,104.6,104.85,103.05,104.1,5804977
14/01/2019,102.7,105.15,100.7,104,11068475
11/01/2019,106.45,106.8,102.65,103.25,9438958
10/01/2019,105.45,107.1,105.15,106.1,6715175
09/01/2019,109.75,109.75,104.2,105.45,13267879
08/01/2019,105.75,109.3,105.1,108.8,9794700
07/01/2019,109.6,110.15,105.7,106.4,8123090
04/01/2019,106.1,109.3,105.3,108.7,13165314
03/01/2019,104.85,107.1,104,105.75,12299077
02/01/2019,106.25,107.9,103.8,104.8,16984848
01/01/2019,104.55,107.15,103.7,106.35,11779714
31/12/2018,103.95,105.15,103.3,104.1,11927697
28/12/2018,103.15,103.55,102.05,102.95,11861429
27/12/2018,103.1,103.7,101.05,101.8,20801965
26/12/2018,100.2,101.55,97.05,100.65,17019629
24/12/2018,98.45,101.9,96.7,100.9,16027081
21/12/2018,98.4,99.25,95.4,97.9,13158696
20/12/2018,97.3,100.25,95.6,97.5,22261202
19/12/2018,92,98.4,91.5,97.35,20987292
18/12/2018,87.75,92.1,87.7,91.45,13811770
17/12/2018,88,89.1,87.45,88.45,6003651
14/12/2018,86.35,88.6,86.05,88,11003643
13/12/2018,86,88.15,85.65,86.35,11830019
12/12/2018,81,86.5,81,85.6,22428523
11/12/2018,76.4,80.4,76.1,79.5,10333920
10/12/2018,78,78.95,77.1,77.65,5315105
07/12/2018,81.5,81.85,78.3,79.55,9034326
06/12/2018,82.8,83,80.55,80.95,7310142
05/12/2018,85.05,85.9,82.65,83.45,8043908
04/12/2018,89,89.9,85.3,85.6,9172839
03/12/2018,84.55,89.3,84.55,88.65,9515981
30/11/2018,85.8,86.25,84.1,84.85,5259126
29/11/2018,83.5,86.45,81.75,85.3,9104052
28/11/2018,86.65,86.9,82.5,82.85,8668702
27/11/2018,85,86.5,83.85,85.75,7821923
26/11/2018,86.1,86.9,82.3,84.55,10604798
22/11/2018,87.7,88,85.35,86,8669323
21/11/2018,86.2,89,85.75,87.5,9371109
20/11/2018,86.4,88.1,82.9,85.85,13867586
19/11/2018,88.7,89.9,85.1,87.45,12566521
16/11/2018,84.5,89.25,83.35,88.15,13103035
15/11/2018,82.55,84.8,80.75,84.3,9257148
14/11/2018,81.55,83.85,81.1,82.5,13011145
13/11/2018,85.2,85.45,79.6,81,34691996
12/11/2018,92.2,92.4,86.3,87.15,11535975
09/11/2018,86.05,93,86.05,91.7,18802084
07/11/2018,86.9,86.9,86,86.35,549292
06/11/2018,86.5,87.4,85.1,85.9,5154173
05/11/2018,83.8,86.6,83,86,6286227
02/11/2018,87,90.45,83.8,84.25,10494652
01/11/2018,86.1,87.65,84.9,86.05,6032960
31/10/2018,85.5,86.7,82.7,86,8568254
30/10/2018,80.75,88,80.25,84.35,13718542
29/10/2018,74.8,81.95,74.3,81.1,9190684
26/10/2018,75.7,75.95,73.8,74.55,5300359
25/10/2018,75.05,76.6,73.2,74.9,6155722
24/10/2018,76.5,77.05,74.65,75.95,4629032
23/10/2018,74.8,75.75,74.15,75.4,4610971
22/10/2018,77.5,77.75,75.1,75.4,5588405
19/10/2018,76.2,78.2,75.75,76.8,5077319
17/10/2018,81.55,81.9,76.45,76.75,6810399
16/10/2018,77.75,80.45,77.55,80.05,5700198
15/10/2018,77.4,78.1,75.75,77.45,5148901
12/10/2018,76.55,78.55,76.5,77.15,4733008
11/10/2018,75.35,78.2,74.9,75.6,7185158
10/10/2018,75.3,80.8,74.7,79.35,8179463
09/10/2018,76.7,77,73.55,75.4,7103320
08/10/2018,76.6,77.5,74,76,7324522
05/10/2018,78.9,79.95,75.5,76.8,7698118
04/10/2018,78.85,81.65,77.1,79.1,7927360
03/10/2018,78.95,83.95,78.1,80.6,9719469
01/10/2018,76.7,81.2,73.45,79.15,10042107
28/09/2018,80.6,81.35,75.8,76.9,10815113
27/09/2018,83.75,84.35,79.85,80.45,6606824
26/09/2018,84.7,85.4,81.75,83.85,8849865
25/09/2018,83,84.7,80.45,84.25,9917421
24/09/2018,87,87.9,82.7,83.5,8101723
21/09/2018,91,91.9,81.15,86.45,9518376
19/09/2018,90.55,91.4,88.5,90.15,6443158
18/09/2018,92.7,94.95,87.6,89.8,13925708
17/09/2018,93.5,94.8,92,93.45,8048159
14/09/2018,92.5,93.9,92.05,93.2,5742873
12/09/2018,91,92.1,89.15,91.3,8634365
11/09/2018,92.3,93.9,90.25,90.7,7993270
10/09/2018,92.8,93.85,91.5,92,6073063
07/09/2018,93.9,94.8,92.4,94.15,5737097
06/09/2018,94.9,95.55,92.35,93.65,6785011
05/09/2018,94.9,95.2,91.3,94.1,8864529
04/09/2018,99.4,99.8,94.7,94.95,8643715
03/09/2018,100.7,103,99,99.65,8751388
31/08/2018,99,101,96.45,100.45,11090429
30/08/2018,95.6,100.7,93.85,99.85,14271823
29/08/2018,91.9,95.8,91.4,95.25,9749862
28/08/2018,95,95,90.6,91.5,8445521
27/08/2018,93.5,95.85,93.5,94.75,6329518
24/08/2018,93.5,94.7,92.6,93.1,5545129
23/08/2018,96,96.35,92,93.85,8908729
21/08/2018,95.9,96.85,94.6,95.95,6258726
20/08/2018,94.25,96,93,95.6,7281785
17/08/2018,90.15,93.9,90.15,93.3,12970922
16/08/2018,90.2,91.5,87.75,88.85,6402432
14/08/2018,90.8,91.8,89.15,90.45,7662377
13/08/2018,93,93,88.05,90,7508900
10/08/2018,98.4,98.4,92.75,93.6,11674121
09/08/2018,95.15,98.8,94.75,98,11522528
08/08/2018,95.7,95.9,93.35,94,5602605
07/08/2018,98,98.35,94.2,94.95,7886180
06/08/2018,96,98.2,95.7,97.5,8261126
03/08/2018,94.6,96.75,94.5,95.65,7722981
02/08/2018,94.4,95.7,92.6,94.65,8841351
01/08/2018,94,96.35,93,95.35,15797718
31/07/2018,103.5,104.35,93.3,94.4,39904156
30/07/2018,99,104.15,98.85,103.25,15015297
27/07/2018,96.7,99.45,95.7,97.8,13219917
26/07/2018,89.65,96.5,88.7,95.6,14916998
25/07/2018,88,89.4,86.75,88.2,5919512
24/07/2018,86.5,88.75,86,87.85,7091530
23/07/2018,82.35,86.8,81.5,86.35,8445233
20/07/2018,82.25,83.9,81.55,83.25,7259483
19/07/2018,79.5,84.3,77.7,82.75,11185400
18/07/2018,82.7,83.15,77.1,79.05,9328796
17/07/2018,77,82.45,76.5,81.95,9434073
16/07/2018,82,82,76.8,77.5,5272685
13/07/2018,85.45,85.45,80.85,81.7,8574292
12/07/2018,86.5,88.05,84.5,84.85,6974458
11/07/2018,89.8,90.6,85.55,86,6540939
10/07/2018,89.5,91.2,89.05,90.4,5904232
09/07/2018,87.9,89.6,86.95,89.2,5942998
06/07/2018,85.8,87.8,85,86.65,7174857
05/07/2018,85.9,86.65,85,85.4,4456332
04/07/2018,87,87.5,85,85.9,4868538
03/07/2018,87.2,88.8,86.2,86.95,4944188
02/07/2018,88,89.15,84.5,87.95,6926828
29/06/2018,86.25,88.15,85.5,87.5,6714586
28/06/2018,87.7,89.2,84.5,85.15,7837017
27/06/2018,92.4,92.7,88,88.7,5519339
26/06/2018,91,93.2,90.5,92.2,6768293
25/06/2018,94.35,95.2,91.75,92.1,4280210
22/06/2018,93.75,94.95,92.5,94.55,5108924
21/06/2018,95.1,95.65,93.3,93.6,4582684
20/06/2018,95.15,96.25,94.4,95.2,5151382
