Date,BEL-EQ O,BEL-EQ H,BEL-EQ L,BEL-EQ C,BEL-EQ V
29/03/2019,94.75,96.1,93,93.25,24742495
28/03/2019,92.9,93.2,91.65,92.45,16639126
27/03/2019,92.9,94.2,91.55,92.1,9098118
26/03/2019,92.25,93.25,91.7,92.4,6803099
25/03/2019,90.5,93.1,90,91.8,10053401
22/03/2019,94,94.4,90.55,91.05,13873295
20/03/2019,96.65,97.65,93.05,93.5,18217282
19/03/2019,94.45,97,93.45,96.7,16123575
18/03/2019,95.6,96.15,93.4,94.35,11978953
15/03/2019,93.05,95.45,92.35,94.95,21185335
14/03/2019,94.5,94.7,91.15,93.2,15297231
13/03/2019,91.3,94.35,87.95,93.6,21003616
12/03/2019,92.2,93.7,90.7,91.2,15076359
11/03/2019,87.75,92,87.3,91.65,14186201
08/03/2019,88,89,86.8,87.2,12103502
07/03/2019,92.75,92.75,88.9,89.35,11339245
06/03/2019,90.85,93.9,90.05,92.1,17065207
05/03/2019,85.8,91.15,85.15,90.15,19977551
01/03/2019,83,85.3,83,85,11338932
28/02/2019,81,83.2,80.05,82.5,23879518
27/02/2019,80,82.75,79.7,80.65,14278303
26/02/2019,79.5,80.55,77.4,79.7,15257415
25/02/2019,78.55,81.3,77.1,80.9,22009380
22/02/2019,78.8,79.25,78,78.55,10396045
21/02/2019,77.2,77.95,76.05,77.45,4870359
20/02/2019,77.8,78.75,76.3,77.5,12525521
19/02/2019,75.5,77,75.15,76,5698562
18/02/2019,75.55,76.3,74.85,75.3,4102420
15/02/2019,75,76.25,74.15,75.1,10021141
14/02/2019,75.1,76.45,72.5,74.5,17860130
13/02/2019,78.15,78.85,73.8,74.5,9081481
12/02/2019,76.85,79.95,76.15,77.7,8781184
11/02/2019,79.85,79.9,75.9,76.75,8090201
08/02/2019,81.15,81.85,79.5,80,3458045
07/02/2019,82,83,80.55,81.65,5396444
06/02/2019,80,82.2,78.3,81.9,6294987
05/02/2019,81.6,83.2,79.25,79.8,5285262
04/02/2019,84.5,84.5,81.65,82.8,3762635
01/02/2019,84.15,86.2,83.25,84.6,9737752
31/01/2019,87.6,88,83.35,83.65,29020309
30/01/2019,82.35,84.65,82,84,7771973
29/01/2019,79.95,82.4,79.6,81.85,8696417
28/01/2019,80.35,81.1,79.05,79.7,4549401
25/01/2019,83.2,84,80.05,80.35,5902826
24/01/2019,83.95,84.3,82.4,82.8,4472876
23/01/2019,85.4,85.75,83.6,83.9,3879672
22/01/2019,86.95,87.4,84.35,85.15,6518284
21/01/2019,86.9,87.6,85.7,86.5,3050580
18/01/2019,87.9,88.25,86.05,86.35,3889202
17/01/2019,89.2,89.4,86.7,87.2,7937656
16/01/2019,90.5,91.25,88.4,88.9,5854118
15/01/2019,92,92.15,89.75,90.2,7347889
14/01/2019,91.9,92.55,89.7,91.6,5311400
11/01/2019,92.6,92.9,91.75,92.05,7395234
10/01/2019,91.9,93,91.5,92.4,5849807
09/01/2019,91.1,92.85,90.2,92.35,6095203
08/01/2019,91.5,91.85,90.05,90.85,4701564
07/01/2019,92.5,93.2,91.05,91.4,8019169
04/01/2019,88.9,92.15,88.5,91.85,11509090
03/01/2019,90.1,90.85,88.35,88.8,13269297
