Date,BEML-EQ O,BEML-EQ H,BEML-EQ L,BEML-EQ C,BEML-EQ V
29/03/2019,1008.95,1030,1002.35,1012.55,3562942
28/03/2019,965.95,995.5,965.75,991.7,1357842
27/03/2019,978,991.25,955.2,965.75,1587339
26/03/2019,973.4,989.95,970.8,977.25,1742484
25/03/2019,962,975,940.05,967.65,1994411
22/03/2019,998.9,1009.8,960,966.05,2185658
20/03/2019,999.1,1005,973.5,989.2,1941034
19/03/2019,1004.45,1013.3,984.1,993.95,2369219
18/03/2019,970,1013.45,969,995.3,4184917
15/03/2019,973,979,958.1,965.25,1823308
14/03/2019,973,986.3,953.6,969.75,4175990
13/03/2019,904.95,980.65,893.15,971.65,7446545
12/03/2019,920,926,901.15,904.95,1417401
11/03/2019,895,918.45,895,912.75,1681262
08/03/2019,885,913.8,875.25,898.45,3498197
07/03/2019,910.65,911,876.2,888.45,2295409
06/03/2019,916.95,949.45,902.7,910.65,3711618
05/03/2019,855,916.7,850.15,907.85,2388639
01/03/2019,843.9,858.95,838.65,851,1680749
28/02/2019,846,851.85,830.05,835.3,1264575
27/02/2019,826.3,852.95,823.2,839.3,2848163
26/02/2019,809.95,826.95,795.25,823.15,1662637
25/02/2019,822.8,835.7,817.1,824.75,2465765
22/02/2019,794.1,822,794,817.7,4018948
21/02/2019,773.9,791.3,773.9,786.4,1313186
20/02/2019,757,778,756.55,773.9,1410493
19/02/2019,768.2,778.45,750,756.55,1333590
18/02/2019,765,783.7,761.6,767.6,1029914
15/02/2019,784.9,785.95,765.5,770.1,955863
14/02/2019,752.05,788.1,752.05,782.45,1644347
13/02/2019,765,770,752.65,758.85,1196310
12/02/2019,785,799.85,755.3,765.15,2000379
11/02/2019,778,792.8,761.25,785.2,1583102
08/02/2019,770.9,791.4,753.35,783.85,1750444
07/02/2019,758.5,779.7,757.05,771.5,1699537
06/02/2019,760.05,766.2,725.3,758.5,2343404
05/02/2019,794.9,799.55,752.1,763.7,1997519
04/02/2019,813.95,814.8,785,796.9,2054410
01/02/2019,801.85,817.6,791.05,799.2,1652856
31/01/2019,800,819.85,785.05,794.15,2099187
30/01/2019,800,802.8,783.85,796.35,1404372
29/01/2019,815,815,775,793.2,2382619
28/01/2019,847,847,809.3,817.15,1314880
25/01/2019,876.45,881.25,840.2,848.6,1442737
24/01/2019,881.9,886.7,866.5,870.75,957971
23/01/2019,875,894.7,871.25,883.3,1446255
22/01/2019,887.3,889,866.6,878.25,1351841
21/01/2019,894.7,901,885.5,889.15,1095730
18/01/2019,895.5,908.5,883.05,892.1,1609645
