Date,BERGEPAINT-EQ O,BERGEPAINT-EQ H,BERGEPAINT-EQ L,BERGEPAINT-EQ C,BERGEPAINT-EQ V
29/03/2019,325,327.05,322.6,323.75,695249
28/03/2019,322,327.8,321,324.35,569292
27/03/2019,321.9,325.5,319.15,323.85,928485
26/03/2019,313.45,323.9,312,321.7,1388656
25/03/2019,314.95,314.95,310.55,313.5,461846
22/03/2019,311,315.5,310.2,314.35,643973
20/03/2019,312,314.4,309,312.05,573482
19/03/2019,308.2,312.25,307,311.4,701687
18/03/2019,311.95,317.6,307.25,308.3,1214395
15/03/2019,306.4,311,306.35,309.35,815337
14/03/2019,308.5,311.35,304.45,305.95,677380
13/03/2019,309.75,310.4,305.45,307.8,320753
12/03/2019,309.5,313.25,306.15,309.95,802817
11/03/2019,303,310,300.6,307.75,832236
08/03/2019,300.25,304,296.7,302.35,766371
07/03/2019,304,305.95,298.9,300.25,503691
06/03/2019,305.6,308.3,301.5,304.55,473998
05/03/2019,302.2,306.8,301.3,304.95,583906
01/03/2019,304.9,307.4,301.2,302.2,472234
28/02/2019,302,306,299.55,304.95,956316
27/02/2019,298,303.45,295.1,299.5,1000338
26/02/2019,294,298.3,289.85,295.9,609840
25/02/2019,295.3,305.05,291.15,295.55,585369
22/02/2019,294.35,296.45,291.9,294,265316
21/02/2019,294.5,297.9,292.7,294.65,475806
20/02/2019,294.2,296.3,288.6,294.75,642981
19/02/2019,291.25,292.8,286.95,290.4,701942
18/02/2019,291.1,295,285.2,288.8,924186
15/02/2019,297.3,297.3,286.5,292.85,1196995
14/02/2019,300.9,301.45,293.95,298.35,1014630
13/02/2019,306,306,300.45,302.9,714841
12/02/2019,299.95,306.55,297.25,305.6,742764
11/02/2019,312.4,312.4,298.6,299.95,1444102
08/02/2019,314,314.4,307.2,309.75,912214
07/02/2019,311,315.25,308.4,313.9,514411
06/02/2019,307.55,313.1,306.8,310.65,780835
05/02/2019,309.2,311.8,305.1,307.8,773522
04/02/2019,318,318.5,298.4,309.25,3585984
01/02/2019,319,329.55,318.1,325.4,973395
31/01/2019,320,321.4,313.65,318.75,1042566
30/01/2019,310.5,320.3,309.05,317,966291
29/01/2019,313.1,316.75,310.5,312.55,221605
28/01/2019,314,317.4,308.65,312.1,589432
25/01/2019,323.95,323.95,308,313.95,1022976
24/01/2019,320.5,324.5,319.7,322.75,863160
23/01/2019,323.5,324.3,317.6,320.25,587054
22/01/2019,324,324.35,319.55,322.55,452979
21/01/2019,326,330.6,318.95,322.1,2023800
18/01/2019,327,327.05,322.75,326.15,329669
17/01/2019,322.9,326.75,322.65,324.75,451921
16/01/2019,325.6,328.45,322,322.9,251813
15/01/2019,326.9,327.55,324.75,325.8,659240
14/01/2019,325.25,328.5,323.15,324.3,676661
11/01/2019,324.85,326.55,323.75,325.2,583955
10/01/2019,323.35,327.25,322.55,323.9,664254
09/01/2019,326,326.5,321.95,325.45,806721
08/01/2019,318.6,326.7,318.6,323.85,1363730
07/01/2019,324.8,326.75,315.3,318.1,4258530
04/01/2019,323.7,329.85,320.7,323.1,860730
03/01/2019,327.05,330.55,323.65,325.1,1443999
02/01/2019,330.6,331.85,325.95,327.3,1331713
01/01/2019,330.3,333.9,326.65,332.5,277826
31/12/2018,331.95,334.9,328.55,330.3,528273
28/12/2018,329,334.35,327,330.15,535741
27/12/2018,325.15,331.2,325.15,328.35,425546
26/12/2018,325.9,333,320.1,328.3,990882
24/12/2018,332.8,332.8,321.25,323.5,1138787
21/12/2018,341,341.75,329.6,330.65,444971
20/12/2018,340.2,344.85,337.15,339.45,818694
19/12/2018,334.5,343.35,332.2,340.75,2568443
18/12/2018,323,329.6,320.25,328.5,1620170
17/12/2018,323,324.8,318.75,323.05,701183
14/12/2018,317.85,324,315,323.15,843265
13/12/2018,319.5,321.25,314.5,316.75,357421
12/12/2018,312.85,321,309.55,318.95,851794
11/12/2018,304,314.8,298.7,311.7,483209
10/12/2018,305,307,297.1,305.45,649064
07/12/2018,312,313.75,307.65,310.9,405226
06/12/2018,314.5,314.7,306.5,307.65,391650
05/12/2018,318,320.75,312.2,315.5,949861
04/12/2018,322.85,323.5,316,316.95,757167
03/12/2018,319,324.9,319,322.85,969815
30/11/2018,321,324.3,318.2,319.8,646632
29/11/2018,316.05,321,314.7,319.85,640573
28/11/2018,315.15,318.5,312.65,313.35,366364
27/11/2018,319.05,319.1,313.7,316.7,629701
26/11/2018,319.95,322.65,316.2,319.25,1179335
22/11/2018,317.1,318.95,311.25,313.85,646552
21/11/2018,324,326.7,315.45,317.05,1263748
20/11/2018,315.05,320.2,310.15,312.9,499115
19/11/2018,317,321,313.1,315.5,659558
16/11/2018,317.85,318.9,309,317.5,743115
15/11/2018,318.8,320.35,313.35,318.65,306794
14/11/2018,315,329.9,313.6,320.25,2695172
13/11/2018,300.6,310,300.1,309.1,834886
12/11/2018,308,309.2,296.6,300.6,594677
09/11/2018,302.5,311.8,301.35,309.25,1033763
07/11/2018,299.8,299.9,297.8,299.2,55527
06/11/2018,302,304.25,296.55,297.65,504292
05/11/2018,304,307.45,298,301.05,755752
02/11/2018,300,317.4,300,304.4,3364564
01/11/2018,281.55,294,277.15,292,3127450
31/10/2018,286.5,288.4,277.5,279.9,1283904
30/10/2018,286.4,287.75,283.5,285,383406
29/10/2018,282.55,289.9,282.55,285.4,575145
26/10/2018,290,292.4,280.5,282.5,591121
25/10/2018,276.1,296,274,290.95,1779571
24/10/2018,270,280.1,268.1,277.3,639227
23/10/2018,262.15,270.6,260,266.3,1839579
22/10/2018,286,288.7,275.5,279.95,752887
19/10/2018,290.15,295,281.65,283.3,375698
17/10/2018,293.7,294.7,287.3,292.7,718073
16/10/2018,285.1,293.9,283.2,291.55,782549
15/10/2018,289.9,290,279,281.95,425132
12/10/2018,280.55,285.9,279.15,283.95,875819
11/10/2018,272.2,278.25,268.2,274.75,572693
10/10/2018,270.55,279.4,267.5,275.35,663009
09/10/2018,272.25,275.9,266.85,272.7,791150
08/10/2018,268,279.2,265.1,275.35,807183
05/10/2018,270.8,274.95,265.55,267.9,846114
04/10/2018,274.9,282.5,270,273.25,912596
03/10/2018,284,286.95,277.5,283.5,609999
01/10/2018,290,290.7,277.2,285.4,812194
28/09/2018,289.55,297.1,286.6,293.05,518469
27/09/2018,296.5,297.85,288.55,290.95,884110
26/09/2018,301.05,305.95,292.9,295.65,925942
25/09/2018,290.35,301,280.85,298.5,2004298
24/09/2018,300,309.9,296,297.95,766714
21/09/2018,301.2,308.4,281.4,301.2,1454514
19/09/2018,302.5,306.8,296.55,299.7,639730
18/09/2018,304.9,311.7,296.95,300.45,1171417
17/09/2018,309,310,298.9,304.85,2094972
14/09/2018,305,312.8,304.25,311.3,1055522
12/09/2018,297.05,306,293.95,302.65,848772
11/09/2018,302,304.75,295,299.4,869051
10/09/2018,317.45,318.75,299.15,300.4,1191975
07/09/2018,311.2,317.5,308.4,316.05,566026
06/09/2018,318.7,319.3,309.25,310.2,664538
05/09/2018,320,323.9,311.4,318.7,762934
04/09/2018,328.5,329.9,319,323.55,1132920
03/09/2018,335.55,338.5,326.2,328.4,375021
31/08/2018,336,341.9,332.85,334.7,936212
30/08/2018,343,344.75,335.8,337.1,936436
29/08/2018,341.1,349.9,335,343.5,1134345
28/08/2018,334.2,346,331.15,342.65,1609369
27/08/2018,339.1,339.1,328,331.15,782143
24/08/2018,333,339.5,331,336.15,813801
23/08/2018,334,334.95,329.75,333.3,612081
21/08/2018,333.95,341.1,332.1,333.4,1349602
20/08/2018,334.8,338,329.2,332.9,852316
17/08/2018,334.8,337.3,330.3,334.25,2530095
16/08/2018,323.25,332,320.15,329.7,1179779
14/08/2018,321.65,326.5,321.5,324,786169
13/08/2018,327.45,330.5,319.35,320.65,1568573
10/08/2018,315,329.8,314.35,328.2,3045127
09/08/2018,315,317.7,312.65,314.25,229865
08/08/2018,315.55,315.95,312.1,312.95,283241
07/08/2018,311.9,316.9,309,315,841814
06/08/2018,318.95,320.5,307,309.7,1418236
03/08/2018,316,318.35,312.55,314,1331607
02/08/2018,321.5,321.5,312.4,314.25,541803
01/08/2018,316.65,322,315.85,319.45,588637
31/07/2018,313.3,318,311.45,315.45,652057
30/07/2018,319,324.35,312.15,313.35,1326897
27/07/2018,318.3,323.8,316.8,318.9,800563
26/07/2018,315.95,319,313.35,317.2,745780
25/07/2018,319.7,325.5,313.1,316.5,1155926
24/07/2018,315.15,320.9,311.15,317.3,1294407
23/07/2018,322,322,306.5,314.7,1731082
20/07/2018,307,314.35,302.35,309.95,1618311
19/07/2018,307.3,309.8,304.05,308.3,556936
18/07/2018,316.95,318.95,303.45,306.25,1255843
17/07/2018,301.75,315.3,299.05,314,1216572
16/07/2018,302,307.25,296.8,299.55,757383
13/07/2018,304,304,297,299.8,467937
12/07/2018,307.8,312.25,301.85,304.7,1387906
11/07/2018,304.1,306.5,300.8,304.4,642709
10/07/2018,302,305.95,301.75,303.6,735992
09/07/2018,300.05,307.8,299.05,301.1,2047957
06/07/2018,294.25,297.9,290,296.55,2110713
05/07/2018,287,293.8,283.3,290.15,654899
04/07/2018,287,288.75,283.5,286.15,460699
03/07/2018,287,289.5,282.55,286.15,590255
02/07/2018,281,287.8,278.85,285.7,427855
29/06/2018,284.75,285,275.6,281,647971
28/06/2018,280.55,284,272.2,281.05,846957
27/06/2018,286.9,288.55,279,280.55,301340
26/06/2018,280.7,286.9,280.7,284.95,588194
25/06/2018,287,287.9,279.15,280.55,565181
22/06/2018,283.9,287.35,278.85,285.3,308936
21/06/2018,280.3,286.95,279.65,283.75,505479
20/06/2018,280.1,283.75,278.2,281.65,334818
19/06/2018,287,288,280.25,281.75,365512
18/06/2018,294.1,295,286.25,286.9,729222
15/06/2018,284.45,293.9,281.75,291.25,770946
14/06/2018,286,286.5,282.05,283.65,130221
13/06/2018,287,287.35,283.35,285.95,340922
12/06/2018,282.35,284.7,280.5,283.95,320899
