Date,BHARATFIN-EQ O,BHARATFIN-EQ H,BHARATFIN-EQ L,BHARATFIN-EQ C,BHARATFIN-EQ V
29/03/2019,1134.5,1137,1113.15,1130.2,793462
28/03/2019,1136,1141.85,1115.05,1137.35,1499160
27/03/2019,1096.8,1136.95,1095.6,1132,859213
26/03/2019,1067.5,1095.6,1063.55,1089.35,344457
25/03/2019,1073.5,1082.35,1064.15,1074.05,576594
22/03/2019,1073,1092.5,1070.35,1079.4,738331
20/03/2019,1089,1089,1073.3,1078.95,200566
19/03/2019,1089,1092.4,1077,1083,314812
18/03/2019,1074,1087.75,1068.75,1082.35,786990
15/03/2019,1056,1075,1056,1064.8,1315495
14/03/2019,1025.4,1066.5,1022,1054.75,1053824
13/03/2019,993.9,1027,985.15,1019.95,934983
12/03/2019,956.25,998.25,953.45,988.65,908214
11/03/2019,950.55,958.75,945.25,952.8,318776
08/03/2019,960.9,961.9,948.3,953.35,220538
07/03/2019,964.05,971.7,957.4,962.1,239654
06/03/2019,970,971.1,959.4,964.05,303884
05/03/2019,949.9,969.8,946.2,965.15,525575
01/03/2019,925,954.9,925,949.9,539921
28/02/2019,934.8,938,921,923.9,602920
27/02/2019,936,939,914.3,927.4,435954
26/02/2019,935,941.25,915.65,929.2,667792
25/02/2019,920.15,941.3,920.1,938.1,147841
22/02/2019,917.5,932.3,917.5,921.05,478363
21/02/2019,924,935.35,912.2,920.5,507702
20/02/2019,920,935.2,920,933,480374
19/02/2019,949.95,952.1,918.7,923.55,205717
18/02/2019,941.2,956.4,936.8,949.95,225852
15/02/2019,945.1,950.35,937.3,943.75,395760
14/02/2019,931.1,962,920.15,952.6,724082
13/02/2019,937.2,941.3,924.25,933.5,734935
12/02/2019,937,946,932.55,936.1,524497
11/02/2019,935,945,927.55,941.15,511568
08/02/2019,946.6,951.6,933.1,938.55,469573
07/02/2019,944.05,950.75,938.1,945,989774
06/02/2019,957.25,959.95,936.65,949.4,600494
05/02/2019,947,970.25,937.25,959.95,903062
04/02/2019,955,955,915,938.2,516843
01/02/2019,946.5,963,937.75,947.8,448069
31/01/2019,954.4,956.45,927.8,946.3,907510
30/01/2019,936.9,943.1,919.65,932.3,1424142
29/01/2019,910.05,931.3,904.85,923.8,579230
28/01/2019,941.95,948.6,908.8,910.95,602249
25/01/2019,950,962.95,937.95,944.05,168096
24/01/2019,956,956,940.25,947.75,222857
23/01/2019,952.3,961,946.8,951.3,308514
22/01/2019,946,956.85,937.2,953.9,842839
21/01/2019,960,960,945.2,951.1,175173
18/01/2019,963.2,968.2,955.6,957.9,191279
17/01/2019,969,972.05,955.75,962.65,259963
16/01/2019,948,969.15,948,966.7,809025
15/01/2019,945,953,943.25,948.85,411310
14/01/2019,961.4,961.4,937,941.45,576183
11/01/2019,995,995,961,966.15,679342
10/01/2019,1019,1019,983.85,990.5,636011
09/01/2019,1002.3,1017.05,983.2,1011.55,467838
08/01/2019,993,1006.9,987,1000.6,313427
07/01/2019,1000.5,1022.6,979,991.7,647501
04/01/2019,990,1000.5,982.45,988.65,361521
03/01/2019,997,1004.9,986.35,992.9,259876
02/01/2019,1011.45,1014.6,995.75,1001.4,199322
01/01/2019,1017,1017,991.8,1011.85,143507
31/12/2018,1012,1017.45,1007.1,1012.7,195145
28/12/2018,1004.65,1016.2,1000.5,1004.8,215700
27/12/2018,1001,1008.25,995.15,999.9,796468
26/12/2018,975,1001,957.6,990.7,703858
24/12/2018,995.05,1006.2,979.4,983.85,1003045
21/12/2018,1032,1032,995.2,999,526432
20/12/2018,1020,1028,1010.45,1023.15,254848
19/12/2018,1036.85,1047.85,1017.75,1021.4,685782
18/12/2018,1031,1038.9,1016.25,1035.4,528633
17/12/2018,1012.55,1041.5,1012.55,1035.35,600530
14/12/2018,1016,1022,1006.4,1017.65,509673
13/12/2018,1007,1033.35,996.5,1013.75,1290761
12/12/2018,989.4,1001.15,985.4,995.85,587153
11/12/2018,962.1,990.95,936.05,985.5,703158
10/12/2018,979,995.4,955.5,981.75,969492
07/12/2018,997.5,997.5,969.5,991.3,514035
06/12/2018,1008.7,1008.7,980.9,990.55,726357
05/12/2018,1022,1028.15,1006.3,1013.3,1743294
04/12/2018,1041.7,1044.9,1024.55,1031.05,948537
03/12/2018,1033,1046,1026.85,1042.15,2074127
30/11/2018,1040.1,1059.2,1012.15,1023.05,2332435
29/11/2018,1011,1042,1005.55,1034,2354922
28/11/2018,982.85,1004,982.85,1001.1,846122
27/11/2018,966,988.55,962.3,982.85,786392
26/11/2018,950,975.5,949.95,970.35,615198
22/11/2018,963.5,974.75,946.8,951,389381
21/11/2018,965.2,972,952.6,962.5,345521
20/11/2018,954.75,976,945.3,965.2,1023702
19/11/2018,929.7,956,922.6,953.6,854900
16/11/2018,945,946.1,921.6,925.6,698400
15/11/2018,944.7,957.9,932.65,940.75,422216
14/11/2018,931.2,951.9,926.6,942.15,849436
13/11/2018,919.7,924.6,905,921.2,145176
12/11/2018,930,936.1,913.55,922.15,197229
09/11/2018,913.8,932,908.9,923.4,449044
07/11/2018,913,919.95,906.8,911.9,41688
06/11/2018,919.6,930,891.55,904.35,1039097
05/11/2018,946.9,946.9,913.1,918.85,623626
02/11/2018,915,958,915,952.9,2042625
01/11/2018,880,927.6,857.95,910.65,2679009
31/10/2018,840,885.95,823.75,878.35,2167733
30/10/2018,857.4,860.9,830.55,839.9,757033
29/10/2018,880,880,843.85,860.25,1280683
26/10/2018,906.1,909.65,874.2,878.5,1098026
25/10/2018,915,926.55,886,904.6,2904049
24/10/2018,912.5,928.4,905.25,924,1279493
23/10/2018,896.1,925.8,875.6,899.3,4013245
22/10/2018,968.15,989.95,884.7,902.3,2476612
19/10/2018,975,988.8,960.3,967.85,1360386
17/10/2018,1014.4,1022.8,980.6,983.55,1511775
16/10/2018,1010,1051.7,1000.55,1005.15,966489
15/10/2018,1032,1032,991.6,1007.75,760341
12/10/2018,991.25,1025.8,991.25,1021.2,1254699
11/10/2018,1000,1000,978.45,990.8,274232
10/10/2018,999,1034,993.35,1019.25,597101
09/10/2018,987.1,1003,981.1,996.45,715116
08/10/2018,990,1002.9,975,988.4,1244305
05/10/2018,983,1016,981.55,997.7,964923
04/10/2018,1005.9,1011,964.15,989.65,1477707
03/10/2018,1016.9,1033.7,998.3,1016.55,1025025
01/10/2018,1031,1031.05,996.25,1017.3,2110308
28/09/2018,1039,1060.35,1027.55,1038.6,1433941
27/09/2018,1063.25,1066.45,1039,1043.3,1016907
26/09/2018,1058,1065.6,1048.1,1063,1968359
25/09/2018,1028.4,1067.05,1016,1056.35,2419157
24/09/2018,1090.2,1095.75,1024.6,1031.05,1092163
21/09/2018,1122.2,1126.9,1057.55,1090.3,1277988
19/09/2018,1145,1151.9,1110,1114.35,378092
18/09/2018,1160.9,1165,1141.55,1144.8,296030
17/09/2018,1139.1,1161.35,1128.75,1160.2,1663554
14/09/2018,1131,1153.85,1127.15,1147.55,876494
12/09/2018,1127.85,1149.5,1113,1123.95,619933
11/09/2018,1131.8,1141.2,1112.15,1120.8,341023
10/09/2018,1144,1144,1118,1122.95,451098
07/09/2018,1150,1151,1135.9,1148.15,300334
06/09/2018,1133,1150,1130.5,1145.25,381151
05/09/2018,1125,1137.85,1109.2,1129.9,872238
04/09/2018,1156.9,1159.2,1126,1131.15,851630
03/09/2018,1164.1,1169.5,1155,1159.7,237726
31/08/2018,1133.55,1169.9,1133.55,1162.6,513902
30/08/2018,1167,1167.65,1140.1,1142.7,1460964
29/08/2018,1178,1180.05,1160.5,1162.8,419917
28/08/2018,1198,1209.5,1177.35,1178.95,501915
27/08/2018,1192,1203.75,1185.05,1197,298205
24/08/2018,1196.8,1196.8,1182,1186.45,426485
23/08/2018,1205,1209.45,1195.3,1199.55,368115
21/08/2018,1215.45,1219.65,1205,1209.45,402415
20/08/2018,1211.65,1223.9,1211.65,1213.5,472581
17/08/2018,1209.1,1224.7,1208.85,1215.8,602856
16/08/2018,1215.5,1215.5,1199.2,1208.95,463124
14/08/2018,1211,1223.2,1202.4,1218.15,325279
13/08/2018,1198.5,1215,1189.75,1209.4,379870
10/08/2018,1201.1,1209,1193.6,1203.55,449377
09/08/2018,1216.85,1217.3,1205.4,1209.25,498556
08/08/2018,1203.9,1219.45,1200.45,1212.8,557892
07/08/2018,1210,1214.45,1198.1,1202.55,854273
06/08/2018,1226,1229.05,1204.15,1209.2,511966
03/08/2018,1229.9,1234.8,1221.15,1225.1,642711
02/08/2018,1210.8,1233.95,1208.95,1228.1,687985
01/08/2018,1221.1,1228.85,1209.35,1213.35,624948
31/07/2018,1198.95,1219.9,1194.8,1214.55,434864
30/07/2018,1205,1217.1,1190.8,1198.95,635267
27/07/2018,1203,1213.65,1184.2,1205.75,813724
26/07/2018,1191.9,1208.7,1171.75,1190.6,1552360
