Date,BHARATFORG-EQ O,BHARATFORG-EQ H,BHARATFORG-EQ L,BHARATFORG-EQ C,BHARATFORG-EQ V
29/03/2019,498,516.85,497.9,512.4,1489632
28/03/2019,491.05,498.35,488,494.65,1597993
27/03/2019,491.5,499.2,485.55,491.05,1356602
26/03/2019,490,494.55,483.9,491.35,917148
25/03/2019,490.4,492.8,482,487.6,1972061
22/03/2019,504.65,509.85,492,494.6,1360552
20/03/2019,515.65,516.95,502.5,503.65,1445005
19/03/2019,517.95,520.7,514.15,516.7,745438
18/03/2019,537,537.05,515.55,517.25,1310619
15/03/2019,531.5,548.25,526.3,535.55,3914300
14/03/2019,535,541,528,530.35,972792
13/03/2019,530,544.75,524.05,537.5,2937794
12/03/2019,536.5,537.15,527.15,530.1,1476167
11/03/2019,509.9,537,506.65,533.85,3216600
08/03/2019,514,516.55,502.1,507.35,1200535
07/03/2019,515.1,525,512.3,516.35,1324032
06/03/2019,520.45,526.5,513.05,518.55,2106915
05/03/2019,514,528.45,505.2,526.1,2469584
01/03/2019,517.5,521.55,510,519.75,1154025
28/02/2019,514,518,509.65,512.9,1574255
27/02/2019,509.4,517,506.2,511.2,1930334
26/02/2019,492,513.35,486.05,506.25,2879913
25/02/2019,489.2,496.25,486.35,494.55,1746291
22/02/2019,480.95,491,477.75,489.2,837374
21/02/2019,476,482.85,469.6,480.8,769754
20/02/2019,461,477.95,459.4,473.55,1494861
19/02/2019,458,465.85,456.1,457.6,675042
18/02/2019,468,471.15,457.75,459,1031691
15/02/2019,477,478.15,459,469,2152438
14/02/2019,473.85,483.55,466,478.45,1816217
13/02/2019,488,501.5,472.45,477.85,5975062
12/02/2019,479,486.4,477.35,483.8,580373
11/02/2019,482.2,484.55,472.5,479.1,527381
08/02/2019,498,498,478.15,484.55,754438
07/02/2019,482.8,495.45,481.7,492.8,772841
06/02/2019,474.3,487.4,472,482.1,1717658
05/02/2019,485.1,494.45,485.1,487.65,618809
04/02/2019,495,495,483.2,487.65,602203
01/02/2019,491,505.85,488.2,495.45,1723141
31/01/2019,477.6,496,476.5,493,2264567
30/01/2019,486.05,488.5,473.8,475.3,1008221
29/01/2019,468.05,489.5,463.55,486.05,2091115
28/01/2019,478.1,479.45,468.25,470.6,738279
25/01/2019,477.4,487.5,476.05,479.6,1453797
24/01/2019,491,492.95,473.75,475.8,1023064
23/01/2019,484.5,493.05,480.15,490.1,1999764
22/01/2019,476,488,473.85,486,1022305
21/01/2019,480,483.95,474.7,478.65,1140253
18/01/2019,492.2,492.6,473,479.8,1490363
17/01/2019,490.1,493.95,485.6,489.2,780731
16/01/2019,487.9,494,484.1,489.75,1218694
15/01/2019,478.5,488.6,474,486.65,1650630
14/01/2019,481,482,471,476.5,967635
11/01/2019,484.15,485.45,477.05,481.65,944881
10/01/2019,480,484.1,475.65,482.35,1618253
09/01/2019,473.55,478.55,469.4,477,1367513
