Date,BHARTIARTL-EQ O,BHARTIARTL-EQ H,BHARTIARTL-EQ L,BHARTIARTL-EQ C,BHARTIARTL-EQ V
29/03/2019,331,336.35,329,333.1,4459756
28/03/2019,322.6,333,317.75,329.95,12272355
27/03/2019,331,333,320.4,322.5,5364208
26/03/2019,328.55,331.4,326.25,327.8,3827846
25/03/2019,332.9,334.9,323.2,327,4734760
22/03/2019,336,347.4,329.3,331.55,8213789
20/03/2019,337.15,339.9,332.35,334,2982715
19/03/2019,332,339.45,332,336.75,5082584
18/03/2019,338,343.65,329.3,330.6,7007083
15/03/2019,344,344.85,331.2,337.7,10397551
14/03/2019,337,345.95,334.55,342.4,6246873
13/03/2019,348.5,356.55,336.5,337.75,12612026
12/03/2019,332.8,354,329.35,351.8,27100883
11/03/2019,309.05,337.1,308.7,333.8,15374558
08/03/2019,309.75,312,307.65,308.7,4002947
07/03/2019,310,312.2,307,307.65,5828055
06/03/2019,310.95,313.25,308.3,309.4,6392974
05/03/2019,308,309.2,303.6,307.85,10271412
01/03/2019,317.8,317.8,302.1,307.65,26657232
28/02/2019,324.9,326.95,315.95,318.05,6928578
27/02/2019,318.95,325.25,314.35,320.15,4080123
26/02/2019,315.7,320.5,313.4,315.45,5012987
25/02/2019,314,320,311.6,317.25,3744506
22/02/2019,309.2,316.5,308.05,313.85,5587441
21/02/2019,305.9,311,303,309.9,5232493
20/02/2019,305.55,310.85,304.95,309,5603086
19/02/2019,303.9,313.5,301.55,303.7,6844127
18/02/2019,306.9,307.15,300.05,302.55,4001810
15/02/2019,301,306.05,297.35,304.6,6063171
14/02/2019,309,309.9,296.5,300.8,7726834
13/02/2019,312.45,312.55,307.3,310.55,2196566
12/02/2019,311.7,315.6,309.65,311.25,2006320
11/02/2019,315,315.45,311,312.2,2977404
08/02/2019,309,314.2,306.1,313.25,3076831
07/02/2019,308.6,314.4,305.2,311.15,3472111
06/02/2019,307,310.5,301,308.75,4688955
05/02/2019,295.4,311.65,292.85,308.2,13229252
04/02/2019,310,310.75,302.2,306.55,3511129
01/02/2019,305.1,320.9,305,311.85,8331159
31/01/2019,304.5,310.45,303.15,306.4,8555853
30/01/2019,309,312.9,300.1,303.7,5906356
29/01/2019,305,309.65,301.7,307.85,2893056
28/01/2019,308,309.35,294.7,305.15,4097172
25/01/2019,304,312,302,307.5,5443641
24/01/2019,306.7,307.8,294.5,301.65,9363696
23/01/2019,306.8,307.4,302.3,303.7,5063257
22/01/2019,312,312.1,301.55,304.85,7904590
21/01/2019,310.7,315.5,306,311.35,7769963
18/01/2019,330.5,332.45,304.3,311.15,14744448
17/01/2019,333,336.75,330.2,332.05,4118364
16/01/2019,336.75,345.25,331.4,333.95,6944533
15/01/2019,330,339.35,326.5,337.75,5143387
14/01/2019,334.1,334.8,328.15,331.6,3311854
11/01/2019,337.15,337.3,329,335.1,5337767
10/01/2019,336.55,338.65,332.4,337.3,5180570
09/01/2019,333.2,337.9,327.3,334.5,7226454
08/01/2019,323.75,331.75,323.25,329.25,6484522
07/01/2019,324.4,327.9,322.1,324.95,4966909
04/01/2019,312.45,324.7,312.45,322.45,10239262
03/01/2019,312.5,315.5,307.95,313.5,5615566
02/01/2019,316.9,321,309.1,312.65,5604911
01/01/2019,315.95,322,313.3,319.5,5513123
31/12/2018,319,320.9,311.1,312.5,3795043
28/12/2018,316.9,321,314.5,316.55,4672856
27/12/2018,323.2,323.7,314,316.7,7899279
26/12/2018,308.2,323,302.6,320.45,7540970
24/12/2018,309.8,312.3,304.25,309.1,4709660
21/12/2018,320,324.75,305.6,307.9,11143116
20/12/2018,317,321.55,314,316.55,5396352
19/12/2018,319.5,324,318.05,322.7,5217959
18/12/2018,314.2,320.7,311.6,317.8,5653153
17/12/2018,319.25,323.2,312.8,315.2,6136693
14/12/2018,305.2,333.4,305.2,319.25,20486283
13/12/2018,308.5,312.85,301.55,303.1,6909651
12/12/2018,294,311,291.5,305.55,9282794
11/12/2018,288,294.4,282,290.25,9007497
10/12/2018,298.45,301.65,290.85,294.95,5181119
07/12/2018,305,307.8,298.95,303.95,4775658
06/12/2018,311,311,302,304,5918098
05/12/2018,319.7,320.85,310.2,312.8,4530938
04/12/2018,321,323.5,310.25,318.55,6449992
03/12/2018,316.5,321,314.5,319.75,3036001
30/11/2018,319,324.3,310.7,313.5,5944313
29/11/2018,321,322,312,317.2,8307218
28/11/2018,332,332.8,311,314.1,9175591
27/11/2018,333.9,335.9,324.1,328.15,6970751
26/11/2018,328.05,338.9,328.05,334.55,5969802
22/11/2018,331.9,339.8,321.4,327.85,8925992
21/11/2018,331,339.45,330.15,332.7,8477936
20/11/2018,333.1,339.45,328.3,331.95,10734672
19/11/2018,329.4,338.9,319,336.85,11772584
16/11/2018,302.9,336.8,302,332.75,22573096
15/11/2018,301.3,306.7,298,304.4,4050154
14/11/2018,300,311.8,298,301.3,4883558
13/11/2018,296,304,290.3,297.55,3891168
12/11/2018,301,305,294,296.2,6121627
09/11/2018,289.8,303.4,288.7,299.75,8495072
07/11/2018,309,309,303.95,306.25,276702
06/11/2018,304,307.95,302.9,305.05,2653071
05/11/2018,300.8,305.4,298,303.2,4363411
02/11/2018,293.9,307.8,293.5,302.05,4425655
01/11/2018,293,298,287.35,293.5,4748038
31/10/2018,292.9,295,278.9,292.35,7357453
30/10/2018,294.45,297.2,289.35,292.6,4807626
29/10/2018,299.1,303.55,290,294.1,5651902
26/10/2018,297.1,306,287,297.95,7858963
25/10/2018,307,310.4,292.15,295.55,15304817
24/10/2018,290,328.75,286.65,315.85,12195277
23/10/2018,283.05,290.6,283,285.9,6637533
22/10/2018,289.45,290,276.85,285.75,6531421
19/10/2018,287,293.2,284.6,287.3,3730327
17/10/2018,296.5,298.35,284.65,288.5,3877700
16/10/2018,292.4,295.9,289.2,294,3011299
15/10/2018,290.05,293,284.05,291.1,2607240
12/10/2018,288,292.6,284.65,290.05,9008275
11/10/2018,288.95,294.8,282.25,285.35,4681303
10/10/2018,289,303.8,284.2,295.1,10215590
09/10/2018,296.25,296.9,287,289,8561269
08/10/2018,298.8,298.8,291,295.2,9026370
05/10/2018,308.5,315.9,291.9,298.6,7168719
04/10/2018,315.35,317.45,302.15,310.15,8083991
03/10/2018,326,327.3,316.35,318.45,6659938
01/10/2018,339,340,321.7,326.75,9794496
28/09/2018,356.8,359,335.15,338.55,11183009
27/09/2018,361.5,363.45,354.65,356.8,4041142
26/09/2018,363,365,357.15,361.3,3964043
25/09/2018,359.2,363.65,344,360.5,6177721
24/09/2018,370.4,372.9,350.5,356.2,7105527
21/09/2018,364.9,379.85,357.25,370.5,5503664
19/09/2018,374.5,380.4,360.3,370.05,1966708
18/09/2018,380.2,384.8,372.55,373.7,2663263
17/09/2018,380.15,391,377.1,382.05,3086233
14/09/2018,378,388.2,373,383.6,3241639
12/09/2018,380.9,382.15,371.8,376.7,3664475
11/09/2018,388.5,392.4,377.45,378.7,5241423
10/09/2018,389.3,397.5,382.2,388.4,5059483
07/09/2018,373.9,391.3,368.8,389.6,4923668
06/09/2018,373.95,374.7,368.1,372.3,2354020
05/09/2018,375,377.85,366.25,372.05,5983744
04/09/2018,382.3,383.45,375.7,378.35,2886141
03/09/2018,387,387.25,380.45,383.8,3764539
31/08/2018,379.85,386,376,383.85,7849613
30/08/2018,377.3,385,375.65,383.1,7026818
29/08/2018,378,382.45,372.75,374.9,4038807
28/08/2018,382.35,385.7,375.4,376.8,3669920
27/08/2018,370,383.8,367.4,379.15,5938671
24/08/2018,370,370.8,365,368.95,2089422
23/08/2018,372.3,376.75,368.1,369.9,4278039
21/08/2018,364,370.4,363.1,368.25,3110530
20/08/2018,372.4,373.85,367.3,370.55,2557572
17/08/2018,372.05,375,366.15,371.4,3030830
16/08/2018,366.55,374,365.2,372,2715006
14/08/2018,370.15,372.7,364,367,2897961
13/08/2018,368.9,375.75,363,370.15,3817525
10/08/2018,368.2,374.8,365.1,369.8,4046462
09/08/2018,386.3,386.3,364.5,367.05,11040336
08/08/2018,380.1,387.9,373.4,385.3,2993950
07/08/2018,385.75,386.8,379.25,381.9,2190884
06/08/2018,374.85,387.7,374.7,385.75,3640662
03/08/2018,374.8,376.9,370.4,374.5,3287520
02/08/2018,383.4,384.75,369.2,373,5575854
01/08/2018,390,399,382.65,384.5,8512340
31/07/2018,382,392.55,378.7,390.6,7296848
30/07/2018,359,388.9,355.3,383.25,6737958
27/07/2018,359.9,373.9,351.65,364.7,8126603
26/07/2018,353.05,360,352.35,357.65,3439808
25/07/2018,355.1,355.8,343.5,352.3,4664164
24/07/2018,361.4,366.45,355.25,356.8,3920957
23/07/2018,345.5,360,345,358.95,3735930
20/07/2018,343,347.7,340.35,345.4,3796397
19/07/2018,339,347.5,337.6,345,4531466
18/07/2018,344.1,345.1,331,336.8,4796681
17/07/2018,347,350.7,340,342.55,4884957
16/07/2018,356,359.75,344.8,347.4,3261119
13/07/2018,364,364.85,357.35,358.95,4786772
12/07/2018,365,365,360.35,362.15,2072184
11/07/2018,368.9,368.9,360.9,362,1879248
10/07/2018,362.5,369.8,362.5,367.8,1693780
09/07/2018,366,366.4,361.6,362.1,4730035
06/07/2018,362,365.4,359.9,362.25,7218013
05/07/2018,365,366.75,359.65,363.4,6402876
04/07/2018,370.85,371.9,362.7,367.4,3925362
03/07/2018,374.6,374.6,366.1,370.75,2787262
02/07/2018,381.1,381.4,365.55,368.05,4391116
29/06/2018,375.3,383.3,375.3,381.95,3443146
28/06/2018,373.7,381.4,368.55,377.95,5857077
27/06/2018,381.25,381.55,373.1,375.65,3412205
26/06/2018,374,382.75,373.2,380.2,4318837
25/06/2018,372,377.95,371.8,374.15,3008052
22/06/2018,370.95,376.5,366.3,374.55,3068406
21/06/2018,374.95,375,363.8,368.7,3841053
20/06/2018,372.5,376.5,370.45,371.9,2510768
19/06/2018,371,375.9,369.2,371.2,3570887
18/06/2018,377.95,380.9,368.05,370.9,2812154
15/06/2018,378.7,380.25,370.2,378.25,5713581
14/06/2018,373.5,384,373.5,376.5,4703619
13/06/2018,374,382.9,373.3,375.65,6698891
12/06/2018,389.95,393.4,379.55,380.65,5527034
11/06/2018,377.75,391.8,377.75,388.8,5444048
08/06/2018,379.5,383.45,372.25,377.55,3874201
07/06/2018,379.7,386.25,375,379.95,3637971
06/06/2018,362.1,381.9,362.1,379.75,5016415
05/06/2018,371.4,372.25,357.55,364.3,4989187
04/06/2018,384,386.75,370.1,372.3,3567479
01/06/2018,374.55,385.9,372.55,383.7,4099108
31/05/2018,376.1,383.2,371.25,373.6,10796716
30/05/2018,378.9,378.9,373,375.8,3368675
29/05/2018,375.95,381.7,371.25,379.15,3477100
28/05/2018,377.6,380.8,370.8,375.15,5957301
25/05/2018,372.3,380,367,376.95,3735986
24/05/2018,359,373.9,356.9,371.9,4503855
23/05/2018,361.8,365.8,354.25,356.8,5952154
22/05/2018,356.95,371.1,351.6,361.85,6522208
21/05/2018,361.35,369.25,355.2,360,4941028
18/05/2018,368.05,368.05,355.05,361.35,11205849
17/05/2018,377.25,378.95,365.45,367.6,9012407
16/05/2018,382.95,382.95,374,375.35,6098125
15/05/2018,383,388.15,378.35,381.95,6379409
14/05/2018,386,394,378.3,383.15,8853922
11/05/2018,400.15,402.7,381.5,386.6,23031948
10/05/2018,404.85,413.7,403.9,412.1,8132505
09/05/2018,403.2,409.5,397.2,402.45,8129162
08/05/2018,401.45,402.95,396.8,401.15,3565204
07/05/2018,401.5,404.55,395.5,398.25,5906011
04/05/2018,410.85,418.35,394,396.75,14415306
03/05/2018,406.3,408,399,404.4,3716970
02/05/2018,412.9,412.9,406,408.45,6087447
30/04/2018,407,413.25,404.2,409.55,3274387
27/04/2018,406.25,411.75,401,408.75,4518031
26/04/2018,420,420,405.45,409.2,12504161
25/04/2018,414.45,427.4,412,419.85,20000806
24/04/2018,401.9,408.6,396.6,406.25,6292775
23/04/2018,401.5,406.5,396.85,402.85,3780866
20/04/2018,393.55,403.7,391.45,402,6753048
19/04/2018,388.75,397.3,385.45,395.35,3468687
18/04/2018,383.7,391.85,382.35,384.25,5732851
17/04/2018,377,383.45,374.15,382.05,5728575
16/04/2018,377,380.3,374.5,376.65,3731213
13/04/2018,382.95,386.2,375.8,377.9,6974242
12/04/2018,384,385.5,379.2,380.2,4477422
11/04/2018,388,390.8,383.35,385.3,6933891
10/04/2018,381.05,386.7,374.5,385.55,11969955
09/04/2018,382.9,386.7,376.65,380.3,11983251
06/04/2018,394.2,396.5,383.1,384.95,8494868
05/04/2018,398.1,400.9,391.15,393.9,8784680
04/04/2018,404,404.8,392.95,395.05,3627666
03/04/2018,391.25,404,391.25,402.2,4559620
02/04/2018,399.5,401.75,390.5,395.1,4986921
28/03/2018,411,413.05,395.4,398.7,10286301
27/03/2018,422,422.4,408.2,413.2,6080433
26/03/2018,412,423,406.6,421.5,4402440
23/03/2018,412.65,418.95,405.2,412.7,5133743
22/03/2018,414,420.25,412.1,415.6,4850714
21/03/2018,403,420.15,402.2,418.2,8351422
20/03/2018,399,403.5,392.7,400.4,7463026
19/03/2018,418,421.6,396.7,399.65,5408078
16/03/2018,415.25,426.75,413.65,416.75,7237424
15/03/2018,422.6,424.3,417.25,420.45,3277154
14/03/2018,425.9,425.9,418.55,422.6,3780338
13/03/2018,423,429.8,420.15,426.3,5148679
12/03/2018,405,424.5,404,421.55,7558993
09/03/2018,404.9,408.5,397.55,402.15,4590422
08/03/2018,411.5,414.1,395,401.3,7808565
07/03/2018,410.65,416.3,391.25,403.2,10873348
06/03/2018,423.7,427.65,410.6,413.9,3789549
05/03/2018,426.95,427.1,417.6,421.45,3482148
01/03/2018,429.05,436.6,425.75,427.75,5260644
28/02/2018,430,433.5,425.9,428.55,23360784
27/02/2018,425.8,432.65,424.3,430.5,4675953
26/02/2018,430,430,420.85,423.15,3669690
23/02/2018,419,428.2,417.1,425.55,6763260
22/02/2018,418.8,419.25,413.35,416.1,9706094
21/02/2018,420,422.5,417.35,419.65,4264637
20/02/2018,415.1,422.2,415.1,418.1,7230257
19/02/2018,419.85,420,403.2,414.35,5819508
16/02/2018,434.95,434.95,418.4,419.7,3968970
15/02/2018,439.3,439.3,426.7,428.95,4130548
14/02/2018,426.3,438.5,426.3,434.8,9434541
12/02/2018,429.8,431,421.35,424.4,3593521
09/02/2018,424,433.95,419.7,422.5,4861350
08/02/2018,434,436,425,429.8,5563903
07/02/2018,444.95,449.4,427.1,430.25,9898121
06/02/2018,420,447.75,418.55,439.15,8409695
05/02/2018,417.75,446.75,411.2,440.2,13591277
02/02/2018,437.8,440.5,415.8,422.35,6009663
01/02/2018,440.05,447,430.1,438.4,7297226
31/01/2018,442.5,446,436.4,439.85,6371320
30/01/2018,440.6,451.1,437.25,440.6,9624998
29/01/2018,444,446.4,435.05,440.6,24459885
25/01/2018,463.5,463.5,444.45,452.7,18548035
24/01/2018,486.9,487,455.15,459.5,26450900
23/01/2018,494,498.8,488.8,492.1,5543486
22/01/2018,495.6,498.5,488,490.7,4084647
19/01/2018,484,500.25,483.5,497.9,8982201
18/01/2018,501,508.8,493,495,7131552
17/01/2018,495,503.2,491.45,499.9,6150484
16/01/2018,508,513.65,491.4,497.25,5786478
15/01/2018,509.8,511.95,502.45,504.5,2554677
