Date,BHEL-EQ O,BHEL-EQ H,BHEL-EQ L,BHEL-EQ C,BHEL-EQ V
29/03/2019,71.7,76.35,71.65,74.95,35964901
28/03/2019,72.1,72.4,70.85,71.55,45326931
27/03/2019,72,72.75,70.65,71.3,26105730
26/03/2019,69.95,72.7,69.75,71.05,35481702
25/03/2019,67.1,70.1,66.55,69.1,26125367
22/03/2019,68.75,69.35,66.9,67.55,12856428
20/03/2019,68.1,72.4,68.1,68.55,34728590
19/03/2019,67.5,68.45,67.15,68.1,10369254
18/03/2019,68.2,69.15,66.45,67.15,11419966
15/03/2019,66.25,68.05,66.1,67.8,6878337
14/03/2019,67.75,68.65,66.6,67.25,5767075
13/03/2019,70.05,70.2,67.75,68,5268092
12/03/2019,70.45,71.35,69.55,69.8,7526822
11/03/2019,67.7,70.6,67.2,70.05,12701280
08/03/2019,67.9,67.9,66.5,67.1,9335968
07/03/2019,69.2,69.25,67.75,68.1,4192540
06/03/2019,67.65,70.15,67.5,69.1,13004838
05/03/2019,67.75,68,66.4,67.3,9082342
01/03/2019,64.8,66.6,64.65,66.15,9309674
28/02/2019,65,65.15,64.1,64.45,14167452
27/02/2019,65.1,66,64.6,64.95,6764048
26/02/2019,63.55,65.6,62.2,64.85,6564549
25/02/2019,63.95,64.8,63.1,64.35,4015688
22/02/2019,62.9,64.15,62.45,63.65,4784997
21/02/2019,63,63.1,62.35,62.95,3138802
20/02/2019,62.3,63.15,62,62.75,5089826
19/02/2019,61.1,62.8,61.1,62.05,4229035
18/02/2019,61.05,61.6,60.9,61.15,6749057
15/02/2019,61.95,62,60.7,61.05,7013360
14/02/2019,60.25,62.8,60.15,62.3,7971447
13/02/2019,61.9,62.1,60.8,61,7374677
12/02/2019,62.5,62.6,61.5,61.8,5528900
11/02/2019,61.2,63.25,61,62.75,9511824
08/02/2019,62.25,63.25,61.8,62.25,8295240
07/02/2019,61,62.5,60.6,62.2,8069603
06/02/2019,59.35,61.15,57.6,60.8,19423985
05/02/2019,64.95,65.15,56.2,58.85,48929404
04/02/2019,64.55,65.3,63.1,64.95,6807730
01/02/2019,64.95,65.7,63.65,64.35,6031620
31/01/2019,64.5,65,63.7,64.7,12325961
30/01/2019,64.95,64.95,63.6,63.9,7509058
29/01/2019,63.2,65.35,63.2,64.4,8758306
28/01/2019,66.5,66.75,63.45,63.75,8737901
25/01/2019,69.15,69.5,66.05,66.4,7134722
24/01/2019,69.25,70.1,68.65,69.05,6289323
23/01/2019,71.25,71.6,69.05,69.35,5371992
22/01/2019,70.95,71.55,69.95,71.2,6256263
21/01/2019,71.1,72.25,70.7,70.95,10341030
18/01/2019,70.4,71.15,69.7,70.95,17158253
17/01/2019,68.6,70.4,68,70.15,9573414
16/01/2019,68.45,69.6,68.15,68.35,5484091
15/01/2019,68.1,68.8,67.8,68.35,5007754
14/01/2019,68.75,68.75,67.5,67.8,4735962
11/01/2019,69.35,69.35,68.1,68.55,7359392
10/01/2019,70.25,70.5,68.7,68.85,7810193
09/01/2019,71.8,71.9,69.7,70.25,7124203
