Date,BIOCON-EQ O,BIOCON-EQ H,BIOCON-EQ L,BIOCON-EQ C,BIOCON-EQ V
29/03/2019,611.5,619,606.1,610.55,1377832
28/03/2019,600,608.75,592.1,606.95,2312733
27/03/2019,614.7,617.5,600,602.3,1276907
26/03/2019,614.9,615.9,610.4,611.4,839784
25/03/2019,614.2,616,608.2,610.25,1574371
22/03/2019,630,630,616,616.95,760804
20/03/2019,630.9,637.2,626.35,628.15,1469705
19/03/2019,633,633.25,623.6,629.4,824569
18/03/2019,625,632,620.2,628.85,952515
15/03/2019,620.1,628.9,618,623,975101
14/03/2019,618,624,611.6,617.5,1043247
13/03/2019,636.95,636.95,616,618.55,1130509
12/03/2019,625,641.95,624,636.35,2108547
11/03/2019,615,624.15,614.85,623,802978
08/03/2019,613,619.5,611.6,614.8,1355805
07/03/2019,607.05,621.35,607.05,611.55,4866730
06/03/2019,630.4,634.4,624.25,626.1,1157958
05/03/2019,633.2,633.25,623.5,626.9,1257934
01/03/2019,624,634.4,623,632.9,848570
28/02/2019,620.1,628.8,617.75,621.45,1727329
27/02/2019,623,629.4,612.5,616.4,1213213
26/02/2019,614.7,621.75,607.3,619.6,930824
25/02/2019,622.9,623.35,615.55,617.85,497127
22/02/2019,622.4,627.8,618.6,621.2,704110
21/02/2019,620.2,624.9,617.4,621.65,789303
20/02/2019,616.8,621,611.2,619.4,1046992
19/02/2019,608.4,620.7,605.2,616.15,1394619
18/02/2019,621.9,625.9,604,605.85,2041693
15/02/2019,639.9,642,610.85,615.25,1454160
14/02/2019,638.45,644.4,634.1,641.85,947580
13/02/2019,646,646.65,637.05,639.65,583245
12/02/2019,643,653.4,636.8,643.55,1306820
11/02/2019,654.9,655,641.15,644.2,730783
08/02/2019,656,663.7,646.2,654.3,1033097
07/02/2019,634.95,658.8,633.15,655.6,1614530
06/02/2019,650.6,652.55,628.1,634.55,1179571
05/02/2019,655.5,659.3,646,649.3,613560
04/02/2019,668.1,668.1,650.2,652.45,931368
01/02/2019,641,669.5,641,666.25,1520377
31/01/2019,650,655.35,646,648.3,953052
30/01/2019,650,654.65,643.55,646.1,1865144
29/01/2019,648,654.75,644,648.2,1741264
28/01/2019,665,666.5,641.05,649.05,1809772
25/01/2019,681,682.45,656.3,664.7,8429182
24/01/2019,673.7,673.7,665.25,670.1,1514939
23/01/2019,673.5,677.2,666.05,670.65,2429064
22/01/2019,664.7,671.9,660.1,668.6,1185290
21/01/2019,654.8,671.3,654.3,663,1826408
18/01/2019,660,672.5,650,652.05,3525582
17/01/2019,652.1,660,649.4,657.65,1100775
16/01/2019,648.9,655,645,650.7,937081
15/01/2019,650.1,651.45,643.05,647.7,1217601
14/01/2019,645,647.75,638.25,645.5,1857352
11/01/2019,630.85,643.65,628.1,642.5,1775791
10/01/2019,631,632.25,620.15,630.45,1476768
09/01/2019,632.7,636,628.4,631.85,1452880
08/01/2019,621.05,634,618.35,629.15,1470954
07/01/2019,622,622.5,616.5,620.65,535308
04/01/2019,613.1,619.85,607.25,618.55,1010951
03/01/2019,622.75,626.55,611,612,886390
02/01/2019,624.8,631.2,619,622.8,1232572
01/01/2019,631.45,632.1,623.15,625.8,750924
31/12/2018,625,631.8,620,629.05,1385682
28/12/2018,612.75,623.6,611.5,620.8,1388252
27/12/2018,618.9,621,610.05,611.45,1515713
26/12/2018,609.8,617,601,614.7,1266619
24/12/2018,620.9,622.3,608,610.75,1363658
21/12/2018,639,643,617.7,620.9,1450234
20/12/2018,635,650.4,633.35,637.6,2417869
19/12/2018,640.7,646.8,631,634.5,1839842
18/12/2018,634,641,633.8,638.85,1018473
17/12/2018,651,654.9,628.35,633.8,3964722
14/12/2018,641,658,638.1,647.95,2497730
13/12/2018,640,645.7,633,641.35,1485043
