Date,BOSCHLTD-EQ O,BOSCHLTD-EQ H,BOSCHLTD-EQ L,BOSCHLTD-EQ C,BOSCHLTD-EQ V
29/03/2019,17997.6,18277.1,17629.75,18184.85,46940
28/03/2019,17915.15,18000,17817.6,17886.15,25602
27/03/2019,18200,18201.95,17900,17959.3,22614
26/03/2019,18257,18257,18075,18182.6,17010
25/03/2019,18256,18300,18069.1,18182.6,7894
22/03/2019,18363,18450,18220,18287.05,10908
20/03/2019,18441.25,18500,18354.5,18392.8,10493
19/03/2019,18498,18526.45,18326,18441.25,8466
18/03/2019,18480,18510.4,18365.25,18481.45,6788
15/03/2019,18689.9,18689.9,18305.55,18365.25,30082
14/03/2019,18730,18745,18265,18559.5,28714
13/03/2019,19200,19200,18503,18608.9,22948
12/03/2019,19150,19421.95,19005.1,19082.65,14924
11/03/2019,18500,19170,18489,19100.3,18632
08/03/2019,18487,18517.25,18200,18429.85,11836
07/03/2019,18875.25,18937.95,18405,18486.2,22652
06/03/2019,19000,19039.3,18728,18875.2,12834
05/03/2019,18700,18991,18665.2,18923.3,18202
01/03/2019,19000,19000,18701,18749.75,11992
28/02/2019,18818,19285,18817.75,19026.3,27618
27/02/2019,18780,19050,18531.3,18817.75,22036
26/02/2019,18240,18888,18060.1,18763.95,37919
25/02/2019,18100.1,18411,18100.1,18340.65,21822
22/02/2019,17915,18184,17751.5,18120.75,38884
21/02/2019,18270,18294.5,17930.3,18048.55,8542
20/02/2019,17900,18224.95,17755,18175.65,10625
19/02/2019,17770,17910.55,17564.25,17761.35,14644
18/02/2019,18150,18150,17650,17717.05,12603
15/02/2019,18151,18227,17801,18154.95,21066
14/02/2019,17988,18503,17901,18084.35,45120
13/02/2019,18650,18747,17584,17908.45,89577
12/02/2019,18780.05,18780.05,18500.1,18592.2,12840
11/02/2019,18880,18975,18614,18798.7,16064
08/02/2019,19275,19316.4,18850,18920.3,9120
07/02/2019,19171,19298.7,19150.1,19224.75,8422
06/02/2019,19160,19299,19041.75,19248.25,10117
05/02/2019,19100,19219.95,18950.3,19056.4,9772
04/02/2019,19265,19494,18925,19048.1,9148
01/02/2019,18930,19396,18734.9,19316.15,14994
31/01/2019,18600,18920,18430,18851.7,21091
30/01/2019,18449,18580,18194.75,18454.1,18985
29/01/2019,18284,18284.25,17922.8,18171.95,7895
28/01/2019,18550,18550,17901.3,18262.4,13237
25/01/2019,19085,19227.8,18307.25,18526.25,19282
24/01/2019,19093,19239.95,18960.1,19155.4,9082
23/01/2019,19208.35,19277.95,19020,19090.15,5495
22/01/2019,19095,19321,18990.1,19208.35,7505
21/01/2019,19160,19274.45,19014.5,19046,5432
18/01/2019,19234,19290,19019.6,19210.45,7530
17/01/2019,19150,19230,18965,19150.55,7450
16/01/2019,19206.5,19299.9,19051.05,19089.4,6336
15/01/2019,19165,19290,19042.75,19130.05,8369
14/01/2019,19470,19470,19029.8,19116.1,18658
11/01/2019,19603.1,19700,19450,19517.8,11700
10/01/2019,19440,19739.95,19390,19704,8856
09/01/2019,19360,19574.55,19270.05,19476.35,8981
08/01/2019,19515,19544.9,19250.3,19300.6,6385
07/01/2019,19510,19590,19427.25,19510.4,8827
04/01/2019,19300,19493.25,19217.3,19438.75,6798
03/01/2019,19510,19701.55,19211.1,19299.85,18865
02/01/2019,19515,19628.95,19431.8,19477.8,10810
01/01/2019,19689.65,19720,19490.85,19576.5,4603
31/12/2018,19666,19793,19560.65,19611.2,9793
28/12/2018,19395,19678,19270.15,19629.75,8290
27/12/2018,19598.6,19739.2,19251.45,19409.15,30265
26/12/2018,19450,19640,19170.75,19526.55,10735
24/12/2018,19860,19887.9,19330.05,19415.5,14555
21/12/2018,19690,19990,19483.2,19898.2,31018
20/12/2018,19500,19762,19199.95,19607.05,60826
19/12/2018,19984,20000,19590,19624,56190
18/12/2018,19663,19880,19503.05,19861.55,31179
17/12/2018,19750,19833,19581,19661.9,25278
14/12/2018,19603,19763,19414.05,19691.35,19324
13/12/2018,19270,19749,19250.1,19621.05,25703
12/12/2018,19196.45,19300,19034,19172.05,27868
11/12/2018,18449.95,19226.85,18425,19105.55,72553
10/12/2018,18400,18579.8,18310,18483.85,15029
07/12/2018,18480,18584.1,18400,18533.05,11688
06/12/2018,18370,18640,18300,18385.1,23837
05/12/2018,18518.9,18860,18292.9,18352.95,49108
04/12/2018,19209.95,19274.6,18462.1,18513.85,63880
03/12/2018,19019.25,19388.9,19000,19204,22537
30/11/2018,18900,19043.25,18650,18973.25,31941
29/11/2018,18749,18999,18687.2,18782.7,62651
28/11/2018,18455,18728.95,18444.95,18687.2,17806
27/11/2018,18750,19057,18280,18347.65,64225
26/11/2018,19050,19125,18671.25,18697.85,29569
22/11/2018,18755,19125,18755,19033.05,16656
21/11/2018,18650,19093.45,18472.3,18714.8,32426
20/11/2018,18790,18950,18505.1,18595.3,29951
19/11/2018,19000,19396.35,18680,18706.85,48818
16/11/2018,19365,19365,18551,18724.1,45744
15/11/2018,19280,19393.65,19080,19220.9,16236
14/11/2018,19700,19868,19032.85,19194.8,27968
13/11/2018,19610,19845,19501.5,19655.15,8195
12/11/2018,19919,19950,19510,19620.75,13690
09/11/2018,19550,19909.05,19497.05,19846.2,14064
07/11/2018,19435,19566,19406.75,19482.25,1555
06/11/2018,19450,19621.2,19277.05,19376.75,11241
05/11/2018,19780,19945,19150,19408.3,63766
02/11/2018,19650,20500,19289.9,19625.45,31948
01/11/2018,20455.25,20455.25,19521.65,19624.75,50101
