Date,BPCL-EQ O,BPCL-EQ H,BPCL-EQ L,BPCL-EQ C,BPCL-EQ V
29/03/2019,387.9,398.9,387,397.55,4551656
28/03/2019,379.55,389.05,378.35,385.85,5584974
27/03/2019,384.45,386,377.3,378.95,3310956
26/03/2019,384.25,388.4,376.5,383.9,4257821
25/03/2019,378.75,385.25,375.05,383.7,4164765
22/03/2019,389.5,394.7,376.45,378.95,5918848
20/03/2019,407.2,407.5,386.5,389.15,5286335
19/03/2019,408,409.9,402.55,407.8,4222676
18/03/2019,398,408.9,398,405.55,7393221
15/03/2019,391,398.3,389.4,396.3,8629091
14/03/2019,388.95,391.35,382.65,390.3,2047865
13/03/2019,390,392.5,382.55,389.05,4784090
12/03/2019,388.4,394.4,384.3,390.2,6095923
11/03/2019,369.45,388.5,368.8,387.05,9486915
08/03/2019,370.9,371.4,364.65,367.35,2812574
07/03/2019,373.55,376.95,369,370.7,5694924
06/03/2019,364.8,373.8,363.35,372.7,6098612
05/03/2019,346.05,365.45,345.45,362.5,6380951
01/03/2019,338.25,347.55,337.15,346.05,2872248
28/02/2019,334,340,330,337.55,8969419
27/02/2019,338,341.6,329.85,330.7,4500049
26/02/2019,336.05,337.95,329.25,336.65,4529397
25/02/2019,345,345.25,334.25,336.05,7015596
22/02/2019,337,347,335.7,344.2,4854900
21/02/2019,328,337.65,326.25,335.3,4676884
20/02/2019,338,344.75,336.1,341.1,6282741
19/02/2019,326,338.8,325.55,335.25,3833168
18/02/2019,322.55,330.1,322.55,327.75,3952632
15/02/2019,318,329,318,327.85,6707128
14/02/2019,326.1,328.2,312.05,315.65,10644570
13/02/2019,340,341.4,326.3,329.45,4859232
12/02/2019,334,343.5,334,339.3,3040248
11/02/2019,333,337.5,328,333.6,3314948
08/02/2019,340.3,346.8,335.05,337.4,3341371
07/02/2019,339.75,342.05,337.9,339.4,1524023
06/02/2019,337.95,341.4,336.7,339.3,2095411
05/02/2019,338.5,340.3,336.6,337.95,1292066
04/02/2019,340,341.95,336.05,338.55,2154768
01/02/2019,347.2,348.7,338.4,341,2722370
31/01/2019,340.75,351,338.1,345.45,7819453
30/01/2019,344.5,344.8,336.5,342.7,2782631
29/01/2019,348.1,353.45,340.7,344.9,3099307
28/01/2019,357,357.9,346.2,348.7,1451374
25/01/2019,355,360.35,355,357.45,1934416
24/01/2019,357.15,360.25,352.25,353.95,1647059
23/01/2019,354.5,358.65,354.4,357.15,1986513
22/01/2019,351.5,357.6,351.05,353.8,2343970
21/01/2019,351.1,355.7,348.3,351.55,1942818
18/01/2019,353.9,357.7,351.3,354.2,2504157
17/01/2019,347.1,357,346.05,355.2,3949498
16/01/2019,345.4,349,342.35,347.25,4781001
15/01/2019,336.9,343.35,336.2,341.7,3456956
14/01/2019,338.9,339.85,331.55,334.95,3758311
11/01/2019,336,339.7,334.55,337.3,2334810
10/01/2019,336.9,338.75,333,335.6,4886802
09/01/2019,351,351.5,338,340.05,4565866
08/01/2019,355.1,355.9,350.05,351.95,2171045
07/01/2019,360,362.8,354,355.55,2895410
04/01/2019,351.8,361.7,351.5,359.45,3858610
03/01/2019,352,354.8,348.15,352.5,4986130
02/01/2019,366,366,346.75,357.95,9862795
01/01/2019,361.05,369.3,360,367.2,1552711
31/12/2018,361.9,364.8,358.8,362.75,3391001
28/12/2018,361.8,369.8,360.2,361.9,4677713
27/12/2018,361,368.75,354.9,364.6,7312769
26/12/2018,368.8,371.3,358.2,366.35,6477931
24/12/2018,374.1,376.5,363.8,364.95,3245626
21/12/2018,374.7,376.1,368.1,374.65,5232821
20/12/2018,357,371.9,356.1,371.1,3608758
19/12/2018,358.4,363,355.1,361.75,3675214
18/12/2018,353.1,357.6,348.7,353.25,4493815
17/12/2018,345,351.95,341.45,350.35,3727207
14/12/2018,334.65,349.4,330.75,345.3,3599106
13/12/2018,329.75,337.3,329.75,334.9,2985438
12/12/2018,326.7,330.25,324.4,329.4,3128563
11/12/2018,326,330,321.6,326.75,5430906
10/12/2018,318,332.5,317.2,330.25,5809027
07/12/2018,328.4,330.95,321.45,325.4,5147209
06/12/2018,328,331.55,323,324.9,3606906
05/12/2018,332.15,338.35,328.05,329.45,4769965
04/12/2018,322,334.9,320.5,333.7,5235211
03/12/2018,322,326.95,317.65,323.95,4579421
30/11/2018,329.1,331.8,320.4,324.4,9121147
29/11/2018,327.35,332,325.2,328.5,8891722
28/11/2018,334.7,335.3,318.6,320.15,5122465
27/11/2018,325.55,336.5,322.15,335.5,5145814
26/11/2018,330.1,332.9,323.45,327.35,7145152
22/11/2018,326.8,328,317.55,320.1,3572378
21/11/2018,337,342.85,325.3,326.6,7762147
20/11/2018,325.2,329.95,321.1,322.9,4442573
19/11/2018,320.75,324.55,316.9,322.95,2741478
16/11/2018,319.6,325.25,315.9,322.05,4971098
15/11/2018,315.5,323.45,308.5,321.85,5867109
14/11/2018,313,329.4,312.85,315.95,14830631
13/11/2018,295.2,304.6,295.2,303.15,7713771
12/11/2018,294.5,301.15,290.05,291.2,6014731
09/11/2018,293.9,297.9,290.3,296.85,6557964
07/11/2018,288,289.95,286.4,288.75,529542
06/11/2018,291.65,294.4,284,285.1,3258280
05/11/2018,302,302.45,290,291.8,3944595
02/11/2018,295,308,292.2,302.35,17132661
01/11/2018,278.2,287,275.1,283.45,7515034
31/10/2018,266.35,276.45,264.1,275.1,5814220
30/10/2018,271.05,273.7,264.05,266.35,10499832
29/10/2018,277.9,281,270.5,277.35,4994246
26/10/2018,277.25,280.5,266.5,275.2,7291686
25/10/2018,278.55,282.3,274.2,277,9059983
24/10/2018,278.95,286,274.45,281.55,13895599
23/10/2018,268,273.7,260.5,269.55,8756457
22/10/2018,285.45,286.95,270.1,271.15,4792671
19/10/2018,290.1,291.9,280.4,283.55,11469464
17/10/2018,303,304.45,283.2,285.15,6519818
16/10/2018,296.5,305.5,291.7,302.1,7872391
15/10/2018,290.9,300.7,277.5,296.35,9146418
12/10/2018,289,295.7,280.1,288.9,11268098
11/10/2018,262,284.5,259.2,278.15,21987920
10/10/2018,258.9,273.55,256,265.4,9024397
09/10/2018,267,268.1,255.2,257.2,12179626
08/10/2018,273,279.95,257.05,264.9,25730600
05/10/2018,298.05,298.05,238.55,265.3,55720377
04/10/2018,372,383.8,303.85,331.15,9920597
03/10/2018,362.9,381.8,359.35,377.85,4871882
01/10/2018,372,372.75,360.25,368.35,3158157
28/09/2018,373.3,377.4,365.65,374.15,3814888
27/09/2018,367.95,374.75,365.3,372.2,3431012
26/09/2018,370.8,370.8,361.35,368.65,3152317
25/09/2018,358,365.45,355.1,364.2,3946701
24/09/2018,375.25,383.45,365.55,367.4,6565681
21/09/2018,370.15,378.95,361.65,376.5,8147865
19/09/2018,357.5,366.6,353.65,365.05,4710916
18/09/2018,365,369.25,352.2,355.1,6186710
17/09/2018,353.05,367.25,348.1,364,8976872
14/09/2018,340.15,356.6,340,354.5,9330736
12/09/2018,336.7,336.7,324.25,334.15,6221211
11/09/2018,345.8,349,337.1,338.05,4888147
10/09/2018,357,357.05,343.5,344.1,4834420
07/09/2018,355.4,359.5,353.05,356.95,3489651
06/09/2018,351.15,354.95,349.65,353.6,0
05/09/2018,349.5,355.75,345.5,349.1,3936302
04/09/2018,358.5,359.85,350,351.3,3627260
03/09/2018,365.5,365.5,358.6,360.1,2179617
31/08/2018,356,366.3,356,362.1,6004323
30/08/2018,359.9,364.5,357.85,363.35,4065049
29/08/2018,358.5,363.3,357,361.7,3368409
28/08/2018,361.55,364.9,357.15,358.55,3873689
27/08/2018,358.5,362.35,357,361.55,3173548
24/08/2018,358.25,362,353.5,356.95,4865929
23/08/2018,369.3,369.65,357,357.75,7090247
21/08/2018,378.5,378.5,368.1,368.75,5566455
20/08/2018,378.1,382.25,374.45,375.95,3398521
17/08/2018,381,381,375.1,377.6,2717107
16/08/2018,380,384,375.25,378.3,3910069
14/08/2018,382.5,383.45,375.75,376.65,4304827
13/08/2018,400.4,400.4,376.5,379.7,4383497
10/08/2018,391.45,404,387.6,401.6,5553298
09/08/2018,397.5,397.5,385.9,388.95,5418177
08/08/2018,395,397.85,383.15,387.3,4234812
07/08/2018,401,402.3,392.6,394.1,1905451
06/08/2018,400,404,399.45,401,1741153
03/08/2018,398,405,396,400.95,2911929
02/08/2018,401.4,404,397.5,401.8,4192400
01/08/2018,395,399.9,393.2,396,4396488
31/07/2018,391.1,392.9,385.65,389.75,3896168
30/07/2018,399,407.5,392.7,395.75,4155413
27/07/2018,390,399,384.05,397.2,3490928
26/07/2018,390.75,396.3,387.7,388.9,5872115
25/07/2018,391.35,399.3,388.55,395.65,2749066
24/07/2018,392.7,397.95,389.65,396.95,2829717
23/07/2018,391.5,400.5,384.6,389.7,3779284
20/07/2018,394.1,395,384.15,388.85,4250615
19/07/2018,399.9,402.95,391.45,398.3,2945262
18/07/2018,396,404.85,393.9,402.35,6700271
17/07/2018,389.95,395.5,384.6,392.65,7021980
16/07/2018,385,392,379.9,382.2,3535136
13/07/2018,381.1,389,375.3,386.65,5863561
12/07/2018,386,386,376.05,377.35,6037471
11/07/2018,375.9,379,363.75,366.5,4161891
10/07/2018,376.4,377.75,373.55,375.25,1687856
09/07/2018,376,378.6,371.1,376.3,2290472
06/07/2018,375,381.4,372.55,374.55,6921258
05/07/2018,371.7,375.5,369.1,371.55,4211975
04/07/2018,373,375.45,364.65,367.85,3360223
03/07/2018,367.75,376.75,364.1,373.9,3996833
02/07/2018,375,378,367.25,369.2,4534866
29/06/2018,370,378.9,361.85,373.3,6923201
28/06/2018,372,385.2,363.5,366.95,13350963
27/06/2018,408,408.7,378.4,382.8,8500664
26/06/2018,407.65,417.75,407.5,415.25,4210730
25/06/2018,424,425,409.3,412,5366864
22/06/2018,423,429,420.2,426.35,7297576
21/06/2018,414.9,426.4,407.25,421.95,4296333
20/06/2018,415,418,405.05,410.7,3012519
19/06/2018,418.85,420,408.45,413.6,4299021
18/06/2018,419.5,429.15,415.75,423.1,6473424
15/06/2018,416.5,416.6,409.3,412.25,6200928
14/06/2018,419.9,419.9,413.7,416.35,3748520
13/06/2018,417.5,421.45,413.6,419.9,5181852
12/06/2018,418,420.5,414.7,415.1,3432976
11/06/2018,410,418,408.6,414.4,6333917
08/06/2018,412.1,412.8,404.9,409.85,3242037
07/06/2018,411,417.85,410.2,416.05,3043594
06/06/2018,408,412,405.1,410,2931303
05/06/2018,409.9,410.45,403.05,405.35,3511616
04/06/2018,411.1,417.05,393.05,408.5,7862335
01/06/2018,405,411.5,403.55,409.25,5185052
31/05/2018,400.25,407.7,392.95,403.95,8807443
30/05/2018,407.5,409,395.95,400.25,6102774
29/05/2018,402.1,410.65,400.3,405.35,4902822
28/05/2018,395,405.35,393,402,7161336
25/05/2018,371,383,367.25,380.55,8218196
24/05/2018,376,376.85,359.55,371.35,8733949
23/05/2018,393.8,394.5,370.05,373.95,9982653
22/05/2018,395.5,400.45,388.4,397.6,5789219
21/05/2018,388,394.7,385.5,393.85,4331525
18/05/2018,389,392.75,382.7,386.35,6591571
17/05/2018,395,395,385.15,390.6,6449296
16/05/2018,405.8,405.8,396.1,398.35,4858677
15/05/2018,402,413,399.55,405.8,5175926
14/05/2018,402,410.4,399.45,404.2,4045396
11/05/2018,389.25,400.5,389.25,399.3,4525599
10/05/2018,385.9,391.35,380.85,390.2,4196834
09/05/2018,381.25,387.5,377.45,385.45,10857613
08/05/2018,381,395.4,381,392.6,5972247
07/05/2018,375.5,388.3,374,385.8,3809454
04/05/2018,375,383.55,372.1,380.2,3667556
03/05/2018,380.2,380.55,374,377.7,2889031
02/05/2018,390.6,391.25,380,380.95,2297416
30/04/2018,395,396.45,384.1,387.35,3962157
27/04/2018,387.85,394.75,383.2,390.15,4446504
26/04/2018,388.3,388.3,377.2,385.5,3946642
25/04/2018,385.3,390.95,382.15,385.8,6676411
24/04/2018,376.1,388.45,376,383.7,6391570
23/04/2018,376,385.2,373.6,381.35,8684457
20/04/2018,371.85,381.9,369.85,371.4,11704053
19/04/2018,396,397.85,375.35,376.55,15936417
18/04/2018,407.2,409,402.55,405.2,5162348
17/04/2018,410,412.4,403.45,410.65,6389248
16/04/2018,405,410.85,400.05,408.2,5507775
13/04/2018,421,421.95,403.5,405.4,8810694
12/04/2018,414,423.25,402.45,418.65,19347963
11/04/2018,446.95,451,415.1,417.3,18488413
10/04/2018,454,454.5,439.2,451.15,5034563
09/04/2018,437.9,453.85,435,450.35,6248014
06/04/2018,423,435.2,423,433.95,3530121
05/04/2018,417.65,423.6,416.55,422.45,1836525
04/04/2018,429,429,413.8,414.95,2451414
03/04/2018,423.7,429.8,423.7,426.25,3570144
02/04/2018,428.85,433.5,422.25,423.4,2292147
28/03/2018,419,430,415.65,427.45,5863342
27/03/2018,422.8,426,415.15,420.75,4748218
26/03/2018,412.5,422.8,402.5,419.55,3729942
23/03/2018,409.9,417.55,406.25,413.45,3663740
22/03/2018,432.5,432.5,413.6,414.7,4748632
21/03/2018,426.7,434.5,424.75,430.65,2900337
20/03/2018,429,438.8,422.5,424.9,2812798
19/03/2018,446,446,429,430.75,4955340
