Date,BRITANNIA-EQ O,BRITANNIA-EQ H,BRITANNIA-EQ L,BRITANNIA-EQ C,BRITANNIA-EQ V
29/03/2019,3120,3139,3045,3085.5,595114
28/03/2019,3092,3118.5,3028,3096.55,3470524
27/03/2019,3117,3117,3078,3096.9,360838
26/03/2019,3100,3132,3060,3099.15,340645
25/03/2019,3074.75,3099,3061.1,3090.75,224948
22/03/2019,3094,3117.9,3088,3098.6,197654
20/03/2019,3126.8,3135,3079.4,3088.1,257001
19/03/2019,3128,3138.85,3084,3125.4,184380
18/03/2019,3090,3134.9,3060.1,3123.35,238905
15/03/2019,3160,3169,3054.7,3066.55,403251
14/03/2019,3135,3170,3116,3149.4,293230
13/03/2019,3136,3150,3093.9,3126.95,298030
12/03/2019,3165.9,3178.8,3120.9,3135.15,413123
11/03/2019,3086,3139.5,3066.5,3133.45,336189
08/03/2019,3041,3079.5,3021,3071.2,190651
07/03/2019,3045,3069,3028.7,3043.85,254411
06/03/2019,3086.95,3086.95,3009,3026.85,383038
05/03/2019,3065.2,3100.25,3060,3068.85,246280
01/03/2019,3083,3090.35,3062.3,3077.25,217420
28/02/2019,3071,3098.6,3032.9,3056.9,447041
27/02/2019,3080,3108.95,3023.35,3058.6,393442
26/02/2019,3056,3092.95,3018.25,3073.5,568492
25/02/2019,3013.2,3077,2982,3048.2,336072
22/02/2019,3008,3057.3,2972.7,3012.8,313430
21/02/2019,2943.95,3018,2935,3001.6,724297
20/02/2019,2884,2930,2884,2922.3,271061
19/02/2019,2910.2,2975.95,2851,2873.55,484180
18/02/2019,2860,2939,2759,2911.7,700981
15/02/2019,2945,2945,2846,2858.35,374811
14/02/2019,2915,2949,2900,2924.6,288540
13/02/2019,3015,3034.8,2907,2923.4,504157
12/02/2019,3105,3107,3001,3008.6,515301
11/02/2019,3120,3132.3,3055.3,3107.55,265355
08/02/2019,3138.5,3210,3095,3110,640983
07/02/2019,3210,3230,3174.1,3214.1,374133
06/02/2019,3188.5,3199.95,3105.05,3181.4,313476
05/02/2019,3278,3316,3150.1,3167.05,503959
04/02/2019,3251.35,3280.4,3228.2,3266,140277
01/02/2019,3201,3286,3201,3251,387188
31/01/2019,3231.95,3231.95,3189.2,3197.7,255273
30/01/2019,3197,3222,3180.1,3208.8,116521
29/01/2019,3197,3197,3152.5,3180.05,179979
28/01/2019,3210.5,3222,3131,3203.45,216799
25/01/2019,3221,3270,3193.05,3206.65,325166
24/01/2019,3217,3225,3190.55,3216.85,148520
23/01/2019,3177,3229,3161.05,3203.85,286992
22/01/2019,3150,3174.95,3130.15,3153.65,156085
21/01/2019,3170,3198.55,3136.5,3148.4,174710
18/01/2019,3214.85,3217.35,3134.25,3171.35,161433
17/01/2019,3181,3212,3175.05,3207.1,154540
16/01/2019,3184,3204.9,3145,3175.75,182044
15/01/2019,3120.15,3199.9,3095,3183.9,278642
14/01/2019,3102,3124,3063,3113.65,154975
11/01/2019,3090,3116.75,3079.6,3096.85,353709
10/01/2019,3100,3100,3073,3088.95,229690
09/01/2019,3114,3119.85,3081,3092.65,257227
08/01/2019,3155,3155,3080,3089.55,217274
07/01/2019,3137.1,3155,3125,3143.8,152966
04/01/2019,3137.95,3159.2,3105.55,3122.7,170818
03/01/2019,3116.85,3177,3097.4,3135.9,311498
02/01/2019,3100,3131,3081.2,3116.85,152324
01/01/2019,3120,3128.9,3080,3103.05,140863
31/12/2018,3105.15,3120,3083,3115.4,184698
28/12/2018,3083,3114.35,3080.95,3098.5,169577
27/12/2018,3110,3124.95,3062,3075.4,240314
26/12/2018,3086.4,3114,3041,3088.95,159442
24/12/2018,3120.5,3157,3082.15,3100.55,245822
21/12/2018,3199,3200,3107.1,3119.8,359201
20/12/2018,3207.7,3234.75,3160.15,3170.85,205790
19/12/2018,3179.9,3245,3170,3228.85,425672
18/12/2018,3157,3183,3130,3168.7,230834
17/12/2018,3159.75,3170,3114,3163.2,228526
14/12/2018,3139.7,3171.1,3097.45,3135.75,187229
13/12/2018,3088,3157.95,3083.15,3143.2,401085
12/12/2018,3001.8,3074,3000.25,3056.5,261560
11/12/2018,2970,3009.9,2940,2997.2,198219
10/12/2018,2984.95,3000,2930,2980.65,197626
07/12/2018,2986.35,3013.85,2950,3005.35,155500
06/12/2018,3078.9,3078.9,2980,2986.35,302116
05/12/2018,3090,3109.4,3065.05,3093,205221
04/12/2018,3100.2,3128.75,3056.1,3093.1,329006
03/12/2018,3175,3188.9,3081.35,3094.5,311813
30/11/2018,3040.9,3197,3040.8,3169.75,954568
29/11/2018,3016,3045,2985,3032.35,414182
28/11/2018,3035,3035,2975.25,2980.87,124414
27/11/2018,3009.95,3040,2983,3017.52,215434
26/11/2018,3019,3029.45,2975.5,3004.02,174104
22/11/2018,3005,3030.2,2990,3004.35,174523
21/11/2018,2955,3012.5,2955,3002.32,197972
20/11/2018,2985,3002.95,2920.42,2944.35,108251
19/11/2018,2995,3012,2970,2994.77,184068
16/11/2018,2916.5,2995,2895,2973.82,225943
15/11/2018,2897,2914,2866.02,2909.07,61253
14/11/2018,2930,2931.5,2865.8,2885.37,154593
13/11/2018,2890,2920,2828,2906.27,180903
12/11/2018,2883.75,2911.2,2791.7,2878.77,348845
09/11/2018,2917,2944.5,2850.5,2873.22,221124
07/11/2018,2871.12,2910,2871.12,2905.22,38903
06/11/2018,2862.25,2899.5,2825.6,2860.62,115086
05/11/2018,2807,2865.72,2805.5,2857.25,91500
02/11/2018,2810.5,2862.5,2790,2800.5,126788
01/11/2018,2840,2858.92,2782.5,2791.52,125930
31/10/2018,2733.5,2833.02,2719.52,2822.05,212100
30/10/2018,2710,2733.5,2687.7,2723.95,134636
29/10/2018,2658.9,2724.5,2651.32,2699.12,94078
26/10/2018,2669.72,2694.5,2628.6,2660.25,133717
25/10/2018,2655,2704.8,2628,2654.65,248108
24/10/2018,2762.75,2792,2655,2680.07,242295
23/10/2018,2784.5,2800.55,2726.12,2742.27,192201
22/10/2018,2808.5,2811.25,2775.5,2790.07,95343
19/10/2018,2774,2797,2737.5,2781.75,170777
17/10/2018,2879.5,2888.82,2752.55,2770.52,189478
16/10/2018,2855.72,2885,2810,2850.25,98159
15/10/2018,2892,2892.47,2810,2835.8,194475
12/10/2018,2834.72,2894.5,2810.65,2878.75,217736
11/10/2018,2762.5,2831.22,2745.3,2785.1,137391
10/10/2018,2737.5,2875,2732.02,2854.25,137220
09/10/2018,2824,2839.45,2723.07,2755.62,319083
08/10/2018,2694.5,2784.95,2673.57,2771.75,229770
05/10/2018,2807.5,2807.5,2690.07,2723.85,259162
04/10/2018,2849,2849,2775.2,2812.67,318749
03/10/2018,2912,2917.32,2851,2869.7,133506
01/10/2018,2930,2940,2850.5,2921.77,172996
28/09/2018,2897,2945,2767.1,2911.75,443009
27/09/2018,2842.5,2883,2812.5,2849.9,232482
26/09/2018,2935,2937.5,2825,2840.95,190517
25/09/2018,2812.5,2905.65,2741.02,2886.92,234101
24/09/2018,2918.75,2918.75,2781.25,2801,195731
21/09/2018,2987.55,3002.47,2685.02,2895.37,370746
19/09/2018,3064,3064,2965,2979.95,133237
18/09/2018,3011.25,3077.7,3001.22,3033.2,237839
17/09/2018,3054,3054,2988.27,3010.87,147524
14/09/2018,3034.5,3075,3000,3056.15,261343
12/09/2018,2990,3030,2955.17,3007.75,219558
11/09/2018,3051.3,3055.27,2960.07,2970.02,212047
10/09/2018,3120,3122.5,3042.5,3047,85586
07/09/2018,3120.45,3137.2,3087.9,3114.55,86779
06/09/2018,3099.97,3159.47,3060.57,3097.22,0
05/09/2018,3134,3159.87,3025,3092.5,373314
04/09/2018,3268.2,3304.32,3149.85,3172.02,204423
03/09/2018,3395,3407.47,3266,3282.92,85052
31/08/2018,3345.3,3390,3325.02,3368.37,109689
30/08/2018,3367.9,3388,3282.6,3345,150461
29/08/2018,3425.5,3425.5,3363.1,3367.9,94975
28/08/2018,3421.95,3429.22,3409.5,3422.82,77653
27/08/2018,3393.3,3430,3390.75,3402.47,65394
24/08/2018,3445,3445,3382.5,3386.72,137918
23/08/2018,3459,3467.17,3415.85,3450.07,162550
21/08/2018,3397.5,3457.1,3355.02,3428.72,220391
20/08/2018,3334.5,3393.4,3325,3385.7,144712
17/08/2018,3259.65,3320.22,3239.6,3314.95,201564
16/08/2018,3234.5,3260,3213.05,3247.07,147947
14/08/2018,3225,3247.2,3212.27,3229.75,168094
13/08/2018,3171.5,3225.5,3156.5,3215.32,162185
10/08/2018,3181.5,3181.5,3140.55,3171.87,109136
09/08/2018,3160,3179.27,3140.27,3167.7,130713
08/08/2018,3115.8,3158.5,3108.02,3150.7,191596
07/08/2018,3167,3183.27,3085,3100.2,349661
06/08/2018,3220,3244,3132.42,3163.35,599659
03/08/2018,3260,3261,3184.1,3196.35,172250
02/08/2018,3240,3274.5,3219.52,3228.7,116150
01/08/2018,3290,3312.5,3212.47,3244.92,153538
31/07/2018,3189.95,3280,3145.72,3271.1,172339
30/07/2018,3212.5,3212.5,3102.82,3165.72,193623
27/07/2018,3222,3250,3185,3192.6,69954
26/07/2018,3244.5,3247.27,3207.27,3225.15,107976
25/07/2018,3249.5,3262,3215,3222,54286
24/07/2018,3232.5,3247.5,3199,3233.22,79014
23/07/2018,3200,3236.2,3182.5,3217.97,84956
20/07/2018,3188,3217.35,3155.5,3179.07,96932
19/07/2018,3182.5,3198.2,3141.62,3186.15,98624
18/07/2018,3225.5,3237.52,3155,3182.9,107259
17/07/2018,3272.5,3287.1,3207.27,3213.45,108677
16/07/2018,3250,3283.5,3249.97,3266.35,86137
13/07/2018,3195,3250,3195,3237.55,110345
12/07/2018,3199.97,3215.6,3161.12,3202.82,143855
11/07/2018,3204,3204.47,3154,3178.87,147138
10/07/2018,3205,3212.52,3185.12,3194.85,91974
09/07/2018,3155.5,3203.57,3150,3191.42,61585
06/07/2018,3145,3179.75,3140.5,3154.95,117338
05/07/2018,3174.5,3184.5,3147.1,3153.65,72016
04/07/2018,3105.02,3159.55,3105.02,3149.87,98954
03/07/2018,3129.8,3129.8,3093.02,3108.27,93841
02/07/2018,3113.5,3133.97,3085.07,3116.47,80300
29/06/2018,3075,3128.97,3056.15,3106.87,157611
28/06/2018,3062,3074,3027.77,3064.77,128134
27/06/2018,3043,3064.5,3024,3043.8,136945
26/06/2018,3003,3040.9,2981.5,3025.05,112561
25/06/2018,2987,3024.95,2980,2988.7,64843
22/06/2018,2984.45,2999,2947.52,2979.72,92010
21/06/2018,3000,3014.97,2975,2981.35,75986
20/06/2018,2999.2,3027.75,2985,2997.77,129644
19/06/2018,3030,3041.47,2961.02,2988.27,95392
18/06/2018,3066.85,3066.85,3029.95,3037,117358
15/06/2018,3007.5,3089.72,2997.65,3068.3,179270
14/06/2018,3023.5,3023.5,2985.5,3000.87,76768
13/06/2018,2967.55,3040,2967.55,3008.57,99138
12/06/2018,2955.22,2977.5,2930.27,2973.3,45399
11/06/2018,2963.5,2982.12,2950.5,2955.22,69237
08/06/2018,3008,3008,2944.02,2958.82,88448
07/06/2018,2955,3008.5,2944.05,2996.65,122120
06/06/2018,2902.5,2944.5,2902.5,2938.47,68662
05/06/2018,2877.77,2920,2877.77,2905.9,73104
04/06/2018,2918.7,2932.02,2855.3,2883.1,117493
01/06/2018,2987,2987,2897.1,2906.22,122383
31/05/2018,2900,3007.9,2880,2961.97,310385
30/05/2018,2876.7,2909.77,2868,2894.92,110349
29/05/2018,2927.35,2934,2889.12,2902.55,84912
28/05/2018,2939.37,2939.37,2896.5,2921.47,68241
25/05/2018,2860,2925,2853.02,2913.75,117461
24/05/2018,2851.67,2895.95,2841,2859.1,131895
23/05/2018,2810,2867.5,2800,2857.85,194505
22/05/2018,2774.72,2815,2760.15,2802.2,111681
21/05/2018,2803.5,2835.5,2739.45,2760.8,111240
18/05/2018,2754.5,2820,2740.12,2798.52,153209
17/05/2018,2775,2785,2720.52,2738.37,133262
16/05/2018,2715,2792.5,2667.82,2771.1,239001
15/05/2018,2750,2753.85,2708.15,2727.4,138868
14/05/2018,2755,2755,2706.6,2732.05,40024
11/05/2018,2700,2746.2,2700,2738.85,62116
10/05/2018,2700.22,2713.07,2672.75,2693.22,100146
09/05/2018,2709.5,2726.27,2694.55,2700.75,62836
08/05/2018,2745,2750,2691.62,2722.35,53753
07/05/2018,2692.25,2750.02,2692.25,2736.35,75816
04/05/2018,2675,2713.62,2650.5,2692.25,112650
03/05/2018,2730,2730,2660,2668.55,76051
02/05/2018,2772.5,2782.75,2704.4,2712.52,72079
30/04/2018,2731.5,2768.22,2730,2756.6,64749
27/04/2018,2695,2747.92,2689.17,2730.37,88432
26/04/2018,2690,2706.02,2672.55,2686.7,92425
25/04/2018,2650,2726.25,2638.62,2687.65,95281
24/04/2018,2665,2671.55,2625.55,2648.6,58099
23/04/2018,2675,2682.4,2652.22,2656.52,90845
