Date,FEDERALBNK-EQ O,FEDERALBNK-EQ H,FEDERALBNK-EQ L,FEDERALBNK-EQ C,FEDERALBNK-EQ V
29/03/2019,94.05,98.15,93.9,96.45,23330031
28/03/2019,92,94.3,91.3,93.65,14408292
27/03/2019,91.1,92.6,90.6,91.8,11512290
26/03/2019,88.9,91.2,88.9,90.7,9565348
25/03/2019,89.75,89.9,88.2,88.8,8179202
22/03/2019,92.8,94,90.1,90.45,9899007
20/03/2019,93.75,94.4,92.1,92.35,12241564
19/03/2019,91.7,94.3,91.1,93.8,11570259
18/03/2019,91.6,93.25,90.15,91.2,15459155
15/03/2019,90.15,92.8,90.05,91.4,23736072
14/03/2019,91.5,92.35,89.75,90,17519920
13/03/2019,90.3,91.6,88.9,91.05,10948105
12/03/2019,91.9,92.6,90,90.35,12933929
11/03/2019,87.75,92.3,87.75,91.25,15605663
08/03/2019,87.85,88.75,87,87.55,6353771
07/03/2019,87.5,89.15,86.55,87.95,9610511
06/03/2019,89,89.75,86.85,87.25,11922216
05/03/2019,85.7,89.25,85.05,88.95,11294000
01/03/2019,84.2,85.9,83.6,85.7,8006642
28/02/2019,81.7,84.4,81.2,83.85,9033902
27/02/2019,82,82.8,80.55,81.45,8818508
26/02/2019,80.5,82.3,79,81.7,14260601
25/02/2019,79.95,81.2,79.2,80.8,11778486
22/02/2019,79.6,80,78.2,79.45,12220941
21/02/2019,80,80.35,79.05,79.6,6410472
20/02/2019,79.8,80.4,79,79.65,9102119
19/02/2019,80.5,80.65,79.05,79.3,7873791
18/02/2019,80.35,81.6,79.9,80,8365802
15/02/2019,80.6,81.3,79.75,80.2,6556643
14/02/2019,81.5,82.15,80,80.3,11337342
13/02/2019,83.3,83.4,80.45,81.2,6494611
12/02/2019,83.5,84.35,82.4,82.8,7274666
11/02/2019,84.15,84.3,81.7,83.45,8381436
08/02/2019,85.8,86.25,83.8,84.15,7692422
07/02/2019,85.75,87.45,85.2,86.1,7226632
06/02/2019,87.35,87.5,84.55,85.5,7985584
05/02/2019,87.5,88.75,86.4,87.25,9005623
04/02/2019,86.35,88.35,84.7,88.05,7935374
