Date,FORTIS-EQ O,FORTIS-EQ H,FORTIS-EQ L,FORTIS-EQ C,FORTIS-EQ V
29/03/2019,136.75,137.3,135.4,135.75,664481
28/03/2019,137.4,138.85,135.8,136.6,388808
27/03/2019,136.5,138.4,136,137.45,779034
26/03/2019,136.65,137.4,136,136.3,493827
25/03/2019,136.2,137.8,134.75,136.85,566509
22/03/2019,136.4,137.1,135.7,136.35,390016
20/03/2019,137.95,137.95,135.5,136.3,4510974
19/03/2019,136.3,137.5,135,136.65,1009222
18/03/2019,136.7,137.3,135.65,136.9,369409
15/03/2019,135.3,138.2,135,137.8,4109349
14/03/2019,139.5,140.4,135.05,136.1,768420
13/03/2019,142.8,143,137.55,139.5,526384
12/03/2019,135.9,142.9,135.45,141.8,1783197
11/03/2019,134.95,135.75,134.6,135.45,616933
08/03/2019,135.1,135.85,134.75,134.95,438444
07/03/2019,133.9,135.8,133.65,135.1,636165
06/03/2019,134.6,135,132.75,134,1401575
05/03/2019,134,135.45,133.55,134.25,626833
01/03/2019,134.55,135.4,134.1,134.75,256378
28/02/2019,134.15,135.45,133.15,134.75,409167
27/02/2019,134.15,135.5,134.1,134.35,336099
26/02/2019,136.25,138.85,134.6,135,1900504
25/02/2019,135.6,136.85,135.6,136,841351
22/02/2019,135.15,136.75,135.15,135.6,1039654
21/02/2019,135.8,137.8,135.45,135.6,1188565
20/02/2019,135.05,139,134.7,136.9,1062706
19/02/2019,134.05,135.6,134.05,135.05,1012695
18/02/2019,134.7,135.4,133.6,134.95,901528
15/02/2019,134.6,137.5,134.15,134.95,1014566
14/02/2019,133,134.95,133,134.6,884532
13/02/2019,134.65,135.75,134.25,134.5,232273
12/02/2019,133.2,135.4,133.2,135,367457
11/02/2019,134.75,135.4,134,134.65,251970
08/02/2019,134.8,135.75,134.4,135.05,520445
07/02/2019,135.25,135.25,134,134.55,184088
06/02/2019,134.5,138.45,134.2,134.95,457606
05/02/2019,134.6,135.3,134.3,134.9,401925
04/02/2019,135.25,135.85,134.4,134.85,255545
01/02/2019,134.15,135.95,134,135.2,617588
31/01/2019,135.3,136,135,135.2,382175
30/01/2019,135.15,136,135.1,135.3,590319
29/01/2019,135.2,135.9,135.1,135.5,760124
28/01/2019,135.6,136.4,134.85,135.85,1242789
25/01/2019,135.85,136.7,135.1,135.4,524340
24/01/2019,135.35,136.85,135.35,136.35,599598
23/01/2019,135.9,136.6,135.4,135.5,1090339
22/01/2019,135.15,137.45,135.15,135.85,513395
21/01/2019,135.5,135.8,135.2,135.45,729369
18/01/2019,136.65,136.65,135.25,135.5,524388
17/01/2019,138.3,138.3,136.35,136.55,1022473
16/01/2019,139.5,140.2,137.7,137.9,818662
15/01/2019,139.25,139.8,137.6,138.25,313646
14/01/2019,140.7,140.7,139,139.3,212638
11/01/2019,140,140.35,139.35,139.9,297526
10/01/2019,139.2,140.55,138.3,139.95,1189523
09/01/2019,139.4,140,138.1,139.2,463832
08/01/2019,139.25,140.9,139.2,139.4,330240
07/01/2019,140.5,140.9,139.1,139.9,578155
04/01/2019,140.3,141.2,139.25,140.3,790643
03/01/2019,140.15,141.7,140,140.75,396135
02/01/2019,139.9,141.25,139.3,140.5,681165
01/01/2019,140.5,140.55,138.55,140.2,624458
31/12/2018,138,141.85,137.5,140.5,1851994
28/12/2018,134.7,138.5,134.1,137.4,803545
27/12/2018,135.45,136.5,133.2,134.15,1784316
26/12/2018,134.6,135.8,134.2,135.2,546089
24/12/2018,135.4,135.9,134.6,134.95,1278231
21/12/2018,136,138.4,134.55,134.95,1332380
20/12/2018,137.2,137.3,134.7,135.55,1508541
19/12/2018,136.3,138.25,136.1,137.15,1264147
18/12/2018,136.3,137.9,134.65,136.15,2425611
17/12/2018,140,142.1,136.1,137.05,4644258
14/12/2018,151.7,152,130,141.45,19939263
13/12/2018,153,153,149.6,151.6,1387139
12/12/2018,151.2,152.95,150.6,152.85,1137179
11/12/2018,149.5,151.8,149.1,150.85,1130379
10/12/2018,147.9,150.45,147.05,150.05,1738612
07/12/2018,147.25,147.8,147,147.1,414163
06/12/2018,147.15,148,146.75,147.4,620635
05/12/2018,147.6,148.4,146.75,147.85,594365
04/12/2018,148.45,148.95,147.65,148.45,674636
03/12/2018,147,148.45,146.3,147.8,553662
30/11/2018,148.05,148.45,146.4,147.7,439592
29/11/2018,146.5,148.5,146,147.55,794648
28/11/2018,146.7,147.4,145.3,146.05,15823982
27/11/2018,147.1,147.4,145.5,146.15,444899
26/11/2018,146.7,148.95,146.4,147.1,435143
22/11/2018,146.4,147.5,145.7,146.4,814845
21/11/2018,147.15,147.9,145.6,146.55,933351
20/11/2018,148.1,149.3,146.25,147.5,11161587
19/11/2018,147.25,149.25,147.25,148.7,2234117
16/11/2018,143.75,146.85,143.1,146.5,2567112
15/11/2018,140.45,144.3,140.1,143.75,2456491
14/11/2018,142.9,143.75,140.05,140.5,1689283
13/11/2018,139.1,144.35,138.05,141.7,2934172
12/11/2018,141.2,141.2,139.25,139.6,785285
09/11/2018,141.15,141.65,139.55,140.35,1186147
07/11/2018,141.8,142.35,140.65,141.65,167255
06/11/2018,138,142.5,138,141.3,1811088
05/11/2018,139,141.5,138.55,140.9,1401114
02/11/2018,140.5,140.5,138,138.5,545926
01/11/2018,140.6,141.75,139.05,140.75,736294
31/10/2018,139.8,141.8,135.1,140.35,3542439
30/10/2018,130.35,134.4,130,134.15,982397
29/10/2018,129.05,131.9,128.3,130.35,912650
26/10/2018,130,130.6,128.1,129.25,953846
25/10/2018,131.9,131.9,128.3,129.85,757576
24/10/2018,128.15,134,126.45,132.95,1305927
23/10/2018,130.95,132.85,127,127.4,788194
22/10/2018,131.9,133.1,130.35,131.25,457866
19/10/2018,132,133.55,130.65,131.3,720311
17/10/2018,137.05,137.4,131.95,132.95,770457
16/10/2018,138.3,139.35,135.8,137.2,621615
15/10/2018,134,139.9,134,138.75,885401
12/10/2018,132.3,134.65,132.3,134.1,920319
11/10/2018,130,133.4,129.2,131.95,966170
10/10/2018,133.3,134.3,131.55,131.85,1341338
09/10/2018,133.5,134.45,132.55,132.75,863655
08/10/2018,133.8,134.8,132.3,132.85,1419513
05/10/2018,132.05,135.4,132.05,134.7,1136394
04/10/2018,135.25,137.4,132.6,134.4,2376530
03/10/2018,135,136.75,133.75,136.25,1568305
01/10/2018,134.95,136.4,133.2,135.35,1317558
28/09/2018,134.05,135.5,132.6,134.95,2254196
27/09/2018,132.45,136.45,132.1,134.45,1303390
26/09/2018,137.35,137.35,131.4,132.05,1296118
25/09/2018,135.25,138.8,134.5,136.35,1124219
24/09/2018,137.25,137.8,135.2,136.55,1294561
21/09/2018,143.4,143.65,137,137.25,2219492
19/09/2018,142.4,143,141,142,1047839
18/09/2018,145,145.4,141.1,141.8,1081695
17/09/2018,145.9,146.2,144.25,144.85,2768149
14/09/2018,144.85,146.5,143.7,144.85,3775219
12/09/2018,143.85,144.9,142.4,143.9,790659
11/09/2018,145.3,145.9,143,143.65,917082
10/09/2018,146.5,146.5,145.05,145.3,628319
07/09/2018,146,147.4,145.1,146.35,1224770
06/09/2018,145.9,146.95,145.1,145.8,909339
05/09/2018,144.25,147.4,142.25,145.85,1916667
04/09/2018,149.4,149.4,145.55,146.4,1137932
03/09/2018,146.85,149.9,146.15,149.15,2649444
31/08/2018,149.1,149.4,146.1,146.6,1988693
30/08/2018,148.85,150,147.65,148.65,1867433
29/08/2018,149.95,149.95,148.15,148.95,1808084
28/08/2018,149.5,150.95,149.05,149.85,1466086
27/08/2018,150,150.35,147.1,149.5,2376900
24/08/2018,148.05,151,147.5,149.4,1589747
23/08/2018,150.6,150.8,148.05,148.6,1279785
21/08/2018,150.9,152,148.5,149.5,1636986
20/08/2018,152,152.3,149.25,150.2,2614955
17/08/2018,148.2,151.3,148.05,150.15,2647739
16/08/2018,147,150.05,146,148.45,3844745
14/08/2018,145.35,146.8,145.35,146.05,1786496
13/08/2018,142.5,145.4,141.55,145.05,2251732
10/08/2018,140.8,143.3,139.25,140.9,1037631
09/08/2018,142.7,143.95,139.05,140.8,1393394
08/08/2018,146.5,146.7,142.1,142.5,1103884
07/08/2018,147.55,147.55,143.3,146.6,1803985
06/08/2018,146.15,148.4,144.3,147.85,2880002
03/08/2018,143.4,146.9,143,145.95,2178037
02/08/2018,145.8,145.8,142,142.95,1596836
01/08/2018,139.65,146.5,139.05,145.95,4854403
31/07/2018,137.45,140.4,137.45,139.65,1478651
30/07/2018,137.1,138.75,136.3,137.1,1232615
27/07/2018,139.1,139.5,136.1,136.6,1935372
26/07/2018,134.9,140.4,133.1,139.7,4033357
25/07/2018,133.4,135.5,133,134.35,2210235
24/07/2018,133.1,135.9,132,132.9,3645486
23/07/2018,136.4,137.35,132.1,132.85,2149108
20/07/2018,137.9,139.8,135.05,135.55,2729708
19/07/2018,141.5,141.5,136.8,137.25,1941740
18/07/2018,142.5,144.9,140.6,141.95,2366092
17/07/2018,145.95,146,142,142.25,1971831
16/07/2018,147,147.6,144.4,145.3,6941824
13/07/2018,145,149.45,141,147.8,24948484
12/07/2018,141.5,143.8,139.5,142.2,4495709
11/07/2018,140.1,140.2,137.65,137.95,2574474
10/07/2018,141.1,142,139.8,140.25,1715538
09/07/2018,141,146.4,140,140.8,8684891
06/07/2018,138.5,140.85,137,138.5,2118003
05/07/2018,144,144.35,138.5,139.4,2752632
04/07/2018,139,144.9,135.25,144.4,10132507
03/07/2018,134.1,145.9,132.8,142.1,10183791
02/07/2018,134.75,137.8,132.5,133.65,2677569
29/06/2018,134.65,135.4,131.4,134.85,3393853
28/06/2018,134.05,135.5,131,134.95,6329148
27/06/2018,130.55,138.4,129.25,135.75,11164615
26/06/2018,136.2,137.95,133.35,134.6,1548115
25/06/2018,140.1,143.75,136.5,137.6,3036216
22/06/2018,134,140.8,133.55,139.2,2651204
21/06/2018,135.9,136.2,133.1,134.8,1196558
20/06/2018,136.9,137.4,134,135.55,1695960
19/06/2018,137.5,138.2,134.7,136.3,1404038
18/06/2018,139.9,139.95,137,137.5,958285
15/06/2018,136.9,141.2,136.5,138.9,1688513
14/06/2018,138,138,136.25,136.75,1663895
13/06/2018,140,140.2,137.25,138.45,1430164
12/06/2018,141.95,143.75,138.5,139.95,2783485
11/06/2018,146.2,146.5,143.5,143.75,1210362
08/06/2018,145.05,148,144.8,146.2,1310584
07/06/2018,145,146.75,144.75,145.75,813792
06/06/2018,144,145,142.6,144.6,1438446
05/06/2018,144.2,147,142,145,1858485
04/06/2018,146.1,146.4,143,144.15,1295023
01/06/2018,147.9,147.9,144.7,145.8,1808500
31/05/2018,146.75,147.9,144.7,147.15,1906475
30/05/2018,144.25,150.8,144.1,145.6,5347247
29/05/2018,145.15,147.95,143.05,143.95,2026122
28/05/2018,145.8,148.8,143.9,147.05,2436091
