Date,KAJARIACER-EQ O,KAJARIACER-EQ H,KAJARIACER-EQ L,KAJARIACER-EQ C,KAJARIACER-EQ V
29/03/2019,576.6,598.75,575.5,589.85,566668
28/03/2019,571,579,565.45,576.7,338826
27/03/2019,562,585,560.9,569.8,377786
26/03/2019,551,565.55,550.15,562,910338
25/03/2019,569,569.1,554,556.7,560600
22/03/2019,571.9,580.25,570,572.65,118434
20/03/2019,581,582.85,570.95,573.5,137332
19/03/2019,578,584.9,573,581.45,163100
18/03/2019,575,586,571.55,576.25,395788
15/03/2019,587.5,587.5,569,570.85,422046
14/03/2019,587.1,593.45,580,584.55,272110
13/03/2019,590.1,597.1,580.55,585.35,565264
12/03/2019,570,596.5,568.1,589.2,777594
11/03/2019,569.5,571.75,558.1,565.85,261176
08/03/2019,568.4,569,562,566.1,213223
07/03/2019,566,578,563.4,567.3,753361
06/03/2019,564.8,565.5,557.1,561.9,232856
05/03/2019,559.95,564.35,556.4,562.15,509918
01/03/2019,543.85,561.65,542,555.95,649497
28/02/2019,543.35,549.8,539.6,541.95,860425
27/02/2019,539.8,549.85,537.5,539,571530
26/02/2019,535.75,540.9,527.25,538.85,524836
25/02/2019,523.9,542.5,523.75,536.35,1239311
22/02/2019,524,528,513.5,516.35,351366
21/02/2019,523.9,526.9,518.35,521.9,194696
20/02/2019,506.2,524.5,506.2,520.5,312662
19/02/2019,504,514.35,499.6,508.55,497238
18/02/2019,507.8,509.15,494.65,499.65,570799
15/02/2019,515,515,502.15,509.05,354971
14/02/2019,508,519.9,503.25,516.6,278647
13/02/2019,516.25,527,507,510.6,439794
12/02/2019,496.55,518.7,496,515.75,854442
11/02/2019,528.05,535.8,501,505.4,901127
08/02/2019,547.9,548.95,532.9,534.05,290566
07/02/2019,550,551,545.25,548.3,143045
06/02/2019,554.4,554.4,541,549.1,440726
05/02/2019,548.4,550.8,538.1,549.5,421504
04/02/2019,549.85,556,538.05,543.7,645137
01/02/2019,539.8,551,538.1,549.75,1181551
31/01/2019,535,540.9,531,538.05,361874
30/01/2019,533,542.7,528.65,534.7,466824
29/01/2019,526,542.9,515,534.85,474725
28/01/2019,538.15,538.6,514.45,533.05,585400
25/01/2019,535,544.9,534.2,538.15,255027
24/01/2019,546,550.9,531,537.15,740561
23/01/2019,549.6,552.7,544.3,548.55,800179
22/01/2019,537.6,554.65,537.2,546.9,1604260
21/01/2019,534.95,539.7,529.7,537.75,567745
18/01/2019,535,540.5,523.65,535,1490165
17/01/2019,534,540.5,531.65,535,479278
16/01/2019,533,537.65,529.45,535.15,311567
15/01/2019,528,535.45,527,531.75,571625
14/01/2019,526,535,521.6,526.3,1077909
11/01/2019,522.05,531.15,517.5,525.85,526368
10/01/2019,516,525.55,513.25,524.4,496095
09/01/2019,517.8,519.95,509.2,516.95,390763
08/01/2019,515.7,520.55,509.1,515.1,360283
07/01/2019,507.1,517.95,507.1,514.45,672470
04/01/2019,501,508.7,498.55,506.1,590851
03/01/2019,494.7,504.9,489.55,500.15,1256567
02/01/2019,493,497.9,487.55,494.45,284202
01/01/2019,496,496.45,490.6,494.25,161822
31/12/2018,485.05,498.5,485.05,493.1,523375
28/12/2018,490,493.35,484,485,305733
27/12/2018,494.25,494.5,486.2,489.85,464816
26/12/2018,482,491.75,471.75,489.45,430160
