Date,KOTAKBANK-EQ O,KOTAKBANK-EQ H,KOTAKBANK-EQ L,KOTAKBANK-EQ C,KOTAKBANK-EQ V
29/03/2019,1350,1352,1329.1,1334.5,2257766
28/03/2019,1338,1352,1328.9,1340.75,4616695
27/03/2019,1349.95,1363.9,1325.05,1332.85,3039458
26/03/2019,1312.25,1347.95,1310.05,1342.95,2051170
25/03/2019,1325.95,1330.85,1303.2,1308.65,2869564
22/03/2019,1354.7,1364.65,1331,1336.25,2620049
20/03/2019,1349.1,1357.9,1331,1351.6,3969408
19/03/2019,1350,1355,1338.55,1347.75,3117212
18/03/2019,1340,1360,1330.8,1343.65,5384740
15/03/2019,1271.9,1339.35,1270,1325.15,10393505
14/03/2019,1263,1277.45,1257,1268.95,2497386
13/03/2019,1263.5,1269.1,1247.05,1261.25,2425470
12/03/2019,1260.45,1272,1253.1,1263.35,3541360
11/03/2019,1238,1254.9,1234,1249.55,2065386
08/03/2019,1237,1243.5,1231.7,1238.9,1051433
07/03/2019,1244,1246,1235.2,1237.2,1434561
06/03/2019,1242.1,1247,1236.6,1241.3,2306834
05/03/2019,1223.9,1246.3,1217.8,1240.45,3128451
01/03/2019,1221.7,1230.5,1217.35,1225.95,2162834
28/02/2019,1213.2,1225.05,1210,1213.1,8722836
27/02/2019,1238,1241.6,1211.1,1216.15,5388722
26/02/2019,1224,1249.7,1220.1,1236.15,5026571
25/02/2019,1243.4,1246.85,1230,1240.95,3735590
22/02/2019,1251,1258,1225,1237.9,83859904
21/02/2019,1291.9,1297.6,1283.5,1289.15,1819094
20/02/2019,1281.3,1292,1279.2,1289.75,1350202
19/02/2019,1277,1285.25,1271.85,1280.45,1268328
18/02/2019,1281,1288,1273.25,1277.05,1265173
15/02/2019,1287.8,1290,1270,1283.65,2006955
14/02/2019,1302,1302.25,1271.55,1286.8,2491111
13/02/2019,1305,1306.75,1292.8,1298.3,902822
12/02/2019,1300,1310,1295.3,1298.65,1482010
11/02/2019,1296,1315,1294,1301.55,3144675
08/02/2019,1284,1311,1277.3,1299.4,2481433
07/02/2019,1280,1295,1275.3,1284.55,1198410
06/02/2019,1280,1288.8,1276.35,1279.5,1158741
05/02/2019,1276,1287,1267.5,1279.15,1917782
04/02/2019,1245,1274.7,1245,1272.2,1379319
01/02/2019,1257.05,1270.8,1240.2,1255.7,2189154
31/01/2019,1222,1260,1211.4,1255.75,2968660
30/01/2019,1255,1255.5,1217.8,1222.2,2754232
29/01/2019,1260,1273,1248,1251.4,2591590
28/01/2019,1269,1285,1255,1260.45,2054592
25/01/2019,1268.8,1287.7,1258.55,1266.15,1441296
24/01/2019,1274,1276.5,1263,1267.75,1459776
23/01/2019,1298.9,1298.9,1271.05,1276.5,3258582
22/01/2019,1279,1307.95,1273.1,1291.75,9072680
21/01/2019,1240.7,1275.5,1222.65,1267.6,9785366
18/01/2019,1220.1,1243,1216.5,1240.2,2598572
17/01/2019,1208,1225.05,1200,1219.95,3934500
16/01/2019,1215.7,1216.95,1198,1202.75,2374649
15/01/2019,1217,1220,1210.3,1213.4,1153871
14/01/2019,1217,1224.45,1206.4,1211.75,1364695
11/01/2019,1225,1229.2,1213.2,1223.2,2129299
10/01/2019,1239,1242,1216.35,1219.55,1651443
09/01/2019,1237.35,1244,1228.1,1238.25,1647622
08/01/2019,1243,1244.2,1225.95,1228.9,1661528
07/01/2019,1250.95,1254,1241,1246.6,1211456
04/01/2019,1238,1252,1230,1247.95,1468796
03/01/2019,1240,1251,1227.65,1235.25,1825888
02/01/2019,1247.9,1248.25,1227,1240.6,1713677
