Date,KTKBANK-EQ O,KTKBANK-EQ H,KTKBANK-EQ L,KTKBANK-EQ C,KTKBANK-EQ V
29/03/2019,133.55,134.5,131.65,133.65,2322507
28/03/2019,132.6,134.6,131.5,133.55,3480096
27/03/2019,131.25,132.3,129.25,131.95,3880438
26/03/2019,124.1,131.3,124.1,130.45,4386231
25/03/2019,125,126.45,123.5,125.2,3449505
22/03/2019,131.5,131.95,127.65,128.6,2250550
20/03/2019,131.1,134.5,130.4,131.2,5034266
19/03/2019,129.5,132.5,128.15,130.25,3314871
18/03/2019,129.6,132.1,127.85,128.8,4758690
15/03/2019,128.4,129.65,127.05,127.75,3478124
14/03/2019,130.85,130.9,126.3,127.85,5438970
13/03/2019,125,130.45,123.1,129.3,5387686
12/03/2019,126,128,122.85,124.9,3767571
11/03/2019,118.8,127.3,118.15,124.95,4850796
08/03/2019,120.2,120.85,118,118.3,973458
07/03/2019,121.15,122.3,118.6,120.4,1922132
06/03/2019,119.55,123.5,118.7,120.95,2332984
05/03/2019,115,119.9,114.3,119.55,2281611
01/03/2019,112.9,116.15,112.65,115.65,1646521
28/02/2019,112.3,113,111.15,112.25,1578634
27/02/2019,112.95,114.85,110.65,111.4,1443037
26/02/2019,113.6,113.9,108.85,112.15,2263234
25/02/2019,114.95,115.4,113.45,114.8,1065313
22/02/2019,114.7,116.5,113.7,115,963024
21/02/2019,113.95,115.5,113.05,114.8,1844845
20/02/2019,112.8,114.45,112.4,113.85,871549
19/02/2019,110.8,114.35,110.3,112.3,1256763
18/02/2019,112,113.2,110,111,1424102
15/02/2019,113.6,114.4,111,111.85,1356681
14/02/2019,109.5,116.2,108.65,114.9,2440257
13/02/2019,115,115.3,109.25,109.8,1868908
12/02/2019,113.85,115.8,113.1,114.5,839724
11/02/2019,116,116.65,113.2,113.65,1273403
08/02/2019,120.4,120.55,115.25,116.2,2561294
07/02/2019,116.75,122.35,116,121.1,2326196
06/02/2019,116.05,117.25,113.25,116.7,1097134
05/02/2019,116.5,117.65,114.8,115.4,951478
04/02/2019,118.3,118.3,115.5,116.95,986378
01/02/2019,120.5,121.5,115.2,118,2289610
31/01/2019,117.9,122.25,116,120,2395024
30/01/2019,118.2,119.35,116.6,117.9,946769
29/01/2019,116.1,119,114.95,118.1,1214474
28/01/2019,117.55,118,114.8,116.05,1426205
25/01/2019,120.9,121.55,116.75,117.45,1549920
24/01/2019,118.65,121.25,118.2,120.7,1397681
23/01/2019,118.45,119.9,118.05,118.5,892349
22/01/2019,119.65,121.05,118.1,118.45,1661117
21/01/2019,123,123.1,119.75,120.25,2017641
18/01/2019,121.15,123.55,119.6,122.1,5294119
17/01/2019,119.7,121.6,117.6,120.95,2020824
16/01/2019,119.6,121.05,118.45,119.2,1842887
15/01/2019,119.2,120,117.6,119.3,2170187
14/01/2019,116.4,121,115.15,119.05,7169759
11/01/2019,115.7,117.6,114.1,116.1,11964442
10/01/2019,114,115.7,113.2,115.3,2057320
09/01/2019,116.25,116.45,111.6,113.9,2277090
08/01/2019,113.65,116.1,112.9,115.75,1208410
07/01/2019,115.5,115.7,113.1,113.6,2015906
04/01/2019,110,115.3,110,114.95,3504650
03/01/2019,112,112.85,109.8,110.15,994855
02/01/2019,113,114.2,111,111.55,1576890
01/01/2019,112.25,113.75,111.6,113.25,1464911
31/12/2018,113.4,114,111.8,112.2,1141455
28/12/2018,110.6,113.85,110.45,112.5,2031479
27/12/2018,110.4,111.45,109.4,110.35,2189903
26/12/2018,108,111.1,105.6,109.85,1826401
24/12/2018,108.45,109.6,107.45,108.3,1048170
21/12/2018,111.8,111.8,107.6,108.2,2028890
20/12/2018,110.8,113.35,110,111.35,3182415
19/12/2018,111,112.1,110.05,111.35,3136302
18/12/2018,108.3,110.2,107.3,110.05,1059290
17/12/2018,108.55,110.7,108,108.8,1582004
14/12/2018,108.05,108.9,106.75,108.55,935388
13/12/2018,108.1,108.95,106.3,108.05,1686308
12/12/2018,104.3,107.9,102.3,107.2,2581059
11/12/2018,100.7,103.95,99.55,103.35,1723646
10/12/2018,101.7,103.25,98.4,101.2,2819757
07/12/2018,103.6,104.25,102.45,103.1,1785800
06/12/2018,101.75,103.9,101.1,103,1641298
05/12/2018,103.25,103.8,101.7,102.15,773087
04/12/2018,104.4,105,103.2,103.7,701456
03/12/2018,104.1,105.6,102.5,104.85,1699272
30/11/2018,102.8,105.25,102.4,103.55,1761945
29/11/2018,102.35,103.45,101.5,102.65,1272823
28/11/2018,104.3,104.55,101.05,101.75,1077232
27/11/2018,102.15,104.6,101.85,104.05,1608162
26/11/2018,102.75,102.9,100.3,102.35,1198785
22/11/2018,104.3,104.8,101.7,102.2,2557645
21/11/2018,103.8,104.95,102.5,104.15,1800486
20/11/2018,107.4,107.4,103.55,104.05,1983817
19/11/2018,107.7,109.6,106.55,107.75,1667702
16/11/2018,107.6,108.85,107,107.65,1879237
15/11/2018,106.95,108.2,105.2,107.1,1101885
14/11/2018,107,108.4,105.75,107.1,1873691
13/11/2018,105.85,106.8,103.05,106.2,1438783
12/11/2018,108.5,108.5,104.65,105.5,1476117
09/11/2018,106,108.05,105.7,107.7,1812204
07/11/2018,106.5,107.5,105.5,105.85,494948
06/11/2018,105.95,107.5,105.2,105.8,1929092
05/11/2018,104.4,105.9,103.15,105.1,1531222
02/11/2018,104.9,106.75,103.4,104.2,2567172
01/11/2018,104.5,104.8,103,104.05,1570338
31/10/2018,102.95,104,100,103.6,2202243
30/10/2018,98.35,105.75,98.05,102.35,6765163
29/10/2018,96.2,98.9,95.05,98.4,2012151
26/10/2018,94.45,97.3,94.15,96.1,2669204
25/10/2018,94.5,96.6,93.15,94.85,2284217
24/10/2018,94.9,95.4,93.7,94.75,1738229
23/10/2018,95.05,96.35,92.65,94.05,3223794
22/10/2018,98.9,99.5,95.6,96.15,2319478
19/10/2018,97.3,98.95,96.7,97.65,2415429
17/10/2018,101.3,101.5,97.5,98.05,2838072
16/10/2018,99.6,100.55,98.75,99.45,2982544
15/10/2018,98.8,99.6,96.4,98.8,6301788
12/10/2018,99.5,107,96.3,98.3,20017703
11/10/2018,98.7,101.8,97.55,98.8,2613224
10/10/2018,97.6,102,97.2,101.2,2207485
09/10/2018,100,101.25,96.7,97.45,2750778
08/10/2018,96,99.7,95.6,99.3,3638412
05/10/2018,97.45,99.5,95.2,96.25,2526807
04/10/2018,99.5,100.75,97,97.85,2381558
03/10/2018,99.85,102.75,97.65,100.05,2551111
01/10/2018,97.45,99.95,93.5,99.4,3424928
28/09/2018,100,101.2,96.3,97.2,3309032
27/09/2018,101.6,102.95,99.5,99.9,1910830
26/09/2018,101.75,103.2,99.65,102.1,2788232
25/09/2018,99.85,103,97.1,101.75,7242979
24/09/2018,109,109,99.55,101.15,4044483
21/09/2018,112.7,113.55,105,107.15,4787432
