Date,L&TFH-EQ O,L&TFH-EQ H,L&TFH-EQ L,L&TFH-EQ C,L&TFH-EQ V
29/03/2019,153.05,153.6,150.5,152.55,6314334
28/03/2019,154.95,155.15,151.65,153.6,15756788
27/03/2019,148.9,152.9,148,151.5,12880892
26/03/2019,144.3,148.6,144.3,147.45,5168368
25/03/2019,145.4,145.4,142.35,144.2,3490002
22/03/2019,146,148.8,144.6,146,5585280
20/03/2019,145.95,147.6,143.85,145.8,5950081
19/03/2019,149.45,149.45,145.5,146.85,3730432
18/03/2019,147.55,150.3,146.5,148.8,8351668
15/03/2019,144.2,149,143.6,146.65,7823850
14/03/2019,145.1,146.65,142.8,143.4,6063189
13/03/2019,147.25,147.35,144.4,145.1,5489583
12/03/2019,146.5,148.85,145.65,147.25,8394453
11/03/2019,142.6,146,141.95,144.7,5923812
08/03/2019,140.1,143.4,139.75,141.85,11139172
07/03/2019,141.8,141.8,138.75,140.75,5311626
06/03/2019,136.95,142.95,136.9,141.05,13162078
05/03/2019,128,136.15,127.5,135.3,10993552
01/03/2019,125,128.7,124.5,128,5248120
28/02/2019,124,124.95,123.35,124.2,5221037
27/02/2019,125,127.15,122.6,124.1,5654091
26/02/2019,124.3,126.25,121.65,123.85,6087781
25/02/2019,126.85,127.95,125.3,126.5,3647263
22/02/2019,127.15,129,125.75,126.5,5253489
21/02/2019,124.2,127.75,123.8,127.15,8438350
20/02/2019,123.55,124.65,122.55,124.2,4160431
19/02/2019,122.15,125.55,121.9,122.3,4277919
18/02/2019,125.7,127.2,121.5,121.9,4927375
15/02/2019,126,127.8,123.05,125.7,6888568
14/02/2019,123,127.8,120.1,127.3,9561550
13/02/2019,126.1,126.9,122.7,123.1,3334305
12/02/2019,125.85,128,124.65,125.55,3046347
11/02/2019,129,129,123.8,125.65,4430011
08/02/2019,133.65,134.3,128.1,128.85,8908834
07/02/2019,128.35,137.05,128.05,135.5,7670540
06/02/2019,127,129.45,125.7,128.6,3515758
05/02/2019,127.65,129.8,125.2,126.4,5188504
04/02/2019,130,130.15,126,127.55,6905425
01/02/2019,132,134.45,128.05,130.3,4709841
31/01/2019,133.4,133.9,128.25,131.45,4763262
30/01/2019,132.05,133.45,129.25,132.7,6491534
29/01/2019,128,132.2,127.15,131,4131027
28/01/2019,133.7,134.8,124.45,128.45,10124940
25/01/2019,138.3,138.7,132.8,134.65,5569523
24/01/2019,137,138.15,135.65,137.5,3490759
23/01/2019,137,138.35,135.5,136.6,4333336
22/01/2019,138.7,140.95,135.2,137,15751497
21/01/2019,140.95,141.9,137.8,140.15,9029314
18/01/2019,142.2,142.2,138.35,140.65,5024148
17/01/2019,142.5,144.15,140.25,141.3,7492429
16/01/2019,141.85,144.2,141.2,141.85,5431451
15/01/2019,137,142,136.75,141.05,5914185
14/01/2019,140.95,140.95,135,136.25,10750077
11/01/2019,144.5,145,139.6,141.5,4639398
10/01/2019,144.65,146,143.25,144.3,2483786
09/01/2019,149.1,150.05,142.65,144.65,5415783
08/01/2019,146.4,148.8,144.8,148.3,3082948
07/01/2019,146.25,148.75,145.25,145.7,4202422
04/01/2019,145.4,146.75,142.2,144.4,8860605
03/01/2019,150.55,151.25,144.8,145.4,6474355
02/01/2019,153.2,154.35,149.6,150.5,4695402
01/01/2019,153.4,154.05,151.75,153.15,3050999
31/12/2018,155.9,156.5,151.85,152.6,4509762
28/12/2018,154.25,155.95,153.3,154.45,3756769
