Date,LICHSGFIN-EQ O,LICHSGFIN-EQ H,LICHSGFIN-EQ L,LICHSGFIN-EQ C,LICHSGFIN-EQ V
29/03/2019,538.35,540.5,527.6,532.2,2161330
28/03/2019,536.05,537.7,527.15,534.05,3549497
27/03/2019,531.05,543.55,531.05,533.35,2039096
26/03/2019,525.15,534.35,523.7,530,1826857
25/03/2019,527.75,527.75,516.65,522.25,1455809
22/03/2019,521.5,534.85,519.5,528.15,2115470
20/03/2019,524.4,525,515.5,520.65,2709049
19/03/2019,517.2,524,511.75,521.85,1427205
18/03/2019,512.9,519.9,511.25,514.6,2030522
15/03/2019,515,516.75,506.5,509.85,2153827
14/03/2019,507.4,519,505.05,511.85,3518171
13/03/2019,503,512.7,502,504.6,2231863
12/03/2019,505,512.7,501,504.25,2393470
11/03/2019,498.5,507.8,494.8,501.85,2955029
08/03/2019,487.5,495,484.5,493.65,1175197
07/03/2019,488.95,489.95,481.4,488.05,2451200
06/03/2019,491.7,494.55,483.8,489.95,1752882
05/03/2019,473.5,491,473.15,484.55,3088859
01/03/2019,476.6,483.2,471.3,474.6,1946654
28/02/2019,470.7,478,464.25,475.5,2176744
27/02/2019,465.2,469.1,460.1,466.45,1680023
26/02/2019,459.75,471.9,455.1,463.9,3154575
25/02/2019,476.9,476.9,466.1,467.8,1352213
22/02/2019,468,477.4,465,469.9,2413029
21/02/2019,455.7,465,448.1,462.85,1846722
20/02/2019,450,457.35,444.5,451.9,3572025
19/02/2019,443.9,455.8,443.5,448.1,1770340
18/02/2019,439.6,448.8,438.9,443.9,2220760
15/02/2019,447.05,452.4,435.8,439.35,3004756
14/02/2019,438.15,449,438.15,447.25,1250565
13/02/2019,449.4,451.55,435.75,441.75,1792952
12/02/2019,448.6,453.55,443.2,446.65,1389125
11/02/2019,458.4,462.6,445.05,446.8,4932521
08/02/2019,465.4,465.8,449.05,457.5,1483884
07/02/2019,461.4,470.5,453.7,466.5,1981346
06/02/2019,460,462.9,450.1,459.8,1420605
05/02/2019,456,462.15,454.1,459.35,1047464
04/02/2019,461,464.5,451.1,455.9,1894538
01/02/2019,452,472.4,447.8,460.15,4376608
31/01/2019,444.5,452.5,433.75,448.85,5549988
30/01/2019,455.3,455.55,429.6,433.5,2785978
29/01/2019,443.65,458.45,440.9,452.5,1775631
28/01/2019,453.8,455.9,442,446.7,1544866
25/01/2019,471.2,473.35,448.85,453.05,1484734
24/01/2019,468,471.7,460.8,469.6,922672
23/01/2019,475.7,483.7,464.6,466.95,1353505
22/01/2019,473,477.85,462.6,475.2,1298726
21/01/2019,478,478.95,471,473.1,721691
18/01/2019,492.8,492.8,474.6,476.05,1353649
17/01/2019,485,494.3,485,490.7,2038083
16/01/2019,488.45,492.6,480.1,481.85,1499699
15/01/2019,481.1,488.4,477.3,486.05,1011374
14/01/2019,482.5,484.3,475.2,479.15,888839
11/01/2019,483.95,486.15,475.45,484.1,856388
10/01/2019,478,485.25,474,483.45,961932
09/01/2019,482.3,486.35,472.3,476.15,939711
08/01/2019,481.3,486.9,475.5,480.9,1454000
07/01/2019,491,492,477.55,479.35,1090142
04/01/2019,470.6,490.8,467.7,488.1,2348428
03/01/2019,478.05,481.75,468.3,470.2,858106
02/01/2019,480,486,474.35,476.15,1119301
01/01/2019,486.05,489.9,482.4,486.55,639604
31/12/2018,493.25,498.75,482.95,488.7,1752029
28/12/2018,481,490.4,478.5,488.75,1444038
27/12/2018,490.2,492,476.95,478.2,1902919
26/12/2018,470,488.35,465.2,486.45,1661893
24/12/2018,468,477.5,467.35,472.15,1073614
21/12/2018,488.95,496.2,469,470.55,1816837
20/12/2018,483.25,496.9,480.3,489.05,2180296
19/12/2018,468.7,487,467.05,485.65,3550238
18/12/2018,460.2,466.55,458.75,464.65,862373
17/12/2018,460.2,464.25,455,462.1,838108
14/12/2018,460,465.95,457.1,462.7,853636
13/12/2018,449.9,466.8,448,461.65,2085369
12/12/2018,437.2,451.7,437.2,448.8,1042682
11/12/2018,413,440.7,407.7,436.1,1816047
10/12/2018,430,431.15,417.95,419.85,1501101
07/12/2018,437.8,440.75,429.95,439.15,795344
06/12/2018,431.85,446.7,427.2,435.85,2036939
05/12/2018,440,446.6,428.5,433.8,3786499
04/12/2018,447,451.4,437.95,443.8,2772963
03/12/2018,468,468.95,444.6,446.3,2672790
30/11/2018,473.2,475.4,461.6,466.35,1699401
29/11/2018,469.95,476.3,463.8,470.45,2672516
28/11/2018,462.3,466.9,457.2,465.3,1669696
27/11/2018,456.7,462.85,449.65,461.1,1224230
26/11/2018,457.2,465.65,453.8,460.2,1540263
22/11/2018,468.1,469.25,455,456.2,799822
21/11/2018,458.2,472.6,458.2,468.15,3274983
20/11/2018,454.6,466.5,452.3,458.45,1870588
19/11/2018,455.25,460.9,451.25,457.75,1412377
16/11/2018,468.9,468.9,448.3,453.35,1475949
15/11/2018,454.95,469,444.15,466,1824111
14/11/2018,440,459.6,440,453.7,2103075
13/11/2018,430.1,439,429,437.75,872960
12/11/2018,436.75,443.45,429.6,430.55,1009156
09/11/2018,429,441.45,428.5,436.25,1256703
07/11/2018,431.45,431.45,428,429.9,139459
06/11/2018,425,433.75,423.1,426.75,1490314
05/11/2018,428.8,429.5,416.5,420.85,1463741
02/11/2018,424,436.5,424,430.55,2470803
01/11/2018,414,423.65,411.25,420.95,2204646
31/10/2018,409.15,412.65,393.3,411.1,4472130
30/10/2018,426.95,426.95,403.9,405.9,5363885
29/10/2018,405.5,420.95,398.05,417.1,3525279
26/10/2018,406.7,408,400.1,405.5,3580882
25/10/2018,408.55,411.85,401.5,409.6,3951714
24/10/2018,421.7,426.9,405,411.85,2642992
23/10/2018,414,421.45,409.4,415.8,1949509
22/10/2018,426,429,414.75,418.8,1405093
