Date,LT-EQ O,LT-EQ H,LT-EQ L,LT-EQ C,LT-EQ V
29/03/2019,1394.9,1405,1380.5,1385.3,2917356
28/03/2019,1371,1392.5,1364,1386.7,3184285
27/03/2019,1379,1391.1,1363.15,1366.45,2558997
26/03/2019,1379.8,1388.8,1367.75,1372.8,2021089
25/03/2019,1387,1389,1370.1,1376.75,1666203
22/03/2019,1379,1415,1376.2,1394.7,3788604
20/03/2019,1362,1382,1361,1370.9,3871744
19/03/2019,1371,1374.95,1346.5,1357.95,4053209
18/03/2019,1397,1411.7,1370.35,1378.9,2450686
15/03/2019,1386,1410.8,1378.6,1396.5,5723980
14/03/2019,1384.7,1396,1377,1379.75,1838850
13/03/2019,1395.7,1397.55,1372.85,1378.6,2241672
12/03/2019,1355,1403,1355,1388.9,6631152
11/03/2019,1343.55,1351,1340,1346.55,2661353
08/03/2019,1350,1363,1337,1339.4,4868283
07/03/2019,1323.85,1357.3,1310,1352.4,6207580
06/03/2019,1310.5,1327.55,1310.5,1317,2776738
05/03/2019,1302,1310.4,1277.05,1305.8,3948051
01/03/2019,1300.3,1311.95,1297.25,1308.55,2831577
28/02/2019,1293,1302.95,1273.3,1292.95,9321535
27/02/2019,1270.55,1295,1268,1284.7,3555914
26/02/2019,1263.8,1275,1253,1265.85,2417931
25/02/2019,1280.35,1286.45,1264,1275.85,5873730
22/02/2019,1282,1283.4,1265.5,1280.35,2390188
21/02/2019,1282,1291.5,1265.1,1284.1,2392129
20/02/2019,1265,1282.65,1264.2,1276.55,2433082
19/02/2019,1245,1270,1245,1258.3,2389086
18/02/2019,1245,1259.55,1240,1244.5,2186849
15/02/2019,1244,1253.9,1230.9,1243.1,3620228
14/02/2019,1219,1231.75,1201.1,1227.6,6974738
13/02/2019,1248.2,1254.85,1211.9,1216.65,2527941
12/02/2019,1244.5,1264.9,1241.55,1246.85,1571390
11/02/2019,1259,1259,1221,1246.5,2981408
08/02/2019,1295,1298.9,1255.55,1261.75,2993525
07/02/2019,1314,1320.85,1289.2,1296.05,1556295
06/02/2019,1308,1322,1293.05,1314.4,2034886
05/02/2019,1310.7,1323,1300,1304.6,1447400
04/02/2019,1326.85,1326.85,1302.6,1307.4,2308931
01/02/2019,1315.5,1334.55,1313,1324.6,2515736
31/01/2019,1304,1321.7,1296.55,1314.3,5852257
30/01/2019,1284.3,1309,1281,1294.45,2385425
29/01/2019,1304,1308.8,1268.2,1278.05,3685535
28/01/2019,1295.45,1337.9,1291.65,1300.45,8004136
25/01/2019,1300,1314.1,1281.5,1285.45,3136788
24/01/2019,1305,1305.55,1287,1295.35,1654706
23/01/2019,1301,1306.9,1293.55,1301.45,1821323
22/01/2019,1316.9,1321.5,1298.1,1301.15,2544978
21/01/2019,1279,1337.25,1273.45,1314.55,8813681
18/01/2019,1350.85,1352,1313,1317.9,2135781
17/01/2019,1345.1,1351.8,1336.95,1346.05,1610419
16/01/2019,1342.9,1361.5,1336,1342.15,2454470
15/01/2019,1340,1348,1330,1340.9,3079248
14/01/2019,1367.2,1367.2,1331,1333.9,3080984
11/01/2019,1393,1393.9,1361.05,1369.6,2489197
10/01/2019,1388,1398.9,1383.25,1392.6,1063647
09/01/2019,1389.5,1393.55,1372,1386.05,1413005
08/01/2019,1387.5,1393.85,1375,1382.2,1437271
07/01/2019,1397,1408.6,1379.05,1383.8,1851513
04/01/2019,1401.9,1407.6,1373.55,1388.05,2711485
03/01/2019,1426,1429,1391,1395,2290756
02/01/2019,1441,1444.9,1417.1,1425.5,2058504
01/01/2019,1445,1445,1425.2,1441.9,786846
31/12/2018,1445,1450,1431.2,1437.55,1487860
28/12/2018,1426.55,1448,1426.3,1439.4,1918767
27/12/2018,1429.2,1434.35,1408.5,1425.05,1872745
26/12/2018,1398.8,1432,1384.3,1422.65,1712084
24/12/2018,1427.6,1428.7,1400,1404.8,1390194
21/12/2018,1450.8,1459.7,1415.2,1420,1975704
20/12/2018,1430.6,1453,1423.25,1450.8,2782410
19/12/2018,1431,1438,1426.4,1434.75,2073536
18/12/2018,1405,1430,1405,1428.5,1568498
17/12/2018,1395.4,1424.4,1395.05,1408,1610515
14/12/2018,1423.45,1428.55,1405.05,1411.4,2189734
13/12/2018,1413.7,1429,1406,1426.45,1863210
12/12/2018,1368.6,1407.65,1365.5,1400.3,1751549
11/12/2018,1358,1369.85,1343.65,1361.4,2302505
10/12/2018,1374.7,1386.4,1358.2,1367.75,1657418
07/12/2018,1387,1404,1372.1,1399.9,1185686
06/12/2018,1387.8,1397.05,1372.05,1379.5,1574405
05/12/2018,1412,1419,1389.15,1394.8,1582751
04/12/2018,1423.05,1429.75,1415,1419.9,1061729
03/12/2018,1435.05,1439.95,1412,1427.5,1115862
30/11/2018,1425.15,1438.15,1410,1432.5,2018571
29/11/2018,1413.65,1435.5,1407.5,1422.45,2816724
28/11/2018,1431.6,1434,1399,1403.4,1390580
27/11/2018,1419.45,1434,1415.35,1431.6,1956946
26/11/2018,1410.2,1430,1410.2,1422,2630117
22/11/2018,1405,1419.5,1396.2,1410.15,1723570
21/11/2018,1410,1413.75,1393.25,1402.1,1320423
20/11/2018,1410.25,1423.1,1407.7,1413.1,1889461
19/11/2018,1400,1419.85,1395.05,1417.2,1932311
16/11/2018,1402.75,1414,1391.5,1399.05,1732865
15/11/2018,1388,1408,1386.1,1398.5,2890196
14/11/2018,1394,1398,1379,1384.7,1364551
13/11/2018,1364,1395,1358.2,1391.1,2068670
12/11/2018,1372.9,1384.5,1362,1367.2,2174698
09/11/2018,1365.95,1379,1360,1368.6,1247358
07/11/2018,1370,1370,1363.65,1365.95,255086
06/11/2018,1350.15,1369.8,1350.05,1363.85,1616734
05/11/2018,1358.3,1365,1343.55,1350.15,1457946
02/11/2018,1340,1369.85,1340,1358.2,2665756
01/11/2018,1337.45,1384,1321.6,1326.75,8903105
31/10/2018,1266,1304,1249.2,1297.5,3117499
30/10/2018,1258.4,1278.65,1248.25,1271.25,1957735
29/10/2018,1201,1264.5,1198.25,1261.3,2140956
26/10/2018,1200.6,1213,1191.3,1197.45,1101325
25/10/2018,1208,1212.05,1195.15,1201.55,3063065
24/10/2018,1211.2,1222.3,1204.1,1218.9,1484693
23/10/2018,1195.9,1209.05,1182.5,1200.7,2109820
22/10/2018,1214,1218.65,1200.1,1206.6,1452784
19/10/2018,1200,1211.9,1186,1206.05,2006965
17/10/2018,1236.65,1238,1208.7,1211.9,1746801
16/10/2018,1220,1228.95,1215.55,1224.65,2336499
15/10/2018,1230,1236.8,1208.4,1216.4,2945137
12/10/2018,1224.8,1245,1218.75,1235.25,2773440
11/10/2018,1230,1237,1220.1,1225.85,3942878
10/10/2018,1227,1265.9,1223.7,1250.65,4134413
09/10/2018,1222.8,1236.05,1215.45,1221.05,2559815
08/10/2018,1230,1244,1203.1,1215.35,3957900
05/10/2018,1258,1267.7,1215.85,1227.4,4206887
04/10/2018,1258,1292.9,1251.25,1257.9,7398229
03/10/2018,1247.1,1262,1226.65,1245.45,4302314
01/10/2018,1274,1274,1217.55,1248.1,4955435
28/09/2018,1314.5,1316.7,1250.15,1272.1,4301355
27/09/2018,1336.85,1337,1296.5,1309.9,3847372
26/09/2018,1329,1336.8,1309,1332.65,2846089
25/09/2018,1316,1332.7,1308,1319.05,2684511
24/09/2018,1333.3,1338.8,1302.3,1318.35,2425415
21/09/2018,1342.2,1352.45,1309.55,1329.7,2309530
19/09/2018,1332.95,1343,1326,1332.9,867001
18/09/2018,1343.8,1350.15,1325.25,1327.9,1501479
17/09/2018,1351.55,1353.8,1339.6,1344.75,912431
14/09/2018,1356,1367.2,1350.55,1358.85,1462192
12/09/2018,1335,1355.95,1320.5,1352.25,1319469
11/09/2018,1341.55,1347.75,1326.8,1329.65,1617176
10/09/2018,1347.75,1352,1335,1336.8,1228247
07/09/2018,1349,1357,1341,1347.5,1307928
06/09/2018,1349.8,1355.6,1338.8,1347.1,1586350
05/09/2018,1357.9,1363.9,1341.4,1348,2413590
04/09/2018,1365,1371.6,1354.1,1359.3,1517216
03/09/2018,1375,1390,1360.1,1363,2347852
31/08/2018,1348.95,1374,1348.95,1369.55,3549583
30/08/2018,1351.15,1362.9,1344,1346.55,2288925
29/08/2018,1356.8,1356.8,1344.7,1351.55,1435495
28/08/2018,1362.35,1366,1352,1355.6,1889337
27/08/2018,1355,1366,1345.4,1356.1,2595682
24/08/2018,1353.7,1363,1341,1342.9,3506532
23/08/2018,1329.2,1363.9,1318.7,1352.05,8248115
21/08/2018,1335,1335,1315,1322.55,3057182
20/08/2018,1300,1331.9,1282,1323.7,11227838
17/08/2018,1239,1247.8,1231.45,1240.15,1750983
16/08/2018,1247.9,1262.65,1226,1231.65,2292161
14/08/2018,1264.15,1266.7,1250.1,1253.25,2146242
13/08/2018,1264.5,1278.8,1252,1269.05,1627092
10/08/2018,1282.35,1295.4,1262,1264.65,1784956
09/08/2018,1299.95,1303.9,1282.75,1284.7,1035908
08/08/2018,1297.65,1308.8,1290.15,1298.25,1308818
07/08/2018,1296.7,1308,1292.35,1295.3,1458197
06/08/2018,1294,1299.8,1285.8,1290.45,842106
03/08/2018,1285.2,1297.7,1283.05,1290,1279774
02/08/2018,1294.4,1296.95,1280,1282.4,1415162
01/08/2018,1306,1308.85,1292.95,1298,1924210
31/07/2018,1299.95,1310.45,1285,1302.3,2304148
30/07/2018,1312.5,1316.5,1291.2,1295.35,3090391
27/07/2018,1313.7,1319.5,1300.5,1311.45,1785314
26/07/2018,1331.8,1346.9,1293.25,1305.95,7489743
25/07/2018,1331.45,1335.95,1313.65,1320.7,2254936
24/07/2018,1285,1328,1281,1324,4071039
23/07/2018,1270.5,1283,1262.2,1279.15,1229445
20/07/2018,1257.5,1289,1255.55,1270.35,1937969
19/07/2018,1294.3,1296.65,1253,1258.1,1468552
18/07/2018,1295,1308,1283,1292.15,1855985
17/07/2018,1285.05,1291,1268.8,1286.85,1598278
16/07/2018,1300,1301.15,1277.9,1283.1,1593400
13/07/2018,1307,1319,1287.25,1298.4,2360493
12/07/2018,1280.1,1304.5,1275,1299.75,2777124
11/07/2018,1283.55,1285.95,1271.6,1274.75,1326221
10/07/2018,1294.45,1298,1272.75,1284.6,1923397
09/07/2018,1271.8,1291.45,1263.2,1288,2021357
06/07/2018,1251,1278.25,1244.9,1266.3,2064484
05/07/2018,1265,1265,1245.6,1254.45,2006459
04/07/2018,1251.9,1261.4,1243.2,1259.5,1842579
03/07/2018,1259.25,1264,1246.05,1251.5,2096700
02/07/2018,1277.9,1277.95,1242.9,1255.95,3832519
29/06/2018,1235.95,1277.95,1233.05,1275.1,2324572
28/06/2018,1228,1240,1206,1234.95,4677061
27/06/2018,1273,1275,1229,1232.75,2332129
26/06/2018,1268.8,1283.5,1261.1,1270.05,2003243
25/06/2018,1301,1303.75,1264.25,1268.15,1622133
22/06/2018,1288.7,1305,1283.5,1299.85,3364048
21/06/2018,1310,1316,1286,1289.8,2161971
20/06/2018,1311.05,1319.2,1300,1306.75,2207289
19/06/2018,1318.85,1327.5,1307.05,1310.4,1607343
18/06/2018,1331.25,1337.4,1321.05,1323.2,951701
15/06/2018,1341,1343,1323.25,1329.9,2660969
14/06/2018,1354,1359.45,1340,1343,1325652
13/06/2018,1366.8,1368.25,1353,1358.75,1253808
12/06/2018,1348,1368.45,1344.6,1366.4,1853562
11/06/2018,1343,1355,1337,1343.25,1417401
08/06/2018,1349.05,1355,1331.1,1343.95,2483519
07/06/2018,1360.4,1366,1348.95,1355.15,2272271
06/06/2018,1331,1355,1331,1350.55,1581905
05/06/2018,1361.8,1361.8,1326.6,1333.75,1905926
04/06/2018,1375.95,1385,1354,1357.85,1346919
