Date,LUPIN-EQ O,LUPIN-EQ H,LUPIN-EQ L,LUPIN-EQ C,LUPIN-EQ V
29/03/2019,731,745.45,730,739.6,2556737
28/03/2019,728.8,733,719.8,724.85,2916948
27/03/2019,735.5,740.85,722.3,723.7,1881343
26/03/2019,733,738.65,731.15,734.8,1444465
25/03/2019,743.8,745.95,727,729.05,2523406
22/03/2019,755,758,740.25,743.2,1414802
20/03/2019,758,759.9,747.05,753.4,1204781
19/03/2019,753.9,765.8,751.5,755.05,1909056
18/03/2019,762.2,762.85,740,754.2,4929178
15/03/2019,767,789.6,767,785.15,3651344
14/03/2019,757.6,782,755.5,764.2,3897827
13/03/2019,802,805.45,757,763.3,3638081
12/03/2019,794.55,810.8,794.55,800.6,2029769
11/03/2019,780.8,797,779.25,795.3,1413263
08/03/2019,797.9,799.8,775.35,779.15,1971916
07/03/2019,788,803.5,785.3,792,1852651
06/03/2019,786,794.6,781.05,789.05,1395812
05/03/2019,791.55,791.6,778.1,784.6,1220769
01/03/2019,771.2,790.55,768.45,786.6,2349879
28/02/2019,765.05,773.5,761.05,763.75,2419997
27/02/2019,778,787,765,768,1370928
26/02/2019,777,781,764.1,776.1,1303086
25/02/2019,778,784.8,770.5,777.45,1069147
22/02/2019,771.95,782.65,767.05,777.7,1503832
21/02/2019,760.55,772,755,769.8,1554032
20/02/2019,766,768.45,752.6,762.65,1452620
19/02/2019,776,776,761.1,763.1,1382541
18/02/2019,778.1,785,760.5,770.9,2332485
15/02/2019,809,809.95,767.1,774.75,2939666
14/02/2019,793.05,812,790.5,810.2,1848763
13/02/2019,816,820,782.55,791.4,2906224
12/02/2019,822.55,824.75,806.25,810.95,1711425
11/02/2019,821.5,829.75,808,820.5,1689390
08/02/2019,822,836.3,805.1,830.75,2050927
07/02/2019,832,844.55,810.4,822.8,3613894
06/02/2019,838,851.5,805,842.1,6429178
05/02/2019,855.5,855.5,830.35,837.7,1344930
04/02/2019,882.95,888.65,848.55,855.9,1352120
01/02/2019,879.7,888,870.3,883.1,1032450
31/01/2019,868.15,885.95,866,875.7,2347389
30/01/2019,861,872.5,861,866.9,930968
29/01/2019,863.7,875,855,860.65,1468995
28/01/2019,849.15,870.65,844.3,865.25,2416180
25/01/2019,870,879.4,855.1,865.05,1345215
24/01/2019,866,870.95,858.2,868.4,701634
23/01/2019,866,873.6,859.25,864.6,837289
22/01/2019,866,872.4,851,865.45,1258723
21/01/2019,857,879.7,857,866.65,1712240
18/01/2019,861.1,867.35,851.85,862.3,1824696
17/01/2019,863.65,875,860.1,868.75,1995674
16/01/2019,850.4,865.5,845.1,863.2,1681645
15/01/2019,836.5,853,833.05,849.7,1071980
14/01/2019,837.8,840.95,828.5,834.75,922667
11/01/2019,838.5,842,828.1,839.35,824260
10/01/2019,836.6,842.9,833.5,838,737445
09/01/2019,844,844.9,830.05,838.15,928337
08/01/2019,823.8,843.75,821.15,841.7,1404676
07/01/2019,834.05,835,818.5,820.45,948727
04/01/2019,824,832,820.3,828.9,1279403
03/01/2019,836,840.75,818.3,821.05,987539
02/01/2019,842,847,826.05,832.8,1115202
01/01/2019,848.7,852.7,839,841.45,1122895
31/12/2018,846,850.8,836.65,844.3,1149648
28/12/2018,841,852,836.8,840.3,1133640
27/12/2018,837,841.9,830.1,838.7,1217908
26/12/2018,828,840.4,817.05,833.2,1441827
24/12/2018,874,876.85,832.2,838.25,3541535
21/12/2018,855.15,868.7,853.05,858.45,1800180
20/12/2018,840,859.7,839.5,855.05,1520946
19/12/2018,848,850.65,838.1,842,1037755
18/12/2018,846.35,848.5,836.8,845,892197
17/12/2018,848,855.5,840.5,847.45,1213014
14/12/2018,850.9,857,830.5,843.85,2701885
13/12/2018,815,855,806.2,847.3,4847312
12/12/2018,837,847.7,813,821.65,2342740
11/12/2018,803,842,802.3,835,2004151
10/12/2018,834,840,808.9,812.75,2738848
07/12/2018,853,859,832.2,841.3,2335261
06/12/2018,852,869,845.4,847,1720427
05/12/2018,888,889.8,848,859.35,3255984
04/12/2018,901,906,878.3,887.65,1450362
03/12/2018,886.55,905,870.25,901.3,2378359
30/11/2018,870,891.6,866,886.75,2419585
29/11/2018,867,894,861.3,868.25,4806533
28/11/2018,832,870,830,866.6,4459561
27/11/2018,849,857.7,842,851,1956636
26/11/2018,851,854.8,833.65,844.9,1522060
22/11/2018,852,855.9,844.5,850.7,961754
21/11/2018,852.5,857.55,845.5,849.55,1226962
20/11/2018,854.55,861.45,843,848.6,875924
19/11/2018,868,875,851.7,855.5,1287405
16/11/2018,857.9,869.9,855.45,864.7,1154745
15/11/2018,841,855,840.2,853.75,829607
