Date,NATIONALUM-EQ O,NATIONALUM-EQ H,NATIONALUM-EQ L,NATIONALUM-EQ C,NATIONALUM-EQ V
29/03/2019,53.25,55.95,53.25,55.45,17387769
28/03/2019,53.2,53.7,52.9,53.05,14904362
27/03/2019,53.75,54.3,52.9,53.2,7677606
26/03/2019,54.45,54.45,53.3,53.55,7543116
25/03/2019,53.3,54,52.5,53.8,5081803
22/03/2019,56.2,56.4,53.65,53.9,8629999
20/03/2019,55,56.4,54.85,55.9,24745154
19/03/2019,54.25,55.1,54.25,54.8,10035086
18/03/2019,54.7,55.15,53.75,54.25,8722849
15/03/2019,53,55.3,52.7,54.7,37469203
14/03/2019,52.3,53.55,52.2,52.6,7869505
13/03/2019,54.6,54.65,51.95,52.5,17936675
12/03/2019,54.75,55.5,54,54.5,16827549
11/03/2019,52.2,55.15,52.05,54.45,31504094
08/03/2019,57.55,58.1,55.85,56.8,25281020
07/03/2019,58.05,58.3,56.3,57.1,17212769
06/03/2019,57.3,58.4,57,57.7,20838990
05/03/2019,55,56.4,54.1,56.1,32016038
01/03/2019,52.3,53.9,51.2,53.65,33258174
28/02/2019,49.8,51,48.9,50.55,67856094
27/02/2019,49.25,51.15,48.75,49.55,31649946
26/02/2019,47.8,49.1,46.85,48.5,23704333
25/02/2019,49,49.2,47.6,48.35,47819940
22/02/2019,48.4,49.15,48,48.7,20569951
21/02/2019,49.7,50.05,47.55,48,22884317
20/02/2019,51.3,51.3,48.9,49.85,11877660
19/02/2019,48.9,51.5,48.8,51.15,25985569
18/02/2019,48.6,49.5,47.8,49.1,22038463
15/02/2019,49.15,51.05,47.4,48.75,22511049
14/02/2019,49.25,49.8,46.2,48.15,43447383
13/02/2019,52.45,53.65,48.8,49.25,13914576
12/02/2019,53.8,54.35,51.95,52.15,10210176
11/02/2019,57.15,58.2,53.35,54.1,20964801
08/02/2019,58.5,59.75,58.5,59.25,5750414
07/02/2019,58.4,59.6,58.15,58.6,5054762
06/02/2019,58.25,59,57.1,58.8,3150497
05/02/2019,59.25,59.4,57.3,57.9,4645973
04/02/2019,59,59.3,58.15,58.9,3271951
01/02/2019,59.45,60,58.5,59.15,4668687
31/01/2019,60.35,60.5,58.85,59.6,19300402
30/01/2019,60.1,60.45,59.75,60,3498115
29/01/2019,59.9,60.55,59.5,60,4437503
28/01/2019,61.25,61.3,59.75,59.9,6065127
25/01/2019,62.45,62.6,60.3,60.55,4271326
24/01/2019,61.6,62.45,60.8,61.85,2839521
23/01/2019,60.55,62.95,60.55,61.7,4655030
22/01/2019,60.8,61,59.8,60.7,2918880
21/01/2019,61.55,61.75,60.55,61.05,2155168
18/01/2019,61.8,62,61.25,61.45,1471753
17/01/2019,61.8,62.15,61.35,61.8,1640045
16/01/2019,62.7,62.95,61.4,61.65,3099309
15/01/2019,61.4,62.45,61.25,62.15,2797007
14/01/2019,63.3,63.3,61,61.45,2935255
11/01/2019,62.85,63.45,62.55,63.2,1962907
10/01/2019,62.65,63.05,62.35,62.75,3118288
09/01/2019,62.9,63.3,62.5,62.9,3080135
08/01/2019,63.65,63.85,62.55,62.8,2629795
07/01/2019,64.5,64.9,63.6,63.95,2983061
04/01/2019,62.55,64,62.55,63.85,3768550
03/01/2019,63.65,63.75,62.55,62.8,2626386
02/01/2019,65,65.3,63.6,63.95,3437321
01/01/2019,65.9,65.95,64.55,65.55,2170269
31/12/2018,64,66,64,65.8,5419202
28/12/2018,62.9,64.4,62.85,63.9,3539678
27/12/2018,63.6,64.25,62.2,62.7,18237550
26/12/2018,61.55,63.2,61.1,62.9,6203571
24/12/2018,62.55,62.6,61.5,61.55,4285997
21/12/2018,61.85,63.25,61.75,62.2,5878464
20/12/2018,63.65,63.65,59.9,61.7,16834329
19/12/2018,65,65.35,63.95,64.15,4718496
18/12/2018,64.35,65.15,64.15,64.75,2886685
17/12/2018,64.45,65.25,64.4,64.75,1839202
14/12/2018,64.2,64.8,63.5,64.15,1610261
13/12/2018,65,65.15,63.75,64.5,3526152
12/12/2018,61.9,64.7,61.9,64.5,2786591
