Date,NCC-EQ O,NCC-EQ H,NCC-EQ L,NCC-EQ C,NCC-EQ V
29/03/2019,112.7,113.75,112,112.85,4635297
28/03/2019,112.75,114,110.75,111.4,6716962
27/03/2019,111.95,114.2,111.15,112.4,8583110
26/03/2019,109.95,112.3,109.05,111.8,6403342
25/03/2019,108.5,111,107.85,109.2,7416700
22/03/2019,109.5,112.95,109.15,110.05,11399374
20/03/2019,108.9,110.6,107.35,109.5,9673277
19/03/2019,105.45,110.55,105.15,109.05,12978871
18/03/2019,106.75,107.25,103.35,105.15,6837467
15/03/2019,106.4,109.15,105.55,106.2,10448157
14/03/2019,106.8,107.8,104.8,106.2,8509798
13/03/2019,102.6,108.65,100.4,106.9,18153008
12/03/2019,103.7,105.05,101.65,103.2,13155751
11/03/2019,100.5,103.2,100.35,102.65,14107394
08/03/2019,96.55,101.15,95.9,99.9,16120882
07/03/2019,98.5,98.8,96.45,96.75,7157962
06/03/2019,98.8,100.6,96.9,98.85,13894289
05/03/2019,89.45,99,88.4,98.15,24010051
01/03/2019,85.7,90.3,85.5,89.4,14565574
28/02/2019,84.1,86,83.45,85.6,8539100
27/02/2019,82.95,86.6,82.55,84.05,13911548
26/02/2019,81.9,83.05,80.3,82.4,8153279
25/02/2019,85.3,85.65,82.25,83.6,9158305
22/02/2019,84.9,85.4,84.1,84.8,4081690
21/02/2019,84.35,85.4,83.6,84.75,6136304
20/02/2019,82.75,84.65,82.75,84.35,7805202
19/02/2019,82.2,83.8,80.85,82.25,8198706
18/02/2019,84.8,84.8,81.35,82.05,6132763
15/02/2019,86.4,86.65,83.1,84.2,8243816
14/02/2019,82.6,87.25,81.45,86.65,13480135
13/02/2019,85,86,82.1,82.85,15796163
12/02/2019,79.1,84.65,78.55,83.55,24202434
11/02/2019,79,79.65,77,78.75,5638912
08/02/2019,79.5,80.75,78.2,78.65,6078381
07/02/2019,79.7,81.6,78.7,80.45,8593946
06/02/2019,78.55,80.15,76.85,79.85,6015118
05/02/2019,79.7,80.15,77.1,78.05,5360338
04/02/2019,79.7,80,77.1,79.25,7534840
01/02/2019,80,82.35,78.25,79.3,15029574
31/01/2019,80.8,80.8,79.05,79.55,5998560
30/01/2019,81.65,81.8,79.7,80.35,5241571
29/01/2019,78.4,82.2,78.1,81.25,7723855
28/01/2019,81.75,82.2,78.9,79.4,5883868
25/01/2019,84.3,85.75,80.65,81.7,6704875
24/01/2019,85.5,85.85,83.55,83.85,4326899
23/01/2019,85.8,87.2,85,85.35,2983061
22/01/2019,85.85,86.85,84.3,86.15,5870581
21/01/2019,88,88.55,85.4,86,4679051
18/01/2019,89.8,89.85,87.45,87.95,6623450
17/01/2019,88.6,90.4,88,89.7,7752038
16/01/2019,89.4,90.1,87.85,88.4,5883826
15/01/2019,89.55,89.65,87.8,88.95,6397003
14/01/2019,91.6,92,88.4,88.75,8964184
11/01/2019,93.2,93.95,91.35,92.15,14082105
10/01/2019,90.8,93.25,90,92.7,12740442
09/01/2019,89.45,91.4,89.05,90.65,11684106
08/01/2019,88.25,90.1,87.85,88.75,6113424
07/01/2019,89.75,90.1,87.55,87.95,5679618
04/01/2019,88.75,90.95,87.55,88.65,11748451
03/01/2019,89.3,91.15,88.25,88.9,11707149
02/01/2019,89.2,91.4,88.6,89.6,20485313
01/01/2019,88.45,89.25,87.2,88.9,6101362
31/12/2018,87.6,89.5,87.3,88.15,11380623
28/12/2018,84.45,87,84.35,86.55,8927673
27/12/2018,85,86.6,83.4,83.95,12438821
26/12/2018,82.2,84.2,80.4,83.95,6654396
24/12/2018,84.55,85.4,81.1,83,10029283
21/12/2018,89.15,89.2,84.5,85,10802432
20/12/2018,90.35,90.35,88,89.2,21509170
19/12/2018,84.45,89.65,83.7,88.45,15845157
18/12/2018,83.4,85.15,83,84.1,5009746
17/12/2018,82.8,84.2,82.5,83.85,3958359
14/12/2018,82.4,84.35,80.45,82.35,7895033
13/12/2018,85.9,85.9,81.6,82.8,6693439
12/12/2018,81,84.75,81,84,7085722
11/12/2018,76,81.45,75.25,80.5,12335817
10/12/2018,76.05,78.55,76.05,77.6,4364860
07/12/2018,78.7,81.55,77.65,80.2,14933203
06/12/2018,82.05,82.4,74.6,77.95,23232128
05/12/2018,86.6,86.9,83.1,83.85,5689810
04/12/2018,88.5,88.9,86.5,87.05,6151166
03/12/2018,87.3,88.1,86.15,87.3,5933037
30/11/2018,89,90.55,86.5,87,9667612
29/11/2018,86.9,89.25,85.75,87.65,9157836
28/11/2018,88,89.3,85.65,86.7,6097438
27/11/2018,86.4,88.6,86.2,88.05,6611149
26/11/2018,87.45,88.2,83.25,86.8,10942736
22/11/2018,88.6,90.45,86.45,87,8228530
21/11/2018,87,89.3,86.05,88.65,5553588
20/11/2018,88.15,88.3,84.1,86.15,8747293
19/11/2018,88.2,90.4,88.2,88.75,6639630
16/11/2018,90.1,90.1,86.5,87.75,7876563
15/11/2018,87.3,91.85,87.05,89.7,14871448
14/11/2018,90.3,90.6,86.05,87.4,13566706
13/11/2018,82.5,90.5,82,89.85,28097876
12/11/2018,84.45,84.85,82.3,82.8,8657177
09/11/2018,81.5,84.1,80.85,83.6,4960336
07/11/2018,81.35,81.95,81.15,81.4,667740
06/11/2018,79.85,81.7,79.75,81.1,4787645
05/11/2018,79.4,81.4,78.2,79.6,6287522
02/11/2018,79.4,82.15,78.5,79.7,9842300
01/11/2018,75.45,79.2,75.2,78.4,9215327
31/10/2018,74.1,75.5,72.65,75,7163730
30/10/2018,71.85,76,71.5,74.65,10072163
29/10/2018,67.5,73.1,65.05,72.8,10235581
26/10/2018,65.25,67.3,63.25,66.85,8545008
25/10/2018,67,67.75,65.4,65.7,11162816
24/10/2018,68.9,69.85,67.4,68.35,6932228
23/10/2018,64.9,68.5,64.75,68.15,8462722
22/10/2018,67.05,67.8,63.85,66.05,10635653
19/10/2018,67.35,69.7,65.25,66.1,11760089
17/10/2018,75,75.7,67.95,68.7,12646552
16/10/2018,74.4,74.75,72.5,74.05,7477670
15/10/2018,73.2,73.9,71.6,73.25,7172313
12/10/2018,71.55,74.3,71.1,73.1,9392894
11/10/2018,70.8,71.8,68.25,69.95,9776585
10/10/2018,70.6,74.35,69.85,73.7,16377316
09/10/2018,71,71.95,68.1,69.75,7327988
08/10/2018,71.6,73.8,68.45,70.35,11603823
05/10/2018,75.5,76.5,70.6,71.4,9441279
04/10/2018,72.95,77.7,71.9,75.05,13377070
03/10/2018,70.8,77.95,70.4,74.85,11038587
01/10/2018,72.4,72.95,65.8,72.1,13609675
28/09/2018,79.15,79.25,72.35,73,9589740
27/09/2018,80.9,82.4,78.1,78.6,8544207
26/09/2018,80.15,81.3,79.55,80.45,5106291
25/09/2018,78.25,80.7,76.9,79.7,9613263
24/09/2018,85.1,85.2,78.45,79.85,9204049
21/09/2018,89.5,90.25,79.85,85.1,10212778
19/09/2018,89.2,90.7,87.15,88.7,5497265
18/09/2018,92,92.35,88.25,88.75,4944377
17/09/2018,89.4,92.6,87.6,91.6,7377452
14/09/2018,88.1,90.75,88.1,89.8,4575144
12/09/2018,89,89.05,85.35,87.55,7923921
11/09/2018,91.25,92.7,88.1,88.5,6160890
10/09/2018,92.6,94.15,91,91.65,7195222
07/09/2018,92.3,93.85,91.5,93.2,5883758
06/09/2018,92.4,94.1,90.8,92.65,11010594
05/09/2018,95.3,95.35,89.8,91.75,23058997
04/09/2018,104.05,105.3,94.05,95.35,19730057
03/09/2018,98.75,105.3,97.6,103.65,26440709
31/08/2018,98.75,99.6,96.8,98.65,6422844
30/08/2018,98.65,100,98,98.25,10133377
29/08/2018,98,99.5,97.25,98.35,4193320
28/08/2018,99,99.85,97,97.65,4233859
27/08/2018,99,100.5,98.4,99.2,4679327
24/08/2018,97.3,99.4,97,98.1,4813555
23/08/2018,100,100.1,96.9,97.8,4631240
21/08/2018,101.8,101.8,98.75,99.65,7616657
20/08/2018,101.85,102.3,100.7,101.15,4805795
17/08/2018,102.35,102.75,100.75,101.2,7679809
16/08/2018,99.35,103.25,98.4,101.5,16436968
14/08/2018,97.55,100.3,97,99.8,8888733
13/08/2018,97.45,100.65,96,97.35,11558918
10/08/2018,100,103.95,96.1,98.6,35478932
09/08/2018,96,100.5,95.7,100,12489339
08/08/2018,94.9,96.45,93.55,95.55,7708986
07/08/2018,93.7,95.45,91.6,94.55,8246142
06/08/2018,92.85,94.7,91.35,93.25,6458065
03/08/2018,93.9,95,91.35,92.1,7595810
02/08/2018,91.2,95.85,90,93.9,13125164
01/08/2018,93.05,93.5,89.4,91.2,6002974
31/07/2018,91.9,93.45,91.4,92.55,5260023
30/07/2018,93.5,95.2,91.1,91.65,8284492
27/07/2018,92.25,94.6,92.05,93.9,7211681
26/07/2018,91.5,94.1,91.05,92.05,10175224
25/07/2018,89.5,93.8,87.55,92.4,15849706
24/07/2018,84.55,90.85,83.35,90.2,15726017
23/07/2018,80.5,84.9,77.55,84.1,13520866
20/07/2018,81.4,82.2,79,79.75,9651898
19/07/2018,82.55,83.65,80.05,81.15,11608447
18/07/2018,85,85.65,79.55,81.9,13544121
17/07/2018,79.3,85.15,78.25,84.65,15018409
16/07/2018,87.8,87.8,78.85,79.95,24775128
13/07/2018,97.7,97.7,87.65,88.6,15330219
12/07/2018,100.1,101.35,96.5,97.05,9632067
11/07/2018,99.45,101.5,98.6,99.55,8824793
10/07/2018,98.05,99.55,97.8,99.1,5785431
09/07/2018,96.6,98.35,96.35,97.4,3777870
06/07/2018,94.6,97.7,94.05,96.25,5891229
05/07/2018,96.6,96.6,94,94.65,4986459
04/07/2018,98.8,98.95,95.3,96.7,6429177
03/07/2018,98.95,101.35,97.5,98.7,20613192
02/07/2018,97.55,99.55,95.2,96.95,14249090
29/06/2018,93.05,96.6,91.75,96.05,8116550
28/06/2018,95.2,95.2,90.1,90.9,8031556
27/06/2018,98,98.4,94.15,95.55,6441424
26/06/2018,96.9,100.8,96.4,97.95,11075714
25/06/2018,101.05,101.8,96.65,97.3,5884084
22/06/2018,99.55,102.1,98.3,101.4,5137101
21/06/2018,102.95,103.3,99.3,99.8,5502484
20/06/2018,102.4,103.6,101.3,103,4717144
19/06/2018,101.6,103.75,100.35,101.35,7399318
18/06/2018,106.7,107.3,101.3,102.6,9690344
15/06/2018,108.45,109.2,105.75,107.15,4949640
14/06/2018,107.65,109.4,105.85,107.9,10065563
13/06/2018,113.6,114.15,107.7,108.5,7789316
12/06/2018,113.25,114.5,111.85,112.85,6085488
11/06/2018,111.4,114,110.2,112.5,6614547
08/06/2018,109.9,111.8,108.3,110.6,5683669
07/06/2018,108.5,111.9,108.5,110.1,11081973
06/06/2018,108.7,110.75,103.5,107.05,23106731
05/06/2018,114,115.6,107.25,109.25,12704783
04/06/2018,121,121.25,113.7,114.9,6791503
01/06/2018,121.2,125.5,119.2,120.1,15207019
