Date,NMDC-EQ O,NMDC-EQ H,NMDC-EQ L,NMDC-EQ C,NMDC-EQ V
29/03/2019,102.4,105.85,102.3,104.45,7228237
28/03/2019,101.5,104,100.6,101.15,7390535
27/03/2019,105.9,105.9,101.25,101.65,6039163
26/03/2019,105,106.3,103.3,104.6,6340030
25/03/2019,105.85,105.85,103.3,104.8,4702779
22/03/2019,106.75,109.6,103,106.95,7658004
20/03/2019,118.35,118.4,113.05,113.65,9553277
19/03/2019,115.65,118,115.15,117.8,3865882
18/03/2019,115,116.65,114.6,115.65,4146252
15/03/2019,115.45,115.45,113.85,114.6,3868490
14/03/2019,114.2,114.8,112.8,114.25,4039919
13/03/2019,113.95,115,112.8,113.85,8004032
12/03/2019,111.25,113.1,110.6,111.9,6487586
11/03/2019,109.75,111.2,108.3,110.8,3475577
08/03/2019,107.6,111,107,110.05,8868561
07/03/2019,107.75,109.3,107,108.95,5207221
06/03/2019,106,108.2,105.4,107,7086937
05/03/2019,103,106,102.6,105.75,4516286
01/03/2019,101.9,103.15,101.2,102.75,4748926
28/02/2019,97.6,101.6,96.85,100.7,15146237
27/02/2019,97.45,97.95,96.4,97.3,4132365
26/02/2019,96.55,97.65,96.2,97.2,3765468
25/02/2019,97.2,97.6,96.55,97.1,4021994
22/02/2019,95.2,97.2,94.7,96.75,4754135
21/02/2019,94,95.55,94,95.2,4220150
20/02/2019,92.8,94.3,92.8,93.85,2889936
19/02/2019,92.05,93.45,91.65,92.75,2614860
18/02/2019,91.75,93.35,91.75,92.15,2951900
15/02/2019,93,93.1,91.1,91.65,2840602
14/02/2019,94,94.1,91.95,93.1,2466162
13/02/2019,95.45,95.65,93.1,93.5,2127265
12/02/2019,94.2,96.55,93.75,95.2,3652880
11/02/2019,93.7,95.1,92.75,94.15,4578690
08/02/2019,94.7,95.85,93.4,93.7,1547327
07/02/2019,95.25,96.95,94.75,95.25,2498967
06/02/2019,94.05,95.45,91.7,95.1,2069100
05/02/2019,94.95,95.65,93.25,93.9,1501649
04/02/2019,94.95,95.85,91.5,95.35,5323370
01/02/2019,97.65,97.65,94,95.35,5332170
31/01/2019,96.5,97.25,94.65,96.9,8805573
30/01/2019,92.4,96.5,92.3,96.1,7768913
29/01/2019,91.2,92.45,90.7,92.05,1950663
28/01/2019,90.6,91.8,89.9,91.2,2412974
25/01/2019,90.35,92.45,90,90.5,2936155
24/01/2019,90,90.5,89.4,90.1,973709
23/01/2019,90.6,91.4,89.65,89.9,1686889
22/01/2019,90.25,90.85,89.25,90.55,1503387
21/01/2019,91,91.3,89.6,90.25,2329954
18/01/2019,92,92.1,90.55,90.7,3938111
17/01/2019,92.65,92.8,91.55,91.85,6755057
16/01/2019,93.9,94.7,92.95,93.3,8325966
15/01/2019,94,94,92.1,93.65,4975593
14/01/2019,92.65,92.85,91.55,92.1,4137362
11/01/2019,91.4,92.65,91.25,92.2,4129100
10/01/2019,91.1,91.8,90.8,91.1,6126238
09/01/2019,92.7,93.35,90.6,91.25,11847014
08/01/2019,95.1,95.85,94.2,94.95,4769899
07/01/2019,95,95.85,94.1,94.95,3393526
04/01/2019,94,95,93,93.95,4732566
03/01/2019,97.3,97.4,93.7,93.9,6290996
02/01/2019,98,99.5,96.65,96.8,13102744
01/01/2019,96.9,97.4,95.2,95.75,1265237
31/12/2018,95.6,98.1,95.5,96.85,2112880
28/12/2018,92.4,96.25,92.4,95.5,2562279
27/12/2018,95.75,95.85,91.8,92.3,15572583
26/12/2018,94.55,95.6,92.9,94.8,2669829
24/12/2018,94.6,96,93.2,94.7,2173807
21/12/2018,97.35,97.75,94.2,94.6,2645631
20/12/2018,96.5,98.2,95.6,97.75,1431220
19/12/2018,95.9,97.65,95.5,97.25,1995211
18/12/2018,93.8,95.95,93.8,95.5,1611197
17/12/2018,94.5,95.3,93.6,95.05,1891963
14/12/2018,92.9,94.45,91.6,94.1,1375775
13/12/2018,94,94.75,92.4,93.05,2118860
12/12/2018,91.55,94.2,91.3,93.9,1557351
