Date,NOCIL-EQ O,NOCIL-EQ H,NOCIL-EQ L,NOCIL-EQ C,NOCIL-EQ V
29/03/2019,148.4,149.55,145.1,146.45,445443
28/03/2019,146.2,149.3,143.85,146.7,545430
27/03/2019,144.4,146.3,143,145.45,783094
26/03/2019,139.2,142.6,139.15,142,308701
25/03/2019,141.8,141.85,137.85,139.2,340388
22/03/2019,145.1,145.1,141.8,142.45,324840
20/03/2019,145.3,146.65,142.05,143.7,436230
19/03/2019,144.95,146.85,144.3,145.25,373160
18/03/2019,144.9,146.9,141.5,144.95,723292
15/03/2019,142.75,150.5,142.75,144.55,2405124
14/03/2019,142.9,143.75,140.8,142.4,488604
13/03/2019,143.9,144.8,141.65,142.3,1092617
12/03/2019,141.1,143.75,139.05,140,1173942
11/03/2019,137.05,141.7,136.3,140.45,980894
08/03/2019,139,139.5,136.1,136.5,429895
07/03/2019,141.85,142.75,138.3,139.75,501249
06/03/2019,142.5,145.7,140.4,141.8,1120734
05/03/2019,140.9,143.45,140.1,141.25,1046575
01/03/2019,134.2,145.45,134.2,140.1,2268709
28/02/2019,132.5,136.4,130.35,133.35,489178
27/02/2019,127.45,141.6,127,131.15,1093902
26/02/2019,128.5,128.5,124,126.45,412799
25/02/2019,126.7,131.35,124.55,129.2,572380
22/02/2019,124,127,123.35,125.95,516286
21/02/2019,120.6,124.55,120.6,123.25,453094
20/02/2019,119.95,122,119.95,120.8,218474
19/02/2019,118.8,121.65,118.8,119.4,241779
18/02/2019,122,122.5,118,119.2,225314
15/02/2019,119,124,119,121.1,527651
14/02/2019,119,120,115.55,118.75,466507
13/02/2019,121.8,123.45,118.1,119.1,456575
12/02/2019,123.6,125.15,120,120.7,408076
11/02/2019,127,128,121.5,123.35,286106
08/02/2019,127.3,129.9,126.05,127.65,317827
07/02/2019,124.95,128.5,123,127.3,348154
06/02/2019,127.25,130.15,123.6,124.8,758110
05/02/2019,134.4,134.4,122,125.3,2119582
04/02/2019,138,138.1,130.85,132.5,725415
01/02/2019,146.5,147.8,136,139.1,411702
31/01/2019,147.4,148.5,144.65,145.45,199671
30/01/2019,144.05,147,143.85,146.35,197688
29/01/2019,140,146.85,139,143.65,424180
28/01/2019,145.65,145.65,135.5,140.5,608032
25/01/2019,151.4,152.7,145,145.65,410549
24/01/2019,157,157.35,149,150.1,546823
23/01/2019,160.1,160.75,155.1,156.25,294606
22/01/2019,162.2,162.85,159.45,160.1,223086
21/01/2019,161.9,164.45,161,162.15,180384
18/01/2019,163.1,164.55,161.2,162.15,205124
17/01/2019,164.3,164.85,161.25,162.25,272034
16/01/2019,169,169.95,163.3,163.75,441514
15/01/2019,166.35,170.2,163,168.2,331095
14/01/2019,164.45,168.6,163.75,165.15,206378
11/01/2019,167,167.4,163.5,164.25,204584
10/01/2019,171,171,165.15,166.1,465535
09/01/2019,162.7,170.2,162.15,168.75,584621
08/01/2019,160.55,162.9,160.25,161.6,143530
07/01/2019,163.05,163.6,159.75,160.65,203445
04/01/2019,163.65,164,160.5,161.9,260632
03/01/2019,164,165,162.5,162.9,209817
02/01/2019,164.25,167.9,162.9,163.85,207526
01/01/2019,166.4,167.8,165,166.45,142361
31/12/2018,163.9,166.6,163.5,165.15,249464
28/12/2018,163.45,165,162.2,162.8,173180
27/12/2018,164,165,162.05,162.55,180559
26/12/2018,164,164.45,160.15,162.55,183697
24/12/2018,165,167.4,162.75,163.55,212539
21/12/2018,168.45,170.5,164.8,165.55,295227
20/12/2018,169.7,172.75,168.15,169.1,648078
19/12/2018,168.4,170.5,167.8,169.45,383123
18/12/2018,168,168.6,166.35,167.2,132022
17/12/2018,168.2,171,168,168.6,232546
14/12/2018,166.25,169.4,165.25,166,185915
13/12/2018,171,173,165.85,166.8,296840
12/12/2018,165.8,170.25,164.6,169.8,503265
11/12/2018,153.1,166,153.1,164.45,336368
10/12/2018,158.8,163,155.5,159.45,366350
07/12/2018,162.2,163.45,161,161.75,160378
06/12/2018,162,163,160.1,161.3,184852
05/12/2018,166.5,169.8,163,164.3,392174
04/12/2018,168.85,171.2,167,167.7,593810
03/12/2018,171,171.85,168.5,169.6,312756
30/11/2018,170.4,171.9,167,169.8,903892
29/11/2018,173.2,174.55,166.25,169.3,909284
28/11/2018,162.5,171.7,162.5,169.95,739715
27/11/2018,162.5,163.9,161.5,163.3,160575
26/11/2018,163.05,164.95,160.6,164.1,212593
22/11/2018,165.5,168.7,162.15,162.55,319132
21/11/2018,165.05,168.3,163.5,165.7,204053
20/11/2018,168.75,170,165.5,166.3,247372
19/11/2018,169,170.95,168,169.05,281949
16/11/2018,169,171.8,167,168,254885
15/11/2018,167.6,170.9,166.05,168.7,398519
14/11/2018,175.75,175.8,169,170.45,533482
13/11/2018,178.7,183,173.55,175.6,1999925
12/11/2018,171.3,180.9,166.6,175.85,1504157
09/11/2018,167.4,172.3,166.05,170.9,469522
07/11/2018,164.4,167,163.05,166.2,227563
06/11/2018,160.9,164.8,160,162.55,476088
05/11/2018,161.9,163.5,158.6,160.75,302751
02/11/2018,158.4,166.3,157.95,161.25,826733
01/11/2018,155.7,159.5,155.1,156.7,262650
31/10/2018,160,160.7,153.2,155.1,520126
30/10/2018,153.25,160.9,151.5,158.45,2163740
29/10/2018,149.5,154.6,149.05,152.55,450638
26/10/2018,148.95,150.85,146,147.85,342490
25/10/2018,146,149.65,145.5,148.35,178010
24/10/2018,147,149.55,145.5,148.55,351475
23/10/2018,148,148.5,144.05,145.95,595245
22/10/2018,150.4,152.9,143,149.75,633088
19/10/2018,152.15,159.8,150.6,151.65,477561
17/10/2018,159.85,160.9,154,154.95,474459
16/10/2018,156.7,160.2,156,157.75,498653
