Date,OBEROIRLTY-EQ O,OBEROIRLTY-EQ H,OBEROIRLTY-EQ L,OBEROIRLTY-EQ C,OBEROIRLTY-EQ V
29/03/2019,534.65,535.1,518.3,528.3,400943
28/03/2019,524.05,541.95,521.6,532,512934
27/03/2019,524.9,527,515.3,523.35,569757
26/03/2019,514.9,524,514.4,521,420654
25/03/2019,513.5,525,504.05,512.55,2375072
22/03/2019,498,523.6,498,516.65,2120562
20/03/2019,497.9,504.9,492.3,496.85,298907
19/03/2019,505.2,511.95,491.55,495.3,828410
18/03/2019,489,502.9,488.25,499.9,1166941
15/03/2019,481.95,491.1,480.95,487.5,307080
14/03/2019,485.8,486.6,476.4,478.35,337753
13/03/2019,486.4,492,480.2,481.35,1269466
12/03/2019,482.7,494.8,480,483.7,524145
11/03/2019,482.6,486.7,475.25,477.55,276901
08/03/2019,477.4,486.45,470.3,480.6,471370
07/03/2019,482.2,484.8,475.05,477,168153
06/03/2019,487.05,493.75,480,481.15,363816
05/03/2019,487.5,495,483,485.9,466480
01/03/2019,498.2,501.25,484,486.35,354204
28/02/2019,500.75,507.8,492.6,495.35,280970
27/02/2019,492.25,509.45,487,497.65,528175
26/02/2019,482,495,468.05,493.15,687506
25/02/2019,520.05,525,481,488.15,1699463
22/02/2019,489,510,489,503.1,1439111
21/02/2019,483,489.95,477.95,486.7,2074915
20/02/2019,488,492.95,472.55,481,538920
19/02/2019,496.1,509,480,484.75,1327632
18/02/2019,469.95,496.7,469,488.75,813729
15/02/2019,458.95,474,456.1,467.95,216540
14/02/2019,457,461.95,450.05,457.85,118138
13/02/2019,448.8,459.7,448.8,454.8,361083
12/02/2019,444.65,455.8,443,445.3,529202
11/02/2019,442,448.7,439.95,441.8,62339
08/02/2019,452.8,464,436.25,444.6,758807
07/02/2019,452.2,460.1,449.8,451.5,152581
06/02/2019,451,463.7,448,449.5,357971
05/02/2019,454,457.1,445.55,448.25,69161
04/02/2019,458,465.55,451.05,454.3,234707
01/02/2019,450.5,474.95,443.95,454.2,666607
31/01/2019,437.5,448,434.5,444.65,211627
30/01/2019,445.95,445.95,432.05,433.3,198099
29/01/2019,447,450,442.6,444.45,83575
28/01/2019,459.95,462.8,446.25,448.1,131400
25/01/2019,474,477,451.85,457.3,638118
24/01/2019,445.5,478.35,445.5,471.7,1096773
23/01/2019,448.75,448.75,436.25,440.2,393172
22/01/2019,442,449.8,441.1,447.75,374527
21/01/2019,449.95,450,440.05,445.1,221923
18/01/2019,463.9,463.95,446.05,449.85,619559
17/01/2019,453.9,462.8,452.15,460.25,620582
16/01/2019,454,460.9,450.6,453.75,216001
15/01/2019,445.7,464,445.45,452.3,540050
14/01/2019,451.85,452,438.4,443.9,149033
11/01/2019,460.35,461.4,450.05,452.4,99363
10/01/2019,459.4,467.85,453.2,460.05,309824
09/01/2019,454.95,459.7,448,457.65,160252
08/01/2019,461.25,469.4,448.6,451.85,317297
07/01/2019,466.15,478,455.15,457.55,542900
04/01/2019,451,465,447.25,463.35,343653
03/01/2019,450.2,454.9,445.3,448.6,127886
02/01/2019,453,466,441,447.45,389093
01/01/2019,444.9,457.9,442.25,454.7,312694
31/12/2018,455.3,461.95,438.4,440.85,256403
