Date,OIL-EQ O,OIL-EQ H,OIL-EQ L,OIL-EQ C,OIL-EQ V
29/03/2019,184,187.8,181.8,185.45,3578849
28/03/2019,182,186.5,180.65,184.75,5704956
27/03/2019,178,182.5,177.5,181.4,1532365
26/03/2019,177.25,179.9,176.5,177.35,1556577
25/03/2019,172.1,177.4,172,176.15,1493477
22/03/2019,175.6,177.15,171.5,172.05,2696611
20/03/2019,183.95,183.95,173.45,175.05,4091757
19/03/2019,179.85,187.2,178.35,182.85,2476327
18/03/2019,179.8,180.7,178.05,179.1,798632
15/03/2019,179.45,179.45,177.3,178.5,852790
14/03/2019,175.65,179.1,175.3,178.65,1136508
13/03/2019,180.1,180.85,173.75,175.45,2138007
12/03/2019,179.95,181.3,178.5,180.7,1642593
11/03/2019,173.6,178.5,173.5,177.75,1643671
08/03/2019,176.1,177,171.6,173.7,3342461
07/03/2019,182,182.95,176.75,177.15,1370257
06/03/2019,181.95,183.6,181.3,182.75,1116902
05/03/2019,179.65,181.75,178.25,181.35,1322120
01/03/2019,175.1,179.3,174.55,178.4,1478380
28/02/2019,172,178.5,172,174.6,2610839
27/02/2019,174.05,176,172.3,172.6,1036323
26/02/2019,172.4,176.1,171.3,174,2211640
25/02/2019,176.55,178,169.65,174.2,3915230
22/02/2019,173,177.5,172.65,177.2,1883694
21/02/2019,172,174.25,169.2,172.4,2906955
20/02/2019,179.2,181,176.55,180.25,4759250
19/02/2019,174.8,178.6,174.3,177.1,1778080
18/02/2019,174.2,175.9,172.1,173.75,1574957
15/02/2019,171.3,174.9,170.7,172.1,2429943
14/02/2019,173.1,173.65,169.1,170.1,2655089
13/02/2019,174,177.45,170.3,173.1,5730912
12/02/2019,170.45,172,169.05,169.8,644466
11/02/2019,170.8,171.7,168.5,170.35,815309
08/02/2019,171.7,173.3,170.35,170.8,546110
07/02/2019,171.3,173.55,170.2,170.7,826798
06/02/2019,170.3,171.65,168.85,171.35,1216381
05/02/2019,171,172.15,168.8,169.5,452390
04/02/2019,171.55,175.45,170.25,171.1,947598
01/02/2019,168,172.05,167.65,171.55,1423978
31/01/2019,167.45,169.85,166.6,167.65,4246822
30/01/2019,170.95,171.8,165.1,166.6,1789394
29/01/2019,171.1,173.75,169.65,170.3,1108962
28/01/2019,172.05,172.9,170.1,171.7,632113
25/01/2019,170.4,174,170.3,171.85,1337495
24/01/2019,170.15,171.3,169.05,170,693618
23/01/2019,170.5,171.6,169.1,170.05,816310
22/01/2019,171.95,172.75,170.05,170.5,408538
21/01/2019,172.6,173.8,171.5,171.95,725021
18/01/2019,172.95,173.6,172.05,172.4,552777
17/01/2019,173.55,175.25,171.85,172.75,862255
16/01/2019,175.85,175.85,173.2,173.55,622333
15/01/2019,175.5,176,172.8,175.1,1130612
14/01/2019,173.8,174.4,172.3,173.25,316687
11/01/2019,174.6,175.6,173.75,174.55,558581
10/01/2019,176,176.3,173.4,173.75,510036
09/01/2019,176.95,177.2,174.8,175.8,722635
08/01/2019,176.75,177.65,174,176.45,1095398
07/01/2019,175.4,175.9,172.5,174.6,1275303
04/01/2019,172.05,174.95,172.05,174.55,431122
03/01/2019,172.8,175.7,171.5,172,698190
02/01/2019,175.8,176.2,171,172.4,722532
01/01/2019,175,176.4,174.15,175.75,381570
31/12/2018,178.1,179,174.35,174.8,761462
28/12/2018,172.45,178.45,171.3,177.8,1337640
27/12/2018,173.6,175.5,168.55,170.75,5171771
26/12/2018,175,175.6,173,173.6,2011515
24/12/2018,178,178.5,173.65,174.35,1640609
21/12/2018,180.35,180.9,176.55,177.1,2174647
20/12/2018,178.9,182.35,178.25,179.05,3167499
19/12/2018,178.25,180.8,178.2,178.75,1149180
18/12/2018,179.5,179.9,177.05,178.8,1840136
17/12/2018,176.9,178.3,175.7,177.8,1661444
14/12/2018,175.1,177,174.3,176.25,1680823
13/12/2018,175.5,176.9,174.2,175.1,1725162
12/12/2018,173.95,175.75,172.8,174.7,1496253
11/12/2018,171.95,174.7,171,174,1820072
10/12/2018,176,176.6,171.75,173.35,5112050
07/12/2018,181.15,182.3,177.5,177.85,1506509
06/12/2018,182.9,182.9,180,180.4,1130910
05/12/2018,186.35,189.4,182.75,183.3,1443482
04/12/2018,188.9,189.3,184.65,186.7,1570440
03/12/2018,186.25,189.9,182,188.9,2810112
30/11/2018,190,195.8,185.35,186.25,6828327
29/11/2018,198.7,204.65,196,201.9,3265246
28/11/2018,200,201.45,197.25,198,1175314
27/11/2018,200.45,203.4,198.8,199.8,1258367
26/11/2018,206,207,199.1,199.8,1882375
22/11/2018,202.05,207.25,202.05,205.15,923099
21/11/2018,203.5,205.35,201.75,202.65,751053
20/11/2018,200,204.5,199.5,202.8,1647832
19/11/2018,203.6,204.4,199.5,200.7,1631316
16/11/2018,201.3,202.05,194,199.2,928967
15/11/2018,203.75,205.5,202.1,203.35,432094
14/11/2018,202.1,205,201.8,203,826413
13/11/2018,204,205.75,199.1,201.35,2012218
12/11/2018,200.75,200.75,195.75,199.05,611012
09/11/2018,197.5,201.9,197.5,199.25,328102
07/11/2018,199.9,199.9,198,198.6,68124
06/11/2018,198.75,198.9,196.3,198.3,352966
05/11/2018,202.4,203.8,196.8,197.85,359970
02/11/2018,202,205.85,199.9,200.85,638163
01/11/2018,198,200.25,196.45,198.35,498765
31/10/2018,196.15,198.6,194,197.6,426894
30/10/2018,199,199.15,196.05,196.6,473190
29/10/2018,198.15,203.15,196.6,201.05,407998
26/10/2018,201.6,202,193.95,200.15,841148
25/10/2018,193,205,189.25,201.3,1743752
24/10/2018,195.75,196,189.4,193.8,1278472
23/10/2018,199.5,199.5,190.45,193.25,725517
22/10/2018,204.5,204.5,198.25,199.05,384151
19/10/2018,201,206.45,196.55,202.85,810677
17/10/2018,209.55,212,200.5,201.85,852091
16/10/2018,207,211,202,209.85,967717
15/10/2018,205,206.25,197.65,205,912217
12/10/2018,199.3,203.4,197.2,202.6,990446
11/10/2018,195.6,207.75,192.7,197.85,2474616
10/10/2018,193,202.6,190.05,198.85,1467653
09/10/2018,194.6,197.3,185,194.55,2387142
08/10/2018,186.6,195.4,185.75,194,1758365
05/10/2018,198.05,198.4,181,186.9,2938441
04/10/2018,220,220.15,199.55,209,798418
03/10/2018,219.5,224,218.85,220.45,810599
01/10/2018,223.8,223.8,213.35,221.1,679573
28/09/2018,216.75,224.95,210.6,219.55,1139867
27/09/2018,217,221.8,212.65,215.15,1497760
26/09/2018,225,225,215.55,218.4,870725
25/09/2018,220.7,222.35,214.1,219.85,802598
24/09/2018,221.05,227,217,219.1,2310087
21/09/2018,208,221.2,208,218.65,2841780
19/09/2018,205.6,209.3,205.5,207.95,597506
18/09/2018,206,208.9,203.6,207.4,845711
17/09/2018,205.65,207.4,203.2,206.15,442209
14/09/2018,204,206,203.55,205.65,347168
12/09/2018,204.95,204.95,199.5,202.7,875048
11/09/2018,204.2,205,202.2,202.75,341007
10/09/2018,207.75,207.75,203.85,204.45,443966
07/09/2018,208.95,208.95,205.45,206.85,279987
06/09/2018,205.6,208.9,204.7,208.4,497558
05/09/2018,209.8,210.2,201.8,204.7,1014986
04/09/2018,212.7,212.95,209.05,209.75,497072
03/09/2018,215,215.5,211.2,211.85,420976
31/08/2018,212.8,216.75,212.8,213.6,760196
30/08/2018,209.9,214.5,207.6,213.85,912537
29/08/2018,209.6,211.05,207.6,209.5,471450
28/08/2018,212.8,212.8,207.2,208.3,503164
27/08/2018,207.05,212.3,207.05,211.1,592904
24/08/2018,207,209.4,204.45,207.75,749991
23/08/2018,208,208.95,205.3,207.45,608495
21/08/2018,208,209.5,205.3,206.45,402947
20/08/2018,206.4,207.8,204.5,205.95,800212
17/08/2018,205,207.05,203.5,203.95,409900
16/08/2018,207,207,203.5,205.05,609197
14/08/2018,214.4,214.4,205.7,207.6,1296215
13/08/2018,214.5,216.15,211.1,212.4,557478
10/08/2018,215,215.6,211.5,213.6,328401
09/08/2018,217,217,214,214.85,306809
08/08/2018,215,219,212.3,216.3,877728
07/08/2018,215,216.65,213.8,214.9,659664
06/08/2018,212,215,210.7,213.85,716130
03/08/2018,213.6,214.95,209.25,210.6,945863
02/08/2018,215.3,217.25,210.6,212.05,886762
01/08/2018,210.6,215.4,209.5,213.45,673460
31/07/2018,213,213.25,208.1,209.05,622467
30/07/2018,211,213.2,209,211.65,369679
27/07/2018,208.4,213.95,207.05,211.7,561666
26/07/2018,205.95,209.25,205.15,208.5,380749
25/07/2018,208.9,209.85,204.6,205.25,756209
24/07/2018,207.4,208,205,206.65,320426
23/07/2018,208.6,208.6,205,205.5,334835
20/07/2018,209.7,212.4,205.2,207.05,1581395
19/07/2018,213.1,213.9,208,209.7,1052092
18/07/2018,207.05,211,206.7,209.45,623196
17/07/2018,206,208.3,204.8,206.8,321935
16/07/2018,205.55,207.8,203.25,205.45,482721
13/07/2018,210.05,211.65,203.55,205,378088
12/07/2018,213.2,214.6,208.35,210.05,820143
11/07/2018,207.5,212,207.5,210.1,1126815
10/07/2018,206.55,209.65,205.8,206.95,727931
09/07/2018,206.55,209.45,204.9,205.5,1016645
06/07/2018,205.65,208.4,204.65,205.55,245804
05/07/2018,208,208,204.15,205.65,422678
04/07/2018,209.85,209.9,204.45,208.25,415428
03/07/2018,207.55,210.25,206.15,208.5,459786
02/07/2018,210.25,211.95,206.1,207.45,909875
29/06/2018,204,211.2,201.65,209.85,710864
28/06/2018,208,213.25,199.2,201.25,1557308
27/06/2018,213,213.7,206,208.65,694386
26/06/2018,209.75,215.55,207.75,212,1148525
25/06/2018,213,213,204.05,208.4,996008
22/06/2018,210,211.35,207.85,210.2,1148248
21/06/2018,212,214.5,208.8,209.6,1037100
20/06/2018,214.35,216.65,208.7,211.25,938380
19/06/2018,217,220,212.25,214.5,1054794
18/06/2018,221.5,223.85,215.4,217.15,948935
15/06/2018,222.8,223.7,219.95,222.4,526496
14/06/2018,224.75,224.75,219.85,222.45,744404
13/06/2018,224.7,228.5,222.3,223.65,796412
12/06/2018,219.7,226.7,219.3,224.7,1290408
11/06/2018,220.5,222.5,218.5,219.3,347036
08/06/2018,221.95,223.9,218.55,220.55,454683
07/06/2018,218.15,223.5,216.6,222.5,1277200
06/06/2018,215.1,218.6,214.9,217.05,634276
05/06/2018,218.2,220,214.05,214.75,852272
04/06/2018,217,220.05,213.85,218.5,1235044
01/06/2018,218,219.8,214,215.3,889875
31/05/2018,217.85,220.9,213.1,215.85,1314254
30/05/2018,225.8,227.3,214.45,216.75,1882875
29/05/2018,224.5,232.5,222.55,225.6,3778393
28/05/2018,218.2,225.15,217,220.15,1410982
25/05/2018,213.4,219,211.3,217.55,1569178
24/05/2018,233,233,203.95,215.65,4183244
23/05/2018,239,239,229.55,230.9,709115
22/05/2018,239.5,244.2,235.5,239.1,869136
21/05/2018,242.9,245.75,237.7,239,505842
18/05/2018,245.95,247.5,241.35,243.4,886510
17/05/2018,239.75,243.9,236.3,243,797836
16/05/2018,237.5,239.75,235.05,237.3,410610
15/05/2018,236.5,241.85,235.35,236.4,679742
14/05/2018,236.5,237.8,234.3,236.75,723831
11/05/2018,232.55,236.95,231.25,235.35,856036
10/05/2018,231.55,234.95,230.4,231.35,666037
09/05/2018,228.3,234,228.1,230.15,1468718
08/05/2018,230.6,234.9,224.55,226.75,1025980
07/05/2018,223.8,229.4,223.6,228.5,677276
04/05/2018,229,229.15,219.85,221.05,1147645
03/05/2018,224,231.1,222.15,229.8,1338796
02/05/2018,233.6,233.6,221,221.75,763123
30/04/2018,229.25,233.1,228.1,232.45,440462
27/04/2018,236.5,236.5,226.45,231.3,783876
26/04/2018,236.25,238.4,232.5,235.15,1805405
25/04/2018,236.5,236.5,232.7,233.75,775443
24/04/2018,234.45,240.9,232.1,237.05,1824432
23/04/2018,230.25,233.45,227.25,231.6,897579
20/04/2018,225.95,231.45,224.9,230.45,1260962
19/04/2018,219.8,226.25,219.8,225.15,2167454
18/04/2018,218.7,219,216.85,218.1,391209
17/04/2018,217.4,218.8,216.15,217.95,415033
16/04/2018,216.7,218.95,213,217.9,459260
13/04/2018,218,220.65,217.5,219.5,1771507
12/04/2018,221.65,222.9,215.6,217.85,819229
11/04/2018,219.05,227,218.9,220,3053178
10/04/2018,217.4,218.25,216.65,217.2,693885
09/04/2018,218,218,213.5,216.15,802179
06/04/2018,216.55,219.95,216,217.6,821043
05/04/2018,216.5,218.5,216.1,217.5,983714
04/04/2018,223.9,223.9,215.1,215.8,1002537
03/04/2018,225,225,220.25,221.05,789750
02/04/2018,220.5,231,216.3,227.05,1524529
28/03/2018,215.1,218.9,214.1,216.35,2219838
27/03/2018,215,221.95,213,216.8,2742078
26/03/2018,235.33,235.33,224.67,228.3,2718272
23/03/2018,226.23,234.67,221.5,233.3,7564892
22/03/2018,222.67,229.7,222.67,227.57,2270849
21/03/2018,220,223.17,220,221.5,566976
20/03/2018,225.4,225.4,216.33,218.07,1034229
19/03/2018,224.93,230.07,223.53,224.67,1339022
16/03/2018,223.43,227.2,222.4,224.83,893357
15/03/2018,230,230,224.2,225.13,974804
14/03/2018,218,228.67,217.97,227.23,1376196
13/03/2018,217.67,220.47,215.6,218.13,625203
12/03/2018,217.93,218.4,215.33,217.8,451137
09/03/2018,217.93,221.33,212.2,213.9,902933
08/03/2018,224.13,226.5,216.7,217.7,647834
07/03/2018,229.43,232.6,223.37,224.37,440745
06/03/2018,233.57,235.97,229.37,231.03,641180
05/03/2018,231.33,234.67,231.33,233.53,491405
01/03/2018,232.97,234.53,230.03,233.17,508857
28/02/2018,231.33,233.57,230.33,233.23,614720
27/02/2018,234,236.13,231.13,232.77,592034
