Date,ONGC-EQ O,ONGC-EQ H,ONGC-EQ L,ONGC-EQ C,ONGC-EQ V
29/03/2019,157,162.3,155.5,159.75,28968721
28/03/2019,160,160.25,155.2,155.9,25492224
27/03/2019,160.15,161.4,157.5,160.1,10063152
26/03/2019,159,163.05,158.7,160.05,16694599
25/03/2019,152,160.55,150.7,158.65,22638399
22/03/2019,152.95,153.45,148.45,152.35,26751005
20/03/2019,156.65,157.05,150.6,151.85,28675956
19/03/2019,155.95,163.2,154.8,157,18289779
18/03/2019,155,157.3,153.6,154.65,7575127
15/03/2019,151.9,157.45,151.2,156,15483879
14/03/2019,150,152.5,149.5,151.05,6328309
13/03/2019,151.25,151.25,145.7,149.75,21001041
12/03/2019,154,155.6,151.1,151.85,10818012
11/03/2019,151.55,154.3,151.1,153,15880368
08/03/2019,152.1,152.6,147,150.4,17986042
07/03/2019,154.8,155.5,151.5,152.05,30210637
06/03/2019,155.1,157,152.8,154.8,15648948
05/03/2019,148.75,155.65,147.85,155,11194669
01/03/2019,149.9,150.2,147.85,149.1,9764801
28/02/2019,144.4,150.75,143.1,148.65,48854712
27/02/2019,148.75,149.75,146.5,148,11868751
26/02/2019,147.5,149.2,146,147.5,12458860
25/02/2019,149,149.35,145.7,147.75,20216077
22/02/2019,148.6,150.5,147.1,148.6,18273813
21/02/2019,145,148.6,144.2,146.95,13876243
20/02/2019,141.6,145.35,140,144.05,14236359
19/02/2019,137.2,140.35,137.2,139.15,9077045
18/02/2019,136.8,138.9,135.8,137.1,10614715
15/02/2019,138,140.9,133.4,135,37975666
14/02/2019,133.5,134.2,127.6,132.15,25346334
13/02/2019,138.75,139.5,133.1,133.4,8709694
12/02/2019,138.5,140.95,136.55,137.45,6816203
11/02/2019,143.25,143.65,137.1,138.2,6424512
08/02/2019,146.3,148.3,143.15,144.15,4510762
07/02/2019,146.9,148.3,145.5,147.9,6080631
06/02/2019,143.4,147.75,142.5,146.7,5075180
05/02/2019,146,148.2,142.3,142.95,5413425
04/02/2019,142.5,147.45,142.45,146.25,9532350
01/02/2019,141,143.3,139.8,141.8,5260578
31/01/2019,140.2,142.8,139.25,141.25,28107358
30/01/2019,141.45,141.5,138.5,139.7,8511453
29/01/2019,142.3,143.7,140.1,141.05,7282910
28/01/2019,142.5,142.95,139.65,141.65,2910523
25/01/2019,142.1,144.45,141.65,142,3871762
24/01/2019,143.4,143.95,141.05,141.7,3820645
23/01/2019,144.7,145.55,143,143.3,4946218
22/01/2019,145.5,146,144.05,144.35,4113351
21/01/2019,147,147.2,144.1,144.7,4087312
18/01/2019,145.1,147.7,145.1,146.75,4904282
17/01/2019,146.5,147.45,144.45,145,5142302
16/01/2019,145.2,147.25,145.2,146.35,3667241
15/01/2019,144.7,145.5,144.05,145.15,3680774
14/01/2019,145,145.2,142.5,143.45,6028078
11/01/2019,144,145.5,143.65,144.65,7665486
10/01/2019,145.9,147,143,143.25,7131028
09/01/2019,147.9,148.2,144.85,145.3,4951441
08/01/2019,149.1,149.1,146.3,147.45,6163846
07/01/2019,147.55,148.4,145.75,147.85,12700566
04/01/2019,142.05,146.2,142.05,145.7,7395898
03/01/2019,145,145.65,141.6,142.4,26599483
02/01/2019,148,148.35,145.75,147.05,17436694
01/01/2019,150,150.1,148,148.5,4496586
31/12/2018,150.15,150.8,149.1,149.9,5778308
28/12/2018,148.2,151.5,148,150.5,10732729
27/12/2018,147.35,151.4,146,149.7,44356763
26/12/2018,148.1,149.45,145.75,146.6,9247671
24/12/2018,148.5,149.7,147.3,147.9,8200455
21/12/2018,149,149.3,147.6,148.5,17767999
20/12/2018,147.95,150.75,147.4,148.6,21204077
19/12/2018,147.5,148.8,147.3,148.25,7008346
18/12/2018,147.9,148.95,146.3,147.6,10474177
17/12/2018,148,149.9,146.1,148.25,12767531
14/12/2018,143,150.4,140.6,146.85,23355616
13/12/2018,143,144.2,141.5,143.3,11251819
12/12/2018,139.5,142.5,138.85,141.7,14020937
11/12/2018,136,138.95,134.75,138.1,14884397
10/12/2018,138.5,141.25,135.15,137.1,33096556
07/12/2018,140.2,141.45,138.05,139.4,10571838
06/12/2018,142.6,142.6,138.5,140.15,5771659
05/12/2018,145.95,148.1,142.4,143.7,9774733
04/12/2018,142.6,147.95,142.4,146.15,9753442
03/12/2018,140.95,143,140.2,142.5,8371191
30/11/2018,141.6,143.7,138.5,140.3,23675557
29/11/2018,143.9,143.9,137.65,140.6,28991042
28/11/2018,146.8,148.2,142.05,142.8,14201939
27/11/2018,147.4,147.85,144.25,146.1,9231112
26/11/2018,153,153.6,145.1,146.6,8093330
22/11/2018,152.5,154.3,151.65,152.25,4477092
21/11/2018,155,155.5,151.3,151.75,4573137
20/11/2018,154.55,155.8,152.65,153.1,5480470
19/11/2018,156,156.5,153.1,154.55,4614296
16/11/2018,158,158,152.8,156.35,7515249
15/11/2018,161.4,162,158.1,158.85,3468318
14/11/2018,157.7,163.9,157.25,161,15008061
13/11/2018,156.05,158,155.7,156.5,5499454
12/11/2018,156.95,158.4,155.35,156.05,4686739
09/11/2018,158,158,155.15,156.4,6478458
07/11/2018,157.55,157.85,156.6,157,491522
06/11/2018,155.95,158.2,153.8,156.05,7749980
05/11/2018,165,165,154.2,154.95,15261029
02/11/2018,155.5,158.45,155.1,157.35,7789972
01/11/2018,155.5,155.8,153.35,154.25,5220182
31/10/2018,154,155,151.4,153.25,7562821
30/10/2018,155,155,152.1,152.95,4156028
