Date,ORIENTBANK-EQ O,ORIENTBANK-EQ H,ORIENTBANK-EQ L,ORIENTBANK-EQ C,ORIENTBANK-EQ V
29/03/2019,115.5,116.8,113.2,116.25,5418236
28/03/2019,113.75,115.95,112.25,114.85,6759408
27/03/2019,108.95,115.6,107.6,114.55,8722990
26/03/2019,106.2,108.6,105.35,108.05,3204806
25/03/2019,105,107.1,103.35,105.95,4751613
22/03/2019,108.75,109.1,105.3,106.4,7151785
20/03/2019,105.65,110,103.95,107.85,7842962
19/03/2019,103.9,108,102.9,105.35,9440473
18/03/2019,99.1,104.2,97.95,103.3,7060079
15/03/2019,100.3,102.5,98.7,99.3,7813680
14/03/2019,98.3,100.75,95.6,99.7,5273832
13/03/2019,97.3,98.45,95.1,97.85,4050748
12/03/2019,98.25,99.15,95.35,97.3,4190123
11/03/2019,95.3,98.25,94.8,97.65,3208792
08/03/2019,96,96.75,93.55,94.5,3688469
07/03/2019,94.45,97.9,93,96.25,4893533
06/03/2019,94.85,96.15,93,94.45,4085871
05/03/2019,91.5,95.65,91.05,94.75,6094644
01/03/2019,83.35,92.65,83.25,91.85,10621414
28/02/2019,81.1,83.5,80.6,82.85,2253783
27/02/2019,80.3,83.55,79.75,80.6,3906050
26/02/2019,81.5,81.6,78.3,80,4482308
25/02/2019,83.75,83.9,82.15,82.65,1814587
22/02/2019,82.8,84.35,82,83.15,2417281
21/02/2019,82.9,84,81.65,82.85,3478092
20/02/2019,80.95,82.65,80.45,81.25,2820244
19/02/2019,79.75,83.5,79.75,81.1,3011174
18/02/2019,80.6,82,79.4,80,2357416
15/02/2019,83.6,85.3,79.65,80.65,3923423
14/02/2019,82.6,85.65,81.5,84.7,2558250
13/02/2019,84,84.85,82.55,82.9,2185142
12/02/2019,85,86.25,83.5,83.95,2180537
11/02/2019,86.4,86.8,83.9,85.45,2089628
08/02/2019,91.4,91.45,85.65,86.5,4071680
07/02/2019,91.7,93.6,90.65,91.55,2816705
06/02/2019,92.5,92.8,88.6,91.75,4148348
05/02/2019,94.3,96.35,90.95,92.35,4765962
04/02/2019,94.75,94.9,91.65,94.25,4334861
01/02/2019,99,99.25,92,94.75,8806608
31/01/2019,95.2,96.25,93.55,95.7,3792246
30/01/2019,95.4,96.85,93.5,95.25,5406350
29/01/2019,90.65,97.4,89.9,94.85,14883063
28/01/2019,93.1,94.1,91.1,91.45,3375907
25/01/2019,93.7,96,92.95,93.7,3138818
24/01/2019,91.85,94.2,91.85,93.45,2210599
23/01/2019,93.05,94.5,91.85,92.55,2742588
22/01/2019,92.75,94.6,91.8,93.7,3154489
21/01/2019,95.4,96.95,92.65,93.85,3216531
18/01/2019,97.4,97.5,95,95.4,2218264
17/01/2019,98.1,98.7,94.55,96.8,3385324
16/01/2019,98,99.7,97.3,97.85,3786449
15/01/2019,99.4,99.4,97.1,97.75,2347876
14/01/2019,97.4,100.7,96.15,98.3,4192390
11/01/2019,99.2,99.7,97.1,97.6,3364603
10/01/2019,99.3,100.35,98.3,99,2781703
09/01/2019,101.25,102.15,98.25,99.25,6099024
08/01/2019,97.85,101.6,96.95,100.85,4464393
07/01/2019,99.8,99.9,96.5,97.55,3146316
04/01/2019,96.15,99.35,95.1,98.95,6196448
03/01/2019,94.95,96.7,94.35,95.5,4011527
02/01/2019,98.1,99.05,94.8,95.5,8366881
01/01/2019,96.3,98.3,95.6,97.7,4090452
31/12/2018,96.4,97.2,95.2,95.65,2845956
28/12/2018,95.4,97.1,94.9,95.6,7012521
27/12/2018,96,97.15,94.25,94.95,9337600
26/12/2018,95.5,95.9,92.15,94.9,6063230
24/12/2018,93.5,95.8,92.3,95.35,6767830
21/12/2018,93.8,95.55,92.7,93.25,7252061
20/12/2018,93.35,95.9,91.2,93.85,10101513
19/12/2018,92.4,95.2,91.9,94.2,6422053
18/12/2018,88.95,93.8,88.5,91.85,8954962
17/12/2018,89.55,90.75,88.65,89.5,2779179
14/12/2018,88.95,91.35,87.25,89.95,10982857
13/12/2018,89.5,91.15,87.3,88.2,6077775
12/12/2018,84.95,89.3,84.75,88.8,7935730
11/12/2018,80.1,85.2,78.55,83.65,6721897
10/12/2018,80.45,83.35,80.05,82.2,3815048
07/12/2018,85.05,85.1,81.25,82.5,5252544
06/12/2018,85.95,86.5,82.7,84.25,6194548
05/12/2018,89.8,90.3,86.25,86.95,5742649
04/12/2018,92.95,94.1,89.95,90.85,4999777
03/12/2018,87.75,95,87.75,93.2,8210988
30/11/2018,88.05,89.95,87.35,89.4,4541164
29/11/2018,87.1,89,85.5,87.9,4227257
28/11/2018,90.05,90.9,85.95,86.55,5266240
27/11/2018,88.25,91.65,87.6,89.7,5723682
26/11/2018,88.5,89.2,85.85,88.55,5014727
22/11/2018,88.9,89.35,86.8,87.4,4938122
21/11/2018,87,91.2,86.6,88.65,6520825
20/11/2018,87.05,89.1,84.3,87.2,10100022
19/11/2018,92.45,92.55,87.8,89.4,8021664
16/11/2018,87.95,94,86.3,91.75,10883076
15/11/2018,84.55,88.95,83.25,87.9,6022780
14/11/2018,83.35,88.7,82.5,85.6,6299629
13/11/2018,80.45,83.75,79,82.95,6460899
12/11/2018,88.05,88.05,79.5,80.05,9381494
09/11/2018,82.4,89.45,81.5,87.55,8745590
07/11/2018,82.4,82.65,81.7,82.2,373002
06/11/2018,83,83.7,81.2,81.95,2912887
05/11/2018,78.8,82.8,78,82.05,3365508
02/11/2018,81.6,84.1,77.7,78.9,6636457
01/11/2018,80,82,78.25,80.6,5222143
31/10/2018,77.7,81.35,75.55,80.35,5983051
30/10/2018,74.5,84.85,74.05,77.15,15763137
29/10/2018,66.3,75.25,65.3,74.6,9173195
26/10/2018,66.8,66.8,63.5,65.95,4734844
25/10/2018,62,67.5,61.5,66.45,12572877
24/10/2018,61.55,63.1,60.7,62.4,3647407
23/10/2018,61,62,59.9,60.9,3193794
22/10/2018,63.4,63.45,60.8,61.4,2565532
19/10/2018,64.5,65.9,62.65,62.9,2534472
17/10/2018,67.7,68,64.2,64.9,2565071
16/10/2018,65.25,67.6,65.15,66.95,2247576
15/10/2018,64,65.5,62.8,65.15,2474124
12/10/2018,62.6,64.65,62.6,63.7,2392433
11/10/2018,61.2,63.8,60.6,61.95,3494501
10/10/2018,60.2,65.2,59.65,64.1,4756744
09/10/2018,60.4,61.15,58,60.05,3865087
08/10/2018,60.55,61.3,58.85,60.05,4459326
05/10/2018,62.95,63.85,60.2,61.05,3847028
04/10/2018,63.8,65.4,62.2,63.35,4061779
03/10/2018,64.5,68.3,63.45,65.3,5688850
01/10/2018,61.5,64.9,58.35,64.4,4242164
28/09/2018,63.55,64.65,60.5,61.5,5916201
27/09/2018,66.5,67.55,62.05,63.2,3889846
26/09/2018,67.3,68.2,65.55,67.25,4064617
25/09/2018,66.85,67.45,63.65,66.7,5395808
24/09/2018,69.65,69.9,66,66.5,3171896
21/09/2018,73,74,65.2,68.7,6670545
19/09/2018,73.4,74,70.8,72.4,4609106
18/09/2018,77,77.95,71.3,73,7182846
17/09/2018,75.65,78.15,74.8,76.25,4256261
14/09/2018,75.8,76.95,75.25,76.3,2186083
12/09/2018,75.85,75.85,73,74.95,4962515
11/09/2018,76.05,77.7,75.2,75.4,3381457
10/09/2018,76.5,77.75,75.5,76.05,3345702
07/09/2018,77.5,78.15,76,77.2,4495652
06/09/2018,78.4,79.1,76.7,77.85,3627730
05/09/2018,79.05,79.8,76.3,77.95,4844290
04/09/2018,84.7,84.7,79,79.75,6058899
03/09/2018,84.95,87.7,83.9,84.4,7087706
31/08/2018,84.85,85.85,81.75,84.25,6099543
30/08/2018,81.05,86.4,79.4,84.8,9540722
29/08/2018,78.9,81.8,78.25,81.1,2348119
28/08/2018,82.4,82.4,78.1,78.8,3388594
27/08/2018,81.4,82.85,80.8,81.6,3557615
24/08/2018,81.2,83,80.6,81,3617061
23/08/2018,81.5,82.3,79,81.4,2617818
21/08/2018,82.3,82.45,80.55,81.35,2257419
20/08/2018,79.6,82.4,78.65,81.75,3736526
17/08/2018,77.15,79.35,77.15,78.85,2915767
16/08/2018,76.5,79.35,76,76.65,3294729
14/08/2018,77.6,78.8,76.5,77.85,3567712
13/08/2018,78.1,79.85,76.3,77.3,5265711
