Date,PCJEWELLER-EQ O,PCJEWELLER-EQ H,PCJEWELLER-EQ L,PCJEWELLER-EQ C,PCJEWELLER-EQ V
29/03/2019,83.4,84.8,81.6,82.2,7359887
28/03/2019,80.5,83.25,80.05,82.5,7264795
27/03/2019,80.1,81.75,79.65,80.45,6247348
26/03/2019,79.25,80.8,78.7,80.15,4497491
25/03/2019,78.25,80,77.25,78.9,7163492
22/03/2019,82.5,83.6,79.85,80.65,8719695
20/03/2019,80.9,83.9,79.2,82.15,14992437
19/03/2019,82.3,83,79.6,80.55,7730741
18/03/2019,83,84.75,81.4,82.15,8882577
15/03/2019,86.9,87,82.15,83,13384888
14/03/2019,82.5,89,81.1,86.25,37443678
13/03/2019,80.75,82.25,78.05,80.75,7577505
12/03/2019,80.4,81.9,79.7,80.3,8084428
11/03/2019,77.55,81.95,77.5,79.95,10117738
08/03/2019,79.25,79.55,76.6,77.45,8698833
07/03/2019,78.2,81.5,78.15,79.25,14338707
06/03/2019,80.9,82.85,77.6,78.35,20520701
05/03/2019,72.3,80.9,71.35,79.7,26817370
01/03/2019,71,73.5,70.7,72.3,8338836
28/02/2019,70.9,72.3,70.15,70.65,7401466
27/02/2019,67,74,67,70.65,21013131
26/02/2019,67,67.65,65,66.85,5972884
25/02/2019,68.7,69.1,66.3,67.9,4134983
22/02/2019,68.7,69.8,68.05,68.55,6833916
21/02/2019,67.9,68.35,67.5,68,4592302
20/02/2019,67.3,68.55,67.05,67.5,6519795
19/02/2019,67.6,68.9,66.6,67.35,8586941
18/02/2019,67.7,69.65,66.7,67.25,10674424
15/02/2019,68,69.9,66.1,67.5,12200986
14/02/2019,64,69.4,62.55,67.8,16944052
13/02/2019,67,67.7,64,65.1,8404775
12/02/2019,67.3,68.45,65.3,66.45,12092433
11/02/2019,75.2,75.3,66.35,68.7,33868613
08/02/2019,73.05,78.65,71.8,76.85,27456342
07/02/2019,65,74.2,64.5,72.3,24578358
06/02/2019,66.45,67.15,61.55,66.25,18227450
05/02/2019,70,70.25,61.7,65.85,19987173
04/02/2019,72.8,72.8,69.3,69.95,6371752
01/02/2019,73,74.6,70.85,71.55,6048011
31/01/2019,73.85,74,69.85,73,7908503
30/01/2019,73.8,74.6,71.8,73.15,5513701
29/01/2019,72.85,75.2,72.85,73.95,7341054
28/01/2019,76,76.75,74.1,74.55,6660818
25/01/2019,77.3,79.65,75.4,75.95,8640033
24/01/2019,78.7,78.7,75.65,76.75,7062773
23/01/2019,76.6,81.1,76,78.25,14665269
22/01/2019,77.35,77.7,74.4,76.5,7746308
21/01/2019,78.05,79.45,76.8,77.3,6047585
18/01/2019,80,80.4,77.7,78.15,6539247
17/01/2019,80.15,81.25,78.6,79.7,6155851
16/01/2019,82,82.4,80.05,80.45,6580945
15/01/2019,79.15,83.6,79.15,81.55,14261448
14/01/2019,80.2,80.4,78.75,79.15,6031936
11/01/2019,81,81.35,79.55,80.1,6575661
10/01/2019,82,82.6,80.4,80.8,7305947
09/01/2019,83,83.25,80.3,81.2,9214670
08/01/2019,80.9,83.7,78.6,82.75,14014501
07/01/2019,82.7,83.35,80.2,80.75,8943373
04/01/2019,82.45,82.95,80.05,81,11920024
03/01/2019,84.45,85.35,81.9,82.5,15027049
02/01/2019,85.75,86.3,82.2,82.8,11767620
01/01/2019,85.9,86.65,85.1,85.9,7520834
