Date,PETRONET-EQ O,PETRONET-EQ H,PETRONET-EQ L,PETRONET-EQ C,PETRONET-EQ V
29/03/2019,246.7,252.95,244.8,251.55,4404741
28/03/2019,235.05,246,234.35,244.45,6519917
27/03/2019,237.4,240.3,234,236.05,3596874
26/03/2019,239.55,241.15,237.1,237.95,2057377
25/03/2019,239,241.4,236,238.85,1851409
22/03/2019,242.95,247.7,240.95,241.75,5886311
20/03/2019,244.2,249,240.65,241.95,5876457
19/03/2019,247.95,247.95,242.5,244.2,4877695
18/03/2019,236,245,235.85,241.45,2401783
15/03/2019,238.4,244.3,235.2,236.55,7184644
14/03/2019,242.45,242.85,236.3,237.55,2539918
13/03/2019,239.55,243,237.8,242.5,1558595
12/03/2019,242,243.7,237.4,239.2,2663203
11/03/2019,236.95,240,235,239.2,6157281
08/03/2019,228.9,234.9,228.6,233.9,2258823
07/03/2019,228,233,227.55,229,3169172
06/03/2019,226.5,231.8,224.1,227.35,1934306
05/03/2019,223.4,227.45,222.8,226.35,3457691
01/03/2019,224.1,225.95,222.5,223.4,2027780
28/02/2019,225,225.85,221.2,223.6,3065046
27/02/2019,223.15,226.85,218.7,222.75,5226335
26/02/2019,216.95,223.9,215.85,221.8,2767504
25/02/2019,216.45,219.7,215.75,218.35,1296182
22/02/2019,215.55,219.4,214.5,215.4,2070966
21/02/2019,214.35,216,213.75,215.2,1824628
20/02/2019,215.2,217.65,211.2,211.85,5400774
19/02/2019,215.55,218.8,214.2,214.6,1846837
18/02/2019,215,216.5,212.75,215.55,2087542
15/02/2019,217.6,219.7,213.5,214.3,2854188
14/02/2019,220.1,222.1,216.45,217.2,1642023
13/02/2019,222.3,224.6,220.4,220.9,1014538
12/02/2019,223,226.15,221.75,222.55,1903967
11/02/2019,223.35,226.7,223,224.8,2320551
08/02/2019,224,226.2,221.2,225.25,2145100
07/02/2019,218.7,223,218.7,222.3,1253659
06/02/2019,219.8,220.7,215.7,219.45,2323154
05/02/2019,211,221.2,210.65,220.15,6151316
04/02/2019,221,221.05,208.05,210,7360609
01/02/2019,229.3,229.55,218.1,221.1,6930637
31/01/2019,226.2,229.7,224.95,227.65,2778449
30/01/2019,225.1,228.9,224.15,225.6,3383553
29/01/2019,218.6,226,218.05,223.05,4925928
28/01/2019,227.25,227.25,217.55,219,4780072
25/01/2019,227.05,228.25,224.6,227.05,1735213
24/01/2019,227,228.8,224.7,226.3,1907820
23/01/2019,223.65,227.85,221.65,226.8,1997980
22/01/2019,218.05,226.85,218.05,222.95,8108445
