Date,PFC-EQ O,PFC-EQ H,PFC-EQ L,PFC-EQ C,PFC-EQ V
29/03/2019,118.65,124.3,117.6,123.1,19538911
28/03/2019,117.8,119.7,116.35,117.5,10370591
27/03/2019,119.5,119.85,117,117.65,9817690
26/03/2019,119.05,122.6,117.45,118.6,19446963
25/03/2019,111.95,121.6,111.55,119.05,25882505
22/03/2019,114.85,115.7,112.1,113.1,17045051
20/03/2019,120,120.4,113.5,114.2,18440963
19/03/2019,115.5,123.3,115.3,120.4,20958616
18/03/2019,112.2,115.7,111.75,114.8,7358563
15/03/2019,111,112.8,110.1,111.9,7501440
14/03/2019,111.35,112.9,109.55,111.2,4858744
13/03/2019,110.1,112.8,107.55,111.25,9150414
12/03/2019,112,113.9,110.1,110.8,4314370
11/03/2019,109.35,112.2,108.15,111.75,5158235
08/03/2019,112.15,112.3,106.8,108.8,12403960
07/03/2019,115.1,115.2,111.9,112.3,5317424
06/03/2019,117,118.6,113.65,114.65,6359536
05/03/2019,113.15,116.85,112.9,116.3,7973113
01/03/2019,112.95,114.2,112.1,113.45,5956969
28/02/2019,112,113.75,111.45,112.15,15497599
27/02/2019,111.55,113.5,110.55,112.3,7505414
26/02/2019,110,112.5,108.4,112,8625442
25/02/2019,111.4,112.45,110.1,111.1,9408448
22/02/2019,110,111.6,109.7,111.2,5388165
21/02/2019,109,112,107.75,110.45,12576391
20/02/2019,108.15,109.75,107.15,108.8,7847205
19/02/2019,103.55,108.7,103.55,107.45,11266191
18/02/2019,102.85,105.05,102.3,103.55,8197041
15/02/2019,101.45,104.2,99.45,103.2,12628355
14/02/2019,100.5,102.1,99,100.85,12404884
13/02/2019,99.9,103.2,99.9,100.55,6540063
12/02/2019,99.9,101.5,99.25,99.75,8039012
11/02/2019,100.7,102.25,98,99.5,10251370
08/02/2019,104.5,105,100.6,100.9,7388803
07/02/2019,101.5,105.75,101.1,105.15,6833816
06/02/2019,100.55,103.3,100.1,101.5,8176091
05/02/2019,101.85,101.85,99.2,100.7,8295732
04/02/2019,103.55,103.6,100.1,100.95,5446277
01/02/2019,103.6,105.1,101.6,104.25,5088501
31/01/2019,101.4,104.4,99.95,103.55,14186583
30/01/2019,101,101.8,99.6,100.6,6197600
29/01/2019,100.9,102.4,99.7,100.55,6698347
28/01/2019,103.2,103.25,98.3,100.75,5655057
25/01/2019,104.85,105.85,102.35,103.2,4554861
24/01/2019,102,105.4,101.95,104.75,5386754
23/01/2019,101.05,103.65,100.8,101.95,6581006
22/01/2019,104.5,105,100.65,101.05,7860531
21/01/2019,107,107.3,104.1,105.1,3045458
18/01/2019,107.65,107.75,105,107.3,6625811
17/01/2019,107.6,109.6,106.65,107,10302573
16/01/2019,108.3,108.8,106.6,107.05,5624064
15/01/2019,107.3,108.6,106.7,108.3,3666816
14/01/2019,107.5,107.9,106.3,106.8,3832933
11/01/2019,108,108.7,107,107.5,5921339
10/01/2019,108.25,110.3,107.4,108.05,8814468
09/01/2019,108.9,109.6,107.1,108.25,7259996
08/01/2019,106.7,109.5,106.55,108.9,6117245
07/01/2019,107.15,109.15,105.5,106.65,9048707
04/01/2019,106.5,107.6,106.05,106.95,8264213
03/01/2019,104.05,107.9,103.9,105.95,11854241
02/01/2019,106.75,107.7,103.5,104.05,7598420
01/01/2019,106.8,107.75,106,107.4,7046635
31/12/2018,105.25,108,104.4,107.35,10352909
28/12/2018,101,106.8,100.7,105.1,14558155
27/12/2018,100.5,103.45,99.2,100.6,28127479
26/12/2018,100.5,100.9,98.2,100,10756178
24/12/2018,99,101.9,98.15,100.5,15367729
21/12/2018,99.2,100,97.5,98.1,11473597
20/12/2018,96.4,100,95.85,98.45,17104516
19/12/2018,96.45,98.75,95.8,96.55,13254103
18/12/2018,91.85,97.2,91.35,96.55,23388370
17/12/2018,91.05,93.6,90.55,91.8,17005411
14/12/2018,86,93.15,85.4,90.7,33182291
