Date,PNB-EQ O,PNB-EQ H,PNB-EQ L,PNB-EQ C,PNB-EQ V
29/03/2019,95.8,97.55,95,95.5,39934180
28/03/2019,93.9,95.8,93.35,95.35,43461013
27/03/2019,93.5,95.05,92.8,93.4,44404743
26/03/2019,91.2,93.1,90.7,92.5,24611358
25/03/2019,89.55,91.25,89.2,90.3,30226076
22/03/2019,95.95,95.95,90.6,91.55,69603817
20/03/2019,91,94.15,89.35,93.55,65416389
19/03/2019,87.65,91.95,87.5,90.5,76686943
18/03/2019,86.45,87.1,85.05,86.65,28960560
15/03/2019,85.3,87.3,85.1,86.05,47765635
14/03/2019,85.05,85.75,83.7,84.45,23309588
13/03/2019,85.2,85.95,83.3,84.85,26167126
12/03/2019,86.75,87.35,84.75,85.4,28275260
11/03/2019,84.1,86.45,84.1,85.85,23446148
08/03/2019,85.35,85.85,83.6,83.8,26190794
07/03/2019,82.45,86.2,81.3,85.45,48792690
06/03/2019,82.7,83.8,81.4,82.4,27381377
05/03/2019,77,83.35,76.25,82.65,50845208
01/03/2019,73,77,72.7,76.65,37660508
28/02/2019,71.55,72.7,71.45,72.3,16139027
27/02/2019,72.5,73.6,70.95,71.5,24053517
26/02/2019,72.8,72.8,70.1,71.85,24903931
25/02/2019,73.4,73.75,72.9,73.5,10143437
22/02/2019,72.95,73.95,72.5,73.2,17255280
21/02/2019,76,76,72.65,73.15,47884317
20/02/2019,70.4,71.45,70.25,71.1,14646666
19/02/2019,69.3,71.5,69.1,69.95,18800655
18/02/2019,70.25,71.1,68.7,69,17183987
15/02/2019,72,73.2,69.4,70.05,22508284
14/02/2019,69.5,72.65,68.7,72.25,18981245
13/02/2019,71.7,71.85,69.1,69.45,14108866
12/02/2019,71.2,72.25,70.85,71.35,13405209
11/02/2019,71.4,71.45,70.3,70.85,18322730
08/02/2019,75,75,70.65,71.2,31290303
07/02/2019,75.65,76.6,74.85,75.65,23866199
06/02/2019,74.1,75.65,72.8,75.2,27503709
05/02/2019,74.5,76.5,72,73.4,70132820
04/02/2019,74.05,74.1,71.05,73.15,22905988
01/02/2019,78,78.4,73.55,73.9,25916009
31/01/2019,77.7,77.8,75.45,77.5,16757529
30/01/2019,77.75,78.25,76.7,77.25,11238545
29/01/2019,76.15,78.5,75.55,77.3,17793292
28/01/2019,77,78.15,75.75,76.1,19106196
25/01/2019,78.35,80.45,75.9,76.6,19763289
24/01/2019,77.75,78.55,77.25,78.1,13272022
23/01/2019,78.6,79.4,77.3,77.75,12687561
22/01/2019,80.2,80.5,78.3,78.6,17346423
21/01/2019,82.85,83.55,79.65,80.25,20063465
18/01/2019,84.55,84.85,82.5,82.85,16185024
17/01/2019,84.3,85.05,82.95,84.55,22181000
16/01/2019,82,85,81.85,84.25,30560868
15/01/2019,82.85,83.4,81.5,81.95,14499042
14/01/2019,80.35,82.9,79.1,82.5,22990328
11/01/2019,81.25,81.55,80.35,80.65,12150994
10/01/2019,80.3,81.65,80.1,81.25,15125630
09/01/2019,82,82.15,79.8,80.7,18063915
08/01/2019,80.55,81.95,79.75,81.7,17598981
07/01/2019,82.45,82.9,80,80.55,21061552
04/01/2019,78,81.9,77.65,81.3,35324306
03/01/2019,78.1,78.95,77.05,77.85,18780736
02/01/2019,79.55,80.4,77.3,77.85,27192314
01/01/2019,78.6,80,78.05,79.8,18609031
31/12/2018,78.7,79.45,77.85,78.1,13924275
28/12/2018,78,79,77.9,78.45,18081826
27/12/2018,78.45,78.85,77.3,77.95,24709123
26/12/2018,77,78.3,74.7,77.75,22820304
24/12/2018,76.7,77.35,75.85,76.7,20719115
21/12/2018,77.75,78.8,75.7,76.35,40025985
20/12/2018,76.4,78.1,75.65,76.1,28834262
19/12/2018,74.9,77.25,74.75,76.95,29772662
18/12/2018,72.6,75.8,72.15,74.25,33486536
17/12/2018,72.8,73.25,71.9,72.85,11039826
14/12/2018,71,73.4,70.8,72.65,21183370
13/12/2018,71.6,72.5,70.95,71.35,18076633
12/12/2018,69.1,72,69.05,70.8,29040526
11/12/2018,63.5,69.15,63.35,68.7,33859505
10/12/2018,64.9,65.85,64,64.85,15452401
07/12/2018,66.4,67,64.45,66,21210644
06/12/2018,68.5,68.65,65.85,66.1,22242427
05/12/2018,69.5,70.1,68.4,68.95,15370028
04/12/2018,71.45,71.9,69.25,69.55,17168281
03/12/2018,70,72,69.45,71.45,15579155
30/11/2018,70,70.5,69,69.9,14026529
29/11/2018,70.1,70.35,68.85,69.65,17242452
28/11/2018,72.95,73,69.1,69.6,21486398
27/11/2018,71.25,73.15,70.6,72.45,18202285
26/11/2018,72.1,72.2,69.85,71.25,14534558
22/11/2018,73,73.4,71.4,71.7,12316028
21/11/2018,71.35,73,71,72.7,15213307
20/11/2018,72.3,74.3,70.65,71.3,22772511
19/11/2018,73.9,74.05,72.5,73.3,17064185
16/11/2018,71.4,74.15,70.6,73.2,29393571
15/11/2018,70.75,71.6,69.75,71.15,13633606
14/11/2018,70.5,72.05,70.1,70.75,19262384
13/11/2018,68.5,70.3,68.45,70,16257056
12/11/2018,72,72.1,69.7,70.5,15610896
09/11/2018,71,72.4,70.2,71.65,16410330
07/11/2018,71,71.2,70.6,70.95,2459502
06/11/2018,71.2,71.55,69.9,70.6,18682517
05/11/2018,68.7,70.95,67.4,70.4,33569269
02/11/2018,74.95,78.7,68.05,69.05,91979581
01/11/2018,74.4,75,73.2,74.3,21269555
31/10/2018,73.8,74.25,71.7,73.65,28632204
30/10/2018,71,75.25,70.75,72.55,43626784
29/10/2018,66.85,71.8,65.6,70.9,36931154
26/10/2018,66,67.25,65.25,66.15,20915568
25/10/2018,65.2,66.7,65,65.65,23250113
24/10/2018,65.8,66.35,64.6,65.8,17199693
23/10/2018,65.45,66.25,63.85,64.75,16070344
22/10/2018,66.9,67.45,65.4,65.7,16020570
19/10/2018,66.2,67.4,65.25,66,18158920
17/10/2018,71,71.15,66.1,66.5,24801387
16/10/2018,68.2,70.35,67.85,69.95,21972857
15/10/2018,67,67.95,65.35,67.55,21390663
12/10/2018,65.1,67.65,65.05,66.5,22188888
11/10/2018,64,66,63.1,64.3,27655306
10/10/2018,62.8,66.95,62.3,66.3,30162010
09/10/2018,63.45,63.9,61.5,62.65,24773210
08/10/2018,64,64.6,61.1,62.85,29733364
05/10/2018,65,66.35,63,63.85,31872123
04/10/2018,63.15,65.5,62.85,64.8,32208001
03/10/2018,63.8,66.35,62.7,64.65,42231670
01/10/2018,60,63.55,58.55,63.2,39640035
28/09/2018,62.55,63.4,58.45,59.7,68264539
27/09/2018,67.7,67.7,61.25,62.5,47047470
26/09/2018,68.15,69.2,66.25,67.05,43152887
25/09/2018,69.15,69.65,63.65,66.95,58214340
24/09/2018,74,74.4,68.65,69.2,37491629
21/09/2018,79.55,80.35,67.4,72.85,50163352
19/09/2018,79.5,80.75,78.7,79.25,24270870
18/09/2018,82.2,82.6,78.6,79.3,37211584
17/09/2018,82.4,84.05,81,83,26030699
14/09/2018,82.7,83.3,82.05,82.8,20505103
12/09/2018,81.8,82.35,79.2,81.15,35789023
11/09/2018,83.8,84.5,81.4,81.7,27909748
10/09/2018,83.75,85,82,82.7,21243030
07/09/2018,83.35,84.65,82.45,84.4,19594125
06/09/2018,84,84.7,82.85,83.25,25079939
05/09/2018,83.2,83.85,81.4,83.1,21704587
04/09/2018,86.4,86.85,82.85,83.15,25579702
03/09/2018,88.3,89.3,86,86.35,30610408
31/08/2018,84.5,88.45,83.65,88.15,45793988
