Date,PNBHOUSING-EQ O,PNBHOUSING-EQ H,PNBHOUSING-EQ L,PNBHOUSING-EQ C,PNBHOUSING-EQ V
29/03/2019,835,868.9,832,864.75,1122420
28/03/2019,825.8,835,824.05,828.5,460851
27/03/2019,818,840.5,817.05,819.6,367160
26/03/2019,831.6,831.95,815.2,819.35,425203
25/03/2019,845,853.95,820,822.6,241669
22/03/2019,862,869.8,852.85,859.1,127875
20/03/2019,852.8,881.3,849.95,859.8,441626
19/03/2019,849,864.35,834,854.6,276764
18/03/2019,882,890,845,847.4,305917
15/03/2019,895,900.9,871.1,875.95,435742
14/03/2019,903.8,903.8,882.1,887.75,213801
13/03/2019,896.4,906.9,882,899.2,208739
12/03/2019,880,937,880,891,504583
11/03/2019,889.4,899.4,873.15,875.5,190177
08/03/2019,893.95,897.95,877,883.7,183506
07/03/2019,907.8,907.8,886.35,888.8,188416
06/03/2019,926,928.75,897.2,901.65,199314
05/03/2019,914,930,913.05,919.75,180372
01/03/2019,900.05,918,900.05,910.3,87849
28/02/2019,928.45,938,888.35,896,358040
27/02/2019,914,941.95,913.95,928.45,223418
26/02/2019,918,919,892.55,911.9,128169
25/02/2019,925,974.9,910.1,916.65,100511
22/02/2019,922.8,943.35,905.5,915.15,208188
21/02/2019,876.65,922,871.2,916.4,252523
20/02/2019,868.55,887.7,856.85,869.8,70515
19/02/2019,880,893.8,865.35,869.8,47606
18/02/2019,899.55,905.6,870,874.2,50838
15/02/2019,910,915,891.2,895.55,270452
14/02/2019,913.35,926.9,891.1,907.1,143746
13/02/2019,910.95,979,901,906.1,57115
12/02/2019,950,950,905,914.25,104870
11/02/2019,961.2,970.05,911.05,950.4,86999
08/02/2019,972,979.95,951.95,960.25,299815
07/02/2019,951,994.6,951,979.65,437604
06/02/2019,909.15,950,905.55,944.8,220517
05/02/2019,910.7,924.95,897,901.9,86000
04/02/2019,902,925,890.05,919.05,79996
01/02/2019,890,929,890,922.4,98506
31/01/2019,932,932,895,902.45,73766
30/01/2019,916.5,935,896.7,932.8,481417
29/01/2019,904.25,925,884.1,916.5,114989
28/01/2019,899,918.95,846.05,904.25,209338
25/01/2019,950.7,950.7,883.3,893.15,403157
24/01/2019,904,939,900,925.25,381131
23/01/2019,877.9,913.1,873,901.9,83440
22/01/2019,875,886.6,871.25,878.5,51212
21/01/2019,890,893,870,879.05,169894
18/01/2019,904,904,882,885.35,46160
17/01/2019,904,908,893.05,898.7,41163
16/01/2019,899,909,888.65,900.9,69711
15/01/2019,880.5,906.6,880,889.75,114316
14/01/2019,897.6,898,881.75,884.9,86439
11/01/2019,902.2,914.95,888,903,106888
10/01/2019,888.05,916,880,908.55,119079
09/01/2019,906,910.05,882.05,895.3,128933
08/01/2019,911,919.25,887.1,900.9,316411
07/01/2019,916,925,908.2,913.2,77351
04/01/2019,923,925,908.15,914.4,76495
03/01/2019,923.35,928.5,918,921.6,68622
02/01/2019,922,925,915,919.85,87061
01/01/2019,929.8,929.8,914.15,926.6,44236
31/12/2018,923.45,930,920.55,923.45,98281
28/12/2018,920,941.85,910,914.65,218735
27/12/2018,945,948,911.25,916.3,103382
26/12/2018,948.8,948.8,918.8,923.55,127245
24/12/2018,970,970.4,943,950.6,64612
21/12/2018,973.8,982,955.5,964.85,113653
20/12/2018,980,993,964.3,970.75,260760
19/12/2018,955,995,955,985.65,569750
18/12/2018,961,990,941.25,946.4,285614
17/12/2018,981.8,986,960,969.6,60596
14/12/2018,980,987.95,961,972.1,95262
13/12/2018,970.55,1008,965,973.95,245617
12/12/2018,905,971.2,905,964.55,202088
11/12/2018,876,910.1,876,903.2,135835
10/12/2018,929.8,929.8,885,897.4,144405
07/12/2018,940.85,946.25,917,932.55,289517
06/12/2018,928,951.15,922.35,935.05,331206
05/12/2018,922,954.9,922,933.45,462112
04/12/2018,918.6,942,915,933.5,250926
03/12/2018,910,942.65,892.1,931.25,295992
30/11/2018,946,964.75,888.85,906.5,881509
29/11/2018,980,982.35,924.95,935.7,297300
28/11/2018,1017.7,1026.95,960.15,969.7,258343
27/11/2018,964.85,1038.95,964.85,1027,591951
26/11/2018,956.7,982.95,953.1,964.85,210237
22/11/2018,995,1019,941,955.95,247315
21/11/2018,990,1003.95,981.05,999.55,151969
20/11/2018,967,1008.95,963.05,992.65,603973
19/11/2018,998,1009.9,962.1,969.35,132630
16/11/2018,1000,1004.9,987.7,997.15,216471
15/11/2018,980.75,1010,960.1,1000.9,225627
14/11/2018,965,1001,965,984.75,531402
13/11/2018,959,965.8,936.3,959.85,164260
12/11/2018,938.8,980,933.9,959.85,450098
09/11/2018,910,940,900.95,931.1,198484
07/11/2018,914.8,920,901,910.2,37928
06/11/2018,894.95,927,881.6,904.6,514881
05/11/2018,877,895,827.25,878.9,467313
02/11/2018,835,899.35,834.95,871.25,629201
01/11/2018,805,848.9,795.6,826.9,628217
31/10/2018,737,825,722.85,800.3,801801
30/10/2018,723.95,748.9,716.05,732.05,178847
29/10/2018,705,730,700.1,723.9,339538
26/10/2018,720,723.55,700.1,700.65,226402
25/10/2018,727,729.85,701.2,719.7,189012
24/10/2018,724.8,744.8,720,733.35,668720
23/10/2018,708,734.5,702.1,715.05,616262
22/10/2018,708.7,744.4,700,707.4,911094
19/10/2018,859.45,863.95,696.15,706.1,2057630
17/10/2018,925,928,860,864.95,153938
16/10/2018,945,945.85,912.15,921.45,156274
15/10/2018,902,945,891.15,929.9,98087
12/10/2018,871.65,924.45,871.6,899,268731
11/10/2018,840,885,840,865.2,172209
10/10/2018,884.9,899.95,851.75,875.85,1073228
09/10/2018,878,894.55,851.25,879.9,173158
08/10/2018,853,905,853,890,480049
05/10/2018,878,902.5,845.05,852.6,566230
04/10/2018,885,915,867.4,888.95,406199
03/10/2018,929,954.95,895,907.1,381743
01/10/2018,885.8,999,851.2,947.85,726454
28/09/2018,922.5,926,854,886.6,1585872
27/09/2018,982.05,1009,920,928.5,503933
26/09/2018,1070.05,1082.8,987,995.65,679338
25/09/2018,1071.5,1092.4,1025.35,1055.9,239433
24/09/2018,1189,1189,1044,1083.55,692146
21/09/2018,1235,1235,1050.05,1189.75,1307653
19/09/2018,1257,1261.5,1210,1233.7,63203
18/09/2018,1290.1,1290.1,1245.2,1253.45,127528
17/09/2018,1295,1302.65,1270,1279.9,225972
14/09/2018,1290.05,1305,1290.05,1295.1,118754
12/09/2018,1303.4,1314.95,1285.1,1288.3,149158
11/09/2018,1300.45,1315.9,1292.55,1303.35,93941
10/09/2018,1300.35,1314.95,1285.05,1302.45,86196
07/09/2018,1294.6,1319.95,1294.6,1305.35,614763
06/09/2018,1297,1315,1284.15,1294,434620
05/09/2018,1299.8,1309.75,1280,1290.45,172774
04/09/2018,1350,1364,1275.05,1296.8,185454
03/09/2018,1377.5,1377.5,1340.1,1348.05,88244
31/08/2018,1360,1382.8,1351.9,1357.45,57491
30/08/2018,1380.2,1388.35,1352,1366.5,161580
29/08/2018,1414,1416.3,1386.4,1394.6,91992
28/08/2018,1414,1428.4,1392,1411.75,104659
27/08/2018,1374,1416,1374,1411.85,353326
24/08/2018,1379,1400,1353,1378.15,125805
23/08/2018,1402,1418.7,1340.35,1378.2,228174
21/08/2018,1375,1400,1361.5,1396.1,314130
20/08/2018,1333.9,1380,1316.3,1371.55,269406
17/08/2018,1260.5,1372.65,1258.6,1333.15,364565
16/08/2018,1270.8,1284.35,1243,1258.75,48218
14/08/2018,1259.95,1299,1250,1272.5,67741
13/08/2018,1265,1283.95,1250,1256.1,81567
10/08/2018,1320,1340.05,1270,1279.1,111595
09/08/2018,1295,1320,1293,1305.25,99206
08/08/2018,1308,1320,1281,1303.25,63972
07/08/2018,1324.8,1324.8,1300,1305.5,121041
06/08/2018,1271.9,1325,1265,1316.25,114048
03/08/2018,1289.95,1303.5,1255.05,1264.25,60185
02/08/2018,1290.1,1290.1,1261,1275.45,42974
01/08/2018,1290,1318,1280.2,1292.2,73356
31/07/2018,1312.8,1315,1282.55,1293.7,110701
30/07/2018,1357.8,1357.8,1305.1,1316.35,82244
27/07/2018,1344.45,1363,1316.3,1347.55,236806
26/07/2018,1285,1347.95,1269.1,1333.35,279955
