Date,POWERGRID-EQ O,POWERGRID-EQ H,POWERGRID-EQ L,POWERGRID-EQ C,POWERGRID-EQ V
29/03/2019,198,200.6,196.75,197.9,6935584
28/03/2019,200,200,196.45,198.25,9582112
27/03/2019,203,204.7,198.5,200.2,6513687
26/03/2019,202.15,203.9,199.4,202.85,4708995
25/03/2019,197.2,203.5,195.1,202,8159917
22/03/2019,197.9,200.85,197.15,198.5,4940345
20/03/2019,199.25,199.85,196.5,197.4,5096583
19/03/2019,196.2,200.2,195.3,199,9560251
18/03/2019,194.15,197.8,193.25,197.05,8014129
15/03/2019,187.1,194.2,187.1,193.25,8044829
14/03/2019,188.95,189.75,187.25,187.6,4762557
13/03/2019,198.1,198.25,193.1,194.75,3898251
12/03/2019,194.65,202,194.65,196.35,14882155
11/03/2019,188.5,196,187.75,194.3,9944379
08/03/2019,188,188.45,185.25,187,3493857
07/03/2019,187,189.5,184.6,187.15,6916242
06/03/2019,183.1,186.4,181.7,184.5,11439434
05/03/2019,184,185.45,182.6,183,8850207
01/03/2019,183.1,183.75,182.1,183.2,4065623
28/02/2019,182.9,184.75,180.6,182.85,39298476
27/02/2019,181.3,184.3,179.85,181.45,7631155
26/02/2019,179.5,182.7,178.85,181.2,7697140
25/02/2019,181,182.5,178.5,181.95,16822873
22/02/2019,181.7,182.6,180.5,181.9,6852451
21/02/2019,182.7,183,180.85,181.8,5173777
20/02/2019,180.75,182.6,178.6,181.8,5432730
19/02/2019,180.25,183,178.9,179.45,6088733
18/02/2019,181.45,183.5,179.55,180.75,4485330
15/02/2019,178.4,182.2,177.6,181.5,9003158
14/02/2019,177.5,178.85,172.5,174.95,20791350
13/02/2019,181.6,184.7,173.75,176.55,8525054
12/02/2019,183,186.4,180.45,181.25,6710853
11/02/2019,179.6,183.2,177.85,182.35,4451317
08/02/2019,184.6,187.95,180.5,181,4326833
07/02/2019,186.95,187.7,184,184.6,2423984
06/02/2019,186.25,188.75,184.75,186.8,2431491
05/02/2019,184.1,186.95,183.5,186.1,3093963
04/02/2019,189.5,189.5,183.75,184.6,2069251
