Date,RBLBANK-EQ O,RBLBANK-EQ H,RBLBANK-EQ L,RBLBANK-EQ C,RBLBANK-EQ V
29/03/2019,683.7,691.45,677.8,680.35,2103137
28/03/2019,671.95,687.35,670.35,684.3,4373710
27/03/2019,660.95,678.6,656,668.5,4903592
26/03/2019,635,655.75,635,654.2,2038545
25/03/2019,629,640.2,627,637.35,748182
22/03/2019,644.9,661.5,633.45,636.3,2431895
20/03/2019,646.95,648,636,644.75,1467224
19/03/2019,638.7,650.2,635.6,648.3,1347013
18/03/2019,648,656.2,634,636.45,1800319
15/03/2019,642,653.95,640.25,648.15,20765318
14/03/2019,631,644.8,624,636.9,3522703
13/03/2019,634.75,640,623.3,627.25,2025239
12/03/2019,638.3,642.55,630.55,633.25,3855895
11/03/2019,642.4,658.9,634.1,642.9,6114207
08/03/2019,620,641.95,618,638.1,3784443
07/03/2019,628.85,632.4,617.45,622.45,3413214
06/03/2019,614.35,628.9,612,627.5,3806078
05/03/2019,595,611,592.4,609.45,2592636
01/03/2019,580,597.7,578.1,595.8,1527384
28/02/2019,572,581,571.55,577.85,1230096
27/02/2019,577.15,588,568.95,571.75,1543374
26/02/2019,567,578.8,560.6,576,996819
25/02/2019,563.9,578.5,557.3,574.3,1189374
22/02/2019,558.8,565.85,558.8,563.85,1247101
21/02/2019,556.5,561.85,550.55,559.5,1325462
20/02/2019,550,556.3,546.65,554.75,759871
19/02/2019,545,554.5,544,546.65,614103
18/02/2019,549,557,545.5,548.3,912427
15/02/2019,551,556.75,543.45,548.55,878754
14/02/2019,558.95,558.95,545.5,551.45,1157745
13/02/2019,565.85,570.35,550,554,979152
12/02/2019,564.5,571.85,560.2,563.5,943928
11/02/2019,573.1,575.95,559.75,564.6,1090830
08/02/2019,579.7,585.05,570.7,572.85,1218281
07/02/2019,584.5,594.8,577.95,580.1,1970033
06/02/2019,584.15,589.75,578.8,584.15,859597
05/02/2019,600,607.45,582.95,585.6,2851206
04/02/2019,579.45,600,573.5,594.5,2096586
01/02/2019,568.9,580.95,566.45,577.2,642726
31/01/2019,565,573.75,555.55,568.65,1330990
30/01/2019,552,565,551.25,563,1164482
29/01/2019,560,560.95,542,550.5,2575635
28/01/2019,574.85,575.8,552.35,563.15,2517674
25/01/2019,581.8,583.6,571.2,573.65,955137
24/01/2019,580,582.85,572.5,578.15,423909
23/01/2019,578.25,584,575.7,578.5,745315
22/01/2019,582.85,588.95,571.25,575.1,1618877
21/01/2019,571,581,569.15,579.9,757942
18/01/2019,569.1,571.9,560.5,569.65,625098
17/01/2019,573.4,574,566.1,569.95,578654
16/01/2019,574.2,580.6,571.55,574.25,534422
15/01/2019,576,581.2,573.3,579.25,485032
14/01/2019,571.55,578.9,569.1,576.2,545568
11/01/2019,577.5,583,570.5,575.75,505821
10/01/2019,580,584,570.25,579.25,787468
09/01/2019,569.6,581.75,566.9,577.1,1206091
08/01/2019,574,575.9,551.9,565,944170
07/01/2019,576.2,578.9,567.55,574.15,1167752
04/01/2019,562.1,575.65,562.1,571.65,880714
03/01/2019,569.4,573.45,561,562.1,458259
02/01/2019,577.1,581.9,564.25,565.2,756154
01/01/2019,578.7,578.95,571.45,577.1,302522
31/12/2018,581,587,574.1,575.6,791051
28/12/2018,579.1,581.65,574,580.45,1158664
27/12/2018,563.9,580,559.2,576.9,2250025
26/12/2018,556.5,566.4,548.85,558.9,745347
24/12/2018,563,567.7,556.7,561.2,474576
21/12/2018,578.75,582.5,562,563.65,701013
20/12/2018,578.65,586.9,576.1,578.75,917842
19/12/2018,578,584,573.75,581.9,939076
18/12/2018,578,580.2,570.1,577.55,1028557
17/12/2018,580,587,573.95,578.95,1098313
14/12/2018,579.8,590.5,571,577.8,1426838
13/12/2018,579,587.45,567.5,581.6,2423750
12/12/2018,559.9,577.5,557.4,574.35,1849893
11/12/2018,538,560.7,536.2,558.95,821559
10/12/2018,538,554.95,538,548,1065322
07/12/2018,553.9,558,539.35,548.25,977478
06/12/2018,555,561.9,547.2,550,1455898
05/12/2018,549.95,561,549.5,559.05,1197565
04/12/2018,555,559.7,553,556.2,751940
03/12/2018,558.7,562,552.8,556.2,920819
30/11/2018,545.7,564.4,535.6,548.4,3869279
29/11/2018,545,551.2,524.2,545.35,2860251
28/11/2018,569.1,570.95,540,543.3,2155403
27/11/2018,559.5,577.45,559.5,574.8,1975953
26/11/2018,555.65,569,552.85,558.35,1552045
22/11/2018,555.35,563.95,555,558.55,978350
21/11/2018,554,561.95,548.85,554.05,1008146
20/11/2018,553.7,563.5,552.1,555.95,1002590
19/11/2018,560.85,563.95,552.55,556.45,892097
16/11/2018,548.15,561.9,548.15,559.25,1592422
15/11/2018,547.05,555,541.65,551.15,1695874
14/11/2018,555.85,556.85,542.8,548.7,2252778
13/11/2018,545,561.6,538.1,554.35,1751191
12/11/2018,557.05,559.7,530.6,546.6,2276238
09/11/2018,539,556.25,537.75,551.65,1421596
07/11/2018,542.9,543,538.15,540.1,171237
06/11/2018,535.8,543.95,533.6,538.4,1595009
05/11/2018,522.5,535.5,517.9,533.15,1069064
02/11/2018,529,534,519.25,522.3,1721770
01/11/2018,525,534.3,521,523.25,1416021
31/10/2018,526.4,537.75,521,524.5,1207952
30/10/2018,519,537.4,516.9,526.45,2384629
29/10/2018,493,518.5,490.55,516.85,1568388
26/10/2018,500,507.3,486.3,498.9,2373225
25/10/2018,486.7,498.5,483.05,493.8,3212247
24/10/2018,478.4,495.95,473.05,493.25,3990958
23/10/2018,465,483.5,438.2,464.9,9215694
22/10/2018,508,510,459.75,469.25,6442087
19/10/2018,530,539.8,500.5,506.1,1570109
17/10/2018,542.4,551,532.15,537.9,1710098
16/10/2018,529.95,543.95,525.65,538.7,1348412
15/10/2018,527.8,533.5,518.1,527.15,918034
12/10/2018,527.7,549.8,525,526.85,1493753
11/10/2018,515,534.9,507.1,519.65,1544696
10/10/2018,504,538.5,499.05,534.7,2063805
09/10/2018,499,505,495.1,499.75,1089914
08/10/2018,490.25,503,483.2,495.1,1347259
05/10/2018,510,516.3,485,490.25,1915931
04/10/2018,516.4,521.15,506,508.85,1341158
03/10/2018,526,538.4,519.2,526.15,1524905
01/10/2018,495,532.9,491,524.9,2979461
28/09/2018,526.9,530.6,504.35,511.9,1547374
27/09/2018,538.95,541.95,520.6,523.2,1580799
26/09/2018,528.4,538.4,519.05,536.25,1415243
25/09/2018,528,537.8,509.25,521.2,2793090
24/09/2018,560.2,564,527.2,531.35,2440295
21/09/2018,593.15,601,539.3,564.6,2077298
19/09/2018,599.7,602.25,587.55,589.65,780356
18/09/2018,596.9,606.9,595.05,596.2,914926
17/09/2018,610.5,610.5,595,596.65,783421
14/09/2018,604,612.8,598.5,611.25,1173043
12/09/2018,605.7,608,589.8,598.45,1625231
11/09/2018,605.2,611.9,597.7,602.9,1810187
10/09/2018,607.8,617,587.5,599.25,2369403
07/09/2018,593.8,611.8,588,609.75,1571506
06/09/2018,598,600,578.65,591.55,1766611
05/09/2018,605.1,610.95,586.2,593.55,1533562
04/09/2018,623.1,627.3,601.5,608,1608895
03/09/2018,630.1,643.5,622,623.9,1532438
31/08/2018,627,633.7,620.5,627.25,948373
30/08/2018,640,642,623,626.9,1683517
29/08/2018,631.9,651.95,630,639.9,3063073
28/08/2018,639.95,640.45,626.15,634.35,1776671
27/08/2018,617.9,638.7,613.15,636.8,5991583
24/08/2018,593.7,612.8,592.7,609.7,3266786
23/08/2018,597.9,598.5,590.5,595.1,1135035
21/08/2018,595,603.85,594.2,596.6,3884090
20/08/2018,581,593,574,591.3,2985648
17/08/2018,574.7,578.8,571.3,573.45,1010312
16/08/2018,561,579.8,561,571.25,1802923
14/08/2018,562.6,565.7,560,564.15,548701
13/08/2018,560,568.25,560,562.25,456781
10/08/2018,569.4,575.2,566.05,568.75,984756
09/08/2018,574.9,582.2,561.6,567.4,2499504
08/08/2018,565,572.4,564,571.55,926377
07/08/2018,565.2,570.25,562.35,565.1,612134
06/08/2018,571,572.1,563.05,565.5,860361
03/08/2018,571.05,574.9,567,567.8,779169
02/08/2018,567.9,576.5,556.1,568.7,995670
01/08/2018,574.95,575.65,565.5,568.95,643703
31/07/2018,562.7,574.25,560.35,572.9,1152938
30/07/2018,568.4,569.9,560,562.75,487148
27/07/2018,569.85,573,565,570.05,843524
26/07/2018,570,574.2,565.1,567.25,1915920
25/07/2018,571,578.9,569.25,569.95,1545252
24/07/2018,571.8,576.55,566.45,569.75,1395119
23/07/2018,580.8,583.7,565.75,569.8,1274978
20/07/2018,558,585,557,577.8,4535513
19/07/2018,567.9,568.4,547,557.4,7197198
18/07/2018,567.8,569,547.3,565.05,2676096
17/07/2018,553.5,565.9,551.05,562.1,4327245
16/07/2018,571.5,572.25,548.5,550.2,1039749
13/07/2018,577.85,579.35,566.3,570.6,558514
12/07/2018,583,588.85,572.6,575.7,1205975
11/07/2018,580.75,585.7,575.5,579.45,871161
10/07/2018,584.95,590.5,575.25,579.9,3476982
09/07/2018,567.8,581.8,565.55,579.2,1730058
06/07/2018,562,568.8,560.95,563.05,699437
05/07/2018,572.9,574.5,561,564.45,1172941
04/07/2018,566.35,576,563.25,570.25,2266725
03/07/2018,549.4,567.85,548.75,564.95,1215241
02/07/2018,555.7,556,546,550.65,727363
29/06/2018,542.65,554.9,542.65,552.05,1217218
28/06/2018,547.95,549.9,537.3,542.15,1702139
27/06/2018,560,571.8,539.1,544.3,5286321
26/06/2018,557.1,564.75,555.05,559.6,1133449
25/06/2018,552.85,567,551.4,558.85,1858906
22/06/2018,540.15,555.4,534.15,554,1018849
21/06/2018,543,554.35,537.1,538.95,1155509
20/06/2018,540.1,549.8,540.1,544.45,627524
19/06/2018,549,550.45,540.1,542.05,547022
18/06/2018,560,561.6,549.5,551.6,671194
15/06/2018,558.7,564.95,557.8,559.75,1233383
14/06/2018,556.95,564.4,553.25,558.8,1325183
13/06/2018,549.95,570,549.9,557.65,3879174
12/06/2018,542.85,549,535.9,548.15,1375950
11/06/2018,536.05,548.9,533.15,541.3,2707805
08/06/2018,527.3,536.3,521.5,532.8,1497960
07/06/2018,521,530.5,518.45,526.3,1028703
06/06/2018,511.9,521.2,509.45,519.05,951886
05/06/2018,510,519,508.5,513.4,1525303
04/06/2018,507,513.75,502,507.7,467987
01/06/2018,514.65,514.95,506.1,507.55,727533
31/05/2018,518.65,521.1,508.85,515.9,1105731
