Date,RELCAPITAL-EQ O,RELCAPITAL-EQ H,RELCAPITAL-EQ L,RELCAPITAL-EQ C,RELCAPITAL-EQ V
29/03/2019,204,207.8,202.35,204.5,7460665
28/03/2019,201.9,207.7,200.55,201.95,12157931
27/03/2019,202,212.7,196.1,200.8,24125528
26/03/2019,187.25,205.75,186.15,200,22284444
25/03/2019,178.9,188.8,176.45,186.1,10561902
22/03/2019,192.35,193.45,179.3,181.95,10845981
20/03/2019,190,193.2,188.5,189.65,9673774
19/03/2019,187.6,193.4,186,188.95,16105571
18/03/2019,175.5,182,175.05,180.6,11733885
15/03/2019,169,177,165.2,174.55,20646080
14/03/2019,188.4,189,170.2,172,16254757
13/03/2019,189,190.4,186.75,187.75,3923816
12/03/2019,194,195.2,188,190,5453987
11/03/2019,187,192.9,186,190.95,8207652
08/03/2019,187,197.35,185.5,190.55,16347572
07/03/2019,191.4,193.4,182.4,187.85,16474911
06/03/2019,192.45,195.8,187.25,190.15,11445239
05/03/2019,179.75,194.5,179.25,193.35,12685286
01/03/2019,173.8,183.7,173.2,181.8,10505940
28/02/2019,170.8,174.15,165.25,172.75,12479943
27/02/2019,172,175.4,166.7,169.45,12287788
26/02/2019,159.8,173.4,157.3,171.1,15500890
25/02/2019,164.75,168,161.05,163.65,11110457
22/02/2019,158.45,170.8,157,163.65,26169918
21/02/2019,143,164,140.6,161.35,33553015
20/02/2019,152.1,152.5,135.1,144.95,30429253
19/02/2019,153,154.65,148.5,151.45,9288643
18/02/2019,163.4,166.85,151.3,152.85,24509523
15/02/2019,146.6,150.9,141.75,148.55,9674265
14/02/2019,139.25,151.4,133.1,147.55,21342840
13/02/2019,138.25,142.7,136,139.25,14938272
12/02/2019,134.7,140.95,126.6,136.6,19731523
11/02/2019,134.1,138.6,130,135.05,24051638
08/02/2019,108,135,107.85,129.25,59989588
07/02/2019,140.9,144.95,102.35,116.2,79352141
06/02/2019,153.15,156.35,135.9,144.1,42837613
05/02/2019,151,159.5,142,152.2,40395079
04/02/2019,180.05,180.45,143.7,151.65,36816466
01/02/2019,194,200,185.85,189.1,5981760
31/01/2019,200,200.9,187.5,193.95,7869852
30/01/2019,200.9,202.8,197.4,198.65,3017605
29/01/2019,197,202.85,196.2,198.5,4100623
28/01/2019,210.8,211.45,195.1,198.5,7179567
25/01/2019,213.45,216.8,205,209.25,4595655
24/01/2019,208.9,213.6,208.6,212.55,6031067
23/01/2019,208,212.7,205.65,208.9,5144947
22/01/2019,208,210.7,202.25,206.9,5449819
21/01/2019,210,212,207.1,208.65,4160464
18/01/2019,219.4,219.5,209.1,210.05,5310518
17/01/2019,225.7,226.4,214.85,217.65,4266422
16/01/2019,222,228.9,222,224.3,4532073
15/01/2019,218,222.35,217,221.8,3661580
14/01/2019,215.8,216.8,213.4,216.15,2632923
11/01/2019,218.4,219.4,214.05,216.1,3537032
10/01/2019,217.5,222.5,216.45,217.75,4292256
09/01/2019,222.6,223.65,214.05,217.1,4048776
08/01/2019,217.05,222.4,216.55,221.55,3593862
07/01/2019,218,223,215.7,217.05,4908782
04/01/2019,210.6,218.3,208.55,216.7,8473145
