Date,RELIANCE-EQ O,RELIANCE-EQ H,RELIANCE-EQ L,RELIANCE-EQ C,RELIANCE-EQ V
29/03/2019,1370.05,1376.5,1355.4,1363.25,7678839
28/03/2019,1350.25,1369.8,1342.8,1360,10482938
27/03/2019,1377.95,1377.95,1344.25,1349.25,10094174
26/03/2019,1330.3,1371.6,1330,1367.25,9479288
25/03/2019,1330.6,1336.85,1316.7,1324.45,7951992
22/03/2019,1372.5,1380.9,1336.7,1341.75,11465112
20/03/2019,1377.8,1388,1364,1375.45,9892823
19/03/2019,1360,1380,1343.1,1376.55,9805318
18/03/2019,1331,1357.95,1329,1350.05,10105234
15/03/2019,1345,1358.8,1311.2,1321.65,15893093
14/03/2019,1349.75,1362,1336.1,1341.55,10402048
13/03/2019,1337,1360,1328.1,1347.3,11236048
12/03/2019,1316.9,1334,1314.25,1331.35,11228736
11/03/2019,1270.05,1312,1268,1304.1,9718840
08/03/2019,1266.05,1274.45,1262,1267.1,6040052
07/03/2019,1264,1279.8,1258.15,1270.25,8109259
06/03/2019,1239.8,1273.1,1235.1,1264.8,12038231
05/03/2019,1223.4,1239.8,1218.6,1237.65,7121509
01/03/2019,1237,1242.35,1222.25,1226.05,7922513
28/02/2019,1233.75,1239.85,1226.55,1231.05,11286916
27/02/2019,1228.05,1244.9,1209,1223.5,11113182
26/02/2019,1209.5,1234.8,1206,1220.25,10131050
25/02/2019,1236,1243,1220.65,1232.3,7852528
22/02/2019,1244.6,1245.3,1226,1232.35,8755865
21/02/2019,1236,1257.8,1229.35,1246.9,10580178
20/02/2019,1223.85,1240,1219,1234.35,6298179
19/02/2019,1218,1239.7,1211.2,1216.1,6244189
18/02/2019,1250,1252.5,1215,1220.1,9649017
15/02/2019,1229.75,1249.9,1214,1244.45,9597961
14/02/2019,1241,1241,1218,1224.2,6627360
13/02/2019,1261,1273.95,1235.75,1245.95,6964042
12/02/2019,1251.5,1272.35,1251.5,1256.4,6399485
11/02/2019,1275.9,1276,1251,1253.25,7523999
08/02/2019,1284.8,1300.5,1272.25,1277.7,6505502
07/02/2019,1310.25,1321.2,1286.1,1290.4,9212227
06/02/2019,1296.25,1317.65,1294.25,1310.25,9411585
05/02/2019,1292,1304.4,1278.6,1291.55,9362406
04/02/2019,1247,1296.95,1242.05,1290.9,11670570
01/02/2019,1234,1255,1227.05,1249.95,9228965
31/01/2019,1202,1229.7,1201,1227.15,10185347
30/01/2019,1215,1225,1191.1,1195.7,7846940
29/01/2019,1231,1231.65,1201.35,1210.65,9328866
28/01/2019,1250.5,1255.95,1222.4,1229.55,8569265
25/01/2019,1250.45,1264.7,1235.4,1246,8550836
24/01/2019,1225,1253.2,1220.1,1247.45,13155185
23/01/2019,1233.3,1244.2,1222,1226.3,8829502
22/01/2019,1232.85,1246.95,1219.6,1235.15,16552819
21/01/2019,1194,1239.95,1188.65,1237.7,22038534
18/01/2019,1148.8,1189.9,1135.25,1184.35,25684142
17/01/2019,1144.45,1147.9,1130,1134.45,7487963
16/01/2019,1135,1145,1130.35,1135.9,6382777
15/01/2019,1105,1132,1105,1129.65,10062875
14/01/2019,1095,1100.5,1086.4,1096.8,4111782
11/01/2019,1107.6,1113.8,1088.6,1098.05,6463903
10/01/2019,1107.75,1111,1103,1107.5,4080283
09/01/2019,1112,1117,1098.7,1110.75,5766805
08/01/2019,1105.1,1109.95,1096,1104.65,5625153
07/01/2019,1107,1118.45,1101,1104.75,5513559
04/01/2019,1097.4,1104.45,1081.1,1098.65,8465141
03/01/2019,1107.5,1114.6,1090.1,1092.75,7446457
02/01/2019,1114.5,1127,1101,1106.4,7144970
01/01/2019,1125.25,1127.3,1110.1,1121,4455850
31/12/2018,1130.95,1133.85,1116.2,1121.25,7222817
28/12/2018,1125.5,1135.25,1121.2,1125.55,7666016
27/12/2018,1107.2,1127,1104,1120.2,12478000
26/12/2018,1085.8,1100,1065.65,1098.35,7210059
24/12/2018,1100.9,1103.2,1086.55,1089.15,4144535
21/12/2018,1125,1131.25,1096,1100.2,8281941
20/12/2018,1121,1132.5,1116.15,1128.45,5764731
19/12/2018,1141.5,1147.3,1133.2,1136.8,7368799
18/12/2018,1123.3,1139,1120.5,1136.4,5870928
17/12/2018,1115.95,1133,1111.5,1129.9,5064357
14/12/2018,1103.1,1114.9,1091.8,1112.2,7221324
13/12/2018,1128,1128,1095.05,1107.05,9297518
12/12/2018,1099,1113.5,1087.75,1110.5,12605431
11/12/2018,1066,1102.1,1055,1097.55,13494665
10/12/2018,1110,1114.3,1083.1,1090.25,9381544
07/12/2018,1129.45,1136.95,1108.35,1133.8,7214078
06/12/2018,1149,1149,1118.25,1123.65,5866108
05/12/2018,1143.75,1158.8,1139.3,1155.15,5819618
04/12/2018,1158,1158,1142.2,1152.3,5192825
03/12/2018,1174.9,1174.9,1148.5,1156.45,5569578
30/11/2018,1172.3,1186,1162.3,1167.55,10717448
29/11/2018,1161,1179.9,1160,1168.5,12636169
28/11/2018,1132.45,1157.75,1126.3,1152.65,8003964
27/11/2018,1107.9,1130,1105.45,1128.2,6810228
26/11/2018,1109,1117.5,1097.4,1109.75,6386556
22/11/2018,1114.5,1125.35,1100.1,1102.85,5792568
21/11/2018,1137.5,1145.5,1107.05,1112.9,7507812
20/11/2018,1145,1155.9,1130,1137.4,5719901
19/11/2018,1132.9,1151.7,1131,1150,7308981
16/11/2018,1097.95,1129.95,1097.1,1127.4,11031889
15/11/2018,1096.95,1103,1086.5,1096.85,6831740
14/11/2018,1105.05,1112.65,1085.5,1097.95,7787530
13/11/2018,1074,1103,1070.05,1099.45,6811598
12/11/2018,1097.7,1098.8,1074.55,1080,5801720
09/11/2018,1106.25,1113.8,1085,1093.45,10840462
07/11/2018,1115,1115,1106.7,1110.7,1283997
06/11/2018,1094,1112,1091.6,1104.1,8634266
05/11/2018,1073.45,1092.7,1065,1090.3,7582518
02/11/2018,1067,1081,1063.15,1074.9,16796200
01/11/2018,1067.9,1067.9,1050,1056.25,9396027
31/10/2018,1059,1065.85,1047,1061.25,16457691
30/10/2018,1085.5,1085.5,1052.1,1057,8806701
29/10/2018,1046,1093.85,1046,1087.8,7671807
26/10/2018,1032.9,1057,1022,1044.9,9182613
25/10/2018,1036,1040.65,1016.4,1030.8,14096237
24/10/2018,1074.9,1075.95,1031.4,1045.75,13655337
23/10/2018,1052.75,1064.7,1043.65,1054.7,10573730
22/10/2018,1110,1114.8,1057.35,1062.65,13165542
19/10/2018,1100,1111,1070.25,1101.3,25421229
17/10/2018,1179,1179.35,1140,1151.3,12785646
16/10/2018,1146,1167.4,1140,1163.8,7478601
15/10/2018,1129.9,1146.9,1118.15,1139.75,8871776
12/10/2018,1104.95,1129,1101.9,1126.55,9058536
11/10/2018,1064,1114.75,1043,1087.8,13224172
10/10/2018,1093.9,1115.85,1084.3,1102.1,9502176
09/10/2018,1121.65,1123.3,1081.2,1090.05,10991196
08/10/2018,1050,1117,1025.55,1109.4,24679428
05/10/2018,1099.5,1115.3,1038.15,1048.85,21943190
04/10/2018,1189.5,1190.4,1106,1122.25,23212443
03/10/2018,1229.5,1239.6,1200.05,1205.1,7376575
01/10/2018,1257.7,1257.7,1204,1231.7,7332693
28/09/2018,1259.9,1271.7,1247.3,1257.95,11073023
27/09/2018,1255,1263,1237.5,1253.75,10808749
26/09/2018,1239,1253.95,1227.15,1251.4,6396828
25/09/2018,1235.5,1245,1195,1230.6,9715020
24/09/2018,1214.45,1239.9,1204.5,1232.05,10102589
21/09/2018,1219,1237.4,1183.5,1217.5,19070172
19/09/2018,1224,1224,1201,1210.75,11265786
18/09/2018,1226,1239.4,1214.35,1217.15,7616412
17/09/2018,1250.75,1250.75,1221.6,1225.9,6754086
14/09/2018,1259.4,1275.6,1247.65,1253.15,7878583
12/09/2018,1251.8,1258.7,1228.85,1252.5,8065553
11/09/2018,1259,1268.4,1234.25,1237.7,10874768
10/09/2018,1275,1277,1250.1,1255.85,7059008
07/09/2018,1264.9,1281.35,1254.5,1278.6,10692787
06/09/2018,1230.15,1265.7,1225.35,1261.4,11195043
05/09/2018,1242.5,1252.65,1208.5,1227,10324923
04/09/2018,1235.15,1254.8,1229,1241.95,8838770
03/09/2018,1245,1257.9,1226.05,1229.15,12200022
31/08/2018,1270,1270,1236.6,1241.65,15305857
30/08/2018,1293.6,1297.15,1270.45,1274.45,9850042
29/08/2018,1316.3,1329,1290.2,1294.2,11077203
28/08/2018,1296,1323,1295,1319,8694751
27/08/2018,1279.4,1295.85,1278.75,1291.5,5572177
24/08/2018,1265.25,1279.95,1260.05,1277.5,6652005
23/08/2018,1246.3,1274,1238.4,1269.45,7968123
21/08/2018,1237.25,1251.5,1227,1247.2,7279641
20/08/2018,1207.9,1236.8,1207.65,1234.9,7607036
17/08/2018,1209,1215.4,1200.05,1203.75,3830992
16/08/2018,1203.25,1216,1195.5,1200.8,5982490
14/08/2018,1190,1217.2,1184.3,1210.6,5299536
13/08/2018,1197.55,1199.95,1182.7,1187.7,4668159
10/08/2018,1211,1215,1202.3,1204.2,3581210
09/08/2018,1221.5,1231.7,1212,1217.95,6846928
08/08/2018,1185,1222.5,1185,1217.7,7912437
07/08/2018,1194.9,1201.4,1177,1184.2,4059460
06/08/2018,1176.7,1196,1175.35,1192.6,4016418
03/08/2018,1175,1183.5,1169.55,1176.95,6645397
02/08/2018,1191.5,1191.5,1165.95,1168.35,6248975
01/08/2018,1190.4,1202.9,1185.4,1192.35,9704295
31/07/2018,1151,1190.4,1147.15,1186,13875377
30/07/2018,1130,1157.3,1128,1151.4,13872467
27/07/2018,1119.5,1137.4,1112.15,1129.85,6679468
26/07/2018,1110.1,1121.5,1107.8,1110.65,6424867
25/07/2018,1110,1123,1104.2,1115.15,5949680
24/07/2018,1122,1126.75,1107.4,1110.95,4469144
