Date,RELINFRA-EQ O,RELINFRA-EQ H,RELINFRA-EQ L,RELINFRA-EQ C,RELINFRA-EQ V
29/03/2019,135.85,140.05,135.55,137,8781298
28/03/2019,132.35,135.95,131.2,135.2,7584343
27/03/2019,134.35,137.25,130,130.95,9668897
26/03/2019,129,136.7,128.7,133.15,11785336
25/03/2019,126.8,132.75,126.05,128.2,9384294
22/03/2019,137.2,138.45,129.65,130.55,8126674
20/03/2019,137.4,140,135.65,137.15,8515892
19/03/2019,142.5,146.05,136,137.1,19368390
18/03/2019,132.85,138.35,132.8,135,13176692
15/03/2019,124.25,134.45,121.1,131.65,20051293
14/03/2019,130,131.4,124.2,125,12742845
13/03/2019,132.25,132.5,129.1,129.8,6196465
12/03/2019,134.4,135.75,129,131.25,7962543
11/03/2019,126.2,133.9,125.65,132.25,12312022
08/03/2019,134.1,136.95,129.5,130.2,13832767
07/03/2019,136,137.6,132.1,133.3,12254216
06/03/2019,132,142.4,130.75,134.7,25797590
05/03/2019,125,133.25,124.85,130.4,17468023
01/03/2019,123.9,127.8,121.65,125.25,21588299
28/02/2019,129.3,129.45,120.75,122.8,23600657
27/02/2019,134.1,135.9,127,128,11439426
26/02/2019,128.45,134,126.8,132.25,14329305
25/02/2019,134.95,137.6,128.85,131.15,17453561
22/02/2019,125.2,139.5,123.6,133.75,34461210
21/02/2019,118,125.8,116,124.45,18854987
20/02/2019,123,124.2,111.55,119.6,26845895
19/02/2019,123.85,125.5,121,122.25,12533703
18/02/2019,126.4,137.8,120.4,123.15,32556611
15/02/2019,117,120.6,114,114.95,12758179
14/02/2019,110.1,119.75,110,117.35,20679331
13/02/2019,112.7,117.35,108.6,113.1,21613713
12/02/2019,116.45,118.5,106.75,112.65,36900192
11/02/2019,123,126.7,113.5,115.5,30015871
08/02/2019,102,127.05,96.55,118.15,83718321
07/02/2019,151.1,151.95,107.1,110.65,134735370
06/02/2019,224.9,229,141.4,154.3,87700480
05/02/2019,225,238.8,220.45,227.25,14361852
04/02/2019,253,257.75,221.4,227.1,16577801
01/02/2019,269,279.05,263.2,267.1,3108550
31/01/2019,270,271.5,260.35,268.95,3537287
30/01/2019,267.45,271.5,263.55,269.2,2724905
29/01/2019,256.8,268.15,255,265.45,3828994
28/01/2019,272.9,274.3,252.35,257.5,4587277
25/01/2019,283.15,287.25,264.4,270.7,3347714
24/01/2019,282.7,285.75,277.6,282.15,3634634
23/01/2019,280.2,287.5,278,281.75,4789882
22/01/2019,288,294,276.4,279.3,5143230
21/01/2019,298.9,298.9,288,289.65,3111125
18/01/2019,299,304,292.3,298.3,6027997
17/01/2019,314.8,316.75,294,296.45,5825105
16/01/2019,310.35,325,309.05,314.2,5355029
15/01/2019,309,312.35,307.1,310.1,2931904
14/01/2019,306.1,310.35,305,306.3,2824338
11/01/2019,305,309.4,302.2,307.7,2519076
10/01/2019,302,312,301.1,305.95,4522648
09/01/2019,302.5,306.25,294.65,300.6,2819774
08/01/2019,300.65,303,297.85,301.9,2452301
07/01/2019,298.65,305,297.3,299.45,3068380
04/01/2019,287.95,298.4,286.15,296.8,4710594
03/01/2019,305.5,307.95,287.65,289.25,3779366
02/01/2019,315.6,317.25,302.9,305.95,3467764
01/01/2019,315.55,318.95,312.75,316.6,2010745
31/12/2018,313.5,317.9,308.55,316.2,3852359
28/12/2018,305.8,316.4,303.8,311.95,5731066
27/12/2018,306.8,307.9,301.55,302.8,2505387
26/12/2018,305.55,307.4,300.4,303.4,3519072
24/12/2018,309.5,311.7,303.8,307.5,3481179
21/12/2018,302.8,309.35,298.05,307.6,5425211
20/12/2018,293,303.55,292.3,302.65,4960746
19/12/2018,296,302.4,291.35,299.2,5701030
18/12/2018,286.1,296.65,286.1,295.15,4588109
17/12/2018,292.9,295.9,286.3,288.15,5007644
14/12/2018,287,312,285.75,291.95,13441547
13/12/2018,298.5,306.1,279.25,286.95,5581014
12/12/2018,295,302.5,294,296.15,4801165
11/12/2018,294,302.6,290.65,292.65,5795739
10/12/2018,298,306.35,296,297.5,2784800
07/12/2018,300.15,310,293,307.95,5503724
06/12/2018,303.1,305.8,292.5,299.5,6331083
05/12/2018,327,333.4,305.25,307.35,7377924
04/12/2018,332,335.9,327.4,329,3255959
03/12/2018,334,339.1,326.1,331.9,4051303
30/11/2018,349.1,351,328.25,331.3,6214362
29/11/2018,363.4,363.8,342.35,348.25,3255326
28/11/2018,357.1,366.85,357.1,362.05,2848522
27/11/2018,352.8,357.95,345.6,355.95,2804446
26/11/2018,359.9,361.2,346.65,352.2,2632450
22/11/2018,365.9,367,355.3,357.1,2351621
21/11/2018,357,368.5,356,363.5,4155491
20/11/2018,351,360.5,348.65,356.4,4775179
19/11/2018,329,361,329,352.95,7648170
16/11/2018,351.5,353,324.05,329.95,4180809
15/11/2018,351,356.4,344.6,352.25,2387418
14/11/2018,358.45,359.05,344.35,350.7,2842467
13/11/2018,347.85,365.55,341,357.05,3005422
12/11/2018,354.05,358.3,348.15,349.85,2075177
09/11/2018,359.5,363.35,351.1,354.6,2528340
07/11/2018,361.3,362,358.2,359.4,231011
06/11/2018,361.9,369.5,353.8,357.9,2325302
05/11/2018,373.7,373.7,355.1,359,2706869
02/11/2018,365,380.75,362.05,375.45,2650661
01/11/2018,359.6,365.65,355.05,360.75,2503062
31/10/2018,354,360.4,340.5,358.65,3137888
30/10/2018,348.4,356.75,345.1,350.55,2707755
29/10/2018,334,353.45,329.05,351.05,3236108
26/10/2018,338.6,341.75,327.6,331.7,3047599
25/10/2018,337,346.95,334.4,341.95,2797860
24/10/2018,327.6,348,327.5,342.8,3606472
23/10/2018,323.3,332.75,314.35,322.6,2490521
22/10/2018,335,336.05,322.7,327.25,2968751
19/10/2018,310.2,343.75,310.2,332.75,6603885
17/10/2018,343,343.1,312.65,316.55,3426625
16/10/2018,330.4,340,330.4,335.45,3448092
15/10/2018,331.9,331.9,318.9,327.55,3108546
12/10/2018,305,339.4,305,329.2,5957121
11/10/2018,291.1,313.4,288.1,300.85,3464620
10/10/2018,295,314.85,295,310.5,3607229
09/10/2018,280,302.7,280,295.65,4814210
08/10/2018,287.05,296.7,275.1,286.7,5052717
05/10/2018,294.5,304,284.75,289.6,3571116
04/10/2018,291,306,290.1,297.1,4462915
03/10/2018,296.15,317.4,289.55,301.75,5746629
01/10/2018,297.25,302,281.35,299.1,5856486
28/09/2018,303.5,308,285.2,300.2,8397841
27/09/2018,324.75,325.5,300.7,303.75,5236647
26/09/2018,324,326.4,312.7,321.15,4273637
25/09/2018,330,334.3,303.95,318.35,5861118
24/09/2018,343.5,344.3,325.15,329.45,4684062
21/09/2018,390,394.75,328.5,343.7,9483419
19/09/2018,430,431.3,383.1,386.45,7951241
18/09/2018,447.5,453.35,425.25,427.85,2714385
17/09/2018,447.95,454.45,444.05,447.3,2480629
14/09/2018,440.5,456.5,440.5,452,2902539
12/09/2018,452.3,453.25,433.5,440.15,3896674
11/09/2018,469.05,474.2,454.85,457.2,2800663
10/09/2018,467.2,485.3,462.2,465.6,4681192
07/09/2018,466.15,479.8,463,473.55,4152251
06/09/2018,482,484.75,467,469.75,6384058
05/09/2018,449.95,481.95,446,479.55,8428623
04/09/2018,469.95,470.2,450.5,452.85,4925427
03/09/2018,480,489.55,465.25,472.95,6017035
31/08/2018,463.9,481.4,455.2,477.95,8404667
30/08/2018,439.95,478.7,433.25,463.95,17817637
29/08/2018,421.95,450.75,421,439.3,5433015
28/08/2018,424.9,429.35,415.5,423.9,2521065
27/08/2018,411,424.9,411,421.8,2433460
24/08/2018,401,413.65,401,409.9,2639975
23/08/2018,420.5,425.7,406.35,410.05,2367643
21/08/2018,426,428.45,417.5,419.95,2312461
20/08/2018,415.15,432.6,414,426.9,2809542
17/08/2018,405.8,418.8,404.05,416.05,2526753
16/08/2018,407.8,414,400.55,402.8,1719290
14/08/2018,407.25,413,400.1,408.85,2575484
13/08/2018,404.5,413.85,397.65,406.45,2067734
10/08/2018,418.5,419.5,405.7,408.4,1512112
09/08/2018,420.5,424.5,414.35,419,2342825
08/08/2018,413.4,422,409.8,418.7,2255578
07/08/2018,414.05,417.7,407.45,413.4,2075010
06/08/2018,402,416.4,401.05,413.3,3646498
03/08/2018,401,413,399.15,401.4,3522548
02/08/2018,378.1,408.9,373.05,402.15,5769138
01/08/2018,400,400.95,371.05,382.95,6738783
31/07/2018,394,403.25,393.5,398.95,2081998
30/07/2018,407,410.35,393.25,395.4,2018641
27/07/2018,402,413.95,398.7,407.9,3283367
26/07/2018,398,404.5,396.2,401.95,1953962
25/07/2018,399.25,404.65,393.75,398.25,1637104
24/07/2018,395.5,404.65,393.05,399.25,2405020
23/07/2018,387,397.85,379.25,396.5,1903824
20/07/2018,378.2,388.75,372.05,386.75,1650083
19/07/2018,377.95,384.65,371.5,378.2,1942139
18/07/2018,385.5,387.8,368.4,377.95,1995728
17/07/2018,368.9,388.5,367.75,385.5,2185449
16/07/2018,384,387.25,364.65,367.85,2104946
13/07/2018,391.3,391.3,378.05,384.8,1492524
12/07/2018,397.7,406.45,384,387.25,2541342
11/07/2018,402.8,404.05,389,394.1,2286190
10/07/2018,406,409.35,400.2,402.85,1692053
09/07/2018,387,409,386.5,404.7,2538915
06/07/2018,381.9,389.95,378.35,384.85,1312656
05/07/2018,382,388,378.5,382.45,1794698
04/07/2018,388,388.5,377.75,381.4,1975430
03/07/2018,384.8,390.45,379,387.5,2269043
02/07/2018,393.25,395.65,374.85,384.15,2509095
29/06/2018,392.15,404.5,389.25,391.75,3555391
28/06/2018,395,402,387.1,396.75,2907403
27/06/2018,419,419.8,390.05,395.4,2366226
26/06/2018,418,425.95,415.75,418.65,1366523
25/06/2018,424.7,427.2,418.55,420.4,1039134
22/06/2018,424.4,428,415.4,425.7,2214846
21/06/2018,441.1,441.1,422.6,424.05,2249517
20/06/2018,425,444.5,423.2,441.4,2620233
19/06/2018,432,432.4,420.6,423.7,1379329
18/06/2018,428,437.5,428,432.35,1129782
15/06/2018,436,439.9,423.25,431.95,1807538
14/06/2018,434.55,438,429.25,435.55,1406136
13/06/2018,438.8,446.6,437.2,439.65,1738749
12/06/2018,435,444,427.6,440.1,1928692
11/06/2018,440,445.35,435.75,437.5,1078909
08/06/2018,437.9,441.8,432,438.8,1408820
07/06/2018,428.4,446.4,427.05,441.95,2406604
06/06/2018,415.5,428.55,413.3,427.15,1600166
05/06/2018,430,430.5,408.25,415.4,2698548
04/06/2018,429.2,436.35,426,430.25,1761375
01/06/2018,436,436.95,418.4,426.9,1802583
31/05/2018,441,447.8,423,434.75,3062197
30/05/2018,421.55,438.55,421.15,430.85,2285641
29/05/2018,430,433.6,422.8,426.8,1738632
28/05/2018,419.95,434.4,415,429.7,2143562
25/05/2018,409.45,423.95,407,418.25,2244334
24/05/2018,409,411.3,400.7,407.4,1614262
23/05/2018,400.3,414.25,398,407.2,3071553
22/05/2018,396.35,404.4,392.25,400.8,2250645
21/05/2018,393,402.4,389,396,2700916
18/05/2018,397.2,406,386.55,393.05,4023644
17/05/2018,390.1,405.5,384.3,397.75,4432642
16/05/2018,382.5,391.45,375.1,385.3,3099881
15/05/2018,394.7,406.55,382.6,386.9,3763351
14/05/2018,414.5,414.5,390.3,396.15,4427283
11/05/2018,417.05,421.25,408.55,415.9,1775490
10/05/2018,430.95,431.5,413.1,414.55,2253793
09/05/2018,438,439.2,424.25,426.3,2646756
08/05/2018,448.1,449.45,437.6,440,2304581
07/05/2018,426.05,456.6,422.25,449.6,4878406
04/05/2018,414.2,424.7,402.65,423.35,3713088
03/05/2018,432.9,432.9,411.25,413.6,2661739
02/05/2018,452.8,460.5,430.5,433.3,2214492
30/04/2018,444.7,452.75,440.1,451.2,1276828
27/04/2018,443.05,451.3,441.5,443.7,1265156
26/04/2018,440,445.45,436.45,441.35,1274058
25/04/2018,440,445,436.3,440.55,1496954
24/04/2018,455,458.6,434.05,441.1,3301720
23/04/2018,448.9,454.3,447.3,449.75,1403296
20/04/2018,463,463.5,445.45,448.6,1784435
19/04/2018,462,467.15,458.1,465.05,1582057
18/04/2018,461,465.85,456.2,460.05,1724203
17/04/2018,457.25,465.1,453.6,459,1764703
16/04/2018,454.95,459.15,450.3,456.9,1459973
13/04/2018,454,463.5,452.8,461.9,2081603
12/04/2018,453.4,459.8,449.1,452.65,1761314
11/04/2018,462,462.5,451,455.05,1571300
10/04/2018,456,466.9,454.6,462.9,3339764
09/04/2018,447,456,443.75,452.2,2300974
06/04/2018,447.15,452.9,443.4,447,1881144
05/04/2018,444.9,456.5,443,452.2,2239428
04/04/2018,447,453.55,434.05,436.1,2827367
03/04/2018,442.25,446.7,433.1,443.25,2111678
02/04/2018,426.05,448,426.05,443.35,2246368
28/03/2018,428.35,432.9,423.15,427.5,2102662
27/03/2018,428.6,437.55,425.5,431.6,2483569
26/03/2018,417,429.15,416.6,424.8,2674523
23/03/2018,420,424.7,412.05,418.7,2948049
22/03/2018,450,454.15,428.85,430.4,3083612
21/03/2018,455.25,461.8,446,449.55,4200817
20/03/2018,422,456.8,420.1,453.05,5744461
19/03/2018,427,429.5,417.5,424.25,2088481
16/03/2018,448.5,453.3,426.05,428.6,2482831
15/03/2018,454,459.4,446.4,449.45,1861678
14/03/2018,445,456.7,443.7,452.25,2557763
13/03/2018,432.5,456.05,430.7,451.65,4174719
12/03/2018,423.45,437.7,409.7,430.75,2879831
09/03/2018,426.6,431.75,413.2,416.8,2825255
08/03/2018,415.3,429.9,409.5,427,4011250
07/03/2018,432,436,406,409.75,3087922
06/03/2018,436.25,450.95,428.2,433.35,3318236
05/03/2018,442.5,445,430.05,434.05,2263260
01/03/2018,454.9,459.5,439.5,441.95,2242710
28/02/2018,453,464.5,449.8,455.6,1982777
27/02/2018,469,469.4,455.1,457.7,1647547
26/02/2018,456.85,472.4,453.65,467.65,2796585
23/02/2018,443.95,457.85,442.05,454.55,2192481
22/02/2018,442.3,448.8,438.2,439.95,2191591
21/02/2018,449,451.45,437.3,443.4,1825773
20/02/2018,445,452.7,442.3,446.3,2160846
19/02/2018,451.95,458,433.9,443.85,3094482
16/02/2018,445.5,458.4,438.1,452.3,4262795
15/02/2018,459.5,462.9,437,443.9,2275186
14/02/2018,463.8,467.95,454.1,457.25,2675349
12/02/2018,465,472.8,455.2,461.15,3527069
09/02/2018,432,462,428.15,451.5,3132223
08/02/2018,436.55,447.95,434.55,444.2,2852391
07/02/2018,438.1,443.3,427.55,431.1,2027289
06/02/2018,410,441.1,407.45,431.45,2913613
05/02/2018,428.05,454.15,428.05,446.2,3037191
02/02/2018,485.75,486.3,441.1,449.75,3175889
01/02/2018,497,504.05,480,492.75,2154522
31/01/2018,507.25,512.75,492.05,496.35,2647818
30/01/2018,506.5,518.9,505,508.3,2052355
29/01/2018,516.25,525.45,500.75,509.7,2992572
25/01/2018,517,522.75,511.2,513.95,2084633
24/01/2018,517,521.45,507.35,515.2,1747106
23/01/2018,511.5,533,510.1,516.85,2592969
22/01/2018,514,517,503.5,509.6,1637010
19/01/2018,506.4,521.75,499.3,517.85,3445081
18/01/2018,546,552.15,501.5,506.5,4259050
17/01/2018,536.8,552.7,519.4,543.95,3994984
16/01/2018,559.45,560.9,531.6,536.5,2982930
15/01/2018,558.2,565,554.25,557.85,1783142
12/01/2018,568,574.6,538.35,555.4,2867230
11/01/2018,565,573.5,562.3,564,1867830
10/01/2018,570,578.55,561,564.3,2286377
09/01/2018,582,583.9,567.25,569.8,2370618
08/01/2018,581.05,589.7,574.25,582.5,3847016
05/01/2018,568,582.65,560,578.15,4467467
04/01/2018,565.4,567.9,555.6,565.55,2539276
03/01/2018,566.25,574.55,556.95,562.55,3690364
02/01/2018,577.85,578.35,555.05,563.4,5721793
01/01/2018,554,589.9,548.5,572.65,9340782
29/12/2017,566.5,574.3,548.1,553.85,6581928
28/12/2017,534.75,572.7,533.55,555.05,12084325
27/12/2017,539.85,551.9,530.1,533.75,6472478
26/12/2017,528.45,544.8,522,539.85,7265462
22/12/2017,521,544.85,515,528.45,14126392
21/12/2017,467,528.75,457.05,505.05,9511530
20/12/2017,444,479.85,441,466.2,4414386
19/12/2017,445,448.35,439.6,443.25,1435436
18/12/2017,446,451.8,425.6,444.05,1465580
15/12/2017,458.1,460.35,446.55,448.85,1611619
14/12/2017,452.5,455.7,440,454.45,1372706
13/12/2017,450.25,457.6,447.2,450.35,1178941
12/12/2017,457,460.2,447,450.2,901588
11/12/2017,452.9,462,450.5,459.15,1353025
08/12/2017,458,458,445.65,449.8,1405888
07/12/2017,442.45,458.15,441.05,455.95,2000685
06/12/2017,440.5,452.7,438.3,440.35,1839911
05/12/2017,437.5,446.55,430.5,443.6,2018758
04/12/2017,439,443.65,433,439.3,1343938
01/12/2017,439.95,447.8,434.4,436.6,1915401
30/11/2017,451,458.2,436.3,439.95,2665054
29/11/2017,459.3,460.8,450.9,453.5,1024832
28/11/2017,460,463.95,452.4,458.3,1653195
27/11/2017,448,467.95,447.8,464.95,1658559
24/11/2017,448.9,454.4,446.55,451.45,1079498
