Date,SBILIFE-EQ O,SBILIFE-EQ H,SBILIFE-EQ L,SBILIFE-EQ C,SBILIFE-EQ V
29/03/2019,614,614,581.6,583.4,6702025
28/03/2019,620,624.8,613.6,616.2,89907
27/03/2019,607.45,620.8,607.45,618.7,302382
26/03/2019,612,617.9,606.8,609.6,167512
25/03/2019,602.05,616.95,602.05,611.05,93192
22/03/2019,610,619,605,615.5,741217
20/03/2019,613.85,620,607.6,612.85,816543
19/03/2019,613,622.75,602,611.9,1038136
18/03/2019,616.05,620.9,606.05,610.8,91435
15/03/2019,613.1,619.75,611,615.05,505837
14/03/2019,619,620.95,611,614.9,233675
13/03/2019,618,621.5,610.2,615.35,253418
12/03/2019,623,634.9,612,622.9,398863
11/03/2019,589.75,626.4,587.4,622.45,693313
08/03/2019,587,596.4,585.4,587.15,195823
07/03/2019,610,612.4,590,592.1,326651
06/03/2019,608,621.8,602,607.95,594253
05/03/2019,599,617,596.1,607.75,967319
01/03/2019,581.95,622.1,515.55,607.9,11513018
28/02/2019,565,582,565,578.55,232357
27/02/2019,563,565.95,561.1,563.3,91914
26/02/2019,561,564,555,559.4,205333
25/02/2019,563,564.85,555.35,561,256241
22/02/2019,565.25,570,556.75,559.85,207746
21/02/2019,562,565.7,560,561.9,97421
20/02/2019,564.6,571.1,556,561.6,1156061
19/02/2019,573.65,573.65,560.9,562.45,91484
18/02/2019,569.5,572.1,563.3,567.45,33962
15/02/2019,568.55,575.8,562,568.85,72417
14/02/2019,569.9,574.5,564.9,568.55,24238
13/02/2019,574,579.95,564,569.85,310406
12/02/2019,569.85,585.65,562.1,574.7,288095
11/02/2019,576,579.1,561.05,566.85,339881
08/02/2019,577.25,583.95,575,577.55,130409
07/02/2019,580,584.4,575.05,577.25,570245
06/02/2019,585,590,575,579.4,690808
05/02/2019,589.75,594,582,584,53619
04/02/2019,594,599,571.1,589.75,146249
01/02/2019,600,604,588.1,590.95,546770
31/01/2019,600.5,607.75,593.7,595,780410
30/01/2019,607,616.4,596,599.95,260752
29/01/2019,600.1,617.95,595.7,606.1,302014
28/01/2019,621,624.45,595.25,599.25,285382
25/01/2019,627.45,633,615.65,619.6,222746
24/01/2019,620,629.4,615.1,618.25,129335
23/01/2019,623,628.9,612.2,620,159259
22/01/2019,620,629.8,611.7,619.9,95583
21/01/2019,625,644.7,612.5,617.65,427431
18/01/2019,627,629.5,615,620.2,107504
17/01/2019,621.5,633.55,618,623.35,377003
16/01/2019,622.5,630.3,618,621.4,440003
15/01/2019,624,631.15,620,623.9,68669
14/01/2019,633,636.65,618.25,620.1,366016
11/01/2019,635,643,630,638.5,171998
10/01/2019,642.1,648.4,631,634.75,165683
09/01/2019,615,649.75,615,642.95,304725
08/01/2019,600,626.9,600,612.5,214725
07/01/2019,602.85,608.85,597.7,602.45,316222
04/01/2019,603,615,600,602.85,119061
03/01/2019,598.4,603,590,600.05,415471
02/01/2019,593.4,604,593.4,601.7,115282
01/01/2019,595.25,601.8,592.2,598.85,40902
31/12/2018,595,605.8,595,597.85,169943
28/12/2018,600,605,587.25,598.8,519520
27/12/2018,544,605,540.35,590.6,926443
26/12/2018,576,584,570.15,574.85,81515
24/12/2018,584.9,589.6,576.55,579.45,144403
21/12/2018,593.15,605.55,577.3,597.5,2025095
20/12/2018,580.6,596,575.65,592.45,134271
19/12/2018,590.95,590.95,577.65,583.05,155299
18/12/2018,598,607.15,576.35,587.6,413782
17/12/2018,567,594,567,589.8,230206
14/12/2018,571,574.8,550.5,567,98357
13/12/2018,574.95,575,562.25,571,151320
12/12/2018,567.75,572,562.8,570.25,72595
11/12/2018,556.15,565.95,556.15,562.65,104981
10/12/2018,558,570,555,562.45,114905
07/12/2018,568,571.9,559.35,562.55,103784
06/12/2018,573,578,563,567.8,76272
05/12/2018,565,575,565,572.8,85850
04/12/2018,569,578,565.15,569.85,288155
03/12/2018,565.2,572,562,569.35,63727
30/11/2018,571.65,577.7,569.1,571.4,40722
29/11/2018,572.5,574.5,565,571.65,150064
28/11/2018,568,584,566,568.95,120739
27/11/2018,567,574,563.25,570.5,52652
26/11/2018,566.35,574.95,560.1,568.2,53829
22/11/2018,560,579.5,560,572.7,588100
21/11/2018,566.05,570.25,558.1,560.2,215124
20/11/2018,572,572,562,565.55,282576
19/11/2018,583.9,583.9,566.1,568.75,438124
16/11/2018,581.9,581.9,567,577.3,64388
15/11/2018,584,584,576.55,579.05,156975
14/11/2018,576,585,572.05,583,431328
13/11/2018,571.3,575.65,560.85,572.15,110885
12/11/2018,572,582.75,570.45,575.05,359942
09/11/2018,580,588.8,571.1,574.85,531454
07/11/2018,589,589,575.75,577.75,34093
06/11/2018,573.6,590.9,573.6,579.65,259120
05/11/2018,558,580,558,577.9,140781
02/11/2018,561.2,571.95,560.25,563.3,151367
01/11/2018,558,569,557.5,563.8,109226
31/10/2018,558.5,567,547.05,560.4,96124
30/10/2018,580,580,556.15,558.9,158937
29/10/2018,568.05,585,566.05,578.9,398793
26/10/2018,563.05,578,552,570.4,587007
25/10/2018,563.55,569,556.85,563.4,112717
24/10/2018,586,599.8,558.25,563.75,226896
23/10/2018,547.2,586.05,545.1,579.45,719595
22/10/2018,574,578,553.05,557.85,1008814
19/10/2018,558,581.85,555.25,564.15,1287121
17/10/2018,551,567,549,559.95,379784
16/10/2018,542.2,549.55,538.7,546.6,505786
15/10/2018,556,556,535,538.7,266017
12/10/2018,550,554.8,540.5,552.5,213930
11/10/2018,560,560,532,540.85,223216
10/10/2018,540,595,535.95,561.05,152186
09/10/2018,553.85,564.4,540.05,540.3,205413
08/10/2018,565,566.5,533.1,549.45,237685
05/10/2018,567.6,580.7,540.05,558.3,874787
04/10/2018,542.3,584,535,565.4,1801469
03/10/2018,525,554.5,521.35,542.05,1232831
01/10/2018,512,533,485,521.35,568704
28/09/2018,560,560,508,511.6,527415
27/09/2018,581.55,581.55,546,551.8,615329
26/09/2018,574.95,590,571.35,577.25,141456
25/09/2018,575,582,555,566.05,367015
24/09/2018,610,610,582,586.9,287803
21/09/2018,616,629.7,589.5,613.35,1139496
19/09/2018,623.35,635,610,612.45,208275
18/09/2018,642,642,619.9,623,350633
17/09/2018,664.65,668.6,633,642.65,1979234
14/09/2018,671.25,678,666.3,670.05,717060
12/09/2018,673.4,675.85,663,673.3,232965
11/09/2018,674.05,682,671.4,676.6,391766
10/09/2018,671.2,686.85,671.2,676,125634
07/09/2018,680.5,685,671.1,676.1,1353205
06/09/2018,669.4,681.9,666.45,679.05,139910
05/09/2018,660.05,672.45,660.05,669.4,169872
04/09/2018,671.4,675,663.05,664.85,82766
03/09/2018,668.6,675,665,666.95,88542
31/08/2018,664.15,678,659.2,672.4,121399
30/08/2018,672.85,674.8,650.55,664.2,325212
29/08/2018,660,673.5,658.25,669.3,215118
28/08/2018,660,663.4,654,658.25,164292
27/08/2018,665,670,657,660.4,105281
24/08/2018,666.6,673.6,660.1,660.85,136148
23/08/2018,675.1,675.1,667.05,670.05,77770
21/08/2018,672.6,684,663.6,670.1,118889
20/08/2018,661,674,660.05,672.55,171665
17/08/2018,653.75,658.7,652.05,654.95,151040
16/08/2018,661,663.35,646.15,648.55,310896
14/08/2018,655,662,653.75,658.85,40999
13/08/2018,653,661.55,651,653.7,227848
10/08/2018,675,675.95,644,649.9,357324
09/08/2018,684.4,684.4,669,673.4,136388
08/08/2018,686.1,689.05,673.75,677.2,86449
07/08/2018,695.8,695.8,683,686.1,186264
06/08/2018,691,697.4,680.1,686.6,137689
03/08/2018,704,704,686,689.8,86846
02/08/2018,691.2,705,685.55,695.2,156616
01/08/2018,691.1,708.25,686.95,695.35,141857
31/07/2018,683.2,711.7,682.55,686,300404
30/07/2018,694.05,703.55,684.5,689.35,111734
27/07/2018,684.8,697.7,672.65,694.05,378854
26/07/2018,663,682,658.25,673.2,349706
25/07/2018,655.7,664.8,651.1,659.75,309730
24/07/2018,652.5,658.15,647.4,654.65,98615
23/07/2018,633.5,657.2,630,652.75,128365
20/07/2018,632,638,628,633.05,295830
19/07/2018,650,656.95,631,633.75,190097
18/07/2018,667,668,640,649.2,273188
17/07/2018,655.2,666,654.5,664.55,56942
16/07/2018,661.1,661.55,655,656.2,55711
13/07/2018,662,665,659,661.05,98347
12/07/2018,664.25,667.35,661.4,664.7,138269
11/07/2018,659.95,664.05,659.95,662.1,294280
10/07/2018,669.7,669.7,660,661.35,330679
09/07/2018,665,670,660.75,664.85,134065
06/07/2018,669.8,670,664.25,668.05,166887
05/07/2018,670,670.5,663,665.1,134614
04/07/2018,668,672,661.4,664.05,133985
03/07/2018,670.5,674.4,665.65,670.25,84524
02/07/2018,675.3,683.85,660.85,669.4,125314
29/06/2018,666,685,666,674.35,162407
28/06/2018,681.1,681.1,658.05,666.4,255422
27/06/2018,681.55,688.85,674.5,677.75,216975
26/06/2018,689.75,694.35,678.4,684.7,141038
25/06/2018,686,698.9,677.7,689.75,173207
22/06/2018,678.8,692.5,678.8,685.2,159149
21/06/2018,676.2,685.75,675,675.45,192773
20/06/2018,673.45,686,673.45,676.2,294569
19/06/2018,667,680,667,673.45,382091
18/06/2018,676.7,684.05,670,671.85,159457
15/06/2018,685.35,689.1,668.1,671.8,4172714
14/06/2018,701.95,701.95,686,689.9,463811
13/06/2018,715.7,729.9,700,702.25,584484
12/06/2018,708.2,729.9,708.2,719.9,678290
11/06/2018,688.5,714,688.2,712.5,872476
08/06/2018,685.5,696.9,681.55,692.35,231427
07/06/2018,689.95,697,681.1,692,339268
06/06/2018,669,686.4,662,683.1,174179
05/06/2018,660.05,672.8,660,665,189718
04/06/2018,676.2,680,658.5,660.05,635824
01/06/2018,688.9,692.65,673.65,676,250207
31/05/2018,690.35,698.25,670.55,689.8,205322
30/05/2018,694.5,698.8,685.1,694.3,209019
29/05/2018,680.4,702.5,680,695.3,1042346
28/05/2018,681.75,698.35,679.9,685.35,824327
25/05/2018,675,688,673.05,683.85,91418
24/05/2018,673.65,686.85,671.6,678.3,75038
23/05/2018,664.8,684,659.3,679.05,355517
22/05/2018,656,670,655.9,659.95,403662
21/05/2018,663,706.7,647,655.2,297261
18/05/2018,669,673.7,663.05,665.2,224549
17/05/2018,670.1,679.7,665.5,669.7,203078
16/05/2018,674,683,665.05,667.65,632333
15/05/2018,690,699,672.2,678.9,579274
14/05/2018,702,704.55,688,691.15,226655
11/05/2018,711.05,715.9,696.05,698.3,402458
10/05/2018,702.9,719,693,713.75,589720
09/05/2018,704.9,709,691,699.95,1771037
08/05/2018,708.9,708.9,692.25,702.45,256284
07/05/2018,704,714.6,696.3,703.6,291749
04/05/2018,725,728.95,700.1,702.1,405214
03/05/2018,746.55,752.05,716.25,732,259083
02/05/2018,736.5,757.65,736.5,746.55,514382
30/04/2018,756,762.85,732,743.1,448784
27/04/2018,750,774.6,745,758.85,700854
26/04/2018,767,771.05,742.65,762.8,1352072
25/04/2018,749.9,768.8,746.05,766.1,1763048
24/04/2018,717,755,714.95,746,1182526
23/04/2018,712.1,725,712.1,716.95,523622
20/04/2018,718,721.95,710.1,716.15,114992
19/04/2018,716.05,724.95,713.9,722.9,228583
18/04/2018,715.9,724.5,713.05,721.35,241773
17/04/2018,710,723,708.2,721.4,307669
16/04/2018,702,712.5,702,708.9,389870
13/04/2018,714,720,706.35,711.65,681889
12/04/2018,713.55,724.7,712,719.05,665026
11/04/2018,691,720,691,719,715637
10/04/2018,678,699.95,678,695.7,955511
09/04/2018,675.55,685,675,678.7,886583
06/04/2018,679.65,685,674,679.65,667025
05/04/2018,680.5,687.65,674.15,675,514819
04/04/2018,681.05,690.95,677.1,679.95,520436
03/04/2018,686,686,675,680,783770
02/04/2018,681,695,681,683.9,263227
28/03/2018,668.95,711,664,678.25,446572
27/03/2018,667,680.8,666.05,672.95,369173
26/03/2018,660.15,669.45,659,663.1,186540
23/03/2018,660.05,673.9,658,664.5,225060
22/03/2018,675,679,662.05,664.9,147381
21/03/2018,686.1,691,670.55,672.9,395902
20/03/2018,669,688.5,668.4,686.6,167488
19/03/2018,666.45,681.8,666.45,674.1,138766
16/03/2018,675,677.35,666,668.45,150189
15/03/2018,672.5,676.75,671.05,675,140732
14/03/2018,673,683.5,667.5,674.15,305570
13/03/2018,677,685,672,677.5,73256
12/03/2018,670.2,689.9,668.8,678.55,163349
09/03/2018,657.5,674.4,650.55,670.3,483527
08/03/2018,653.6,659.45,647,653.3,113706
07/03/2018,657,659.95,650.05,652.6,192215
06/03/2018,678,682.1,651,655.05,245988
05/03/2018,689,689,666,672.55,301455
01/03/2018,695.9,696,686,690,272512
28/02/2018,689.4,698.7,682.1,694.5,360647
27/02/2018,681.5,690.8,676,689.45,219932
26/02/2018,680,689.75,674.25,682.2,271771
23/02/2018,670,679.75,666.15,675.7,288608
22/02/2018,675,675.4,664,666.2,235890
21/02/2018,680,682.95,662.45,675.5,428939
20/02/2018,687,690,670,674.65,172882
19/02/2018,700,705,678.6,685.25,423633
16/02/2018,688,694.55,685.65,689.25,226925
15/02/2018,685,695,673.2,682.4,282049
14/02/2018,689,695,679.5,682.25,312807
12/02/2018,709,718,681.5,685.8,689547
09/02/2018,700,717.65,699,709.9,159318
08/02/2018,717.1,720,711.05,715,159852
07/02/2018,700.05,715,700.05,713.7,315230
06/02/2018,670,705,665,695.25,399206
05/02/2018,716.45,716.45,690,695.05,352909
02/02/2018,708.4,733.25,691.1,718.3,1772440
01/02/2018,665,722,660.5,708.7,1539000
31/01/2018,670,681.5,653.75,660.65,324432
30/01/2018,681.7,681.7,663.3,667.9,339031
29/01/2018,682,689.45,680,681.85,143914
25/01/2018,702.5,707,661.15,682.05,424803
24/01/2018,711.2,714.3,698,702.6,200051
23/01/2018,710,722,710,716.9,399677
22/01/2018,704.1,717,701.85,714.65,464739
19/01/2018,705.05,713.95,701.45,711.5,293534
18/01/2018,706.6,712,700.1,707.8,323715
17/01/2018,696,714.8,691.65,705.25,232397
16/01/2018,716,716,696,700.85,338329
15/01/2018,701.5,724.6,701.5,716.75,764541
12/01/2018,703.8,709,700,701.75,93456
11/01/2018,707,714.7,699,703.8,113144
10/01/2018,714.85,715,706.1,711.6,297500
09/01/2018,700.15,719.95,700.15,717.25,605429
08/01/2018,692,706.9,692,704.15,310252
05/01/2018,700,704.9,699,701.95,195946
04/01/2018,694.6,702.2,690,701.6,411800
03/01/2018,685.05,695,680.25,690.5,125483
02/01/2018,699.5,700.15,680.1,685.1,342012
01/01/2018,694,703,694,699.5,174646
29/12/2017,695.45,705.4,693,695.35,667407
28/12/2017,697,703,690.55,698.9,269410
27/12/2017,700,702,695.1,700.45,163978
26/12/2017,702.75,707.8,697.2,701.7,272983
22/12/2017,694,703.9,694,702.85,390144
21/12/2017,693.3,704.4,693.3,701.8,259491
20/12/2017,692.15,703.75,692.15,697.15,531872
19/12/2017,688.1,699.9,688.1,697.3,343970
18/12/2017,681.45,694,665,692.15,259324
15/12/2017,680.5,691,678,689,351667
14/12/2017,675.1,683,673.3,679.9,444539
13/12/2017,671.05,682,657,675.35,260250
12/12/2017,671.05,682,671,676.05,121938
11/12/2017,680,682.75,671.05,674.75,122163
08/12/2017,664.05,689.9,664.05,685.7,480717
07/12/2017,655.1,670,651,668.4,279051
06/12/2017,654.05,660,654.05,656.1,210799
05/12/2017,660,662.15,653.55,659.1,125688
04/12/2017,660,665.8,653.05,661.75,162592
01/12/2017,658,658,652.25,655.9,86648
30/11/2017,665.95,665.95,653.85,654.9,316178
29/11/2017,654.05,658.4,650.8,656.2,258606
28/11/2017,653,666.95,652,653.45,269211
27/11/2017,655.55,662.7,651.85,653.7,239417
24/11/2017,668,670.45,655,655.7,599114
23/11/2017,689,689,664,666.3,827451
22/11/2017,689,698.95,681.15,693.15,669175
21/11/2017,660,696.4,660,687.45,2077453
20/11/2017,657.3,665,656.5,661.45,712433
17/11/2017,653,663.7,645.1,659.55,3200674
16/11/2017,648.6,659.2,642.8,649.9,261879
15/11/2017,650.1,660.05,644.4,649.35,269314
14/11/2017,655.2,667.75,654,660,350594
13/11/2017,665,680.8,663,665,192279
10/11/2017,655.1,679.2,655.1,676.55,784443
09/11/2017,633,670.4,633,657.95,356798
08/11/2017,649,649,629,631.6,843603
07/11/2017,659,659,639.55,642.35,763293
06/11/2017,642.65,659.9,642.65,656.75,483071
03/11/2017,643.05,653.5,641.1,642.25,672547
02/11/2017,647.05,653.6,641.2,642.75,574130
01/11/2017,664,664.85,642.25,647.05,859011
31/10/2017,655.8,669,655.8,662.1,1402840
30/10/2017,665,665,649.9,655,1164020
27/10/2017,663.2,666.05,659,662.2,396395
26/10/2017,669.9,669.9,660.5,666.85,242175
25/10/2017,667,673.45,658.1,669.9,583868
24/10/2017,663.8,671.45,663,665.85,350373
23/10/2017,670,673.8,665,665.8,292330
19/10/2017,666.1,678.25,666.1,675.1,93358
18/10/2017,671,672.85,664.15,668.4,415712
17/10/2017,670.5,674,669,673.05,664335
16/10/2017,686,689.45,669,670.1,971834
13/10/2017,688.95,695.05,680,689.7,1344510
12/10/2017,691.1,694,685,687.7,439314
11/10/2017,700,703,686,689.9,1077409
10/10/2017,698.35,701.2,695.55,700,555002
09/10/2017,694.1,702.5,694.1,698.65,951473
06/10/2017,693.9,702,689,696.75,1416485
05/10/2017,704.55,704.55,686.1,694.55,2680742
04/10/2017,709.65,710.75,699.1,702.05,3611223
