Date,SBIN-EQ O,SBIN-EQ H,SBIN-EQ L,SBIN-EQ C,SBIN-EQ V
29/03/2019,321.1,323,316.55,320.75,30334398
28/03/2019,310.1,339.65,309.05,319,63244736
27/03/2019,305.25,310.85,304.35,308.8,35956450
26/03/2019,294.75,305,294.75,303.5,18303791
25/03/2019,294,295.45,292.2,294,16895511
22/03/2019,304.3,306.4,296.95,298.05,17865957
20/03/2019,302.8,304.65,300.05,303.8,18820555
19/03/2019,300.15,306.6,299.15,303.05,27218691
18/03/2019,298.9,300.9,294.65,298.95,23782967
15/03/2019,292.6,301.3,292.5,298.4,37928480
14/03/2019,294.5,294.7,290.75,291.9,16164017
13/03/2019,288.1,294.4,284.7,293.15,23725641
12/03/2019,289.2,289.9,285.75,286.9,20828136
11/03/2019,285.3,289,283.5,287.35,22931245
08/03/2019,281.85,284.25,279.6,281.2,19943319
07/03/2019,279.45,282.5,277.65,281.75,14899105
06/03/2019,277.3,282.55,276.45,278.1,22161376
05/03/2019,271.7,277.85,271.2,276.45,21533972
01/03/2019,270.55,274.6,270.1,272.95,20024726
28/02/2019,267.7,270.8,267.65,269.05,31636468
27/02/2019,268,272.7,266.55,267.65,20571652
26/02/2019,266.8,268.2,263.25,266.35,15274303
25/02/2019,271.3,271.4,267.9,270.15,20793897
22/02/2019,267.9,271.9,267.6,270.95,12536918
21/02/2019,270.3,271,267.3,268,13760702
20/02/2019,264.5,268.3,264.3,267.7,15514595
19/02/2019,260.9,267.5,260.3,262.9,19064306
18/02/2019,264.4,265.5,258.8,259.95,14781744
15/02/2019,268.85,268.85,261.3,262.95,23366091
14/02/2019,268,268.35,263.65,267.1,26372671
13/02/2019,276.5,276.7,266.7,268.2,18662893
12/02/2019,280.65,282.2,274.65,275.4,15326106
11/02/2019,285.95,285.95,280,280.5,15420017
08/02/2019,285.6,288,282.2,286,19781908
07/02/2019,289.4,294,286.6,287.4,19733315
06/02/2019,285.85,289.75,283.5,289.05,12149759
05/02/2019,284.2,287,283,284.65,13291133
04/02/2019,282.4,285.2,277.85,283.95,20642919
01/02/2019,296.9,302.7,282,284.4,60015958
31/01/2019,290,294.8,288,293.65,25546487
