Date,SIEMENS-EQ O,SIEMENS-EQ H,SIEMENS-EQ L,SIEMENS-EQ C,SIEMENS-EQ V
29/03/2019,1104,1137,1102.5,1128.8,1901754
28/03/2019,1065.3,1094.4,1064.75,1088.05,942506
27/03/2019,1065,1085.65,1058.5,1064.75,973202
26/03/2019,1043.6,1065,1043.6,1057.55,322123
25/03/2019,1039.1,1057.8,1035,1048.85,216225
22/03/2019,1059.15,1067.7,1043,1049.05,442438
20/03/2019,1054.95,1080,1041.65,1061.7,963346
19/03/2019,1036,1057.45,1018.1,1049.3,584669
18/03/2019,1037,1046.85,1025.2,1036.25,328403
15/03/2019,1035,1045,1031.45,1035.85,245333
14/03/2019,1057,1062.1,1034,1036.85,241927
13/03/2019,1053.35,1069,1045.05,1053.75,822845
12/03/2019,1064,1066,1050.4,1053.35,524805
11/03/2019,1023,1062,1023,1056.35,685622
08/03/2019,1021,1030,1010.9,1023.85,268068
07/03/2019,1019.7,1034.15,1012.4,1021.4,492886
06/03/2019,1037,1048.85,1013.65,1019.2,449830
05/03/2019,1005.65,1036.4,998.5,1030.5,408925
01/03/2019,993,1019.9,992.25,1009.35,529219
28/02/2019,984,1000,967.85,991.95,608361
27/02/2019,988.6,1007,973.55,979.05,267880
26/02/2019,979.1,992,965.4,987.25,295070
25/02/2019,995,1000.7,981,988.95,168772
22/02/2019,984,999.4,971.65,991.8,694507
21/02/2019,967,991,944.5,986.45,911063
20/02/2019,950,969.7,946.9,966.6,500969
19/02/2019,939.25,959.9,935.7,944.8,437163
18/02/2019,963.8,970.8,941.25,944.1,407717
15/02/2019,983.5,986.05,953.75,962.05,587397
14/02/2019,978,991.95,975.55,986.05,449220
13/02/2019,1016.55,1022.95,973,982.75,718144
12/02/2019,1036.8,1048.6,1005,1012.8,356646
11/02/2019,1025.5,1040,991,1029.8,635815
08/02/2019,1052.85,1063.2,1026.8,1030.8,398951
07/02/2019,1045,1098.5,1025,1047.6,2395193
06/02/2019,995.6,1030.85,990,1020.55,1126560
05/02/2019,1024,1032,990,994.6,525443
04/02/2019,1025,1037.45,1010.85,1023.3,284828
01/02/2019,1031,1044.4,1020.3,1031.1,236484
31/01/2019,1016.1,1034.8,1003.75,1030.1,281070
30/01/2019,1019,1020.55,999,1013.45,191122
29/01/2019,982,1016.45,982,1011.95,369442
28/01/2019,1025.8,1025.8,977.6,991.45,319557
25/01/2019,1027,1045,1019.5,1029.75,213256
24/01/2019,1044,1054.15,1017.05,1027.95,361633
23/01/2019,1045.15,1053.65,1042.05,1045,183900
22/01/2019,1040,1059.9,1037,1049.5,404084
21/01/2019,1054.7,1058.7,1040,1044.8,172091
18/01/2019,1067.95,1067.95,1050,1054.75,117785
17/01/2019,1060,1069.8,1052,1064.8,499832
16/01/2019,1071,1071,1050.05,1060.55,240413
15/01/2019,1062.5,1072.45,1057,1063.05,273505
14/01/2019,1052.1,1065.45,1039.8,1054.1,311359
11/01/2019,1074.1,1075,1051.85,1057.85,310999
10/01/2019,1058,1075,1052,1071.05,355342
09/01/2019,1053.9,1064.35,1046.5,1053.55,493735
08/01/2019,1062,1067,1050,1052.3,234628
07/01/2019,1066,1073.95,1058.7,1062.05,221617
04/01/2019,1045,1067.4,1035.2,1062.7,664139
03/01/2019,1051.25,1074.9,1038.55,1044.9,719581
02/01/2019,1067,1067.6,1049.6,1056.55,581675
01/01/2019,1050,1065.5,1044.4,1062.65,1089418
31/12/2018,1049.5,1056.3,1039.05,1046.9,480175
28/12/2018,1030,1060,1025,1043.35,1442146
27/12/2018,1044,1049,1021,1032,928648
26/12/2018,996.9,1045,980.6,1036.15,2118562
24/12/2018,996,1009.95,984.2,995.9,564116
21/12/2018,1000,1014.95,982.05,993.65,901069
20/12/2018,1014.7,1026.4,990.4,996.65,692435
19/12/2018,986,1046.05,983.7,1019.2,1906852
18/12/2018,959.95,984.55,959.05,982,485884
17/12/2018,969.2,985.7,953.4,968.2,903322
14/12/2018,959,975,952.2,966.9,497031
13/12/2018,967.2,977.85,952.3,960.05,534355
12/12/2018,939.4,972.7,939.25,962.4,939255
11/12/2018,912,954,910.35,937.6,1311804
10/12/2018,915.45,948,905.15,927.15,1158365
07/12/2018,927.4,959.7,918.25,948.4,1188980
06/12/2018,912.35,946.55,902.75,923.25,1979191
05/12/2018,933,939.95,901.85,906.35,1171008
04/12/2018,935.25,947.5,931.1,940.6,299306
03/12/2018,959.5,959.5,931,942.2,488764
30/11/2018,927.5,957.6,910.55,950.65,7004519
29/11/2018,909.35,930,900.1,921.1,1187192
28/11/2018,909,916.6,901.1,909.35,565278
27/11/2018,914,922.5,903.5,905.85,632280
26/11/2018,918,923.2,903.6,913.25,1366126
22/11/2018,913,922.05,907.15,917.25,497686
21/11/2018,937,937.7,910.55,917.25,629432
20/11/2018,945.8,945.8,925.15,935.25,1519385
19/11/2018,995,995,929,941.65,2733060
16/11/2018,936,986.2,920.5,981.45,1458981
15/11/2018,889.75,942,869,932.85,1209692
14/11/2018,924.35,924.35,880,885.8,1244805
13/11/2018,908,934.65,902.05,913.9,355658
12/11/2018,951,959.5,903.8,911.85,362532
09/11/2018,939.3,959,931.1,949.95,237434
07/11/2018,942.1,944.95,934,941.55,32815
06/11/2018,979,984.8,932,938.45,191318
05/11/2018,959.35,980,949.6,975.45,267898
02/11/2018,953.9,966.35,951.1,960.85,244349
01/11/2018,943.25,1000,937,943.5,969174
31/10/2018,912.1,938,892.05,931.7,235792
30/10/2018,888.4,912.4,876.55,907.45,299800
29/10/2018,865.55,892,857.2,888.4,380825
26/10/2018,877.2,890.3,860.05,865.75,158990
25/10/2018,878,893.55,862.6,878.8,124933
24/10/2018,863,899,860.55,890.55,164431
23/10/2018,877.8,896.9,852.4,860.3,246268
22/10/2018,878.1,891.9,861.55,879.7,307905
19/10/2018,929,929,870.05,874.25,536284
17/10/2018,945,946,926.35,932.65,98692
16/10/2018,932.5,944.7,922.35,938.25,185111
15/10/2018,913,938.75,905.8,934.4,122351
12/10/2018,895.5,918.55,890.55,913.7,184583
11/10/2018,895.55,899,871.1,886.65,316978
10/10/2018,895,924.75,891.7,916.1,351046
09/10/2018,942.9,942.9,850.25,891.85,823436
08/10/2018,945,948,905,941.5,235671
05/10/2018,955,964.55,933.5,947.35,196498
04/10/2018,980,980,940.55,963.4,295410
03/10/2018,939,989,935.55,980.3,327612
01/10/2018,944.9,953.2,924,941.85,209647
28/09/2018,952,955.7,905,945.15,471259
27/09/2018,943.7,954.6,921.6,950.55,322185
26/09/2018,951.7,951.7,924,945.7,184750
25/09/2018,920,953.4,910.55,941.75,377939
24/09/2018,925.55,935.9,913,919.65,148684
21/09/2018,971.7,973.95,901,925.05,461508
19/09/2018,971.3,980.45,960,963.4,121448
18/09/2018,980.2,986.75,958.95,965.25,279012
17/09/2018,957.8,988.15,951.55,982.2,594921
14/09/2018,951.95,971.35,947.45,958.85,481713
12/09/2018,951.3,962.6,940.05,944.9,746907
11/09/2018,980,990,950.5,954.45,513977
10/09/2018,990,990,970.55,977.35,163598
07/09/2018,1003,1003,976.2,992.4,334009
06/09/2018,992.7,1002.8,972.45,998.45,205689
05/09/2018,978,992.5,959,987.7,198221
04/09/2018,1012,1016,974.05,980.45,228124
03/09/2018,1021.75,1027.95,1004,1009.35,123309
31/08/2018,1006,1024.7,997.65,1019.75,304204
30/08/2018,1030,1031.95,1002,1005.75,187917
29/08/2018,1027,1038,1022.3,1026.8,288643
28/08/2018,1032,1036.35,1021.05,1027.7,162686
27/08/2018,1039.9,1044,1025.55,1027.4,120993
24/08/2018,1036,1041.6,1026.1,1036.35,217239
23/08/2018,1037,1047,1025.45,1035.25,319232
21/08/2018,1027.4,1049.9,1022.95,1029.55,991778
20/08/2018,1022,1032,1013.7,1019.95,187366
17/08/2018,1004,1023.1,1004,1018.25,183710
16/08/2018,1004,1014.9,995.45,1002.85,177325
14/08/2018,1013.8,1018.55,1001,1006.8,119112
13/08/2018,1030,1030,1002.8,1007.25,143699
10/08/2018,1007.85,1034.9,1002.8,1031.7,324907
09/08/2018,1015,1032.6,990,1005.3,565298
08/08/2018,1036.3,1044.9,1005.3,1015.7,354863
07/08/2018,1026,1036,1020.05,1030.1,263219
06/08/2018,1019.4,1028,1012.3,1020.7,227085
03/08/2018,1000,1023.5,999,1012.2,359065
02/08/2018,1003.7,1013.3,993.55,996.9,216611
01/08/2018,993,1019,985.5,1003.6,424238
31/07/2018,979.05,994,969.25,988.8,228149
30/07/2018,989,995,975.15,979.25,234329
27/07/2018,973.8,992,962.75,984.2,316501
26/07/2018,970,974.3,957,967.75,184876
25/07/2018,965.05,976.75,954.2,961.25,145616
24/07/2018,970.1,988.85,961,963,400689
23/07/2018,970.55,978.5,947.15,969.8,181799
20/07/2018,944.9,971.65,931,964.75,208420
19/07/2018,963,967.5,936.7,943.9,185018
18/07/2018,971,988,956,960.3,235688
17/07/2018,959,968.85,948.65,962.5,137521
16/07/2018,971.6,972.05,940.15,953.25,141328
13/07/2018,989.9,990.35,968,972.15,155648
12/07/2018,1000.55,1018,978.8,983.05,121086
11/07/2018,1015,1024.5,991,997.55,221340
10/07/2018,993,1019.95,988.55,1015.75,198108
09/07/2018,983.6,996,980.05,990.1,155421
06/07/2018,966.5,984.7,962,976.3,102949
05/07/2018,974,977.9,961.05,971.7,127898
04/07/2018,978,983.3,966.65,970.95,63218
03/07/2018,971,984.45,963.45,975.2,87674
02/07/2018,983,988.9,966.45,979.45,78801
29/06/2018,959.95,988,955.5,980.35,129931
28/06/2018,970,970,952.8,955.2,164489
27/06/2018,988,988.5,963.05,968.45,103527
26/06/2018,994,995,981.4,985.9,115830
25/06/2018,996.3,1008,984,987,90286
22/06/2018,992,1000,976.1,993.75,107963
21/06/2018,1007,1007,981,991.3,121202
20/06/2018,1001.1,1009.65,994.05,999.5,84819
19/06/2018,1012.15,1019.45,990.25,996.7,157256
18/06/2018,999.9,1035.65,999,1012.15,291247
15/06/2018,1013.9,1018.5,996,998.45,266649
14/06/2018,1020,1020,1002.65,1009.4,94667
13/06/2018,1043,1043,1020,1023,84222
12/06/2018,1033.15,1048,1025,1043.05,177328
11/06/2018,1015,1038,1011.9,1033.15,152751
08/06/2018,998,1016.7,991,1009.7,140583
07/06/2018,999,1003.9,986.65,1000.1,208046
06/06/2018,968,1000,966.55,988.75,167315
05/06/2018,993.4,994.35,952.2,968.25,463207
04/06/2018,1029.5,1032.65,981.5,993.4,382627
01/06/2018,1045.4,1049,1014.2,1025.4,134002
31/05/2018,1046,1050.6,1017.5,1045.4,333346
30/05/2018,1049,1051.35,1032,1040.85,121590
29/05/2018,1095,1097.5,1043.1,1049,361747
28/05/2018,1051,1093.3,1038.1,1087.4,256928
25/05/2018,1029.85,1056,1022.4,1049.3,106008
24/05/2018,1029.9,1041.9,1020,1029.85,83324
23/05/2018,1020,1033.7,1012.1,1023.55,204075
22/05/2018,1039,1040.55,1020.6,1023.3,81501
21/05/2018,1037.5,1047.95,1026.65,1035.1,120691
18/05/2018,1052,1052,1030.55,1036.7,126731
17/05/2018,1057.05,1069.9,1045.6,1048.75,240087
16/05/2018,1046,1058.65,1032.35,1055.5,202687
15/05/2018,1028,1062,1018,1055.45,431608
14/05/2018,1038.75,1046.6,1017.95,1021.35,242558
11/05/2018,1044,1049.1,1033.8,1037.6,184014
10/05/2018,1046,1051,1034,1040.1,400578
09/05/2018,1041.15,1059,1035.1,1043.8,195265
08/05/2018,1045,1055.45,1036.35,1041.1,242662
07/05/2018,1027,1045,1017.9,1039.95,303134
04/05/2018,1060,1064,1016.2,1025,406490
03/05/2018,1133.8,1133.8,992.65,1060.45,1725841
02/05/2018,1129,1154,1121,1128.85,545829
30/04/2018,1100,1128.8,1093.5,1122.4,285209
27/04/2018,1085.15,1102,1085.15,1095.45,99491
26/04/2018,1092,1102.7,1083.05,1088.7,131176
25/04/2018,1087,1109.95,1084.55,1094.5,324319
24/04/2018,1091,1099.55,1080,1088.2,335030
23/04/2018,1072.75,1094.4,1068.95,1088.75,267659
20/04/2018,1064,1075,1055.05,1072.05,201828
19/04/2018,1082.1,1084,1060.2,1064.5,184975
18/04/2018,1081,1088.85,1077,1080.2,104016
17/04/2018,1088.9,1088.9,1073.8,1079.25,85196
16/04/2018,1076.15,1083.55,1068,1077.85,138805
13/04/2018,1103.95,1111.75,1074.55,1076.15,218038
12/04/2018,1107,1110.9,1091,1099.85,168294
11/04/2018,1114.55,1121.4,1101,1105,124573
10/04/2018,1124,1129.45,1106.4,1114.25,188054
09/04/2018,1123,1127.95,1105.6,1116.35,162856
06/04/2018,1124,1131.9,1115.45,1123.4,152360
05/04/2018,1127,1135,1121,1124.85,142231
04/04/2018,1124.05,1133,1097.5,1116.55,185517
03/04/2018,1101.85,1130.85,1095,1124.45,195957
02/04/2018,1079.8,1107.7,1063,1101.85,176454
28/03/2018,1086.1,1103,1070,1072.85,179003
27/03/2018,1110,1110,1087.2,1091.5,114390
26/03/2018,1091,1111,1071,1103.1,97755
23/03/2018,1080,1100.05,1078.5,1090.9,134822
