Date,SOUTHBANK-EQ O,SOUTHBANK-EQ H,SOUTHBANK-EQ L,SOUTHBANK-EQ C,SOUTHBANK-EQ V
29/03/2019,16.65,16.75,16.4,16.5,12572552
28/03/2019,16,16.65,15.9,16.5,23006627
27/03/2019,16,16.1,15.8,15.85,17224635
26/03/2019,15.7,15.9,15.7,15.8,7527156
25/03/2019,15.9,15.9,15.55,15.7,12745219
22/03/2019,16.1,16.25,15.85,15.95,20466587
20/03/2019,16.05,16.2,15.95,16.05,23929801
19/03/2019,15.9,16.15,15.85,16.05,24566041
18/03/2019,15.6,16.2,15.5,15.8,39237641
15/03/2019,15.05,15.8,15.05,15.55,37661626
14/03/2019,15.25,15.4,15.1,15.15,10566981
13/03/2019,15.35,15.4,15.05,15.25,24172612
12/03/2019,15.55,15.8,15.25,15.3,25264309
11/03/2019,14.8,15.8,14.8,15.5,40590250
08/03/2019,15.15,15.3,14.7,14.8,18213337
07/03/2019,15.1,15.4,14.8,15.15,36561024
06/03/2019,14.4,15.5,14.35,15.1,34583518
05/03/2019,13.6,14.5,13.5,14.35,33927274
01/03/2019,13.3,13.7,13.25,13.65,12485188
28/02/2019,13.3,13.4,13.1,13.2,12980510
27/02/2019,13.4,13.6,13.15,13.25,9002357
26/02/2019,13.35,13.45,13.05,13.3,9035689
25/02/2019,13.6,13.75,13.35,13.5,9857119
22/02/2019,13.25,13.65,13.2,13.6,10080107
21/02/2019,13.2,13.35,13.1,13.25,6171437
20/02/2019,12.85,13.2,12.85,13.1,7416343
19/02/2019,12.9,13,12.8,12.85,8251665
18/02/2019,13.1,13.1,12.85,12.9,6436672
15/02/2019,13.1,13.2,12.85,12.95,13329601
14/02/2019,13,13.35,12.85,13.2,8373761
13/02/2019,13.25,13.3,12.9,12.95,13354744
12/02/2019,13.5,13.5,13.05,13.15,15284378
11/02/2019,13.45,13.6,13.1,13.5,11998074
08/02/2019,13.7,14.45,13.35,13.45,25900049
07/02/2019,13,14,12.8,13.7,22796284
06/02/2019,12.9,13,12.65,12.95,12916897
05/02/2019,13.3,13.3,12.8,12.85,13132894
04/02/2019,13.1,13.3,12.9,13.2,17469442
01/02/2019,13.2,13.45,13,13.1,12649268
31/01/2019,13.3,13.35,12.85,13.15,21522245
30/01/2019,13.5,13.5,13.1,13.15,11424999
29/01/2019,13.15,13.55,13.05,13.3,11549546
28/01/2019,13.4,13.4,13,13.15,14794262
25/01/2019,13.75,13.9,13.35,13.45,13275228
24/01/2019,14.1,14.1,13.75,13.8,9411258
23/01/2019,14.1,14.2,13.9,13.95,10168856
22/01/2019,14.2,14.25,13.7,14.1,21279859
21/01/2019,14.8,14.8,14.15,14.2,57372861
18/01/2019,15.75,15.85,15.5,15.55,10627342
17/01/2019,16,16.15,15.55,15.7,18136437
16/01/2019,15.65,16.05,15.6,15.9,20214995
15/01/2019,15.65,15.8,15.45,15.6,8125706
14/01/2019,15.7,15.7,15.4,15.6,8538628
11/01/2019,15.85,15.95,15.6,15.7,13185866
10/01/2019,15.5,16.15,15.35,15.85,42508365
09/01/2019,15.35,15.55,15.2,15.4,19411726
08/01/2019,15.25,15.45,15.2,15.25,9027447
07/01/2019,15.4,15.45,15.25,15.25,13471836
04/01/2019,15.3,15.45,15.2,15.3,17673948
03/01/2019,15.5,15.5,15.25,15.3,7141374
02/01/2019,15.75,15.8,15.3,15.45,14015266
01/01/2019,15.5,15.7,15.45,15.65,7548684
31/12/2018,15.45,15.75,15.45,15.55,7436595
28/12/2018,15.3,15.45,15.2,15.35,6509640
27/12/2018,15.3,15.35,15.1,15.15,8836324
26/12/2018,15.3,15.3,14.85,15.1,18560067
24/12/2018,15.65,15.7,15.25,15.3,8958927
21/12/2018,15.85,15.85,15.4,15.45,10636705
