Date,SRTRANSFIN-EQ O,SRTRANSFIN-EQ H,SRTRANSFIN-EQ L,SRTRANSFIN-EQ C,SRTRANSFIN-EQ V
29/03/2019,1286.2,1289.25,1253,1277.4,1215682
28/03/2019,1254,1294,1254,1278.25,2036322
27/03/2019,1208.5,1263.35,1197,1245.7,2958028
26/03/2019,1211,1214,1190.5,1204.1,642825
25/03/2019,1191.3,1209.95,1181.2,1199.7,1143801
22/03/2019,1212.7,1230,1190,1198.55,1153225
20/03/2019,1225,1225.45,1194.8,1206.75,1299737
19/03/2019,1240,1247.9,1217.75,1220.9,872238
18/03/2019,1279.8,1285,1230,1237.95,1297494
15/03/2019,1248.05,1272.5,1245.2,1267.1,1032597
14/03/2019,1293.5,1293.5,1235.15,1246.8,983356
13/03/2019,1280,1297,1266.05,1280.3,981853
12/03/2019,1270,1285,1261.2,1272.45,953598
11/03/2019,1229.6,1269.9,1218.55,1259.45,828571
08/03/2019,1219.1,1227.95,1206.15,1220.4,677422
07/03/2019,1244.75,1248.15,1220,1229.1,432730
06/03/2019,1229,1266.75,1226.2,1240.45,1128999
05/03/2019,1165,1237.7,1164.05,1228.8,1960352
01/03/2019,1144.4,1165,1144.4,1159.9,835837
28/02/2019,1126.8,1148.6,1125,1142.25,806627
27/02/2019,1130,1154.15,1122.9,1128.95,1273281
26/02/2019,1090,1141.55,1080.3,1129.7,1472771
25/02/2019,1085.9,1106.4,1073.8,1099.3,1029089
22/02/2019,1058,1079.9,1051.5,1073.8,538523
21/02/2019,1055.4,1068,1049.3,1055.5,782103
20/02/2019,1010,1059.55,1008.05,1051,1936192
19/02/2019,1004,1023.2,996.25,1000.95,971434
18/02/2019,1005.2,1014.95,994.8,1002.9,976065
15/02/2019,1041,1045.25,997,1002,1242259
14/02/2019,1042,1055.5,1034,1046.9,1047473
13/02/2019,1045,1065,1040,1042.7,855379
12/02/2019,1059,1070,1033.5,1042.65,1178920
11/02/2019,1087,1087,1050.1,1056.25,455117
08/02/2019,1095,1095,1063.6,1071.6,655043
07/02/2019,1068,1110,1068,1100.85,1530056
06/02/2019,1075,1077.85,1050.55,1068.1,1129650
05/02/2019,1020,1073.95,1018.15,1068.1,1113882
04/02/2019,1040,1044,1010,1024.75,775225
01/02/2019,1016,1059,1010,1047.1,2001341
31/01/2019,1016,1024.95,991.35,1015.35,2021427
30/01/2019,1025,1036.6,1002.6,1014.7,1722444
29/01/2019,1055,1055.95,995,1026.6,3752941
28/01/2019,1124,1124,1043.15,1055.7,2398246
25/01/2019,1120,1133.15,1109,1120.15,1191243
24/01/2019,1098.8,1121,1086.1,1114.55,816136
23/01/2019,1096,1107,1080.05,1088.05,1240765
22/01/2019,1111,1122.6,1089.1,1096.15,1461298
21/01/2019,1139,1140.75,1106.9,1114.7,1088957
18/01/2019,1159,1167.4,1131.35,1135.8,1077840
17/01/2019,1188,1207.6,1143,1149.5,2060773
16/01/2019,1190,1199.7,1175,1188.2,1185014
15/01/2019,1171,1192.5,1165.45,1188.2,777787
14/01/2019,1190.8,1191.05,1144.75,1169.05,553691
11/01/2019,1197.7,1197.7,1171.1,1189.7,673078
10/01/2019,1208,1220.85,1180,1186.35,876768
09/01/2019,1192.75,1217,1188.55,1209.95,834425
08/01/2019,1177,1196.8,1165.8,1192.75,760825
07/01/2019,1173.6,1188,1158.85,1176.3,900132
04/01/2019,1150,1171.95,1133,1162.65,1661620
03/01/2019,1195,1206,1141.25,1152.9,1545225
02/01/2019,1230.1,1252,1176.55,1195.4,1588301
01/01/2019,1244.95,1246.75,1219.2,1229.75,545844
31/12/2018,1230.4,1258,1230.4,1239.95,1141657
28/12/2018,1224,1231.9,1216.25,1224.45,531808
27/12/2018,1224,1248.65,1215.5,1226.7,826888
26/12/2018,1199,1229,1178.7,1220.05,1167779
24/12/2018,1208.7,1210,1177.25,1199.7,1111579
21/12/2018,1268.1,1273.15,1192.5,1200.5,2379618
20/12/2018,1265,1291.25,1252.3,1267.1,1020893
19/12/2018,1210.95,1285,1206.1,1275.05,2646189
18/12/2018,1197.9,1208,1180.1,1200.15,727443
17/12/2018,1180,1204,1168,1196.25,753807
14/12/2018,1179.3,1205,1162,1178.6,2101001
13/12/2018,1163.9,1223.75,1159.5,1172,2165479
12/12/2018,1144.95,1171,1130.2,1155.3,853450
11/12/2018,1070.1,1164.85,1067.85,1144.55,1201243
10/12/2018,1052.25,1102,1052.25,1091.25,750361
07/12/2018,1113,1116.55,1081.1,1093.9,665488
06/12/2018,1105.1,1123.9,1094.2,1105.05,991771
05/12/2018,1142,1149,1110.15,1123.25,1150683
04/12/2018,1163.1,1173.5,1145.3,1149.75,899577
03/12/2018,1158.5,1176.5,1138.25,1163.05,919096
30/11/2018,1186.2,1193.55,1147.9,1155.5,1246110
29/11/2018,1135,1185.9,1135,1177.95,1637214
28/11/2018,1102.85,1139.7,1090,1133.2,1190442
27/11/2018,1099,1116.05,1080.3,1100.4,1314979
26/11/2018,1155,1177.85,1083,1109.45,1998687
22/11/2018,1192,1202.45,1142.65,1155.45,726128
21/11/2018,1185,1209,1164.5,1185.55,1068472
20/11/2018,1229.5,1229.5,1182,1192.6,851877
19/11/2018,1250,1250,1210,1220.4,749722
16/11/2018,1267.5,1275,1218,1235.2,1126590
15/11/2018,1240,1265.05,1211,1260.5,831437
14/11/2018,1232.1,1271.9,1228,1239.35,1246982
13/11/2018,1210,1230.1,1170,1216.5,1089517
12/11/2018,1230,1251.75,1212.55,1216.7,893836
09/11/2018,1221,1244.9,1208.65,1229.85,842946
07/11/2018,1220,1234.95,1209.9,1223.3,118980
06/11/2018,1240,1255.3,1205,1213.35,761424
05/11/2018,1240.05,1253.55,1205.6,1245.75,684397
02/11/2018,1214.1,1265.05,1214.1,1254,1359503
01/11/2018,1168,1220,1163.15,1213.35,1690900
31/10/2018,1127.65,1170,1072,1164.8,2057363
30/10/2018,1070,1134.85,1068,1119.75,1657603
29/10/2018,1059.75,1095.5,1029.5,1083.9,1779232
26/10/2018,1100.65,1113.9,1041,1071.75,1689672
25/10/2018,1033,1094.25,1023.65,1084.65,1522381
24/10/2018,1020,1064,1008.4,1053,1699053
23/10/2018,1017.4,1034.5,992.6,1005.3,1623833
22/10/2018,1027.95,1052,1005,1017.4,944260
19/10/2018,1002,1029,981.7,1009.75,1996964
17/10/2018,1095,1098.15,998,1006.25,1415378
16/10/2018,1055,1087.8,1045,1072.55,1174683
15/10/2018,1054,1054,995.55,1042.8,1482936
12/10/2018,1056.5,1145,1026.1,1039.95,2093839
11/10/2018,1005,1082,995.5,1046.35,2596868
10/10/2018,966,1099.2,966,1079.95,3093722
09/10/2018,934.9,995.2,925.6,955.85,3025273
08/10/2018,1028.8,1038.7,902.3,940.55,3870560
05/10/2018,1078.5,1097,1025,1044,1759166
04/10/2018,1110,1127.95,1057.3,1094.2,2294597
03/10/2018,1140,1153.45,1058.55,1077.9,1341451
01/10/2018,1150,1153,1106.4,1139.35,1879934
28/09/2018,1161.1,1184.55,1133.3,1150.95,1264211
27/09/2018,1183.25,1188,1138,1149.85,1753771
26/09/2018,1185.65,1204.9,1160.5,1188.95,599156
25/09/2018,1120,1202,1104.75,1176.85,1609831
24/09/2018,1154.1,1161.7,1117.1,1135.25,1988996
21/09/2018,1193,1212.55,970.15,1161.1,2630601
19/09/2018,1205.1,1214.95,1168.3,1192.05,665583
18/09/2018,1200,1217.7,1180.6,1188.7,674584
17/09/2018,1214.95,1214.95,1183.6,1197.2,911713
14/09/2018,1144,1226,1140,1215.1,2477261
12/09/2018,1198,1200.5,1163.9,1177.35,982840
11/09/2018,1200,1210.4,1175.2,1186.65,936137
10/09/2018,1212,1229.9,1181.8,1192.3,810963
07/09/2018,1210,1228,1180.55,1212.55,2003058
06/09/2018,1263,1266,1190,1198.2,2205755
05/09/2018,1286,1313.95,1257,1259.9,1937370
04/09/2018,1316,1333.65,1286.85,1297.25,1103637
03/09/2018,1349,1367.55,1306,1313.65,1397305
31/08/2018,1335,1349.95,1322,1335.8,791454
30/08/2018,1360.95,1360.95,1331.55,1342.1,669070
29/08/2018,1339.95,1357.4,1329.8,1348.95,887178
28/08/2018,1355,1369.15,1320.1,1336,1797120
27/08/2018,1320,1365,1313,1357.95,1648536
24/08/2018,1326,1332.35,1290,1303.15,1186766
23/08/2018,1313.4,1342.65,1309,1319.35,625260
21/08/2018,1335,1352.15,1320.1,1326.55,1255962
20/08/2018,1330,1344,1313.4,1331.4,959648
17/08/2018,1329.6,1346.35,1306.35,1326.85,714394
16/08/2018,1317.1,1350,1306.9,1319.75,1448819
14/08/2018,1344.9,1354.9,1296.1,1320.1,1152891
13/08/2018,1400,1400,1334.6,1349,1014218
10/08/2018,1414,1429.45,1395.55,1414.25,941753
09/08/2018,1435.4,1440.95,1407.3,1415.85,421110
08/08/2018,1425,1444.9,1410.5,1426.75,678971
07/08/2018,1427,1450,1407.45,1416.3,698222
06/08/2018,1436.7,1477.25,1420,1423.9,1116780
03/08/2018,1404,1468,1399.1,1432.75,1717729
02/08/2018,1400.6,1409.1,1383.5,1392.55,812381
01/08/2018,1390.5,1423,1387.25,1394.6,1278099
31/07/2018,1415.1,1415.1,1375.7,1382.15,1034018
30/07/2018,1414,1439.9,1382.05,1416,1350227
27/07/2018,1416,1444,1403.2,1414.75,2179144
26/07/2018,1283.65,1447.9,1278.05,1411,9586141
25/07/2018,1250.4,1294,1250.4,1283.65,1032361
24/07/2018,1218.5,1268.45,1213,1264.8,1408845
23/07/2018,1176,1219,1170.15,1213.35,1319643
20/07/2018,1170,1185.15,1149.3,1172.65,1414112
19/07/2018,1230.35,1238.5,1173.5,1182.55,1390093
18/07/2018,1269,1290,1215.6,1238.3,1850652
17/07/2018,1210,1274,1209,1266.65,1840040
16/07/2018,1250,1279,1162.85,1212.25,3392497
13/07/2018,1220,1261.7,1214.3,1253.8,2489219
12/07/2018,1215.3,1237,1206,1213.45,1578004
11/07/2018,1201.9,1225,1186.05,1206,2293111
10/07/2018,1145,1218.9,1142,1206.1,4852227
09/07/2018,1120,1147.9,1112,1140.9,1718331
06/07/2018,1139,1149,1105.7,1111.8,2944975
05/07/2018,1190,1194.35,1141,1152.1,6770876
04/07/2018,1224.05,1224.05,1048,1145.25,18392412
03/07/2018,1289.75,1331.25,1288.05,1297,944024
02/07/2018,1308.9,1317.85,1281.15,1285.95,461253
29/06/2018,1300,1344.7,1282,1299.45,1508485
28/06/2018,1367.9,1378.6,1272.35,1303.65,1634892
27/06/2018,1426,1437.15,1356.5,1374.8,669422
26/06/2018,1465.5,1473.95,1425,1436,551378
25/06/2018,1480,1494.8,1460.65,1468.25,341393
22/06/2018,1483.05,1501.4,1461.15,1494,384706
21/06/2018,1499,1502,1470.15,1483.4,286841
20/06/2018,1470,1497.75,1470,1490.9,449323
19/06/2018,1458.5,1485,1451.8,1466.85,440507
18/06/2018,1462,1492,1451,1467.4,377890
15/06/2018,1488,1497.65,1458,1465.3,606081
14/06/2018,1517,1517,1482.7,1485.1,569624
13/06/2018,1510.2,1529,1496.8,1507.3,1106929
12/06/2018,1462.6,1514.4,1462.6,1505.15,887735
