Date,STAR-EQ O,STAR-EQ H,STAR-EQ L,STAR-EQ C,STAR-EQ V
29/03/2019,466.05,479.45,465.3,472.4,1383139
28/03/2019,462,469.7,458.2,465.75,1134863
27/03/2019,452,469.35,448.55,459.65,3637869
26/03/2019,438.95,447.65,437.45,445.85,876769
25/03/2019,439.85,441.35,434.45,436.7,564801
22/03/2019,443.9,449.75,436.25,442.15,1494843
20/03/2019,450,452.7,438.5,441.95,1199211
19/03/2019,442,455.95,439.2,448.5,2172762
18/03/2019,440.3,442.85,434,436.95,1050444
15/03/2019,446.55,449.9,434.9,437.35,1974699
14/03/2019,440.9,456.95,438.3,449.25,1379460
13/03/2019,448,449.4,436.5,439.5,966230
12/03/2019,447,452.9,441.85,447.6,1416662
11/03/2019,432.9,446.8,432.9,443.95,928630
08/03/2019,441.4,442.7,430.7,432.65,900847
07/03/2019,441.35,451.45,436.05,439,1708452
06/03/2019,439.85,444.8,430.2,438.2,1477102
05/03/2019,433,439.55,431.25,436.7,1114888
01/03/2019,422.1,437,422.1,433.75,1366454
28/02/2019,419.3,423.8,416.05,420.9,1002531
27/02/2019,420.5,424,408.65,414.5,1127391
26/02/2019,412,421.1,405.25,416.55,1269643
25/02/2019,421.5,427.7,417,419.05,990223
22/02/2019,425.1,426.2,416.7,419.4,1482759
21/02/2019,409.5,424.7,408.65,419.4,1686624
20/02/2019,408,411.95,404,409.45,1426368
19/02/2019,410.5,413,402.85,404.1,1262469
18/02/2019,401.5,416.9,398.45,408.35,2126026
15/02/2019,409.45,409.7,392.2,402.15,1878358
14/02/2019,403,414.15,400.1,409,1363358
13/02/2019,414.8,421,400.1,405.55,1692065
12/02/2019,401.8,417.85,400,412.25,1485899
11/02/2019,419,419,397.2,402.05,1741696
08/02/2019,428.7,430.1,415.45,419.9,1619130
07/02/2019,417.05,432,413.3,429.2,2331015
06/02/2019,427.9,433.45,402.5,416.85,3901870
05/02/2019,436,438.85,406.7,421.75,2511964
04/02/2019,443.05,455.9,431.3,436.25,1841977
01/02/2019,463.7,465,439.2,445.8,2506519
31/01/2019,482.75,484.9,456.5,461.35,2492391
30/01/2019,492.8,512.1,471.2,476.8,4188404
29/01/2019,504.5,543,480,490.6,10993126
28/01/2019,511,516.8,492.35,504.5,1189348
25/01/2019,532,537.3,510.4,518.6,1048270
24/01/2019,531,544.1,523.5,530.85,1859191
23/01/2019,546,548.5,520.5,531.5,2603393
22/01/2019,512,551.4,508.45,548.3,3120508
21/01/2019,519.5,526.75,512,514.75,929532
18/01/2019,527.3,529.4,504.5,517.25,1678240
17/01/2019,525,531,521.45,528.4,1131121
16/01/2019,518,532.55,514.6,525.25,2111625
15/01/2019,519.55,528.5,511.35,514.45,3559117
14/01/2019,480.4,522.35,480.4,520,7452650
11/01/2019,480,482.35,473,480.7,643711
10/01/2019,479.8,483,470.2,480.05,1478612
09/01/2019,466.15,481,464.15,476.3,1496974
08/01/2019,455,468.8,453.95,465.85,1004187
07/01/2019,461,465.9,450.5,454.35,673778
