Date,SUNPHARMA-EQ O,SUNPHARMA-EQ H,SUNPHARMA-EQ L,SUNPHARMA-EQ C,SUNPHARMA-EQ V
29/03/2019,475.55,482.95,472.35,478.85,5622528
28/03/2019,465,479.8,465,475.45,10590187
27/03/2019,471.8,477.35,459.75,464.85,6016947
26/03/2019,467,471.5,462.1,469.8,3843580
25/03/2019,468.5,469.45,461.2,464.65,4043446
22/03/2019,475.8,479.7,469.35,473.25,6125288
20/03/2019,470.75,476.8,466,474.75,4235163
19/03/2019,467.5,475.25,466.65,468.95,6725926
18/03/2019,466,469.9,458.65,465.65,4382489
15/03/2019,466.2,469.95,462.3,464.35,5877969
14/03/2019,456.9,468.5,456,466.15,8039525
13/03/2019,473,475,452.5,456.5,7156428
12/03/2019,463,471.65,462,470.3,8660320
11/03/2019,456,461.45,454,459.45,4628360
08/03/2019,449.5,457.9,447.3,454.95,5040326
07/03/2019,459.5,463,448.8,450.9,10701581
06/03/2019,457,469.35,446.95,460.55,13004184
05/03/2019,447.85,456.9,445.35,455.9,5251255
01/03/2019,447.9,451,445.05,447.35,5608805
28/02/2019,446.6,451.5,442.1,445.15,10862473
27/02/2019,436.5,451.65,436,442.7,12232682
26/02/2019,430.5,440,422.85,435.75,5255113
25/02/2019,431.4,438.75,427.5,436.1,4849697
22/02/2019,431,436.75,428.45,430.5,4373261
21/02/2019,425.2,432,422.7,429.7,4736317
20/02/2019,418,424.45,416.05,422.35,4385350
19/02/2019,417.15,422.4,412.35,413.65,4742270
18/02/2019,424.5,428,413.3,414.65,6210412
15/02/2019,440.75,440.75,416.45,422.9,10206627
14/02/2019,432,444.9,428.65,440.9,9040227
13/02/2019,454.9,455,426.45,431.25,31434625
12/02/2019,427.2,444,424.05,436.6,8559968
11/02/2019,432.25,433.6,420.85,428.55,4945054
08/02/2019,434,435.9,424.5,431.05,6133747
07/02/2019,423,445.8,421.1,434.9,18187249
06/02/2019,410,419,403.3,416.6,5638849
05/02/2019,414.8,418.5,406.55,409.9,3523707
04/02/2019,422.3,423,409.2,414.8,3679517
01/02/2019,421.2,428,417,423.25,3950126
31/01/2019,419,431.35,413.7,423.45,16672076
30/01/2019,424,426,416.2,417.95,4351530
29/01/2019,410.5,424.75,406.25,422.4,7472930
28/01/2019,424,424.75,410.15,411.75,5809082
25/01/2019,425.4,429.75,419.35,422.4,8720973
24/01/2019,431,438,417.1,423,18446490
23/01/2019,417.7,434.4,411.65,431,26921274
22/01/2019,411,423.5,409.4,418.95,38255365
21/01/2019,390.1,406.55,390.05,398.3,48936782
18/01/2019,424.05,424.1,370.2,390.75,82906214
17/01/2019,455,455.4,422.5,426.55,8343750
16/01/2019,451.4,457.4,447.15,453.8,5879148
15/01/2019,453.25,454.5,449.5,452.45,4291873
14/01/2019,447,452,443.75,450.85,5784064
11/01/2019,445.05,449.75,441.6,444.4,3778103
10/01/2019,445.1,448,440.45,444.6,3672333
09/01/2019,450.5,453.65,443.7,448.75,9034282
08/01/2019,433.8,449,432.35,448.05,12368631
07/01/2019,437.1,438,429.3,430.8,4118235
04/01/2019,439.1,439.9,432.2,433.8,6228693
03/01/2019,442.05,443.6,434,436.1,9479511
02/01/2019,430.5,441.2,429.25,440.05,9656878
01/01/2019,432.5,438.8,429.65,433.55,8487116
31/12/2018,428.1,432.3,425.5,430.5,6368707
28/12/2018,415,428.7,413.5,425.2,12805576
27/12/2018,423,423.3,410,411.15,12839897
26/12/2018,423.45,423.45,410,413.65,8406699
24/12/2018,427.05,434,422.3,424.35,7052582
21/12/2018,429.5,433,423,425.3,7315242
20/12/2018,422,431,421.6,429.05,6156074
19/12/2018,433.45,434.4,422.8,423.8,7882841
18/12/2018,421,434.9,418.85,433.45,14402058
17/12/2018,421.8,425.4,420,420.95,6151952
14/12/2018,421.95,426,417.1,420.65,8144364
13/12/2018,422,429.3,418,422.1,16853821
12/12/2018,426.7,433.7,423.1,431.45,16244450
11/12/2018,390.6,424.8,390.6,422.3,24688467
10/12/2018,405,409.25,397.05,399,24690744
07/12/2018,425,426,408.15,411.25,23905860
06/12/2018,416,431.5,413,420.15,56087131
05/12/2018,443,445.25,401.5,412.95,48891969
04/12/2018,457.75,464.7,441.55,442.9,36233775
03/12/2018,450,461,441.15,455.4,61492013
30/11/2018,486.95,493.95,481.75,492.6,6544665
29/11/2018,489,491.45,478.7,484.4,7391256
28/11/2018,489,502.4,481.5,486,11393583
27/11/2018,518.9,519.35,474.5,493.85,39588964
26/11/2018,527,528.15,506.4,510.75,5189359
22/11/2018,532.5,532.5,524.75,525.95,2263069
21/11/2018,525.5,536.3,525.5,532.85,4029454
