Date,SUNTV-EQ O,SUNTV-EQ H,SUNTV-EQ L,SUNTV-EQ C,SUNTV-EQ V
29/03/2019,609,638.95,608.1,628.1,4219634
28/03/2019,587.4,610,587.4,606.05,2830495
27/03/2019,587,601.7,586,589.25,2146256
26/03/2019,583,591.95,581.05,584.8,1545521
25/03/2019,584.85,590.9,572.4,579.85,2348575
22/03/2019,620.9,620.9,589.45,596.05,2108088
20/03/2019,621,621.05,612,616.55,1434900
19/03/2019,622.9,630.55,616.5,621.55,1994472
18/03/2019,623.65,626.55,613.05,620.45,1376894
15/03/2019,617.4,630.75,610.2,617.5,3455081
14/03/2019,614,623.65,603.05,614.65,2126244
13/03/2019,619.45,621.75,609,612.55,1481513
12/03/2019,618.55,625.75,613.3,617.55,2240423
11/03/2019,604.7,620,597.2,616.85,3036038
08/03/2019,614.85,620.2,591.3,595.65,2779842
07/03/2019,622,626.95,610.65,613.7,1821986
06/03/2019,625,633.75,615.4,621.75,2974338
05/03/2019,617,627.9,613.1,625.8,2057760
01/03/2019,605,618,605,615.9,2541891
28/02/2019,595.25,611.8,587.5,608.25,3597384
27/02/2019,608.95,617.65,590,593.7,4387981
26/02/2019,584,615.9,571.1,605.2,4706171
25/02/2019,589,594.6,581.6,587.05,1982254
22/02/2019,588,598.5,582.3,585.9,3254462
21/02/2019,565,592,562.1,587.6,2753833
20/02/2019,561.1,572.4,556.2,567.25,2587436
19/02/2019,545,563.45,537.2,557.65,3001178
18/02/2019,543.85,554.35,540.5,545.5,2613726
15/02/2019,576.1,578.05,538.55,547,3895244
14/02/2019,554.4,587,544.8,579.1,4102027
13/02/2019,557,569.75,551,553.6,2299272
12/02/2019,570.25,578.5,558,560.8,4646752
11/02/2019,550,576.7,535.3,574.05,12331734
08/02/2019,534.8,535.6,518,521,1606621
07/02/2019,541,550,530,532.35,1745074
06/02/2019,523.35,547.9,516.6,543.55,1734832
05/02/2019,523.15,528.65,513.1,522,1066230
04/02/2019,530.7,532.3,514.75,524.1,1014065
01/02/2019,530,547.3,523.5,532.15,1629734
31/01/2019,534,536.8,520.15,530.1,1704334
30/01/2019,530.2,541.15,525.4,533.65,1604734
